candidate_family,canonical,disposition,expected_status,expected_path,expected_confidence,new_status,new_path,new_confidence,reason_ja,evidence_url,review_note
batch034_water_identity,water_on_glass,UNRESOLVED,PROPOSED,COMPOSITION_CAMERA,MEDIUM,UNRESOLVED,,LOW,ガラス面上の水の見え方を示すが、構図・画面効果・背景のどれが主かをcanonical名だけで確定できない。,,Residual review; avoid guessing among existing nodes.
batch034_water_identity,water_pump,KEEP,PROPOSED,OBJECT_PROP,HIGH,PROPOSED,OBJECT_PROP,HIGH,共通のwater接頭辞ではなく、タグの対象identityを個別に確認。,,Batch 34 bounded family review; retain only a defensible accepted-taxonomy path.
batch034_water_identity,water_slide,KEEP,PROPOSED,OBJECT_PROP,HIGH,PROPOSED,OBJECT_PROP,HIGH,共通のwater接頭辞ではなく、タグの対象identityを個別に確認。,,Batch 34 bounded family review; retain only a defensible accepted-taxonomy path.
batch034_water_identity,water_stone,KEEP,PROPOSED,OBJECT_PROP,HIGH,PROPOSED,OBJECT_PROP,HIGH,共通のwater接頭辞ではなく、タグの対象identityを個別に確認。,,Batch 34 bounded family review; retain only a defensible accepted-taxonomy path.
batch034_water_identity,water_stream,UNRESOLVED,PROPOSED,LIVING_NATURE,HIGH,UNRESOLVED,,LOW,水の流れを示すが、自然背景・画面内の液体効果のどちらを主にするか決められない。LIVING_NATUREへ押し込まない。,,Residual review; no accepted liquid/water natural-feature node.
batch034_water_identity,water_tank,KEEP,PROPOSED,OBJECT_PROP,HIGH,PROPOSED,OBJECT_PROP,HIGH,共通のwater接頭辞ではなく、タグの対象identityを個別に確認。,,Batch 34 bounded family review; retain only a defensible accepted-taxonomy path.
batch034_water_identity,water_tower,KEEP,PROPOSED,OBJECT_PROP,HIGH,PROPOSED,OBJECT_PROP,HIGH,共通のwater接頭辞ではなく、タグの対象identityを個別に確認。,,Batch 34 bounded family review; retain only a defensible accepted-taxonomy path.
batch034_water_identity,water_type_theme_(pokemon),UNRESOLVED,PROPOSED,STYLE_QUALITY_META,MEDIUM,UNRESOLVED,,LOW,Pokémonのタイプテーマという作品固有の分類で、画像中の生物・水表現そのものと同一視できない。既存genreに安全な割当先がない。,https://safebooru.donmai.us/posts/7772830,Danbooru post records it as a General theme tag alongside Pokémon and water; keep unresolved rather than invent taxonomy.
batch034_water_identity,water_wheel,KEEP,PROPOSED,OBJECT_PROP,HIGH,PROPOSED,OBJECT_PROP,HIGH,共通のwater接頭辞ではなく、タグの対象identityを個別に確認。,,Batch 34 bounded family review; retain only a defensible accepted-taxonomy path.
batch034_water_identity,water_world,KEEP,PROPOSED,PLACE_BACKGROUND,HIGH,PROPOSED,PLACE_BACKGROUND,HIGH,共通のwater接頭辞ではなく、タグの対象identityを個別に確認。,,Batch 34 bounded family review; retain only a defensible accepted-taxonomy path.
batch034_water_identity,water_yoyo,KEEP,PROPOSED,OBJECT_PROP,HIGH,PROPOSED,OBJECT_PROP,HIGH,共通のwater接頭辞ではなく、タグの対象identityを個別に確認。,,Batch 34 bounded family review; retain only a defensible accepted-taxonomy path.
calendar_event_boundary,2011,UNRESOLVED,PROPOSED,LIGHT_TIME_WEATHER,MEDIUM,UNRESOLVED,,LOW,年号タグだが、画像の時間設定と投稿時期メタデータのどちらを表すかを安全に決められない。時間ジャンルへ推測で割り当てず未解決にする。,,Explicit residual candidate from fresh Luna review; unresolved is valid and no taxonomy node is added.
calendar_event_boundary,father's_day,UNRESOLVED,PROPOSED,LIGHT_TIME_WEATHER,MEDIUM,UNRESOLVED,,LOW,祝日・イベント名だが、浅い17ジャンル内に安全なイベント分類先がないため未解決を維持する。,,Explicit residual candidate from fresh Luna review; no forced LIGHT_TIME_WEATHER route.
modifier_object_identity,two-tone_leg_warmers,RECLASSIFY,PROPOSED,COLOR_APPEARANCE,MEDIUM,PROPOSED,CLOTHING,HIGH,レッグウォーマーという衣服の種類を主経路にする。two-toneは色修飾なのでCOLOR_APPEARANCEへは分けない。,https://safebooru.donmai.us/posts/11946290,Danbooru post indexes the tag alongside leg_warmers and color variants; accepted CLOTHING boundary says object identity before modifier.
relation_contact_control,sitting_on_creature,KEEP,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,人・生き物・物の上に立つ／座る関係がタグの識別内容で、姿勢のみではない。,,Adjacent relation control checked against the same accepted contact boundary.
relation_contact_control,standing_on_chair,KEEP,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,人・生き物・物の上に立つ／座る関係がタグの識別内容で、姿勢のみではない。,,Adjacent relation control checked against the same accepted contact boundary.
relation_contact_control,standing_on_person,KEEP,PROPOSED,ACTION_CONTACT/INTERACTION,HIGH,PROPOSED,ACTION_CONTACT/INTERACTION,HIGH,人・生き物・物の上に立つ／座る関係がタグの識別内容で、姿勢のみではない。,,Adjacent relation control checked against the same accepted contact boundary.
relation_contact_rule,kneeling_on_liquid,KEEP,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,「姿勢＋対象との接触関係」がタグの意味に含まれる。受理済みtaxonomyの境界に従い行為・接触へ置き、純粋な姿勢語尾はこの候補集合から除外する。,,Bounded semantic review; retained the effective ACTION_CONTACT/INTERACTION route.
relation_contact_rule,lying_on_ball,KEEP,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,「姿勢＋対象との接触関係」がタグの意味に含まれる。受理済みtaxonomyの境界に従い行為・接触へ置き、純粋な姿勢語尾はこの候補集合から除外する。,,Bounded semantic review; retained the effective ACTION_CONTACT/INTERACTION route.
relation_contact_rule,lying_on_branch,KEEP,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,「姿勢＋対象との接触関係」がタグの意味に含まれる。受理済みtaxonomyの境界に従い行為・接触へ置き、純粋な姿勢語尾はこの候補集合から除外する。,,Bounded semantic review; retained the effective ACTION_CONTACT/INTERACTION route.
relation_contact_rule,lying_on_clothes,KEEP,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,「姿勢＋対象との接触関係」がタグの意味に含まれる。受理済みtaxonomyの境界に従い行為・接触へ置き、純粋な姿勢語尾はこの候補集合から除外する。,,Bounded semantic review; retained the effective ACTION_CONTACT/INTERACTION route.
relation_contact_rule,lying_on_water,KEEP,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,「姿勢＋対象との接触関係」がタグの意味に含まれる。受理済みtaxonomyの境界に従い行為・接触へ置き、純粋な姿勢語尾はこの候補集合から除外する。,,Bounded semantic review; retained the effective ACTION_CONTACT/INTERACTION route.
relation_contact_rule,sitting_on_animal,KEEP,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,「姿勢＋対象との接触関係」がタグの意味に含まれる。受理済みtaxonomyの境界に従い行為・接触へ置き、純粋な姿勢語尾はこの候補集合から除外する。,,Bounded semantic review; retained the effective ACTION_CONTACT/INTERACTION route.
relation_contact_rule,sitting_on_ball,KEEP,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,「姿勢＋対象との接触関係」がタグの意味に含まれる。受理済みtaxonomyの境界に従い行為・接触へ置き、純粋な姿勢語尾はこの候補集合から除外する。,,Bounded semantic review; retained the effective ACTION_CONTACT/INTERACTION route.
relation_contact_rule,sitting_on_book,KEEP,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,「姿勢＋対象との接触関係」がタグの意味に含まれる。受理済みtaxonomyの境界に従い行為・接触へ置き、純粋な姿勢語尾はこの候補集合から除外する。,,Bounded semantic review; retained the effective ACTION_CONTACT/INTERACTION route.
relation_contact_rule,sitting_on_box,KEEP,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,「姿勢＋対象との接触関係」がタグの意味に含まれる。受理済みtaxonomyの境界に従い行為・接触へ置き、純粋な姿勢語尾はこの候補集合から除外する。,,Bounded semantic review; retained the effective ACTION_CONTACT/INTERACTION route.
relation_contact_rule,sitting_on_branch,KEEP,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,「姿勢＋対象との接触関係」がタグの意味に含まれる。受理済みtaxonomyの境界に従い行為・接触へ置き、純粋な姿勢語尾はこの候補集合から除外する。,,Bounded semantic review; retained the effective ACTION_CONTACT/INTERACTION route.
relation_contact_rule,sitting_on_drum,KEEP,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,「姿勢＋対象との接触関係」がタグの意味に含まれる。受理済みtaxonomyの境界に従い行為・接触へ置き、純粋な姿勢語尾はこの候補集合から除外する。,,Bounded semantic review; retained the effective ACTION_CONTACT/INTERACTION route.
relation_contact_rule,sitting_on_fence,KEEP,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,「姿勢＋対象との接触関係」がタグの意味に含まれる。受理済みtaxonomyの境界に従い行為・接触へ置き、純粋な姿勢語尾はこの候補集合から除外する。,,Bounded semantic review; retained the effective ACTION_CONTACT/INTERACTION route.
relation_contact_rule,sitting_on_food,KEEP,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,「姿勢＋対象との接触関係」がタグの意味に含まれる。受理済みtaxonomyの境界に従い行為・接触へ置き、純粋な姿勢語尾はこの候補集合から除外する。,,Bounded semantic review; retained the effective ACTION_CONTACT/INTERACTION route.
relation_contact_rule,sitting_on_hair,KEEP,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,「姿勢＋対象との接触関係」がタグの意味に含まれる。受理済みtaxonomyの境界に従い行為・接触へ置き、純粋な姿勢語尾はこの候補集合から除外する。,,Bounded semantic review; retained the effective ACTION_CONTACT/INTERACTION route.
relation_contact_rule,sitting_on_liquid,KEEP,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,「姿勢＋対象との接触関係」がタグの意味に含まれる。受理済みtaxonomyの境界に従い行為・接触へ置き、純粋な姿勢語尾はこの候補集合から除外する。,,Bounded semantic review; retained the effective ACTION_CONTACT/INTERACTION route.
relation_contact_rule,sitting_on_log,KEEP,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,「姿勢＋対象との接触関係」がタグの意味に含まれる。受理済みtaxonomyの境界に従い行為・接触へ置き、純粋な姿勢語尾はこの候補集合から除外する。,,Bounded semantic review; retained the effective ACTION_CONTACT/INTERACTION route.
relation_contact_rule,sitting_on_mecha,KEEP,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,「姿勢＋対象との接触関係」がタグの意味に含まれる。受理済みtaxonomyの境界に従い行為・接触へ置き、純粋な姿勢語尾はこの候補集合から除外する。,,Bounded semantic review; retained the effective ACTION_CONTACT/INTERACTION route.
relation_contact_rule,sitting_on_mushroom,KEEP,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,「姿勢＋対象との接触関係」がタグの意味に含まれる。受理済みtaxonomyの境界に従い行為・接触へ置き、純粋な姿勢語尾はこの候補集合から除外する。,,Bounded semantic review; retained the effective ACTION_CONTACT/INTERACTION route.
relation_contact_rule,sitting_on_object,KEEP,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,「姿勢＋対象との接触関係」がタグの意味に含まれる。受理済みtaxonomyの境界に従い行為・接触へ置き、純粋な姿勢語尾はこの候補集合から除外する。,,Bounded semantic review; retained the effective ACTION_CONTACT/INTERACTION route.
relation_contact_rule,sitting_on_own_tail,KEEP,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,「姿勢＋対象との接触関係」がタグの意味に含まれる。受理済みtaxonomyの境界に従い行為・接触へ置き、純粋な姿勢語尾はこの候補集合から除外する。,,Bounded semantic review; retained the effective ACTION_CONTACT/INTERACTION route.
relation_contact_rule,sitting_on_piano,KEEP,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,「姿勢＋対象との接触関係」がタグの意味に含まれる。受理済みtaxonomyの境界に従い行為・接触へ置き、純粋な姿勢語尾はこの候補集合から除外する。,,Bounded semantic review; retained the effective ACTION_CONTACT/INTERACTION route.
relation_contact_rule,sitting_on_pillow,KEEP,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,「姿勢＋対象との接触関係」がタグの意味に含まれる。受理済みtaxonomyの境界に従い行為・接触へ置き、純粋な姿勢語尾はこの候補集合から除外する。,,Bounded semantic review; retained the effective ACTION_CONTACT/INTERACTION route.
relation_contact_rule,sitting_on_pokemon,KEEP,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,「姿勢＋対象との接触関係」がタグの意味に含まれる。受理済みtaxonomyの境界に従い行為・接触へ置き、純粋な姿勢語尾はこの候補集合から除外する。,,Bounded semantic review; retained the effective ACTION_CONTACT/INTERACTION route.
relation_contact_rule,sitting_on_robot,KEEP,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,「姿勢＋対象との接触関係」がタグの意味に含まれる。受理済みtaxonomyの境界に従い行為・接触へ置き、純粋な姿勢語尾はこの候補集合から除外する。,,Bounded semantic review; retained the effective ACTION_CONTACT/INTERACTION route.
relation_contact_rule,sitting_on_roof,KEEP,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,「姿勢＋対象との接触関係」がタグの意味に含まれる。受理済みtaxonomyの境界に従い行為・接触へ置き、純粋な姿勢語尾はこの候補集合から除外する。,,Bounded semantic review; retained the effective ACTION_CONTACT/INTERACTION route.
relation_contact_rule,sitting_on_stairs,KEEP,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,「姿勢＋対象との接触関係」がタグの意味に含まれる。受理済みtaxonomyの境界に従い行為・接触へ置き、純粋な姿勢語尾はこの候補集合から除外する。,,Bounded semantic review; retained the effective ACTION_CONTACT/INTERACTION route.
relation_contact_rule,sitting_on_table,KEEP,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,「姿勢＋対象との接触関係」がタグの意味に含まれる。受理済みtaxonomyの境界に従い行為・接触へ置き、純粋な姿勢語尾はこの候補集合から除外する。,,Bounded semantic review; retained the effective ACTION_CONTACT/INTERACTION route.
relation_contact_rule,sitting_on_torii,KEEP,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,「姿勢＋対象との接触関係」がタグの意味に含まれる。受理済みtaxonomyの境界に従い行為・接触へ置き、純粋な姿勢語尾はこの候補集合から除外する。,,Bounded semantic review; retained the effective ACTION_CONTACT/INTERACTION route.
relation_contact_rule,sitting_on_wall,KEEP,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,「姿勢＋対象との接触関係」がタグの意味に含まれる。受理済みtaxonomyの境界に従い行為・接触へ置き、純粋な姿勢語尾はこの候補集合から除外する。,,Bounded semantic review; retained the effective ACTION_CONTACT/INTERACTION route.
relation_contact_rule,sitting_on_water,KEEP,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,「姿勢＋対象との接触関係」がタグの意味に含まれる。受理済みtaxonomyの境界に従い行為・接触へ置き、純粋な姿勢語尾はこの候補集合から除外する。,,Bounded semantic review; retained the effective ACTION_CONTACT/INTERACTION route.
relation_contact_rule,sitting_on_weapon,KEEP,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,「姿勢＋対象との接触関係」がタグの意味に含まれる。受理済みtaxonomyの境界に従い行為・接触へ置き、純粋な姿勢語尾はこの候補集合から除外する。,,Bounded semantic review; retained the effective ACTION_CONTACT/INTERACTION route.
relation_contact_rule,standing_on_animal,KEEP,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,「姿勢＋対象との接触関係」がタグの意味に含まれる。受理済みtaxonomyの境界に従い行為・接触へ置き、純粋な姿勢語尾はこの候補集合から除外する。,,Bounded semantic review; retained the effective ACTION_CONTACT/INTERACTION route.
relation_contact_rule,standing_on_box,KEEP,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,「姿勢＋対象との接触関係」がタグの意味に含まれる。受理済みtaxonomyの境界に従い行為・接触へ置き、純粋な姿勢語尾はこの候補集合から除外する。,,Bounded semantic review; retained the effective ACTION_CONTACT/INTERACTION route.
relation_contact_rule,standing_on_branch,KEEP,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,「姿勢＋対象との接触関係」がタグの意味に含まれる。受理済みtaxonomyの境界に従い行為・接触へ置き、純粋な姿勢語尾はこの候補集合から除外する。,,Bounded semantic review; retained the effective ACTION_CONTACT/INTERACTION route.
relation_contact_rule,standing_on_desk,KEEP,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,「姿勢＋対象との接触関係」がタグの意味に含まれる。受理済みtaxonomyの境界に従い行為・接触へ置き、純粋な姿勢語尾はこの候補集合から除外する。,,Bounded semantic review; retained the effective ACTION_CONTACT/INTERACTION route.
relation_contact_rule,standing_on_liquid,KEEP,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,「姿勢＋対象との接触関係」がタグの意味に含まれる。受理済みtaxonomyの境界に従い行為・接触へ置き、純粋な姿勢語尾はこの候補集合から除外する。,,Bounded semantic review; retained the effective ACTION_CONTACT/INTERACTION route.
relation_contact_rule,standing_on_magic_circle,KEEP,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,「姿勢＋対象との接触関係」がタグの意味に含まれる。受理済みtaxonomyの境界に従い行為・接触へ置き、純粋な姿勢語尾はこの候補集合から除外する。,,Bounded semantic review; retained the effective ACTION_CONTACT/INTERACTION route.
relation_contact_rule,standing_on_object,KEEP,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,「姿勢＋対象との接触関係」がタグの意味に含まれる。受理済みtaxonomyの境界に従い行為・接触へ置き、純粋な姿勢語尾はこの候補集合から除外する。,,Bounded semantic review; retained the effective ACTION_CONTACT/INTERACTION route.
relation_contact_rule,standing_on_rock,KEEP,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,「姿勢＋対象との接触関係」がタグの意味に含まれる。受理済みtaxonomyの境界に従い行為・接触へ置き、純粋な姿勢語尾はこの候補集合から除外する。,,Bounded semantic review; retained the effective ACTION_CONTACT/INTERACTION route.
relation_contact_rule,standing_on_roof,KEEP,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,「姿勢＋対象との接触関係」がタグの意味に含まれる。受理済みtaxonomyの境界に従い行為・接触へ置き、純粋な姿勢語尾はこの候補集合から除外する。,,Bounded semantic review; retained the effective ACTION_CONTACT/INTERACTION route.
relation_contact_rule,standing_on_shoulder,KEEP,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,「姿勢＋対象との接触関係」がタグの意味に含まれる。受理済みtaxonomyの境界に従い行為・接触へ置き、純粋な姿勢語尾はこの候補集合から除外する。,,Bounded semantic review; retained the effective ACTION_CONTACT/INTERACTION route.
relation_contact_rule,standing_on_swing,KEEP,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,「姿勢＋対象との接触関係」がタグの意味に含まれる。受理済みtaxonomyの境界に従い行為・接触へ置き、純粋な姿勢語尾はこの候補集合から除外する。,,Bounded semantic review; retained the effective ACTION_CONTACT/INTERACTION route.
relation_contact_rule,standing_on_sword,KEEP,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,「姿勢＋対象との接触関係」がタグの意味に含まれる。受理済みtaxonomyの境界に従い行為・接触へ置き、純粋な姿勢語尾はこの候補集合から除外する。,,Bounded semantic review; retained the effective ACTION_CONTACT/INTERACTION route.
relation_contact_rule,standing_on_torii,KEEP,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,「姿勢＋対象との接触関係」がタグの意味に含まれる。受理済みtaxonomyの境界に従い行為・接触へ置き、純粋な姿勢語尾はこの候補集合から除外する。,,Bounded semantic review; retained the effective ACTION_CONTACT/INTERACTION route.
relation_contact_rule,standing_on_weapon,KEEP,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,「姿勢＋対象との接触関係」がタグの意味に含まれる。受理済みtaxonomyの境界に従い行為・接触へ置き、純粋な姿勢語尾はこの候補集合から除外する。,,Bounded semantic review; retained the effective ACTION_CONTACT/INTERACTION route.
