canonical,old_status,old_path,old_confidence,new_status,new_path,new_confidence,reason_ja,evidence_url,review_note
lying_on_water,PROPOSED,POSE_MOVEMENT,HIGH,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,対象となる人・生き物・物との接触関係を行為・接触から探す。,,Deterministic analogue rule: relational contact with another entity/object; pure body-posture suffixes are excluded.
sitting_on_animal,PROPOSED,POSE_MOVEMENT,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,対象となる人・生き物・物との接触関係を行為・接触から探す。,,Deterministic analogue rule: relational contact with another entity/object; pure body-posture suffixes are excluded.
sitting_on_ball,PROPOSED,POSE_MOVEMENT,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,対象となる人・生き物・物との接触関係を行為・接触から探す。,,Deterministic analogue rule: relational contact with another entity/object; pure body-posture suffixes are excluded.
sitting_on_book,PROPOSED,POSE_MOVEMENT,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,対象となる人・生き物・物との接触関係を行為・接触から探す。,,Deterministic analogue rule: relational contact with another entity/object; pure body-posture suffixes are excluded.
sitting_on_box,PROPOSED,POSE_MOVEMENT,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,対象となる人・生き物・物との接触関係を行為・接触から探す。,,Deterministic analogue rule: relational contact with another entity/object; pure body-posture suffixes are excluded.
sitting_on_branch,PROPOSED,POSE_MOVEMENT,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,対象となる人・生き物・物との接触関係を行為・接触から探す。,,Deterministic analogue rule: relational contact with another entity/object; pure body-posture suffixes are excluded.
sitting_on_drum,PROPOSED,POSE_MOVEMENT,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,対象となる人・生き物・物との接触関係を行為・接触から探す。,,Deterministic analogue rule: relational contact with another entity/object; pure body-posture suffixes are excluded.
sitting_on_fence,PROPOSED,POSE_MOVEMENT,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,対象となる人・生き物・物との接触関係を行為・接触から探す。,,Deterministic analogue rule: relational contact with another entity/object; pure body-posture suffixes are excluded.
sitting_on_food,PROPOSED,POSE_MOVEMENT,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,対象となる人・生き物・物との接触関係を行為・接触から探す。,,Deterministic analogue rule: relational contact with another entity/object; pure body-posture suffixes are excluded.
sitting_on_hair,PROPOSED,HAIR_FACE,HIGH,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,対象となる人・生き物・物との接触関係を行為・接触から探す。,,Deterministic analogue rule: relational contact with another entity/object; pure body-posture suffixes are excluded.
sitting_on_liquid,PROPOSED,POSE_MOVEMENT,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,対象となる人・生き物・物との接触関係を行為・接触から探す。,,Deterministic analogue rule: relational contact with another entity/object; pure body-posture suffixes are excluded.
sitting_on_log,PROPOSED,POSE_MOVEMENT,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,対象となる人・生き物・物との接触関係を行為・接触から探す。,,Deterministic analogue rule: relational contact with another entity/object; pure body-posture suffixes are excluded.
sitting_on_mecha,PROPOSED,POSE_MOVEMENT,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,対象となる人・生き物・物との接触関係を行為・接触から探す。,,Deterministic analogue rule: relational contact with another entity/object; pure body-posture suffixes are excluded.
sitting_on_mushroom,PROPOSED,POSE_MOVEMENT,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,対象となる人・生き物・物との接触関係を行為・接触から探す。,,Deterministic analogue rule: relational contact with another entity/object; pure body-posture suffixes are excluded.
sitting_on_object,PROPOSED,POSE_MOVEMENT,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,対象となる人・生き物・物との接触関係を行為・接触から探す。,,Deterministic analogue rule: relational contact with another entity/object; pure body-posture suffixes are excluded.
sitting_on_own_tail,PROPOSED,POSE_MOVEMENT,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,対象となる人・生き物・物との接触関係を行為・接触から探す。,,Deterministic analogue rule: relational contact with another entity/object; pure body-posture suffixes are excluded.
sitting_on_piano,PROPOSED,POSE_MOVEMENT,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,対象となる人・生き物・物との接触関係を行為・接触から探す。,,Deterministic analogue rule: relational contact with another entity/object; pure body-posture suffixes are excluded.
sitting_on_pillow,PROPOSED,POSE_MOVEMENT,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,対象となる人・生き物・物との接触関係を行為・接触から探す。,,Deterministic analogue rule: relational contact with another entity/object; pure body-posture suffixes are excluded.
sitting_on_pokemon,PROPOSED,POSE_MOVEMENT,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,対象となる人・生き物・物との接触関係を行為・接触から探す。,,Deterministic analogue rule: relational contact with another entity/object; pure body-posture suffixes are excluded.
sitting_on_robot,PROPOSED,POSE_MOVEMENT,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,対象となる人・生き物・物との接触関係を行為・接触から探す。,,Deterministic analogue rule: relational contact with another entity/object; pure body-posture suffixes are excluded.
sitting_on_roof,PROPOSED,POSE_MOVEMENT,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,対象となる人・生き物・物との接触関係を行為・接触から探す。,,Deterministic analogue rule: relational contact with another entity/object; pure body-posture suffixes are excluded.
sitting_on_stairs,PROPOSED,POSE_MOVEMENT,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,対象となる人・生き物・物との接触関係を行為・接触から探す。,,Deterministic analogue rule: relational contact with another entity/object; pure body-posture suffixes are excluded.
sitting_on_table,PROPOSED,POSE_MOVEMENT,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,対象となる人・生き物・物との接触関係を行為・接触から探す。,,Deterministic analogue rule: relational contact with another entity/object; pure body-posture suffixes are excluded.
sitting_on_torii,PROPOSED,POSE_MOVEMENT,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,対象となる人・生き物・物との接触関係を行為・接触から探す。,,Deterministic analogue rule: relational contact with another entity/object; pure body-posture suffixes are excluded.
sitting_on_wall,PROPOSED,POSE_MOVEMENT,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,対象となる人・生き物・物との接触関係を行為・接触から探す。,,Deterministic analogue rule: relational contact with another entity/object; pure body-posture suffixes are excluded.
sitting_on_water,PROPOSED,POSE_MOVEMENT,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,対象となる人・生き物・物との接触関係を行為・接触から探す。,,Deterministic analogue rule: relational contact with another entity/object; pure body-posture suffixes are excluded.
sitting_on_weapon,PROPOSED,POSE_MOVEMENT,MEDIUM,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,対象となる人・生き物・物との接触関係を行為・接触から探す。,,Deterministic analogue rule: relational contact with another entity/object; pure body-posture suffixes are excluded.
standing_on_animal,PROPOSED,POSE_MOVEMENT,HIGH,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,対象となる人・生き物・物との接触関係を行為・接触から探す。,,Deterministic analogue rule: relational contact with another entity/object; pure body-posture suffixes are excluded.
standing_on_box,PROPOSED,POSE_MOVEMENT,HIGH,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,対象となる人・生き物・物との接触関係を行為・接触から探す。,,Deterministic analogue rule: relational contact with another entity/object; pure body-posture suffixes are excluded.
standing_on_branch,PROPOSED,POSE_MOVEMENT,HIGH,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,対象となる人・生き物・物との接触関係を行為・接触から探す。,,Deterministic analogue rule: relational contact with another entity/object; pure body-posture suffixes are excluded.
standing_on_desk,PROPOSED,POSE_MOVEMENT,HIGH,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,対象となる人・生き物・物との接触関係を行為・接触から探す。,,Deterministic analogue rule: relational contact with another entity/object; pure body-posture suffixes are excluded.
standing_on_liquid,PROPOSED,POSE_MOVEMENT,HIGH,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,対象となる人・生き物・物との接触関係を行為・接触から探す。,,Deterministic analogue rule: relational contact with another entity/object; pure body-posture suffixes are excluded.
standing_on_magic_circle,PROPOSED,POSE_MOVEMENT,HIGH,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,対象となる人・生き物・物との接触関係を行為・接触から探す。,,Deterministic analogue rule: relational contact with another entity/object; pure body-posture suffixes are excluded.
standing_on_object,PROPOSED,POSE_MOVEMENT,HIGH,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,対象となる人・生き物・物との接触関係を行為・接触から探す。,,Deterministic analogue rule: relational contact with another entity/object; pure body-posture suffixes are excluded.
standing_on_rock,PROPOSED,POSE_MOVEMENT,HIGH,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,対象となる人・生き物・物との接触関係を行為・接触から探す。,,Deterministic analogue rule: relational contact with another entity/object; pure body-posture suffixes are excluded.
standing_on_roof,PROPOSED,POSE_MOVEMENT,HIGH,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,対象となる人・生き物・物との接触関係を行為・接触から探す。,,Deterministic analogue rule: relational contact with another entity/object; pure body-posture suffixes are excluded.
standing_on_shoulder,PROPOSED,POSE_MOVEMENT,HIGH,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,対象となる人・生き物・物との接触関係を行為・接触から探す。,,Deterministic analogue rule: relational contact with another entity/object; pure body-posture suffixes are excluded.
standing_on_swing,PROPOSED,POSE_MOVEMENT,HIGH,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,対象となる人・生き物・物との接触関係を行為・接触から探す。,,Deterministic analogue rule: relational contact with another entity/object; pure body-posture suffixes are excluded.
standing_on_sword,PROPOSED,POSE_MOVEMENT,HIGH,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,対象となる人・生き物・物との接触関係を行為・接触から探す。,,Deterministic analogue rule: relational contact with another entity/object; pure body-posture suffixes are excluded.
standing_on_torii,PROPOSED,POSE_MOVEMENT,HIGH,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,対象となる人・生き物・物との接触関係を行為・接触から探す。,,Deterministic analogue rule: relational contact with another entity/object; pure body-posture suffixes are excluded.
standing_on_weapon,PROPOSED,POSE_MOVEMENT,HIGH,PROPOSED,ACTION_CONTACT/INTERACTION,MEDIUM,対象となる人・生き物・物との接触関係を行為・接触から探す。,,Deterministic analogue rule: relational contact with another entity/object; pure body-posture suffixes are excluded.
