special_id,canonical_or_tag,old_verdict,refined_verdict,refined_reason,general_overlap,previous_product_fit_verdict,general_discoverability_note,provenance_note,initial_reason
825,penetration gesture,NEEDS_REVIEW,KEEP_SPECIAL,penetration gestureはimplied/imminent/after/invitation/gesture等を含む具体的な性的行為variantまたは時間・文脈状態。General exact overlapがあっても、ユーザーが明示選択するSpecial deep-discovery価値を持つ。,YES,KEEP,General exact canonical=penetration_gesture; 日本語表示=挿入ジェスチャー; 日本語search=挿入ジェスチャー; #64 browse path=ACTION_CONTACT/INTIMATE.,Issue #109 Phase A mechanical ledgerのSpecialID/Tagを維持したB2 human review; 旧Product-Fit=KEEP。 IDs 801..1600は#96/#107追加ではない既存ID。 production Special/catalog/UserDataは変更していない。,General exact overlapはあるが、implied/after/imminent/gesture等の性的文脈が単なるGeneral supportで足りるか、独立した発見対象かを個別に確定できない。
827,bouncing penis,NEEDS_REVIEW,KEEP_SPECIAL,bouncing penisはbare body-partではなく、特殊な身体状態・形状・visibility・markを指定する。General exact overlapだけではSpecialのdeep-discovery価値を失わない。,YES,KEEP,General exact canonical=bouncing_penis; 日本語表示=揺れるペニス; 日本語search=揺れるペニス; #64 browse path=POSE_MOVEMENT.,Issue #109 Phase A mechanical ledgerのSpecialID/Tagを維持したB2 human review; 旧Product-Fit=KEEP。 IDs 801..1600は#96/#107追加ではない既存ID。 production Special/catalog/UserDataは変更していない。,General exact overlapはあるが、複合visual・身体状態・器具・行為のどの意味要素をGeneralだけで失わず再現できるかが未確定。保留。
828,ofuda on pussy,NEEDS_REVIEW,KEEP_SPECIAL,ofuda on pussyはbody-site・object・placement・contactを結合した具体的なsexual visual。Generalの単語/浅いtaxonomyだけでは同じactor/target/topologyを発見できないためKEEP_SPECIAL。,YES,KEEP,General exact canonical=ofuda_on_pussy; 日本語表示=陰部にお札; 日本語search=陰部にお札; #64 browse path=POSE_MOVEMENT.,Issue #109 Phase A mechanical ledgerのSpecialID/Tagを維持したB2 human review; 旧Product-Fit=KEEP。 IDs 801..1600は#96/#107追加ではない既存ID。 production Special/catalog/UserDataは変更していない。,General exact overlapはあるが、複合visual・身体状態・器具・行為のどの意味要素をGeneralだけで失わず再現できるかが未確定。保留。
829,chocolate on nipples,NEEDS_REVIEW,KEEP_SPECIAL,chocolate on nipplesはbody-site・object・placement・contactを結合した具体的なsexual visual。Generalの単語/浅いtaxonomyだけでは同じactor/target/topologyを発見できないためKEEP_SPECIAL。,YES,KEEP,General exact canonical=chocolate_on_nipples; 日本語表示=乳首にチョコレート; 日本語search=chocolateの上のnipples; #64 browse path=ACTION_CONTACT/INTERACTION.,Issue #109 Phase A mechanical ledgerのSpecialID/Tagを維持したB2 human review; 旧Product-Fit=KEEP。 IDs 801..1600は#96/#107追加ではない既存ID。 production Special/catalog/UserDataは変更していない。,General exact overlapはあるが、複合visual・身体状態・器具・行為のどの意味要素をGeneralだけで失わず再現できるかが未確定。保留。
831,ofuda on nipples,NEEDS_REVIEW,KEEP_SPECIAL,ofuda on nipplesはbody-site・object・placement・contactを結合した具体的なsexual visual。Generalの単語/浅いtaxonomyだけでは同じactor/target/topologyを発見できないためKEEP_SPECIAL。,YES,KEEP,General exact canonical=ofuda_on_nipples; 日本語表示=札ブラ; 日本語search=札ブラ; #64 browse path=POSE_MOVEMENT.,Issue #109 Phase A mechanical ledgerのSpecialID/Tagを維持したB2 human review; 旧Product-Fit=KEEP。 IDs 801..1600は#96/#107追加ではない既存ID。 production Special/catalog/UserDataは変更していない。,General exact overlapはあるが、複合visual・身体状態・器具・行為のどの意味要素をGeneralだけで失わず再現できるかが未確定。保留。
833,imminent gangbang,NEEDS_REVIEW,KEEP_SPECIAL,imminent gangbangはimplied/imminent/after/invitation/gesture等を含む具体的な性的行為variantまたは時間・文脈状態。General exact overlapがあっても、ユーザーが明示選択するSpecial deep-discovery価値を持つ。,YES,KEEP,General exact canonical=imminent_gangbang; 日本語表示=差し迫った輪姦; 日本語search=差し迫った輪姦; #64 browse path=ACTION_CONTACT/INTIMATE.,Issue #109 Phase A mechanical ledgerのSpecialID/Tagを維持したB2 human review; 旧Product-Fit=KEEP。 IDs 801..1600は#96/#107追加ではない既存ID。 production Special/catalog/UserDataは変更していない。,General exact overlapはあるが、implied/after/imminent/gesture等の性的文脈が単なるGeneral supportで足りるか、独立した発見対象かを個別に確定できない。
838,sexual harassment,NEEDS_REVIEW,KEEP_SPECIAL,sexual harassmentはactor/target・consent・age/role・relationを含むidentity-sensitive context。Generalへ薄めると意味差を失うためKEEP_SPECIAL。,YES,KEEP,General exact canonical=sexual_harassment; 日本語表示=セクハラ; 日本語search=セクハラ; #64 browse path=ACTION_CONTACT/INTIMATE.,Issue #109 Phase A mechanical ledgerのSpecialID/Tagを維持したB2 human review; 旧Product-Fit=KEEP。 IDs 801..1600は#96/#107追加ではない既存ID。 production Special/catalog/UserDataは変更していない。,General exact overlapはあるが、複合visual・身体状態・器具・行為のどの意味要素をGeneralだけで失わず再現できるかが未確定。保留。
839,presenting own anus,NEEDS_REVIEW,KEEP_SPECIAL,presenting own anusは一般poseではなく、特定body-site/sexual relationを持つcomposition。明示的に選ぶSpecial概念として保持する。,YES,KEEP,General exact canonical=presenting_own_anus; 日本語表示=自分の肛門を見せる; 日本語search=自分の肛門を見せる; #64 browse path=ACTION_CONTACT/INTIMATE.,Issue #109 Phase A mechanical ledgerのSpecialID/Tagを維持したB2 human review; 旧Product-Fit=KEEP。 IDs 801..1600は#96/#107追加ではない既存ID。 production Special/catalog/UserDataは変更していない。,General exact overlapはあるが、複合visual・身体状態・器具・行為のどの意味要素をGeneralだけで失わず再現できるかが未確定。保留。
844,panties on penis,NEEDS_REVIEW,KEEP_SPECIAL,panties on penisは通常の服ではなく、性器/乳房の特殊露出・遮蔽・衣服越し接触を指定するfetish-specific visual state。,YES,KEEP,General exact canonical=panties_on_penis; 日本語表示=陰茎にかけたパンティー; 日本語search=パンコキ; #64 browse path=CLOTHING_STATE_EXPOSURE.,Issue #109 Phase A mechanical ledgerのSpecialID/Tagを維持したB2 human review; 旧Product-Fit=KEEP。 IDs 801..1600は#96/#107追加ではない既存ID。 production Special/catalog/UserDataは変更していない。,General exact overlapはあるが、複合visual・身体状態・器具・行為のどの意味要素をGeneralだけで失わず再現できるかが未確定。保留。
845,bouncing testicles,NEEDS_REVIEW,KEEP_SPECIAL,bouncing testiclesはbare body-partではなく、特殊な身体状態・形状・visibility・markを指定する。General exact overlapだけではSpecialのdeep-discovery価値を失わない。,YES,KEEP,General exact canonical=bouncing_testicles; 日本語表示=揺れる睾丸; 日本語search=睾丸摇晃; #64 browse path=POSE_MOVEMENT.,Issue #109 Phase A mechanical ledgerのSpecialID/Tagを維持したB2 human review; 旧Product-Fit=KEEP。 IDs 801..1600は#96/#107追加ではない既存ID。 production Special/catalog/UserDataは変更していない。,General exact overlapはあるが、複合visual・身体状態・器具・行為のどの意味要素をGeneralだけで失わず再現できるかが未確定。保留。
852,nipple tweak through clothes,NEEDS_REVIEW,KEEP_SPECIAL,nipple tweak through clothesは通常の服ではなく、性器/乳房の特殊露出・遮蔽・衣服越し接触を指定するfetish-specific visual state。,YES,KEEP,General exact canonical=nipple_tweak_through_clothes; 日本語表示=服越しに乳首をひねる; 日本語search=乳首・tweak・越しの服; #64 browse path=ACTION_CONTACT/INTIMATE.,Issue #109 Phase A mechanical ledgerのSpecialID/Tagを維持したB2 human review; 旧Product-Fit=KEEP。 IDs 801..1600は#96/#107追加ではない既存ID。 production Special/catalog/UserDataは変更していない。,General exact overlapはあるが、複合visual・身体状態・器具・行為のどの意味要素をGeneralだけで失わず再現できるかが未確定。保留。
854,after cunnilingus,NEEDS_REVIEW,KEEP_SPECIAL,after cunnilingusはimplied/imminent/after/invitation/gesture等を含む具体的な性的行為variantまたは時間・文脈状態。General exact overlapがあっても、ユーザーが明示選択するSpecial deep-discovery価値を持つ。,YES,KEEP,General exact canonical=after_cunnilingus; 日本語表示=クンニリングスの後; 日本語search=クンニリングスの後; #64 browse path=ACTION_CONTACT/INTIMATE.,Issue #109 Phase A mechanical ledgerのSpecialID/Tagを維持したB2 human review; 旧Product-Fit=KEEP。 IDs 801..1600は#96/#107追加ではない既存ID。 production Special/catalog/UserDataは変更していない。,General exact overlapはあるが、implied/after/imminent/gesture等の性的文脈が単なるGeneral supportで足りるか、独立した発見対象かを個別に確定できない。
855,colored penis,NEEDS_REVIEW,KEEP_SPECIAL,colored penisはbare body-partではなく、特殊な身体状態・形状・visibility・markを指定する。General exact overlapだけではSpecialのdeep-discovery価値を失わない。,YES,KEEP,General exact canonical=colored_penis; 日本語表示=色付きの陰茎; 日本語search=色付きのpenis; #64 browse path=BODY_PART.,Issue #109 Phase A mechanical ledgerのSpecialID/Tagを維持したB2 human review; 旧Product-Fit=KEEP。 IDs 801..1600は#96/#107追加ではない既存ID。 production Special/catalog/UserDataは変更していない。,General exact overlapはあるが、複合visual・身体状態・器具・行為のどの意味要素をGeneralだけで失わず再現できるかが未確定。保留。
857,censored anus,NEEDS_REVIEW,KEEP_SPECIAL,censored anusはbare body-partではなく、特殊な身体状態・形状・visibility・markを指定する。General exact overlapだけではSpecialのdeep-discovery価値を失わない。,YES,KEEP,General exact canonical=censored_anus; 日本語表示=検閲された肛門; 日本語search=検閲された肛門; #64 browse path=STYLE_QUALITY_META.,Issue #109 Phase A mechanical ledgerのSpecialID/Tagを維持したB2 human review; 旧Product-Fit=KEEP。 IDs 801..1600は#96/#107追加ではない既存ID。 production Special/catalog/UserDataは変更していない。,General exact overlapはあるが、複合visual・身体状態・器具・行為のどの意味要素をGeneralだけで失わず再現できるかが未確定。保留。
861,implied handjob,NEEDS_REVIEW,KEEP_SPECIAL,implied handjobはimplied/imminent/after/invitation/gesture等を含む具体的な性的行為variantまたは時間・文脈状態。General exact overlapがあっても、ユーザーが明示選択するSpecial deep-discovery価値を持つ。,YES,KEEP,General exact canonical=implied_handjob; 日本語表示=暗黙の手コキ; 日本語search=暗黙の手コキ; #64 browse path=ACTION_CONTACT/INTIMATE.,Issue #109 Phase A mechanical ledgerのSpecialID/Tagを維持したB2 human review; 旧Product-Fit=KEEP。 IDs 801..1600は#96/#107追加ではない既存ID。 production Special/catalog/UserDataは変更していない。,General exact overlapはあるが、implied/after/imminent/gesture等の性的文脈が単なるGeneral supportで足りるか、独立した発見対象かを個別に確定できない。
862,ageplay,NEEDS_REVIEW,KEEP_SPECIAL,ageplayはactor/target・consent・age/role・relationを含むidentity-sensitive context。Generalへ薄めると意味差を失うためKEEP_SPECIAL。,YES,KEEP,General exact canonical=ageplay; 日本語表示=年齢プレイ; 日本語search=年齢プレイ; #64 browse path=ACTION_CONTACT/INTIMATE.,Issue #109 Phase A mechanical ledgerのSpecialID/Tagを維持したB2 human review; 旧Product-Fit=KEEP。 IDs 801..1600は#96/#107追加ではない既存ID。 production Special/catalog/UserDataは変更していない。,General exact overlapはあるが、複合visual・身体状態・器具・行為のどの意味要素をGeneralだけで失わず再現できるかが未確定。保留。
864,imminent paizuri,NEEDS_REVIEW,KEEP_SPECIAL,imminent paizuriはimplied/imminent/after/invitation/gesture等を含む具体的な性的行為variantまたは時間・文脈状態。General exact overlapがあっても、ユーザーが明示選択するSpecial deep-discovery価値を持つ。,YES,KEEP,General exact canonical=imminent_paizuri; 日本語表示=ズリ事前; 日本語search=ズリ事前; #64 browse path=ACTION_CONTACT/INTIMATE.,Issue #109 Phase A mechanical ledgerのSpecialID/Tagを維持したB2 human review; 旧Product-Fit=KEEP。 IDs 801..1600は#96/#107追加ではない既存ID。 production Special/catalog/UserDataは変更していない。,General exact overlapはあるが、implied/after/imminent/gesture等の性的文脈が単なるGeneral supportで足りるか、独立した発見対象かを個別に確定できない。
865,labia piercing,NEEDS_REVIEW,KEEP_SPECIAL,labia piercingはsex toy・piercing・特殊器具またはbody-siteに結びついたimplement。General object browseだけでは独立した深掘り発見価値を代替できない。,YES,KEEP,General exact canonical=labia_piercing; 日本語表示=ラビアピアス; 日本語search=ラビアピアス; #64 browse path=BODY_PART.,Issue #109 Phase A mechanical ledgerのSpecialID/Tagを維持したB2 human review; 旧Product-Fit=KEEP。 IDs 801..1600は#96/#107追加ではない既存ID。 production Special/catalog/UserDataは変更していない。,General exact overlapはあるが、複合visual・身体状態・器具・行為のどの意味要素をGeneralだけで失わず再現できるかが未確定。保留。
867,penis out of frame,NEEDS_REVIEW,KEEP_SPECIAL,penis out of frameはbare body-partではなく、特殊な身体状態・形状・visibility・markを指定する。General exact overlapだけではSpecialのdeep-discovery価値を失わない。,YES,KEEP,General exact canonical=penis_out_of_frame; 日本語表示=陰茎が画面外; 日本語search=タグ「penis out of frame」; #64 browse path=CLOTHING_STATE_EXPOSURE.,Issue #109 Phase A mechanical ledgerのSpecialID/Tagを維持したB2 human review; 旧Product-Fit=KEEP。 IDs 801..1600は#96/#107追加ではない既存ID。 production Special/catalog/UserDataは変更していない。,General exact overlapはあるが、複合visual・身体状態・器具・行為のどの意味要素をGeneralだけで失わず再現できるかが未確定。保留。
868,nipple tag,NEEDS_REVIEW,KEEP_SPECIAL,nipple tagはbare body-partではなく、特殊な身体状態・形状・visibility・markを指定する。General exact overlapだけではSpecialのdeep-discovery価値を失わない。,YES,KEEP,General exact canonical=nipple_tag; 日本語表示=乳首に名札; 日本語search=乳首に名札; #64 browse path=CLOTHING/ACCESSORY.,Issue #109 Phase A mechanical ledgerのSpecialID/Tagを維持したB2 human review; 旧Product-Fit=KEEP。 IDs 801..1600は#96/#107追加ではない既存ID。 production Special/catalog/UserDataは変更していない。,General exact overlapはあるが、複合visual・身体状態・器具・行為のどの意味要素をGeneralだけで失わず再現できるかが未確定。保留。
873,simulated paizuri,NEEDS_REVIEW,KEEP_SPECIAL,simulated paizuriはimplied/imminent/after/invitation/gesture等を含む具体的な性的行為variantまたは時間・文脈状態。General exact overlapがあっても、ユーザーが明示選択するSpecial deep-discovery価値を持つ。,YES,KEEP,General exact canonical=simulated_paizuri; 日本語表示=擬似パイズリ; 日本語search=擬似パイズリ; #64 browse path=ACTION_CONTACT/INTIMATE.,Issue #109 Phase A mechanical ledgerのSpecialID/Tagを維持したB2 human review; 旧Product-Fit=KEEP。 IDs 801..1600は#96/#107追加ではない既存ID。 production Special/catalog/UserDataは変更していない。,General exact overlapはあるが、implied/after/imminent/gesture等の性的文脈が単なるGeneral supportで足りるか、独立した発見対象かを個別に確定できない。
874,single nipple piercing,NEEDS_REVIEW,KEEP_SPECIAL,single nipple piercingはsex toy・piercing・特殊器具またはbody-siteに結びついたimplement。General object browseだけでは独立した深掘り発見価値を代替できない。,YES,KEEP,General exact canonical=single_nipple_piercing; 日本語表示=片側乳首ピアス; 日本語search=片側乳首ピアス; #64 browse path=BODY_PART.,Issue #109 Phase A mechanical ledgerのSpecialID/Tagを維持したB2 human review; 旧Product-Fit=KEEP。 IDs 801..1600は#96/#107追加ではない既存ID。 production Special/catalog/UserDataは変更していない。,General exact overlapはあるが、複合visual・身体状態・器具・行為のどの意味要素をGeneralだけで失わず再現できるかが未確定。保留。
879,wireless sex toy controller,NEEDS_REVIEW,KEEP_SPECIAL,wireless sex toy controllerはsex toy・piercing・特殊器具またはbody-siteに結びついたimplement。General object browseだけでは独立した深掘り発見価値を代替できない。,YES,KEEP,General exact canonical=wireless_sex_toy_controller; 日本語表示=ワイヤレスセックスおもちゃコントローラー; 日本語search=ワイヤレスセックスおもちゃコントローラー; #64 browse path=OBJECT_PROP/DAILY.,Issue #109 Phase A mechanical ledgerのSpecialID/Tagを維持したB2 human review; 旧Product-Fit=KEEP。 IDs 801..1600は#96/#107追加ではない既存ID。 production Special/catalog/UserDataは変更していない。,General exact overlapはあるが、複合visual・身体状態・器具・行為のどの意味要素をGeneralだけで失わず再現できるかが未確定。保留。
883,cunnilingus gesture,NEEDS_REVIEW,KEEP_SPECIAL,cunnilingus gestureはimplied/imminent/after/invitation/gesture等を含む具体的な性的行為variantまたは時間・文脈状態。General exact overlapがあっても、ユーザーが明示選択するSpecial deep-discovery価値を持つ。,YES,KEEP,General exact canonical=cunnilingus_gesture; 日本語表示=クンニリングスジェスチャー; 日本語search=クンニリングスジェスチャー; #64 browse path=ACTION_CONTACT/INTIMATE.,Issue #109 Phase A mechanical ledgerのSpecialID/Tagを維持したB2 human review; 旧Product-Fit=KEEP。 IDs 801..1600は#96/#107追加ではない既存ID。 production Special/catalog/UserDataは変更していない。,General exact overlapはあるが、implied/after/imminent/gesture等の性的文脈が単なるGeneral supportで足りるか、独立した発見対象かを個別に確定できない。
884,pussy sandwich,NEEDS_REVIEW,KEEP_SPECIAL,pussy sandwichはbare body-partではなく、特殊な身体状態・形状・visibility・markを指定する。General exact overlapだけではSpecialのdeep-discovery価値を失わない。,YES,KEEP,General exact canonical=pussy_sandwich; 日本語表示=おまんこサンドイッチ; 日本語search=おまんこサンドイッチ; #64 browse path=ACTION_CONTACT/INTIMATE.,Issue #109 Phase A mechanical ledgerのSpecialID/Tagを維持したB2 human review; 旧Product-Fit=KEEP。 IDs 801..1600は#96/#107追加ではない既存ID。 production Special/catalog/UserDataは変更していない。,General exact overlapはあるが、複合visual・身体状態・器具・行為のどの意味要素をGeneralだけで失わず再現できるかが未確定。保留。
885,sexual exercising,NEEDS_REVIEW,KEEP_SPECIAL,sexual exercisingはimplied/imminent/after/invitation/gesture等を含む具体的な性的行為variantまたは時間・文脈状態。General exact overlapがあっても、ユーザーが明示選択するSpecial deep-discovery価値を持つ。,YES,KEEP,General exact canonical=sexual_exercising; 日本語表示=運動しながら性行為; 日本語search=锻炼同时性爱; #64 browse path=ACTION_CONTACT/INTERACTION.,Issue #109 Phase A mechanical ledgerのSpecialID/Tagを維持したB2 human review; 旧Product-Fit=KEEP。 IDs 801..1600は#96/#107追加ではない既存ID。 production Special/catalog/UserDataは変更していない。,General exact overlapはあるが、implied/after/imminent/gesture等の性的文脈が単なるGeneral supportで足りるか、独立した発見対象かを個別に確定できない。
886,sagging testicles,NEEDS_REVIEW,KEEP_SPECIAL,sagging testiclesはbare body-partではなく、特殊な身体状態・形状・visibility・markを指定する。General exact overlapだけではSpecialのdeep-discovery価値を失わない。,YES,KEEP,General exact canonical=sagging_testicles; 日本語表示=垂れ玉; 日本語search=垂れ玉; #64 browse path=BODY_PART.,Issue #109 Phase A mechanical ledgerのSpecialID/Tagを維持したB2 human review; 旧Product-Fit=KEEP。 IDs 801..1600は#96/#107追加ではない既存ID。 production Special/catalog/UserDataは変更していない。,General exact overlapはあるが、複合visual・身体状態・器具・行為のどの意味要素をGeneralだけで失わず再現できるかが未確定。保留。
888,used onahole,NEEDS_REVIEW,KEEP_SPECIAL,used onaholeはsex toy・piercing・特殊器具またはbody-siteに結びついたimplement。General object browseだけでは独立した深掘り発見価値を代替できない。,YES,KEEP,General exact canonical=used_onahole; 日本語表示=使用済みオナホール; 日本語search=人工膣を使用しました; #64 browse path=OBJECT_PROP.,Issue #109 Phase A mechanical ledgerのSpecialID/Tagを維持したB2 human review; 旧Product-Fit=KEEP。 IDs 801..1600は#96/#107追加ではない既存ID。 production Special/catalog/UserDataは変更していない。,General exact overlapはあるが、複合visual・身体状態・器具・行為のどの意味要素をGeneralだけで失わず再現できるかが未確定。保留。
889,chocolate on pussy,NEEDS_REVIEW,KEEP_SPECIAL,chocolate on pussyはbody-site・object・placement・contactを結合した具体的なsexual visual。Generalの単語/浅いtaxonomyだけでは同じactor/target/topologyを発見できないためKEEP_SPECIAL。,YES,KEEP,General exact canonical=chocolate_on_pussy; 日本語表示=陰部にチョコレート; 日本語search=猫のチョコレート; #64 browse path=ACTION_CONTACT/INTERACTION.,Issue #109 Phase A mechanical ledgerのSpecialID/Tagを維持したB2 human review; 旧Product-Fit=KEEP。 IDs 801..1600は#96/#107追加ではない既存ID。 production Special/catalog/UserDataは変更していない。,General exact overlapはあるが、複合visual・身体状態・器具・行為のどの意味要素をGeneralだけで失わず再現できるかが未確定。保留。
890,nipple tassels,NEEDS_REVIEW,KEEP_SPECIAL,nipple tasselsはbare body-partではなく、特殊な身体状態・形状・visibility・markを指定する。General exact overlapだけではSpecialのdeep-discovery価値を失わない。,YES,KEEP,General exact canonical=nipple_tassels; 日本語表示=ニップルタッセル; 日本語search=ニップルタッセル; #64 browse path=CLOTHING/ACCESSORY.,Issue #109 Phase A mechanical ledgerのSpecialID/Tagを維持したB2 human review; 旧Product-Fit=KEEP。 IDs 801..1600は#96/#107追加ではない既存ID。 production Special/catalog/UserDataは変更していない。,General exact overlapはあるが、複合visual・身体状態・器具・行為のどの意味要素をGeneralだけで失わず再現できるかが未確定。保留。
