identity_key,sample_stratum,membership,general_primary_path,special_id,generation_family,reviewed_class,pilot_review_status,review_reason
drinking_from_condom,ISSUE104_REVIEWED_RISK,OVERLAP,ACTION_CONTACT/INTERACTION,3057,ACTION_INTERACTION,SEXUAL,REVIEWED,canonical concept itself denotes an explicit sexual act/device/use or sexualized act context
servants_holding_aphrodite's_breasts_(meme),ISSUE104_REVIEWED_RISK,GENERAL_ONLY,,,,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
breasts_on_thighs,ISSUE104_REVIEWED_RISK,OVERLAP,ACTION_CONTACT/INTERACTION,3079,DIRECT_COMPOSITE,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
breast_crush,ISSUE104_REVIEWED_RISK,OVERLAP,ACTION_CONTACT/INTIMATE,3085,DAMAGE_STATE_ACTION,SEXUAL,REVIEWED,canonical concept itself denotes an explicit sexual act/device/use or sexualized act context
shared_handcuffs,ISSUE104_REVIEWED_RISK,OVERLAP,OBJECT_PROP/DAILY,3044,RESTRAINT_IMPLEMENT,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
breast_size_switch,ISSUE104_REVIEWED_RISK,OVERLAP,BODY_PART,3070,ACTION_INTERACTION,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
pointy_breasts,ISSUE104_REVIEWED_RISK,OVERLAP,BODY_PART,2999,BODY_ATTRIBUTE,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
boobs_in_book_(meme),ISSUE104_REVIEWED_RISK,GENERAL_ONLY,STYLE_QUALITY_META,,,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
huge_breasts,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,BODY_PART,,,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
breast_size_difference,ISSUE104_REVIEWED_RISK,OVERLAP,BODY_PART,3032,BODY_ATTRIBUTE,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
oversized_breast_cup,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,CLOTHING/EVERYDAY,,,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
fanning_breasts,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,ACTION_CONTACT/OBJECT_USE,,,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
japan-korea_yuri_(meme),ISSUE104_REVIEWED_RISK,GENERAL_ONLY,,,,,UNCLASSIFIED,opaque/named-reference semantics are insufficient from current accepted evidence; do not force a class
convenient_breasts,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,CLOTHING_STATE_EXPOSURE,,,,UNCLASSIFIED,opaque/named-reference semantics are insufficient from current accepted evidence; do not force a class
breast_curtains,ISSUE104_REVIEWED_RISK,OVERLAP,CLOTHING/EVERYDAY,2985,CLOTHING_EXPOSURE,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
breasts_on_glass,ISSUE104_REVIEWED_RISK,OVERLAP,ACTION_CONTACT/INTERACTION,2990,DIRECT_COMPOSITE,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
foot_on_another's_breast,ISSUE104_REVIEWED_RISK,OVERLAP,ACTION_CONTACT/INTERACTION,3067,DIRECT_COMPOSITE,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
standing_restraints,ISSUE104_REVIEWED_RISK,OVERLAP,POSE_MOVEMENT,3054,RESTRAINT_ACTION,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
breast_awe,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,EXPRESSION_EMOTION,,,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
sweaty_feet,ISSUE104_REVIEWED_RISK,OVERLAP,BODY_PART,3017,BODY_STATE,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
breasts_on_another's_back,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,ACTION_CONTACT/INTERACTION,,,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
red_leash,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,OBJECT_PROP/DAILY,,,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
sloppy_blowjob_devil_(meme),ISSUE104_REVIEWED_RISK,GENERAL_ONLY,,,,SEXUAL,REVIEWED,canonical concept itself denotes an explicit sexual act/device/use or sexualized act context
blood_from_ears,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,BODY_PART,,,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
gunshot_wound,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,BODY_PART,,,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
breast_mousepad,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,OBJECT_PROP/DAILY,,,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
imminent_grope,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,ACTION_CONTACT/INTERACTION,,,SEXUAL,REVIEWED,canonical concept itself denotes an explicit sexual act/device/use or sexualized act context
edging_underwear,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,CLOTHING_STATE_EXPOSURE,,,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
deep_wound,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,BODY_PART,,,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
stained_panties,ISSUE104_REVIEWED_RISK,OVERLAP,CLOTHING/EVERYDAY,2998,CLOTHING_EXPOSURE,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
broken_handcuffs,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,OBJECT_PROP/DAILY,,,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
single_breast_curtain,ISSUE104_REVIEWED_RISK,OVERLAP,CLOTHING/EVERYDAY,2995,ACTION_INTERACTION,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
tied_breast,ISSUE104_REVIEWED_RISK,OVERLAP,BODY_PART,3088,RESTRAINT_IMPLEMENT,SEXUAL,REVIEWED,canonical concept itself denotes an explicit sexual act/device/use or sexualized act context
artificial_insemination,ISSUE104_REVIEWED_RISK,OVERLAP,ACTION_CONTACT/INTIMATE,3076,ACTION_INTERACTION,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
bottle_between_breasts,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,ACTION_CONTACT/INTERACTION,,,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
smelling_armpit,ISSUE104_REVIEWED_RISK,OVERLAP,ACTION_CONTACT/INTERACTION,3036,ACTION_INTERACTION,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
chocolate_on_breasts,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,ACTION_CONTACT/INTERACTION,,,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
iced_latte_with_breast_milk_(meme),ISSUE104_REVIEWED_RISK,GENERAL_ONLY,,,,,UNCLASSIFIED,opaque/named-reference semantics are insufficient from current accepted evidence; do not force a class
good_breasts_day,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,,,,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
saliva_bubble,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,BODY_PART,,,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
sweaty_armpits,ISSUE104_REVIEWED_RISK,OVERLAP,BODY_PART,2988,BODY_STATE,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
breast_slider,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,,,,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
shibarikini,ISSUE104_REVIEWED_RISK,OVERLAP,CLOTHING/COSTUME,3078,RESTRAINT_IMPLEMENT,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
breast_milk_in_container,ISSUE104_REVIEWED_RISK,OVERLAP,OBJECT_PROP/FOOD,3007,FLUID_STATE_ACTION,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
tickling_breasts,ISSUE104_REVIEWED_RISK,OVERLAP,BODY_PART,3045,ACTION_INTERACTION,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
fan_between_breasts,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,ACTION_CONTACT/OBJECT_USE,,,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
long_breast_curtain,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,CLOTHING_STATE_EXPOSURE,,,,UNCLASSIFIED,opaque/named-reference semantics are insufficient from current accepted evidence; do not force a class
pov_breasts,ISSUE104_REVIEWED_RISK,OVERLAP,COMPOSITION_CAMERA,3008,POSE_COMPOSITION,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
breasts_on_head,ISSUE104_REVIEWED_RISK,OVERLAP,ACTION_CONTACT/INTERACTION,2997,DIRECT_COMPOSITE,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
offering_leash,ISSUE104_REVIEWED_RISK,OVERLAP,CLOTHING/ACCESSORY,3056,RESTRAINT_ACTION,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
handsfree_breast_squeeze,ISSUE104_REVIEWED_RISK,OVERLAP,ACTION_CONTACT/INTIMATE,3005,ACTION_INTERACTION,SEXUAL,REVIEWED,canonical concept itself denotes an explicit sexual act/device/use or sexualized act context
areola_measuring,ISSUE104_REVIEWED_RISK,OVERLAP,ACTION_CONTACT/INTERACTION,3062,ACTION_INTERACTION,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
yaoi,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,STYLE_QUALITY_META,,,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
tit_(bird),ISSUE104_REVIEWED_RISK,GENERAL_ONLY,LIVING_NATURE/CREATURE,,,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
alternate_breast_size_(smaller),ISSUE104_REVIEWED_RISK,GENERAL_ONLY,BODY_PART,,,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
object_on_breast,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,POSE_MOVEMENT,,,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
fuzzy_handcuffs,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,OBJECT_PROP,,,SEXUAL,REVIEWED,canonical concept itself denotes an explicit sexual act/device/use or sexualized act context
undersized_breast_cup,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,CLOTHING_STATE_EXPOSURE,,,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
carried_breast_rest,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,ACTION_CONTACT/INTERACTION,,,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
breast_band,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,CLOTHING/ACCESSORY,,,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
holding_leash,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,ACTION_CONTACT/OBJECT_USE,,,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
single_breast,ISSUE104_REVIEWED_RISK,OVERLAP,BODY_PART,3060,BODY_ATTRIBUTE,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
shackle_piercing,ISSUE104_REVIEWED_RISK,OVERLAP,BODY_PART,3046,RESTRAINT_IMPLEMENT,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
covering_another's_breasts,ISSUE104_REVIEWED_RISK,OVERLAP,CLOTHING_STATE_EXPOSURE,3042,ACTION_INTERACTION,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
condom_in_ass,ISSUE104_REVIEWED_RISK,OVERLAP,ACTION_CONTACT/INTIMATE,3080,DIRECT_COMPOSITE,SEXUAL,REVIEWED,canonical concept itself denotes an explicit sexual act/device/use or sexualized act context
saliva_on_hand,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,BODY_PART,,,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
breast_missiles,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,OBJECT_PROP/WEAPON,,,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
mixed-sex_combat,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,ACTION_CONTACT/INTERACTION,,,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
person_between_breasts,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,POSE_MOVEMENT,,,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
animal_holding_leash,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,ACTION_CONTACT/INTERACTION,,,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
alternate_breast_size_(larger),ISSUE104_REVIEWED_RISK,GENERAL_ONLY,BODY_PART,,,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
restraints,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,OBJECT_PROP/DAILY,,,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
condom_in_mouth,ISSUE104_REVIEWED_RISK,OVERLAP,ACTION_CONTACT/INTIMATE,2986,DIRECT_COMPOSITE,SEXUAL,REVIEWED,canonical concept itself denotes an explicit sexual act/device/use or sexualized act context
panties_on_breasts,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,CLOTHING_STATE_EXPOSURE,,,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
floating_breasts,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,BODY_PART,,,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
cuffed,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,CLOTHING_STATE_EXPOSURE,,,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
excessive_saliva,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,BODY_PART,,,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
ora_ora_get_pregnant_(meme),ISSUE104_REVIEWED_RISK,GENERAL_ONLY,,,,SEXUAL,REVIEWED,canonical concept itself denotes an explicit sexual act/device/use or sexualized act context
breasts_day,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,,,,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
fertilization,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,BODY_PART,,,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
plap_plap_plap_get_pregnant_(meme),ISSUE104_REVIEWED_RISK,GENERAL_ONLY,,,,SEXUAL,REVIEWED,canonical concept itself denotes an explicit sexual act/device/use or sexualized act context
cunt_punt,ISSUE104_REVIEWED_RISK,OVERLAP,ACTION_CONTACT/INTIMATE,3063,DAMAGE_STATE_ACTION,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
lube_on_breasts,ISSUE104_REVIEWED_RISK,OVERLAP,ACTION_CONTACT/INTIMATE,3069,FLUID_STATE_ACTION,SEXUAL,REVIEWED,canonical concept itself denotes an explicit sexual act/device/use or sexualized act context
viewer_on_leash,ISSUE104_REVIEWED_RISK,OVERLAP,ACTION_CONTACT/INTERACTION,3011,RESTRAINT_ACTION,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
saliva_pool,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,BODY_PART,,,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
breasts_on_table,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,ACTION_CONTACT/INTERACTION,,,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
saliva_trail,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,BODY_PART,,,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
sperm_circle_tattoo,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,BODY_PART,,,SEXUAL,REVIEWED,canonical concept itself denotes an explicit sexual act/device/use or sexualized act context
condom_between_breasts,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,ACTION_CONTACT/INTIMATE,,,SEXUAL,REVIEWED,canonical concept itself denotes an explicit sexual act/device/use or sexualized act context
condom_on_ass,ISSUE104_REVIEWED_RISK,OVERLAP,ACTION_CONTACT/INTIMATE,3068,DIRECT_COMPOSITE,SEXUAL,REVIEWED,canonical concept itself denotes an explicit sexual act/device/use or sexualized act context
groping_motion,ISSUE104_REVIEWED_RISK,OVERLAP,ACTION_CONTACT/INTERACTION,3029,ACTION_INTERACTION,SEXUAL,REVIEWED,canonical concept itself denotes an explicit sexual act/device/use or sexualized act context
pointless_condom,ISSUE104_REVIEWED_RISK,OVERLAP,OBJECT_PROP/DAILY,2994,IMPLEMENT_OBJECT,SEXUAL,REVIEWED,canonical concept itself denotes an explicit sexual act/device/use or sexualized act context
breast_shake,ISSUE104_REVIEWED_RISK,OVERLAP,POSE_MOVEMENT,3086,ACTION_INTERACTION,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
sabotaged_condom,ISSUE104_REVIEWED_RISK,OVERLAP,ACTION_CONTACT/INTIMATE,3039,IMPLEMENT_OBJECT,SEXUAL,REVIEWED,canonical concept itself denotes an explicit sexual act/device/use or sexualized act context
pole_between_breasts,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,ACTION_CONTACT/INTERACTION,,,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
perky_breasts,ISSUE104_REVIEWED_RISK,OVERLAP,BODY_PART,2987,BODY_ATTRIBUTE,NON_SEXUAL,REVIEWED,canonical concept is ordinarily non-sexual; adult/fetish co-occurrence or lexical surface alone is insufficient
condom_wrapper_in_clothes,ISSUE104_REVIEWED_RISK,OVERLAP,OBJECT_PROP/DAILY,3026,CLOTHING_EXPOSURE,SEXUAL,REVIEWED,canonical concept itself denotes an explicit sexual act/device/use or sexualized act context
weapon_between_breasts,ISSUE104_REVIEWED_RISK,GENERAL_ONLY,POSE_MOVEMENT,,,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
face_in_armpit,ISSUE104_REVIEWED_RISK,OVERLAP,ACTION_CONTACT/INTERACTION,3073,ACTION_INTERACTION,CONTEXTUAL,REVIEWED,canonical concept has substantial natural general-purpose and sexual/fetish discovery uses
