runtime_identity,final_sexual_intent,final_review_status,review_reason,mapping_quality,reviewer_action
peeing_self,CONTEXTUAL,HUMAN_REVIEWED,urination accident can be nonsexual or fetish depiction,VALID,RESOLVED
pelvic_curtain,SEXUAL,HUMAN_REVIEWED,pussy veil is an explicit genital-covering fetish concept,VALID,RESOLVED
penis,CONTEXTUAL,HUMAN_REVIEWED,penis anatomy has medical or educational and sexual contexts,VALID,RESOLVED
penis_and_testicles_touching,SEXUAL,HUMAN_REVIEWED,genital contact is an explicit sexual interaction,VALID,RESOLVED
penis_doodle,CONTEXTUAL,HUMAN_REVIEWED,penis drawing can be nonsexual art or sexualized humor,VALID,RESOLVED
penis_out,CONTEXTUAL,HUMAN_REVIEWED,genital exposure has medical or incidental and sexual contexts,VALID,RESOLVED
phallic_tattoo,CONTEXTUAL,HUMAN_REVIEWED,phallic body art can be nonsexual design or sexual symbolism,VALID,RESOLVED
piper_perri_surrounded_(meme),SEXUAL,HUMAN_REVIEWED,the referenced meme encodes an orgy concept,VALID,RESOLVED
public_indecency,CONTEXTUAL,HUMAN_REVIEWED,public indecency includes sexual and nonsexual public violations,VALID,RESOLVED
pussy,CONTEXTUAL,HUMAN_REVIEWED,vulva anatomy has medical or educational and sexual contexts,VALID,RESOLVED
pussy_jewelry,SEXUAL,HUMAN_REVIEWED,genital jewelry is an explicitly sexual-use adornment,VALID,RESOLVED
revealing_clothes,CONTEXTUAL,HUMAN_REVIEWED,revealing clothing is ordinary fashion with sexualized uses,VALID,RESOLVED
rope,NON_SEXUAL,HUMAN_REVIEWED,rope is a general object despite bondage use,VALID,RESOLVED
severed_penis,CONTEXTUAL,HUMAN_REVIEWED,penis injury is body horror or medical and can be fetishized,VALID,RESOLVED
sexually_suggestive,SEXUAL,HUMAN_REVIEWED,sexually suggestive denotes explicit sexual implication,VALID,RESOLVED
shibari,CONTEXTUAL,HUMAN_REVIEWED,shibari has artistic or performance and erotic bondage contexts,VALID,RESOLVED
sideboob,CONTEXTUAL,HUMAN_REVIEWED,side breast exposure has ordinary anatomy and erotic display contexts,VALID,RESOLVED
sitting_on_face,SEXUAL,HUMAN_REVIEWED,sitting on face denotes an explicit sexual position,VALID,RESOLVED
smelling_pantyhose,SEXUAL,HUMAN_REVIEWED,smelling worn pantyhose denotes a sexual fetish act,VALID,RESOLVED
spanked,CONTEXTUAL,HUMAN_REVIEWED,spanking can be discipline or assault and erotic activity,VALID,RESOLVED
suspended_congress,SEXUAL,HUMAN_REVIEWED,suspended congress denotes an explicit sexual position,VALID,RESOLVED
tape_maebari,SEXUAL,HUMAN_REVIEWED,tape maebari denotes explicit genital concealment in sexual imagery,VALID,RESOLVED
tentacles_on_male,CONTEXTUAL,HUMAN_REVIEWED,tentacle contact can be fantasy action or sexualized interaction,VALID,RESOLVED
testicles,CONTEXTUAL,HUMAN_REVIEWED,testicle anatomy has medical or educational and sexual contexts,VALID,RESOLVED
testicles_on_face,SEXUAL,HUMAN_REVIEWED,testicles on face denotes an explicit sexual act,VALID,RESOLVED
tied_up_(nonsexual),NON_SEXUAL,HUMAN_REVIEWED,canonical explicitly denotes nonsexual restraint,VALID,RESOLVED
top-down_bottom-up,CONTEXTUAL,HUMAN_REVIEWED,pose can be ordinary physical positioning or sexualized display,VALID,RESOLVED
top/bottom_dynamic_annotated,SEXUAL,HUMAN_REVIEWED,top and bottom preference denotes a sexual role,VALID,RESOLVED
tucked_money,CONTEXTUAL,HUMAN_REVIEWED,money in cleavage is a general gag or pose with erotic contexts,VALID,RESOLVED
tucked_penis,CONTEXTUAL,HUMAN_REVIEWED,Re-reviewed after correction authority: penis tucking can be presentation or sexualized and cock-tail mapping is ambiguous,VALID,RESOLVED
uncensored,CONTEXTUAL,HUMAN_REVIEWED,uncensored content can be general art state or sexual nudity,VALID,RESOLVED
underboob,CONTEXTUAL,HUMAN_REVIEWED,under-breast exposure has ordinary anatomy and erotic display contexts,VALID,RESOLVED
undressing,CONTEXTUAL,HUMAN_REVIEWED,undressing is ordinary clothing removal with substantial sexual use,VALID,RESOLVED
unworn_clothes,NON_SEXUAL,HUMAN_REVIEWED,unworn clothing is a general clothing state,VALID,RESOLVED
unworn_gag,CONTEXTUAL,HUMAN_REVIEWED,gag removal has safety or performance and sexual bondage contexts,VALID,RESOLVED
vaginal,CONTEXTUAL,HUMAN_REVIEWED,vaginal anatomy or descriptor has medical and sexual contexts,VALID,RESOLVED
voyeurism,SEXUAL,HUMAN_REVIEWED,voyeurism denotes sexualized observation rather than ordinary looking,VALID,RESOLVED
