row_id,canonical_tag,category,post_count,media_scope,confidence,scope_reason,evidence_refs,decision_source
I70-030706,mukku,Character,62,REAL_3D,HIGH,Character identity is primarily a puppet-led live-action real-3D identity; excluded under the media-scope rule.,,MANUAL_SCOPE_BATCH_057
I70-033152,skeppy,Character,56,REAL_3D,HIGH,Tag identifies a real human performer creator athlete streamer or real-world individual rather than a fictional or virtual character; excluded under the real-person rule.,,MANUAL_SCOPE_BATCH_057
I70-033296,danny_lee,Character,55,REAL_3D,HIGH,Tag identifies a real human performer creator athlete streamer or real-world individual rather than a fictional or virtual character; excluded under the real-person rule.,,MANUAL_SCOPE_BATCH_057
I70-033336,freddie_mercury,Character,55,REAL_3D,HIGH,Tag identifies a real human performer creator athlete streamer or real-world individual rather than a fictional or virtual character; excluded under the real-person rule.,,MANUAL_SCOPE_BATCH_057
I70-033356,gotou_yuuko,Character,55,REAL_3D,HIGH,Tag identifies a real human performer creator athlete streamer or real-world individual rather than a fictional or virtual character; excluded under the real-person rule.,,MANUAL_SCOPE_BATCH_057
I70-033363,hachiko_(dog),Character,55,REAL_3D,HIGH,Tag identifies a real-world animal identity rather than a fictional or virtual character; excluded under the real-identity rule.,,MANUAL_SCOPE_BATCH_057
I70-033404,jaiden_animations,Character,55,REAL_3D,HIGH,Tag identifies a real human performer creator athlete streamer or real-world individual rather than a fictional or virtual character; excluded under the real-person rule.,,MANUAL_SCOPE_BATCH_057
I70-033415,kamen_rider_ixa,Character,55,REAL_3D,HIGH,Character identity belongs to an explicit tokusatsu or suit-performed live-action property; excluded under the tokusatsu rule.,,MANUAL_SCOPE_BATCH_057
I70-033507,misaki_nako,Character,55,REAL_3D,HIGH,Tag identifies a real human performer creator athlete streamer or real-world individual rather than a fictional or virtual character; excluded under the real-person rule.,,MANUAL_SCOPE_BATCH_057
I70-033706,arisakaaa_(crazy_raccoon),Character,54,REAL_3D,HIGH,Tag identifies a real human performer creator athlete streamer or real-world individual rather than a fictional or virtual character; excluded under the real-person rule.,,MANUAL_SCOPE_BATCH_057
I70-033777,fujita_saki,Character,54,REAL_3D,HIGH,Tag identifies a real human performer creator athlete streamer or real-world individual rather than a fictional or virtual character; excluded under the real-person rule.,,MANUAL_SCOPE_BATCH_057
I70-034021,takeuchi_mariya,Character,54,REAL_3D,HIGH,Tag identifies a real human performer creator athlete streamer or real-world individual rather than a fictional or virtual character; excluded under the real-person rule.,,MANUAL_SCOPE_BATCH_057
I70-034022,tanaka_atsuko,Character,54,REAL_3D,HIGH,Tag identifies a real human performer creator athlete streamer or real-world individual rather than a fictional or virtual character; excluded under the real-person rule.,,MANUAL_SCOPE_BATCH_057
I70-034236,kamen_rider_leangle,Character,53,REAL_3D,HIGH,Character identity belongs to an explicit tokusatsu or suit-performed live-action property; excluded under the tokusatsu rule.,,MANUAL_SCOPE_BATCH_057
I70-034238,kamen_rider_meteor,Character,53,REAL_3D,HIGH,Character identity belongs to an explicit tokusatsu or suit-performed live-action property; excluded under the tokusatsu rule.,,MANUAL_SCOPE_BATCH_057
I70-034271,ldshadowlady,Character,53,REAL_3D,HIGH,Tag identifies a real human performer creator athlete streamer or real-world individual rather than a fictional or virtual character; excluded under the real-person rule.,,MANUAL_SCOPE_BATCH_057
I70-034306,mighty_morphin_green_ranger,Character,53,REAL_3D,HIGH,Character identity belongs to an explicit tokusatsu or suit-performed live-action property; excluded under the tokusatsu rule.,,MANUAL_SCOPE_BATCH_057
I70-034307,mighty_morphin_pink_ranger,Character,53,REAL_3D,HIGH,Character identity belongs to an explicit tokusatsu or suit-performed live-action property; excluded under the tokusatsu rule.,,MANUAL_SCOPE_BATCH_057
I70-034329,mumbo_jumbo_(youtuber),Character,53,REAL_3D,HIGH,Tag identifies a real human performer creator athlete streamer or real-world individual rather than a fictional or virtual character; excluded under the real-person rule.,,MANUAL_SCOPE_BATCH_057
I70-034367,orfevre_(racehorse),Character,53,REAL_3D,HIGH,Tag identifies a real-world animal identity rather than a fictional or virtual character; excluded under the real-identity rule.,,MANUAL_SCOPE_BATCH_057
I70-034411,saeki_kayako,Character,53,REAL_3D,HIGH,Character identity belongs to a live-action-led property rather than the target 2D fictional or virtual scope; excluded under the media-scope rule.,,MANUAL_SCOPE_BATCH_057
I70-034445,smajor1995,Character,53,REAL_3D,HIGH,Tag identifies a real human performer creator athlete streamer or real-world individual rather than a fictional or virtual character; excluded under the real-person rule.,,MANUAL_SCOPE_BATCH_057
I70-034645,han_megumi,Character,52,REAL_3D,HIGH,Tag identifies a real human performer creator athlete streamer or real-world individual rather than a fictional or virtual character; excluded under the real-person rule.,,MANUAL_SCOPE_BATCH_057
I70-034860,sayuri_(singer),Character,52,REAL_3D,HIGH,Tag identifies a real human performer creator athlete streamer or real-world individual rather than a fictional or virtual character; excluded under the real-person rule.,,MANUAL_SCOPE_BATCH_057
I70-035082,erling_haaland,Character,51,REAL_3D,HIGH,Tag identifies a real human performer creator athlete streamer or real-world individual rather than a fictional or virtual character; excluded under the real-person rule.,,MANUAL_SCOPE_BATCH_057
I70-035106,gregory_house,Character,51,REAL_3D,HIGH,Character identity belongs to a live-action-led property rather than the target 2D fictional or virtual scope; excluded under the media-scope rule.,,MANUAL_SCOPE_BATCH_057
I70-035141,inoue_kikuko,Character,51,REAL_3D,HIGH,Tag identifies a real human performer creator athlete streamer or real-world individual rather than a fictional or virtual character; excluded under the real-person rule.,,MANUAL_SCOPE_BATCH_057
I70-035165,kamen_rider_kick_hopper,Character,51,REAL_3D,HIGH,Character identity belongs to an explicit tokusatsu or suit-performed live-action property; excluded under the tokusatsu rule.,,MANUAL_SCOPE_BATCH_057
I70-035166,kamen_rider_ooo_(putotyra_combo),Character,51,REAL_3D,HIGH,Character identity belongs to an explicit tokusatsu or suit-performed live-action property; excluded under the tokusatsu rule.,,MANUAL_SCOPE_BATCH_057
I70-035216,maeda_kaori,Character,51,REAL_3D,HIGH,Tag identifies a real human performer creator athlete streamer or real-world individual rather than a fictional or virtual character; excluded under the real-person rule.,,MANUAL_SCOPE_BATCH_057
I70-035244,movie_thief,Character,51,REAL_3D,HIGH,Character identity belongs to a live-action-led property rather than the target 2D fictional or virtual scope; excluded under the media-scope rule.,,MANUAL_SCOPE_BATCH_057
I70-035371,the_rock_(dwayne_johnson),Character,51,REAL_3D,HIGH,Tag identifies a real human performer creator athlete streamer or real-world individual rather than a fictional or virtual character; excluded under the real-person rule.,,MANUAL_SCOPE_BATCH_057
I70-035535,fukuen_misato,Character,50,REAL_3D,HIGH,Tag identifies a real human performer creator athlete streamer or real-world individual rather than a fictional or virtual character; excluded under the real-person rule.,,MANUAL_SCOPE_BATCH_057
I70-035691,miyawaki_sakura,Character,50,REAL_3D,HIGH,Tag identifies a real human performer creator athlete streamer or real-world individual rather than a fictional or virtual character; excluded under the real-person rule.,,MANUAL_SCOPE_BATCH_057
I70-035777,sakurai_takahiro,Character,50,REAL_3D,HIGH,Tag identifies a real human performer creator athlete streamer or real-world individual rather than a fictional or virtual character; excluded under the real-person rule.,,MANUAL_SCOPE_BATCH_057
I70-035812,suzaki_aya,Character,50,REAL_3D,HIGH,Tag identifies a real human performer creator athlete streamer or real-world individual rather than a fictional or virtual character; excluded under the real-person rule.,,MANUAL_SCOPE_BATCH_057
I70-030790,tsukino_mito_(qipao),Character,62,IN_2D,HIGH,Character identity is an explicit VTuber virtual persona voice character or virtual-performance identity; retained under the virtual-character rule.,,MANUAL_SCOPE_BATCH_057
I70-030859,artemisia,Character,61,IN_2D,HIGH,Character identity is clearly fictional or illustrated and belongs to the in-scope 2D character set; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_057
I70-031053,mokoi_(megami_tensei),Character,61,IN_2D,HIGH,Character identity is clearly from an in-scope game or game-derived fictional property; retained under the game-character rule.,,MANUAL_SCOPE_BATCH_057
I70-031088,pepsiman,Character,61,IN_2D,HIGH,Tag identifies an illustrated fictional mascot or personification rather than the real company service event or product itself; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_057
I70-031098,racing_miku_(2024),Character,61,IN_2D,HIGH,Character identity is an explicit VTuber virtual persona voice character or virtual-performance identity; retained under the virtual-character rule.,,MANUAL_SCOPE_BATCH_057
I70-031177,vertin_(ipstar)_(reverse:1999),Character,61,IN_2D,HIGH,Character identity is clearly from an in-scope game or game-derived fictional property; retained under the game-character rule.,,MANUAL_SCOPE_BATCH_057
I70-031209,albert_(shingeki_no_bahamut),Character,60,IN_2D,HIGH,Character identity is clearly from an in-scope game or game-derived fictional property; retained under the game-character rule.,,MANUAL_SCOPE_BATCH_057
I70-031253,cyrene_(demiurge)_(anta)_(honkai:_star_rail),Character,60,IN_2D,HIGH,Character identity is clearly from an in-scope game or game-derived fictional property; retained under the game-character rule.,,MANUAL_SCOPE_BATCH_057
I70-031339,izumi_kaori_(twinbox),Character,60,IN_2D,HIGH,Tag identifies an explicitly illustrated fictional character or character interpretation; retained under the illustrated-character rule.,,MANUAL_SCOPE_BATCH_057
I70-031372,kuchisake-onna_(ishiyumi),Character,60,IN_2D,HIGH,Character identity is clearly fictional or illustrated and belongs to the in-scope 2D character set; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_057
I70-031484,princess_lady_serenity,Character,60,IN_2D,HIGH,Character identity is clearly fictional or illustrated and belongs to the in-scope 2D character set; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_057
I70-031540,sothis_(young)_(winter)_(fire_emblem),Character,60,IN_2D,HIGH,Character identity is clearly from an in-scope game or game-derived fictional property; retained under the game-character rule.,,MANUAL_SCOPE_BATCH_057
I70-031542,stella_(sound_horizon),Character,60,IN_2D,HIGH,Character identity is clearly fictional or illustrated and belongs to the in-scope 2D character set; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_057
I70-031675,daniella_(demento),Character,59,IN_2D,HIGH,Character identity is clearly from an in-scope game or game-derived fictional property; retained under the game-character rule.,,MANUAL_SCOPE_BATCH_057
I70-031765,kakuchou_(tokyo_revengers),Character,59,IN_2D,HIGH,Character identity is clearly from an in-scope anime manga or illustrated franchise; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_057
I70-031921,shizuku_(summer_memories),Character,59,IN_2D,HIGH,Character identity is clearly from an in-scope game or game-derived fictional property; retained under the game-character rule.,,MANUAL_SCOPE_BATCH_057
I70-032230,mizuki_(summer_memories),Character,58,IN_2D,HIGH,Character identity is clearly from an in-scope game or game-derived fictional property; retained under the game-character rule.,,MANUAL_SCOPE_BATCH_057
I70-032316,shee_icho,Character,58,IN_2D,HIGH,Character identity is an explicit VTuber virtual persona voice character or virtual-performance identity; retained under the virtual-character rule.,,MANUAL_SCOPE_BATCH_057
I70-032377,willow_(suntide)_(stella_sora),Character,58,IN_2D,HIGH,Character identity is clearly from an in-scope game or game-derived fictional property; retained under the game-character rule.,,MANUAL_SCOPE_BATCH_057
I70-032424,bennington_(sunshine_chaser)_(azur_lane),Character,57,IN_2D,HIGH,Character identity is clearly from an in-scope game or game-derived fictional property; retained under the game-character rule.,,MANUAL_SCOPE_BATCH_057
I70-032506,ghost_girl_(niyeye2019),Character,57,IN_2D,HIGH,Character identity is clearly from an in-scope game or game-derived fictional property; retained under the game-character rule.,,MANUAL_SCOPE_BATCH_057
I70-032595,kuromaru_(mugen),Character,57,IN_2D,HIGH,Character identity is clearly from an in-scope game or game-derived fictional property; retained under the game-character rule.,,MANUAL_SCOPE_BATCH_057
I70-032686,qiang_lei_(kingdom),Character,57,IN_2D,HIGH,Character identity is clearly from an in-scope anime manga or illustrated franchise; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_057
I70-032809,akuru-chan_(ado),Character,56,IN_2D,HIGH,Tag identifies an explicitly illustrated fictional character or character interpretation; retained under the illustrated-character rule.,,MANUAL_SCOPE_BATCH_057
I70-033007,linux-tan,Character,56,IN_2D,HIGH,Tag identifies an illustrated fictional mascot or personification rather than the real company service event or product itself; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_057
I70-033170,symphony_miku_(2025),Character,56,IN_2D,HIGH,Character identity is an explicit VTuber virtual persona voice character or virtual-performance identity; retained under the virtual-character rule.,,MANUAL_SCOPE_BATCH_057
I70-033202,yabai_(nijiura_maids),Character,56,IN_2D,HIGH,Character identity is clearly fictional or illustrated and belongs to the in-scope 2D character set; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_057
I70-033265,bonnie_barkswell,Character,55,IN_2D,HIGH,Character identity is an explicit VTuber virtual persona voice character or virtual-performance identity; retained under the virtual-character rule.,,MANUAL_SCOPE_BATCH_057
I70-033292,crossbow_hybrid_(chainsaw_man),Character,55,IN_2D,HIGH,Character identity is clearly from an in-scope anime manga or illustrated franchise; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_057
I70-033321,excel_(excel_saga),Character,55,IN_2D,HIGH,Character identity is clearly from an in-scope anime manga or illustrated franchise; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_057
I70-033386,hoshimachi_suisei_(water_gun_arpeggio),Character,55,IN_2D,HIGH,Character identity is an explicit VTuber virtual persona voice character or virtual-performance identity; retained under the virtual-character rule.,,MANUAL_SCOPE_BATCH_057
I70-033397,internet_explorer_(merryweather),Character,55,IN_2D,HIGH,Tag identifies an illustrated fictional mascot or personification rather than the real company service event or product itself; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_057
I70-033436,kirito_(sao-os),Character,55,IN_2D,HIGH,Character identity is clearly from an in-scope anime manga or illustrated franchise; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_057
I70-033513,momo_(zephyr)_(infinity_nikki),Character,55,IN_2D,HIGH,Character identity is clearly from an in-scope game or game-derived fictional property; retained under the game-character rule.,,MANUAL_SCOPE_BATCH_057
I70-033549,orie_hakua,Character,55,IN_2D,HIGH,Tag identifies an explicitly illustrated fictional character or character interpretation; retained under the illustrated-character rule.,,MANUAL_SCOPE_BATCH_057
I70-033734,chigusa_hana,Character,54,IN_2D,HIGH,Character identity is an explicit VTuber virtual persona voice character or virtual-performance identity; retained under the virtual-character rule.,,MANUAL_SCOPE_BATCH_057
I70-033757,eleuseus,Character,54,IN_2D,HIGH,Character identity is clearly fictional or illustrated and belongs to the in-scope 2D character set; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_057
I70-033772,fourth_form_cooler_(dragon_ball),Character,54,IN_2D,HIGH,Character identity is clearly from an in-scope anime manga or illustrated franchise; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_057
I70-033787,golion_(mecha),Character,54,IN_2D,HIGH,Character identity is clearly from an in-scope anime manga or illustrated franchise; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_057
I70-033893,midori_fufu_(vtuber),Character,54,IN_2D,HIGH,Character identity is an explicit VTuber virtual persona voice character or virtual-performance identity; retained under the virtual-character rule.,,MANUAL_SCOPE_BATCH_057
I70-034044,valor_(league),Character,54,IN_2D,HIGH,Character identity is clearly from an in-scope game or game-derived fictional property; retained under the game-character rule.,,MANUAL_SCOPE_BATCH_057
I70-034056,wiene_(danmachi),Character,54,IN_2D,HIGH,Character identity is clearly from an in-scope anime manga or illustrated franchise; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_057
I70-034074,zentreya_(cyborg)_(regal),Character,54,IN_2D,HIGH,Character identity is an explicit VTuber virtual persona voice character or virtual-performance identity; retained under the virtual-character rule.,,MANUAL_SCOPE_BATCH_057
I70-034085,amiya_aranha_(1st_costume),Character,53,IN_2D,HIGH,Character identity is an explicit VTuber virtual persona voice character or virtual-performance identity; retained under the virtual-character rule.,,MANUAL_SCOPE_BATCH_057
I70-034124,cera_luceria,Character,53,IN_2D,HIGH,Character identity is an explicit VTuber virtual persona voice character or virtual-performance identity; retained under the virtual-character rule.,,MANUAL_SCOPE_BATCH_057
I70-034142,culotte_(la_pucelle),Character,53,IN_2D,HIGH,Character identity is clearly from an in-scope game or game-derived fictional property; retained under the game-character rule.,,MANUAL_SCOPE_BATCH_057
I70-034228,jollibee_(mascot),Character,53,IN_2D,HIGH,Tag identifies an illustrated fictional mascot or personification rather than the real company service event or product itself; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_057
I70-034270,layla_(sound_horizon),Character,53,IN_2D,HIGH,Character identity is clearly fictional or illustrated and belongs to the in-scope 2D character set; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_057
I70-034280,limealicious_(summer),Character,53,IN_2D,HIGH,Character identity is an explicit VTuber virtual persona voice character or virtual-performance identity; retained under the virtual-character rule.,,MANUAL_SCOPE_BATCH_057
I70-034433,shirako_(vtuber),Character,53,IN_2D,HIGH,Character identity is an explicit VTuber virtual persona voice character or virtual-performance identity; retained under the virtual-character rule.,,MANUAL_SCOPE_BATCH_057
