row_id,canonical_tag,category,post_count,media_scope,confidence,scope_reason,evidence_refs,decision_source
I70-044290,licca-chan_(franchise),Copyright,51,IN_2D,HIGH,Copyright identity has established anime or manga works and is retained in the 2D scope after manual review.,https://en.wikipedia.org/wiki/Super_Doll_Licca-chan,MANUAL_SCOPE_BATCH_060
I70-001942,yamamura_sadako,Character,1739,IN_2D,HIGH,Fictional character has established 2D comic animation game or illustrated representation; retained after mixed-media review under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
I70-016829,yahan_(lamp159568),Character,143,IN_2D,HIGH,Character identity is explicitly fictional or illustrated and belongs to an in-scope anime manga game illustration literary or virtual-character context; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
I70-017386,king_zahab_(si_land),Character,136,IN_2D,HIGH,Character identity is explicitly fictional or illustrated and belongs to an in-scope anime manga game illustration literary or virtual-character context; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
I70-017678,facehugger,Character,133,IN_2D,HIGH,Fictional character has established 2D comic animation game or illustrated representation; retained after mixed-media review under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
I70-017782,azarashii_(igarashi_rika),Character,132,IN_2D,HIGH,Tag identifies an illustrated fictional mascot meme or personification rather than a real-world individual; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
I70-019949,ariake_(ooe),Character,113,IN_2D,HIGH,Character identity is explicitly fictional or illustrated and belongs to an in-scope anime manga game illustration literary or virtual-character context; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
I70-020473,shinbashi_(ooe),Character,110,IN_2D,HIGH,Character identity is explicitly fictional or illustrated and belongs to an in-scope anime manga game illustration literary or virtual-character context; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
I70-023288,megohime_(nashi),Character,92,IN_2D,HIGH,Character identity is explicitly fictional or illustrated and belongs to an in-scope anime manga game illustration literary or virtual-character context; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
I70-024144,arihara_yuuna_(hanauna),Character,87,IN_2D,HIGH,Character identity is explicitly fictional or illustrated and belongs to an in-scope anime manga game illustration literary or virtual-character context; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
I70-024948,tsukisita_mika_(sakamata),Character,84,IN_2D,HIGH,Character identity is explicitly fictional or illustrated and belongs to an in-scope anime manga game illustration literary or virtual-character context; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
I70-025381,tama_tamara_tabasa_(manjuverunu),Character,82,IN_2D,HIGH,Character identity is explicitly fictional or illustrated and belongs to an in-scope anime manga game illustration literary or virtual-character context; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
I70-026197,kin_(senukin),Character,78,IN_2D,HIGH,Character identity is explicitly fictional or illustrated and belongs to an in-scope anime manga game illustration literary or virtual-character context; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
I70-026509,rudy_(rariatto),Character,77,IN_2D,HIGH,Character identity is explicitly fictional or illustrated and belongs to an in-scope anime manga game illustration literary or virtual-character context; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
I70-026775,shimon_(shimotsuma),Character,76,IN_2D,HIGH,Character identity is explicitly fictional or illustrated and belongs to an in-scope anime manga game illustration literary or virtual-character context; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
I70-026797,tiona_(rumie),Character,76,IN_2D,HIGH,Character identity is explicitly fictional or illustrated and belongs to an in-scope anime manga game illustration literary or virtual-character context; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
I70-027047,xingye_(xing),Character,75,IN_2D,HIGH,Character identity is explicitly fictional or illustrated and belongs to an in-scope anime manga game illustration literary or virtual-character context; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
I70-027596,cheemsburger_(doge),Character,72,IN_2D,HIGH,Tag identifies an illustrated fictional mascot meme or personification rather than a real-world individual; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
I70-028413,daiginjou_(futaba_channel),Character,69,IN_2D,HIGH,Tag identifies an illustrated fictional mascot meme or personification rather than a real-world individual; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
I70-029052,kanikama_(suou_patra),Character,67,IN_2D,HIGH,Tag identifies an illustrated fictional mascot meme or personification rather than a real-world individual; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
I70-029265,bathing_elf_(kirishima_satoshi),Character,66,IN_2D,HIGH,Character identity is explicitly fictional or illustrated and belongs to an in-scope anime manga game illustration literary or virtual-character context; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
I70-029318,ghost_girl_(shikisokuzeku76),Character,66,IN_2D,HIGH,Character identity is explicitly fictional or illustrated and belongs to an in-scope anime manga game illustration literary or virtual-character context; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
I70-029520,yumykon_(yumykon),Character,66,IN_2D,HIGH,Character identity is explicitly fictional or illustrated and belongs to an in-scope anime manga game illustration literary or virtual-character context; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
I70-029649,juna_unagi,Character,65,IN_2D,HIGH,Character identity is an explicit VTuber or virtual persona; retained under the VTuber and virtual-character rule.,https://vtubie.com/juna-unagi/,MANUAL_SCOPE_BATCH_060
I70-030184,8-foot_joe,Character,63,REAL_3D,HIGH,Character identity is tied to a live-action tokusatsu or theme-park performance rather than 2D-first character content; excluded under the live-action rule.,https://disneyvillains.fandom.com/wiki/Eight_Foot_Joe,MANUAL_SCOPE_BATCH_060
I70-030266,funasshii,Character,63,IN_2D,HIGH,Tag identifies an illustrated fictional mascot meme or personification rather than a real-world individual; retained under the fictional-character rule.,https://en.wikipedia.org/wiki/Funassyi,MANUAL_SCOPE_BATCH_060
I70-030429,sally_merci_(manjuverunu),Character,63,IN_2D,HIGH,Character identity is explicitly fictional or illustrated and belongs to an in-scope anime manga game illustration literary or virtual-character context; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
I70-030566,dogpool,Character,62,IN_2D,HIGH,Fictional character has established 2D comic animation game or illustrated representation; retained after mixed-media review under the fictional-character rule.,https://en.wikipedia.org/wiki/Dogpool,MANUAL_SCOPE_BATCH_060
I70-030575,emmett_brown,Character,62,IN_2D,HIGH,Fictional character has established 2D comic animation game or illustrated representation; retained after mixed-media review under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
I70-030694,mint_fantome_(summer),Character,62,IN_2D,HIGH,Character identity is an explicit VTuber or virtual persona; retained under the VTuber and virtual-character rule.,https://www.youtube.com/watch?v=sSSF3qxUcpE,MANUAL_SCOPE_BATCH_060
I70-030695,mira_kimishima,Character,62,IN_2D,HIGH,Character identity is explicitly fictional or illustrated and belongs to an in-scope anime manga game illustration literary or virtual-character context; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
I70-030784,togawa_nonoha_(1st_costume),Character,62,IN_2D,HIGH,Character identity is an explicit VTuber or virtual persona; retained under the VTuber and virtual-character rule.,https://www.nijisanji.jp/news/7bufu215pxcr,MANUAL_SCOPE_BATCH_060
I70-030805,vladimir_lenin,Character,62,REAL_3D,HIGH,Tag identifies a real historical or political individual rather than a fictional or virtual character; excluded under the real-person and real-world identity rule.,,MANUAL_SCOPE_BATCH_060
I70-030904,dragon_ranger,Character,61,REAL_3D,HIGH,Character identity is tied to a live-action tokusatsu or theme-park performance rather than 2D-first character content; excluded under the live-action rule.,,MANUAL_SCOPE_BATCH_060
I70-030970,honey_churros,Character,61,IN_2D,HIGH,Character identity is an explicit VTuber or virtual persona; retained under the VTuber and virtual-character rule.,https://safebooru.donmai.us/wiki_pages/honey_churros?z=1,MANUAL_SCOPE_BATCH_060
I70-031051,mizuki_sasahara,Character,61,IN_2D,HIGH,Character identity is explicitly fictional or illustrated and belongs to an in-scope anime manga game illustration literary or virtual-character context; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
I70-031341,jeanne_d'arc_(real_life),Character,60,REAL_3D,HIGH,Tag identifies a real historical or political individual rather than a fictional or virtual character; excluded under the real-person and real-world identity rule.,,MANUAL_SCOPE_BATCH_060
I70-031408,mao_zedong,Character,60,REAL_3D,HIGH,Tag identifies a real historical or political individual rather than a fictional or virtual character; excluded under the real-person and real-world identity rule.,,MANUAL_SCOPE_BATCH_060
I70-031450,napoleon_bonaparte_(real_life),Character,60,REAL_3D,HIGH,Tag identifies a real historical or political individual rather than a fictional or virtual character; excluded under the real-person and real-world identity rule.,,MANUAL_SCOPE_BATCH_060
I70-031572,tung_tung_tung_sahur,Character,60,IN_2D,HIGH,Character identity is explicitly fictional or illustrated and belongs to an in-scope anime manga game illustration literary or virtual-character context; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
I70-031598,yamawaki_bon_ivar_(triumph_of_the_demon_lord),Character,60,IN_2D,HIGH,Character identity is explicitly fictional or illustrated and belongs to an in-scope anime manga game illustration literary or virtual-character context; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
I70-031624,amane_(sakura_hiyori),Character,59,IN_2D,HIGH,Character identity is explicitly fictional or illustrated and belongs to an in-scope anime manga game illustration literary or virtual-character context; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
I70-031643,bebe_(nanahira),Character,59,IN_2D,HIGH,Character identity is an explicit VTuber or virtual persona; retained under the VTuber and virtual-character rule.,https://safebooru.org/index.php?id=4617317&page=post&s=view,MANUAL_SCOPE_BATCH_060
I70-031652,boyfriend_(yoru_mac),Character,59,IN_2D,HIGH,Character identity is explicitly fictional or illustrated and belongs to an in-scope anime manga game illustration literary or virtual-character context; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
I70-031913,shaak_ti,Character,59,IN_2D,HIGH,Fictional character has established 2D comic animation game or illustrated representation; retained after mixed-media review under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
I70-032165,kawashima_shirone_(m-chai),Character,58,IN_2D,HIGH,Character identity is explicitly fictional or illustrated and belongs to an in-scope anime manga game illustration literary or virtual-character context; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
I70-032283,pippi_panini_(basedbinkie),Character,58,IN_2D,HIGH,Character identity is explicitly fictional or illustrated and belongs to an in-scope anime manga game illustration literary or virtual-character context; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
I70-032419,bai_zhong_(false_memory),Character,57,IN_2D,HIGH,Character identity is explicitly fictional or illustrated and belongs to an in-scope anime manga game illustration literary or virtual-character context; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
I70-032593,kuro_(miku_plus),Character,57,IN_2D,HIGH,Character identity is explicitly fictional or illustrated and belongs to an in-scope anime manga game illustration literary or virtual-character context; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
I70-032637,miyouji,Character,57,IN_2D,HIGH,Tag identifies an illustrated fictional mascot meme or personification rather than a real-world individual; retained under the fictional-character rule.,https://www.hoyolab.com/article/3887154,MANUAL_SCOPE_BATCH_060
I70-032695,riko_solari,Character,57,IN_2D,HIGH,Character identity is an explicit VTuber or virtual persona; retained under the VTuber and virtual-character rule.,https://vspo.jp/,MANUAL_SCOPE_BATCH_060
I70-032727,shoggoth,Character,57,IN_2D,HIGH,Fictional character has established 2D comic animation game or illustrated representation; retained after mixed-media review under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
I70-032846,bo-katan_kryze,Character,56,IN_2D,HIGH,Fictional character has established 2D comic animation game or illustrated representation; retained after mixed-media review under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
I70-032979,kohinata_miku_(shenshoujing),Character,56,IN_2D,HIGH,Character identity is explicitly fictional or illustrated and belongs to an in-scope anime manga game illustration literary or virtual-character context; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
I70-033177,take_mamoru,Character,56,IN_2D,HIGH,Character identity is explicitly fictional or illustrated and belongs to an in-scope anime manga game illustration literary or virtual-character context; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
I70-033348,georgie_denbrough,Character,55,IN_2D,HIGH,Fictional character has established 2D comic animation game or illustrated representation; retained after mixed-media review under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
I70-033476,luka_(zombie_stage),Character,55,IN_2D,HIGH,Character identity is explicitly fictional or illustrated and belongs to an in-scope anime manga game illustration literary or virtual-character context; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
I70-033629,suzumiya_suzume,Character,55,IN_2D,HIGH,Character identity is explicitly fictional or illustrated and belongs to an in-scope anime manga game illustration literary or virtual-character context; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
I70-033733,chidejika,Character,54,IN_2D,HIGH,Tag identifies an illustrated fictional mascot meme or personification rather than a real-world individual; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
I70-033904,mogu_(miori_celesta),Character,54,IN_2D,HIGH,Tag identifies an illustrated fictional mascot meme or personification rather than a real-world individual; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
I70-033933,orie_mishiro,Character,54,IN_2D,HIGH,Character identity is explicitly fictional or illustrated and belongs to an in-scope anime manga game illustration literary or virtual-character context; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
I70-033973,rukawa-chan_(namagome_negi),Character,54,IN_2D,HIGH,Character identity is explicitly fictional or illustrated and belongs to an in-scope anime manga game illustration literary or virtual-character context; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
I70-034133,christmas_elf,Character,53,IN_2D,HIGH,Character identity is explicitly fictional or illustrated and belongs to an in-scope anime manga game illustration literary or virtual-character context; retained under the fictional-character rule.,,MANUAL_SCOPE_BATCH_060
I70-034309,mikogami_kotone_(1st_costume),Character,53,IN_2D,HIGH,Character identity is an explicit VTuber or virtual persona; retained under the VTuber and virtual-character rule.,https://shop.nijisanji.jp/searchAjax?cgid=1185&prefn1=endOfSale&prefv1=%E8%B2%A9%E5%A3%B2%E4%B8%AD&secondCgid=category,MANUAL_SCOPE_BATCH_060
I70-034347,nekoyashiki_miku_(1st_costume),Character,53,IN_2D,HIGH,Character identity is an explicit VTuber or virtual persona; retained under the VTuber and virtual-character rule.,https://shop.nijisanji.jp/1172,MANUAL_SCOPE_BATCH_060
I70-034355,okita_souji_(real_life),Character,53,REAL_3D,HIGH,Tag identifies a real historical or political individual rather than a fictional or virtual character; excluded under the real-person and real-world identity rule.,,MANUAL_SCOPE_BATCH_060
I70-034446,snaree_(taratabong),Character,53,IN_2D,HIGH,Character identity is explicitly fictional or illustrated and belongs to an in-scope anime manga game illustration literary or virtual-character context; retained under the fictional-character rule.,https://netflix.originals.watch/media/33093/taratabong-the-world-of-the-meloditties/season/1,MANUAL_SCOPE_BATCH_060
I70-034458,sunny_splosion,Character,53,IN_2D,HIGH,Character identity is an explicit VTuber or virtual persona; retained under the VTuber and virtual-character rule.,https://safebooru.donmai.us/wiki_pages/sunny_splosion,MANUAL_SCOPE_BATCH_060
