row_id,canonical_tag,sampled_under,home_state,home_copyright,authority_type,sampled_candidate_verdict,evidence_refs,reviewer_note,second_review_required
I70-000413,hikari_(blue_archive),umamusume,HOME_CONFIRMED,blue_archive,QUALIFIER_COPYRIGHT,REJECTED,INTERNAL:canonical qualifier blue_archive,Canonical qualifier directly proves Blue Archive; sampled umamusume relation is legacy contamination.,true
I70-000794,yamakaze_(kancolle),umamusume,HOME_CONFIRMED,kantai_collection,QUALIFIER_COPYRIGHT,REJECTED,INTERNAL:canonical qualifier kancolle,Canonical qualifier directly proves Kantai Collection; sampled umamusume relation is legacy contamination.,true
I70-000842,hibiki_(blue_archive),umamusume,HOME_CONFIRMED,blue_archive,QUALIFIER_COPYRIGHT,REJECTED,INTERNAL:canonical qualifier blue_archive,Canonical qualifier directly proves Blue Archive; sampled umamusume relation is legacy contamination.,true
I70-000991,shiratsuyu_(kancolle),umamusume,HOME_CONFIRMED,kantai_collection,QUALIFIER_COPYRIGHT,REJECTED,INTERNAL:canonical qualifier kancolle,Canonical qualifier directly proves Kantai Collection; sampled umamusume relation is legacy contamination.,true
I70-000259,oyama_mahiro,blue_archive,HOME_CONFIRMED,onii-chan_wa_oshimai!,CURATED_COPYRIGHT_LIST,REJECTED,https://onimai.jp/character/mahiro.html,Official Onimai character page identifies Mahiro Oyama; sampled Blue Archive relation is legacy contamination.,true
I70-000349,suzuran_(arknights),blue_archive,HOME_CONFIRMED,arknights,QUALIFIER_COPYRIGHT,REJECTED,INTERNAL:canonical qualifier arknights,Canonical qualifier directly proves Arknights; sampled Blue Archive relation is legacy contamination.,true
I70-000607,karyl_(princess_connect!),blue_archive,HOME_CONFIRMED,princess_connect!,QUALIFIER_COPYRIGHT,REJECTED,INTERNAL:canonical qualifier princess_connect!,Canonical qualifier directly proves Princess Connect!; sampled Blue Archive relation is legacy contamination.,true
I70-000649,belfast_(azur_lane),blue_archive,HOME_CONFIRMED,azur_lane,QUALIFIER_COPYRIGHT,REJECTED,INTERNAL:canonical qualifier azur_lane,Canonical qualifier directly proves Azur Lane; sampled Blue Archive relation is legacy contamination.,true
I70-000829,chisa_(wuthering_waves),blue_archive,HOME_CONFIRMED,wuthering_waves,QUALIFIER_COPYRIGHT,REJECTED,INTERNAL:canonical qualifier wuthering_waves,Canonical qualifier directly proves Wuthering Waves; sampled Blue Archive relation is legacy contamination.,true
I70-000104,elysia_(honkai_impact),honkai:_star_rail,HOME_UNRESOLVED,,QUALIFIER_ALIAS_UNVERIFIED,REJECTED,INTERNAL:canonical qualifier honkai_impact,"Canonical qualifier rejects Honkai: Star Rail, but mapping honkai_impact to the canonical Copyright root has not yet been independently verified.",true
I70-000589,elysia_(herrscher_of_human:_ego)_(honkai_impact),honkai:_star_rail,HOME_UNRESOLVED,,QUALIFIER_ALIAS_UNVERIFIED,REJECTED,INTERNAL:canonical qualifier honkai_impact,"Canonical qualifier rejects Honkai: Star Rail, but mapping honkai_impact to the canonical Copyright root has not yet been independently verified.",true
I70-000659,elysia_(miss_pink_elf)_(honkai_impact),honkai:_star_rail,HOME_UNRESOLVED,,QUALIFIER_ALIAS_UNVERIFIED,REJECTED,INTERNAL:canonical qualifier honkai_impact,"Canonical qualifier rejects Honkai: Star Rail, but mapping honkai_impact to the canonical Copyright root has not yet been independently verified.",true
I70-000787,changli_(wuthering_waves),honkai:_star_rail,HOME_CONFIRMED,wuthering_waves,QUALIFIER_COPYRIGHT,REJECTED,INTERNAL:canonical qualifier wuthering_waves,Canonical qualifier directly rejects HSR and proves Wuthering Waves.,true
I70-000867,aemeath_(wuthering_waves),honkai:_star_rail,HOME_CONFIRMED,wuthering_waves,QUALIFIER_COPYRIGHT,REJECTED,INTERNAL:canonical qualifier wuthering_waves,Canonical qualifier directly rejects HSR and proves Wuthering Waves.,true
I70-000138,togawa_sakiko,arknights,HOME_CONFIRMED,bang_dream!,CURATED_COPYRIGHT_LIST+ROOT_NORMALIZATION,REJECTED,https://anime.bang-dream.com/avemujica/character/,Official Ave Mujica character list identifies Sakiko; normalize subwork membership to stable BanG Dream! root.,true
I70-000139,mari_(blue_archive),arknights,HOME_CONFIRMED,blue_archive,QUALIFIER_COPYRIGHT,REJECTED,INTERNAL:canonical qualifier blue_archive,Canonical qualifier directly proves Blue Archive; sampled Arknights relation is legacy contamination.,true
I70-000284,misumi_uika,arknights,HOME_CONFIRMED,bang_dream!,CURATED_COPYRIGHT_LIST+ROOT_NORMALIZATION,REJECTED,https://anime.bang-dream.com/avemujica/character/,Official Ave Mujica character list identifies Uika; normalize to stable BanG Dream! root.,true
I70-000297,wakaba_mutsumi,arknights,HOME_CONFIRMED,bang_dream!,CURATED_COPYRIGHT_LIST+ROOT_NORMALIZATION,REJECTED,https://anime.bang-dream.com/avemujica/character/,Official Ave Mujica character list identifies Mutsumi; normalize to stable BanG Dream! root.,true
I70-000332,yahata_umiri,arknights,HOME_CONFIRMED,bang_dream!,CURATED_COPYRIGHT_LIST+ROOT_NORMALIZATION,REJECTED,https://anime.bang-dream.com/avemujica/character/,Official Ave Mujica character list identifies Umiri; normalize to stable BanG Dream! root.,true
I70-000355,northern_ocean_princess,kantai_collection,HOME_UNRESOLVED,,NO_ACCEPTED_HOME_AUTHORITY,NOT_CONFIRMED,INTERNAL:requires independent curated authority,"Legacy relation suggests Kantai Collection, but no accepted independent authority has yet been attached to this unqualified identity.",true
I70-000400,rensouhou-chan,kantai_collection,HOME_UNRESOLVED,,NO_ACCEPTED_HOME_AUTHORITY,NOT_CONFIRMED,INTERNAL:requires independent curated authority,"Legacy relation suggests Kantai Collection, but no accepted independent authority has yet been attached to this unqualified identity.",true
I70-000440,anchovy_(girls_und_panzer),kantai_collection,HOME_CONFIRMED,girls_und_panzer,QUALIFIER_COPYRIGHT,REJECTED,INTERNAL:canonical qualifier girls_und_panzer,Canonical qualifier directly proves Girls und Panzer; sampled Kantai Collection relation is legacy contamination.,true
I70-000481,bremerton_(azur_lane),kantai_collection,HOME_CONFIRMED,azur_lane,QUALIFIER_COPYRIGHT,REJECTED,INTERNAL:canonical qualifier azur_lane,Canonical qualifier directly proves Azur Lane; sampled Kantai Collection relation is legacy contamination.,true
I70-000506,akiyama_yukari,kantai_collection,HOME_CONFIRMED,girls_und_panzer,CURATED_COPYRIGHT_LIST,REJECTED,https://girls-und-panzer.jp/chara/yukari/,Official Girls und Panzer character page identifies Yukari; sampled Kantai Collection relation is legacy contamination.,true
I70-000002,hakurei_reimu,touhou,HOME_CONFIRMED,touhou,CURATED_COPYRIGHT_LIST,MATCHES_CONFIRMED_HOME,https://touhou-project.news/shanghai-alice-reprise/,Official Touhou Project portal identifies Reimu as a Touhou character.,true
I70-000003,kirisame_marisa,touhou,HOME_CONFIRMED,touhou,CURATED_COPYRIGHT_LIST,MATCHES_CONFIRMED_HOME,https://touhou-project.news/shanghai-alice-reprise/,Official Touhou Project portal identifies Marisa as a Touhou character.,true
I70-000004,flandre_scarlet,touhou,HOME_CONFIRMED,touhou,CURATED_COPYRIGHT_LIST,MATCHES_CONFIRMED_HOME,https://touhou-project.news/news/16878/,Official Touhou Project portal explicitly lists Flandre Scarlet in the Touhou Project character lineup.,true
I70-000005,remilia_scarlet,touhou,HOME_CONFIRMED,touhou,CURATED_COPYRIGHT_LIST,MATCHES_CONFIRMED_HOME,https://touhou-project.news/news/16878/,Official Touhou Project portal explicitly lists Remilia Scarlet in the Touhou Project character lineup.,true
I70-000006,izayoi_sakuya,touhou,HOME_CONFIRMED,touhou,CURATED_COPYRIGHT_LIST,MATCHES_CONFIRMED_HOME,https://touhou-project.news/news/16878/,Official Touhou Project portal explicitly lists Sakuya Izayoi in the Touhou Project character lineup.,true
I70-000058,houshou_marine,hololive,HOME_CONFIRMED,hololive,CURATED_COPYRIGHT_LIST,MATCHES_CONFIRMED_HOME,https://hololive.hololivepro.com/talents,Official hololive talent roster lists Houshou Marine.,true
I70-000072,gawr_gura,hololive,HOME_CONFIRMED,hololive,CURATED_COPYRIGHT_LIST,MATCHES_CONFIRMED_HOME,https://hololive.hololivepro.com/talents/gawr-gura/,Official hololive profile establishes Gawr Gura under hololive.,true
I70-000084,hoshimachi_suisei,hololive,HOME_CONFIRMED,hololive,CURATED_COPYRIGHT_LIST,MATCHES_CONFIRMED_HOME,https://hololive.hololivepro.com/talents/hoshimachi-suisei/,Official hololive profile establishes Hoshimachi Suisei under hololive.,true
I70-000092,ouro_kronii,hololive,HOME_CONFIRMED,hololive,CURATED_COPYRIGHT_LIST,MATCHES_CONFIRMED_HOME,https://hololive.hololivepro.com/talents/ouro-kronii/,"Official hololive profile establishes Ouro Kronii under hololive; Promise is a unit, not a second HOME.",true
I70-000116,ninomae_ina'nis,hololive,HOME_CONFIRMED,hololive,CURATED_COPYRIGHT_LIST,MATCHES_CONFIRMED_HOME,https://hololive.hololivepro.com/talents/ninomae-inanis/,"Official hololive profile establishes Ninomae Ina'nis under hololive; Myth is a unit, not a second HOME.",true
