review_seq,identity_key,manual_seen,semantic_summary_ja,discovery_mode,route_1_id,route_1_strength,route_1_reason_ja,route_2_id,route_2_strength,route_2_reason_ja,route_3_id,route_3_strength,route_3_reason_ja,local_refinement_ids,body_site_ids,theme_ids,route_vocabulary_gap,route_vocabulary_gap_note,review_depth,evidence_urls,uncertainty_note
676,build_driver,YES,仮面ライダービルドの変身ベルト「ビルドドライバー」,MIXED,TOOL_OBJECT,CORE,変身用の装置・小道具として探すのが自然,,,,,,,[],[],[],NO,,RESEARCHED,"[""https://safebooru.donmai.us/wiki_pages/build_driver""]",Danbooru wikiで仮面ライダービルドの変身ベルトであることを確認。
709,split,YES,脚を反対方向へ大きく開く開脚姿勢,BROWSE_WORTHY,POSE_POSITION,CORE,姿勢・身体配置として探すのが自然,,,,,,,,[],[],[],NO,,RESEARCHED,"[""https://safebooru.donmai.us/wiki_pages/split""]",Danbooru wikiでgymnastic positionとしての開脚を確認。
712,belly_press,YES,腹部を物体や他者などへ押し付ける状態,BROWSE_WORTHY,ACTION_CONTACT,CORE,身体を何かへ押し付ける接触行為として探すのが自然,,,,,,,,"[""ACTION_CONTACT/INTERACTION""]",[],[],NO,,RESEARCHED,"[""https://safebooru.donmai.us/wiki_pages/belly_press""]",Danbooru wikiで腹を物体・他者などへ押し付ける意味を確認。
715,jalapeno_pepper,YES,ハラペーニョ唐辛子,BROWSE_WORTHY,TOOL_OBJECT,CORE,食材・物体として探すのが自然,,,,,,,,"[""OBJECT_PROP/FOOD""]",[],[],NO,,CHECKED,[],
718,blue_wrist_cuffs,YES,青色の手首用カフス,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,装身具として探すのが自然,,,,,,,,"[""CLOTHING/ACCESSORY""]",[],[],NO,,CHECKED,[],
721,pilot,YES,航空機などを操縦するパイロットという人物役割,BROWSE_WORTHY,RELATION_ROLE,CORE,人物の職業・役割として探すのが自然,,,,,,,,[],[],[],NO,,CHECKED,[],
724,open_pants,YES,ズボンの前部などを開けた着衣状態,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,衣服の開放・露出状態として探すのが自然,,,,,,,,"[""CLOTHING_STATE_EXPOSURE/""]",[],[],NO,,CHECKED,[],
727,expressive_object,YES,物体に表情・感情表現を持たせた表現を指すとみられるタグ,SEMANTIC_UNRESOLVED,,,,,,,,,,,[],[],[],NO,,RESEARCHED,"[""https://safebooru.org/index.php?id=3468283&page=post&s=view""]",実使用例は確認できたが、信頼できる定義ページを取得できず、対象範囲を確定できないため未解決。
730,holding_pouch,YES,ポーチを手に持っている状態,BROWSE_WORTHY,ACTION_CONTACT,CORE,物を持つ行為として探すのが自然,,,,,,,,"[""ACTION_CONTACT/OBJECT_USE""]",[],[],NO,,CHECKED,[],
733,yandere_trance,YES,ヤンデレ的な恍惚・トランス状態の表情,BROWSE_WORTHY,EXPRESSION_GAZE,CORE,表情・感情状態として探すのが自然,,,,,,,,"[""EXPRESSION_EMOTION/""]",[],[],NO,,CHECKED,[],
736,slashing,YES,刃物などで斬りつける動作,BROWSE_WORTHY,ACTION_CONTACT,CORE,行為・接触として探すのが自然,,,,,,,,"[""ACTION_CONTACT/OBJECT_USE""]",[],[],NO,,CHECKED,[],
739,shooting_range,YES,射撃場・射撃練習場,BROWSE_WORTHY,SCENE_BACKGROUND,CORE,場所・背景設定として探すのが自然,,,,,,,,[],[],[],NO,,CHECKED,[],
742,soybean,YES,大豆,BROWSE_WORTHY,TOOL_OBJECT,CORE,食材・物体として探すのが自然,,,,,,,,"[""OBJECT_PROP/FOOD""]",[],[],NO,,CHECKED,[],
745,jammers,YES,太腿付近まで覆う密着型の競泳用水着,BROWSE_WORTHY,CLOTHING_EXPOSURE,CORE,水着・衣服として探すのが自然,,,,,,,,"[""CLOTHING/EVERYDAY""]",[],[],NO,,RESEARCHED,"[""https://safebooru.donmai.us/wiki_pages/swimsuit""]",Danbooru wikiで男性用水着の一種としてjammersを確認。
748,pin,YES,布などを留めるための細く尖ったピン,BROWSE_WORTHY,TOOL_OBJECT,CORE,小道具・道具として探すのが自然,,,,,,,,"[""OBJECT_PROP/DAILY""]",[],[],NO,,RESEARCHED,"[""https://safebooru.donmai.us/wiki_pages/pin""]",Danbooru wikiで布等を留める細い留め具として定義を確認。
