canonical,old_display_ja,new_display_ja,reason
filolial,タグ「filolial」,フィロリアル,RAW_ENGLISH_WRAPPER
fin_piercing,finのピアス,ヒレのピアス,MIXED_ENGLISH_DEBRIS
final_chapter_(fate/grand_order),final chapter (fate/grand order),最終章（Fate/Grand Order）,CANONICAL_FALLBACK_TRANSLATABLE
finger_between_breasts,指・間・胸,胸の間の指,MIXED_ENGLISH_DEBRIS
finger_claws,finger・爪,指の爪,MIXED_ENGLISH_DEBRIS
finger_counting_duo,タグ「finger counting duo」,2人で指折り,RAW_ENGLISH_WRAPPER
finger_frame_duo,タグ「finger frame duo」,2人の指フレーム,RAW_ENGLISH_WRAPPER
finger_frame_over_eye,finger・frameの上の目,目の上に指フレーム,MIXED_ENGLISH_DEBRIS
finger_gun_to_own_head,finger・gun・へのown・頭,自分の頭に指鉄砲,MIXED_ENGLISH_DEBRIS
finger_in_glove,fingerの中のglove,手袋の中の指,MIXED_ENGLISH_DEBRIS
finger_in_own_ear,fingerの中のown・耳,自分の耳に指,MIXED_ENGLISH_DEBRIS
finger_on_another's_head,fingerの上の他人の頭,他人の頭に指,SEMANTIC_RELATION_ERROR
finger_on_forehead,fingerの上のforehead,額に指,MIXED_ENGLISH_DEBRIS
finger_on_nipple,fingerの上の乳首,乳首に指,MIXED_ENGLISH_DEBRIS
finger_painting,タグ「finger painting」,指絵,RAW_ENGLISH_WRAPPER
finger_puppet,指偶,指人形,NON_JAPANESE_RESIDUE
finger_ribbon,指・リボン,指のリボン,AWKWARD_MACHINE_TRANSLATION
finger_to_another's_mouth,手指放在他人嘴辺,他人の口に指,NON_JAPANESE_RESIDUE
finger_to_eye,指から目,目に指,SEMANTIC_RELATION_ERROR
finger_to_eyewear,指からアイウェアへ,眼鏡に指,SEMANTIC_RELATION_ERROR
finger_to_face,指から顔,顔に指,SEMANTIC_RELATION_ERROR
finger_to_head,指から頭,頭に指,SEMANTIC_RELATION_ERROR
finger_to_own_nose,finger・へのown・nose,自分の鼻に指,MIXED_ENGLISH_DEBRIS
finger_to_tongue,指から舌へ,舌に指,SEMANTIC_RELATION_ERROR
finger_twirl,指のくるくびき,指でくるくる回す,SEMANTIC_ERROR
finger_under_clothes,fingerの下の服,服の下に指,SEMANTIC_RELATION_ERROR
finger_wagging,指がぐらぐら,指を振る,SEMANTIC_ERROR
finger_writing,指の書き込み,指で書く,SEMANTIC_ERROR
fingernail_gloves,fingernailの手袋,爪付き手袋,MIXED_ENGLISH_DEBRIS
fingerprint_mark,fingerprint・印,指紋跡,MIXED_ENGLISH_DEBRIS
fingers_on_another's_face,fingersの上の他人の顔,他人の顔に指,SEMANTIC_RELATION_ERROR
fingers_to_head,fingers・への頭,頭に指,MIXED_ENGLISH_DEBRIS
fingersmile,指笑顔,指で笑顔を作る,SEMANTIC_ERROR
finishing_move,仕上げの動き,とどめの技,SEMANTIC_ERROR
finnish_text,スオミ語,フィンランド語,SEMANTIC_ERROR
fir_tree,杉,モミの木,SEMANTIC_ERROR
fire_hair_ornament,fireの髪飾り,炎の髪飾り,MIXED_ENGLISH_DEBRIS
fire_light,fire・光,炎の光,MIXED_ENGLISH_DEBRIS
fire_on_chest,fireの上の胸,胸に炎,SEMANTIC_RELATION_ERROR
fireflies,萤火,ホタルの群れ,NON_JAPANESE_RESIDUE
firefly_(honkai:_star_rail)_(cosplay),firefly (honkai: star rail) (cosplay),ホタル（崩壊：スターレイル）（コスプレ）,CANONICAL_FALLBACK_TRANSLATABLE
firing_at_viewer,視聴者の発射,視点側に向けて発砲,SEMANTIC_ERROR
first_high_school_uniform,最初の高校のユニフォーム,第一高校の制服,SEMANTIC_ERROR
fish-shaped_pupils,魚・shaped・pupils,魚型の瞳孔,MIXED_ENGLISH_DEBRIS
fish_bottle,魚・bottle,魚のボトル,MIXED_ENGLISH_DEBRIS
fish_grill,魚・grill,魚焼きグリル,MIXED_ENGLISH_DEBRIS
fish_hat_ornament,魚・帽子・飾り,魚の帽子飾り,AWKWARD_MACHINE_TRANSLATION
fish_hook_earrings,fish hookのイヤリング,釣り針のイヤリング,MIXED_ENGLISH_DEBRIS
fish_on_head,魚の上の頭,頭の上の魚,SEMANTIC_RELATION_ERROR
fish_skeleton_earrings,fish skeletonのイヤリング,魚骨のイヤリング,MIXED_ENGLISH_DEBRIS
fish_skeleton_hair_ornament,fish skeletonの髪飾り,魚骨の髪飾り,MIXED_ENGLISH_DEBRIS
fish_skeleton_print,fish skeletonの柄,魚骨柄,MIXED_ENGLISH_DEBRIS
fishnet_bra,fishnet・ブラ,網目のブラ,MIXED_ENGLISH_DEBRIS
fishnet_bridal_gauntlets,fishnet・花嫁用のガントレット,網目のブライダルガントレット,MIXED_ENGLISH_DEBRIS
fishnet_cutout,タグ「fishnet cutout」,網目の切り抜き,RAW_ENGLISH_WRAPPER
fishnet_dress,fishnet・ドレス,網目のドレス,MIXED_ENGLISH_DEBRIS
fishnet_hiphighs,fishnet・ハイソックス,網タイツのヒップハイ,MIXED_ENGLISH_DEBRIS
fishnet_kneehighs,タグ「fishnet kneehighs」,網タイツのニーソックス,RAW_ENGLISH_WRAPPER
fishnet_leggings,渔网紧身ズボン,網タイツのレギンス,NON_JAPANESE_RESIDUE
fishnet_leotard,渔网紧身衣,網目レオタード,NON_JAPANESE_RESIDUE
fishnet_shorts,タグ「fishnet shorts」,網目ショーツ,RAW_ENGLISH_WRAPPER
fishnet_shrug,fishnet・ボレロ,網目ボレロ,MIXED_ENGLISH_DEBRIS
fishnet_veil,fishnet・ベール,網目ベール,MIXED_ENGLISH_DEBRIS
fist_bump,拳バンプ,フィストバンプ,SEMANTIC_ERROR
fist_bumping_viewer,タグ「fist bumping viewer」,視点側とフィストバンプ,RAW_ENGLISH_WRAPPER
fist_fight,拳の戦い,殴り合い,SEMANTIC_ERROR
fist_pump,拳ポンプ,ガッツポーズ,SEMANTIC_ERROR
fist_shaking,握りこぶし,拳を振る,SEMANTIC_UNDERSPECIFICATION
fitting_room,試着,試着室,SEMANTIC_ERROR
five_of_clubs,5つのクラブ,クラブの5,SEMANTIC_ERROR
five_of_hearts,5つの心,ハートの5,SEMANTIC_ERROR
five_of_spades,5つのスペード,スペードの5,SEMANTIC_ERROR
flab,フラブ,たるんだ脂肪,SEMANTIC_ERROR
flag_background,フラグの背景,旗の背景,SEMANTIC_ERROR
flag_nails,旗・爪,旗柄の爪,AWKWARD_MACHINE_TRANSLATION
flag_on_vehicle,旗の上のvehicle,乗り物についた旗,SEMANTIC_RELATION_ERROR
flag_patch,旗・patch,旗のワッペン,MIXED_ENGLISH_DEBRIS
flailing,フレアリング,手足をばたつかせる,SEMANTIC_ERROR
flame-tipped_tail,炎の尾,先端が炎の尻尾,SEMANTIC_UNDERSPECIFICATION
flame_tattoo,flameのタトゥー,炎のタトゥー,MIXED_ENGLISH_DEBRIS
flamel_symbol,フレームシンボル,フラメルのシンボル,SEMANTIC_ERROR
flaming_head,flaming・頭,燃える頭,MIXED_ENGLISH_DEBRIS
flaming_horns,タグ「flaming horns」,燃える角,RAW_ENGLISH_WRAPPER
flamingo_innertube,タグ「flamingo innertube」,フラミンゴの浮き輪,RAW_ENGLISH_WRAPPER
flamingo_raft,タグ「flamingo raft」,フラミンゴ型フロート,RAW_ENGLISH_WRAPPER
flanged_mace,タグ「flanged mace」,フランジ付きメイス,RAW_ENGLISH_WRAPPER
