pilot_ordinal,canonical,lanes,current_display_state,current_search_state,post_count_or_reference,priority,proposed_display_ja,proposed_search_ja,proposal_source,risk_class,evidence_note,review_state,issue32_overlap,second_pass_review,qa_scope,qa_result,false_approval,prior_proposed_display_ja,audit_display_ja,audit_scope,independent_evidence,root_cause,audit_result,prior_review_state
11,holding_butt_plug,general_or_proxy;statistical_recommendation;manual_auxiliary_or_proxy,missing,missing,59,P0,アナルプラグを持つ,アナルプラグを持つ,GENERATED,HIGH,canonical composition only; human review required; wording retained as REVIEW pending human disambiguation,REVIEW,NO,PASS,HIGH_SECOND_PASS,PASS,NO,アナルプラグを持つ,アナルプラグを持つ,FULL_100_INDEPENDENT_REVALIDATION,EXISTING_REVIEW_PRESERVED; no automatic approval,,REVIEW_PRESERVED,REVIEW
12,anal_ball_wear,general_or_proxy;statistical_recommendation;manual_auxiliary_or_proxy,missing,covered,227,P0,アナルボール着用,Aストリングス,EXISTING_SEARCH,HIGH,runtime search_by_canonical=Aストリングス; local exact Japanese asset=Aストリングス; wording retained as REVIEW pending human disambiguation,REVIEW,NO,PASS,HIGH_SECOND_PASS,PASS,NO,アナルボール着用,アナルボール着用,FULL_100_INDEPENDENT_REVALIDATION,EXISTING_REVIEW_PRESERVED; no automatic approval,,REVIEW_PRESERVED,REVIEW
13,anal_tail,general_or_proxy;statistical_recommendation;manual_auxiliary_or_proxy,missing,covered,7463,P0,アナル尻尾,アナル尻尾,EXISTING_SEARCH,HIGH,runtime search_by_canonical=アナル尻尾; local exact Japanese asset=アナル尻尾,READY_FOR_AUDIT,NO,PASS,HIGH_SECOND_PASS,PASS,NO,アナル尻尾,アナル尻尾,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
14,anal_beads,general_or_proxy;statistical_recommendation;semantic_support,missing,covered,8542,P0,アナルビーズ,アナルパール|アナルビーズ,EXISTING_SEARCH,HIGH,runtime search_by_canonical=アナルパール|アナルビーズ; local exact Japanese asset=アナルパール|アナルビーズ,READY_FOR_AUDIT,NO,PASS,HIGH_SECOND_PASS,PASS,NO,アナルビーズ,アナルビーズ,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
15,android,general_or_proxy;statistical_recommendation;semantic_support,missing,covered,29820,P0,アンドロイド,アンドロイド|メカバレ,EXISTING_SEARCH,HIGH,runtime search_by_canonical=アンドロイド|メカバレ; local exact Japanese asset=アンドロイド|メカバレ,READY_FOR_AUDIT,NO,PASS,HIGH_SECOND_PASS,PASS,NO,アンドロイド,アンドロイド,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
16,anus,general_or_proxy;statistical_recommendation;semantic_support,missing,covered,145994,P0,肛門,アヌス|尻の穴|縦割れアナル,EXISTING_SEARCH,HIGH,runtime search_by_canonical=アヌス|尻の穴|縦割れアナル; local exact Japanese asset=アヌス|尻の穴|尻穴|縦割れアナル|肛門; Special prompt reference=肛門,READY_FOR_AUDIT,NO,PASS,HIGH_SECOND_PASS,PASS,NO,肛門,肛門,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
17,beads,general_or_proxy;statistical_recommendation;semantic_support,missing,missing,56653,P0,ビーズ,ビーズ,LOCAL_EXACT,HIGH,local exact Japanese asset=ビーズ,READY_FOR_AUDIT,NO,PASS,HIGH_SECOND_PASS,PASS,NO,ビーズ,ビーズ,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
18,blindfold,general_or_proxy;statistical_recommendation;semantic_support,missing,covered,27518,P0,目隠し,目隠し,EXISTING_SEARCH,HIGH,runtime search_by_canonical=目隠し; local exact Japanese asset=目隠し|眼罩; Special prompt reference=目隠し,READY_FOR_AUDIT,NO,PASS,HIGH_SECOND_PASS,PASS,NO,目隠し,目隠し,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
19,bondage,general_or_proxy;statistical_recommendation;semantic_support,missing,covered,63874,P0,緊縛,ボンテージ|ボンデージ,EXISTING_SEARCH,HIGH,runtime search_by_canonical=ボンテージ|ボンデージ; local exact Japanese asset=ボンテージ|ボンデージ|捆绑play|東方緊縛画|緊縛; Special prompt reference=拘束・緊縛,READY_FOR_AUDIT,NO,PASS,HIGH_SECOND_PASS,PASS,NO,緊縛,緊縛,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
20,breast_pump,general_or_proxy;statistical_recommendation;semantic_support,missing,missing,514,P0,搾乳器,搾乳器|搾乳機,LOCAL_EXACT,HIGH,local exact Japanese asset=搾乳器|搾乳機,READY_FOR_AUDIT,NO,PASS,HIGH_SECOND_PASS,PASS,NO,搾乳器,搾乳器,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
21,collar,general_or_proxy;statistical_recommendation;semantic_support,missing,missing,257509,P0,首輪,首輪,LOCAL_EXACT,HIGH,local exact Japanese asset=项圈|首輪,READY_FOR_AUDIT,NO,PASS,HIGH_SECOND_PASS,PASS,NO,首輪,首輪,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
22,cross-section,general_or_proxy;statistical_recommendation;semantic_support,missing,missing,16452,P0,断面図,断面図|断面,LOCAL_EXACT,HIGH,local exact Japanese asset=断面|断面図; Special prompt reference=断面・内部表示; wording retained as REVIEW pending human disambiguation,REVIEW,NO,PASS,HIGH_SECOND_PASS,PASS,NO,断面図,断面図,FULL_100_INDEPENDENT_REVALIDATION,EXISTING_REVIEW_PRESERVED; no automatic approval,,REVIEW_PRESERVED,REVIEW
23,cuffs,general_or_proxy;statistical_recommendation;semantic_support,missing,missing,41287,P0,拘束用カフ,手錠|手枷,LOCAL_EXACT,HIGH,local exact Japanese asset=手枷|手錠; Special prompt reference=手首・足首などを固定するカフ,READY_FOR_AUDIT,NO,PASS,HIGH_SECOND_PASS,PASS,YES,手錠,拘束用カフ,FULL_100_INDEPENDENT_REVALIDATION,"DANBOORU_WIKI:https://safebooru.donmai.us/wiki_pages/cuffs; independent scope check: wrists/arms/legs/ankles, not only handcuffs",SEMANTIC_WIDTH_NARROWING,CORRECTED,READY_FOR_AUDIT
24,cum,general_or_proxy;statistical_recommendation;semantic_support,missing,covered,297982,P0,精液,ザーメン,EXISTING_SEARCH,HIGH,runtime search_by_canonical=ザーメン; local exact Japanese asset=ザーメン|射精|精液; Special prompt reference=精液,READY_FOR_AUDIT,NO,PASS,HIGH_SECOND_PASS,PASS,NO,精液,精液,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
25,dildo,general_or_proxy;statistical_recommendation;semantic_support,missing,covered,26985,P0,ディルド,ディルド,EXISTING_SEARCH,HIGH,runtime search_by_canonical=ディルド; local exact Japanese asset=ディルド; Special prompt reference=ディルド,READY_FOR_AUDIT,NO,PASS,HIGH_SECOND_PASS,PASS,NO,ディルド,ディルド,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
26,dripping,general_or_proxy;statistical_recommendation;semantic_support,missing,missing,11772,P0,滴る,滴る,LOCAL_EXACT,HIGH,local exact Japanese asset=滴る,READY_FOR_AUDIT,NO,PASS,HIGH_SECOND_PASS,PASS,NO,滴る,滴る,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
27,ejaculation,general_or_proxy;statistical_recommendation;semantic_support,missing,covered,64051,P0,射精,ビュービュー系,EXISTING_SEARCH,HIGH,runtime search_by_canonical=ビュービュー系; local exact Japanese asset=ビュービュー系|乳内射精|大量射精|射精|挟射; Special prompt reference=射精,READY_FOR_AUDIT,NO,PASS,HIGH_SECOND_PASS,PASS,NO,射精,射精,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
28,feet,general_or_proxy;statistical_recommendation;semantic_support,missing,covered,249139,P0,足,足フェチ,EXISTING_SEARCH,HIGH,runtime search_by_canonical=足フェチ; local exact Japanese asset=足|足フェチ; #32 overlap label only; meaning/verdict unchanged,READY_FOR_AUDIT,YES,PASS,HIGH_SECOND_PASS,PASS,NO,足,足,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
29,footjob,general_or_proxy;statistical_recommendation;semantic_support,missing,covered,9719,P0,足コキ,足コキ,EXISTING_SEARCH,HIGH,runtime search_by_canonical=足コキ; local exact Japanese asset=足コキ; Special prompt reference=足による性的刺激; #32 overlap label only; meaning/verdict unchanged,READY_FOR_AUDIT,YES,PASS,HIGH_SECOND_PASS,PASS,NO,足コキ,足コキ,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
30,from_above,general_or_proxy;statistical_recommendation;semantic_support,missing,covered,136440,P0,上から見た構図,ハイアングル,EXISTING_SEARCH,HIGH,runtime search_by_canonical=ハイアングル; local exact Japanese asset=ハイアングル,READY_FOR_AUDIT,NO,PASS,HIGH_SECOND_PASS,PASS,NO,上から見た構図,上から見た構図,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
31,gaping,general_or_proxy;statistical_recommendation;semantic_support,missing,covered,5409,P0,開いたままの状態,拡張済み,EXISTING_SEARCH,HIGH,runtime search_by_canonical=拡張済み; local exact Japanese asset=拡張済み; Special prompt reference=開いた状態・拡張。単独では文脈依存,READY_FOR_AUDIT,NO,PASS,HIGH_SECOND_PASS,PASS,YES,拡張済み,開いたままの状態,FULL_100_INDEPENDENT_REVALIDATION,DANBOORU_WIKI:https://safebooru.donmai.us/wiki_pages/gaping; independent scope check: anus/pussy stays open by itself,UI_NATURALNESS_AND_STATE_SCOPE,CORRECTED,READY_FOR_AUDIT
32,handjob,general_or_proxy;statistical_recommendation;semantic_support,missing,covered,46024,P0,手コキ,オナホコキ|乳首舐め手コキ|手コキ|手コキッス|手袋コキ|背後から手コキ,EXISTING_SEARCH,HIGH,runtime search_by_canonical=オナホコキ|乳首舐め手コキ|手コキ|手コキッス|手袋コキ; local exact Japanese asset=オナホコキ|乳首舐め手コキ|手コキ|手コキッス|手交; Special prompt reference=手淫; #32 overlap label only; meaning/verdict unchanged,READY_FOR_AUDIT,YES,PASS,HIGH_SECOND_PASS,PASS,NO,手コキ,手コキ,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
33,kneeling,general_or_proxy;statistical_recommendation;semantic_support,missing,covered,145539,P0,ひざまずき,膝立ち|跪く,EXISTING_SEARCH,HIGH,runtime search_by_canonical=膝立ち|跪く; local exact Japanese asset=下跪|膝立ち|跪|跪く|跪着; #32 overlap label only; meaning/verdict unchanged,READY_FOR_AUDIT,YES,PASS,HIGH_SECOND_PASS,PASS,NO,ひざまずき,ひざまずき,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
34,lactation,general_or_proxy;statistical_recommendation;semantic_support,missing,missing,23393,P0,母乳分泌,母乳|乳汁,LOCAL_EXACT,HIGH,local exact Japanese asset=ロリ母乳|噴乳|搾乳|母乳; Special prompt reference=乳汁・母乳が出る状態,READY_FOR_AUDIT,NO,PASS,HIGH_SECOND_PASS,PASS,YES,母乳,母乳分泌,FULL_100_INDEPENDENT_REVALIDATION,"DANBOORU_WIKI:https://safebooru.donmai.us/wiki_pages/lactation; independent scope check: milk secretion state, not the substance alone",STATE_REDUCED_TO_SUBSTANCE,CORRECTED,READY_FOR_AUDIT
35,large_insertion,general_or_proxy;statistical_recommendation;semantic_support,missing,missing,2543,P0,大型物体の挿入,大型物体の挿入,LOCAL_EXACT,HIGH,local exact Japanese asset=粗大插入,READY_FOR_AUDIT,NO,PASS,HIGH_SECOND_PASS,PASS,NO,大型物体の挿入,大型物体の挿入,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
36,lying,general_or_proxy;statistical_recommendation;semantic_support,missing,covered,579031,P0,横たわる,うつぶせ|うつ伏せ|寝そべり|寝そべる|寝転がる|横になる,EXISTING_SEARCH,HIGH,runtime search_by_canonical=うつぶせ|うつ伏せ|寝そべり|寝そべる|寝転がる; local exact Japanese asset=うつぶせ|うつ伏せ|寝そべり|寝そべる|寝転がる,READY_FOR_AUDIT,NO,PASS,HIGH_SECOND_PASS,PASS,NO,横たわる,横たわる,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
37,machine,general_or_proxy;semantic_support,missing,missing,1998,P0,機械,機械,LOCAL_EXACT,HIGH,local exact Japanese asset=机器|機械,READY_FOR_AUDIT,NO,PASS,HIGH_SECOND_PASS,PASS,NO,機械,機械,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
38,multiple_penetration,general_or_proxy;semantic_support,missing,missing,58,P0,複数挿入,複数箇所への挿入,LOCAL_EXACT,HIGH,local exact Japanese asset=複数の浸透,REVIEW,NO,PASS,HIGH_SECOND_PASS,PASS,YES,複数箇所への挿入,複数挿入,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_REVIEW; no narrower distinct-location claim approved; human review retained,SEMANTIC_WIDTH_NARROWING,CORRECTED_AND_REVIEW,READY_FOR_AUDIT
39,on_back,general_or_proxy;statistical_recommendation;semantic_support,missing,covered,333604,P0,仰向け,仰向け,EXISTING_SEARCH,HIGH,runtime search_by_canonical=仰向け; local exact Japanese asset=仰向け|仰臥; #32 overlap label only; meaning/verdict unchanged,READY_FOR_AUDIT,YES,PASS,HIGH_SECOND_PASS,PASS,NO,仰向け,仰向け,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
40,penis,general_or_proxy;statistical_recommendation;semantic_support,missing,covered,518431,P0,陰茎,おちんちん|ちんこ|チンコ|ペニス|黒チンポ,EXISTING_SEARCH,HIGH,runtime search_by_canonical=おちんちん|ちんこ|チンコ|ペニス|黒チンポ; local exact Japanese asset=おちんちん|ちんこ|ちんちん|チンコ|ペニス; Special prompt reference=陰茎; #32 overlap label only; meaning/verdict unchanged,READY_FOR_AUDIT,YES,PASS,HIGH_SECOND_PASS,PASS,NO,陰茎,陰茎,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
41,restraints,general_or_proxy;semantic_support,missing,missing,250,P0,拘束具,拘束|拘束具,LOCAL_EXACT,HIGH,local exact Japanese asset=拘束,READY_FOR_AUDIT,NO,PASS,HIGH_SECOND_PASS,PASS,NO,拘束具,拘束具,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
42,robot,general_or_proxy;statistical_recommendation;semantic_support,missing,covered,84664,P0,ロボット,ロボ|ロボエロ|ロボショタ|ロボット,EXISTING_SEARCH,HIGH,runtime search_by_canonical=ロボ|ロボエロ|ロボショタ|ロボット; local exact Japanese asset=ロボ|ロボエロ|ロボショタ|ロボット,READY_FOR_AUDIT,NO,PASS,HIGH_SECOND_PASS,PASS,NO,ロボット,ロボット,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
43,sex,general_or_proxy;statistical_recommendation;semantic_support,missing,covered,341256,P0,性行為,キスハメ|セックス|トイレセックス|中出し,EXISTING_SEARCH,HIGH,runtime search_by_canonical=キスハメ|セックス|トイレセックス|中出し; local exact Japanese asset=キスハメ|セックス|トイレセックス|中出し|性交; Special prompt reference=性交・性行為,READY_FOR_AUDIT,NO,PASS,HIGH_SECOND_PASS,PASS,NO,性行為,性行為,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
44,sitting,general_or_proxy;statistical_recommendation;semantic_support,missing,covered,1237601,P0,座り,座り|座る,EXISTING_SEARCH,HIGH,runtime search_by_canonical=座り|座る; local exact Japanese asset=座り|座る|椅子尻; #32 overlap label only; meaning/verdict unchanged,READY_FOR_AUDIT,YES,PASS,HIGH_SECOND_PASS,PASS,NO,座り,座り,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
45,solo,general_or_proxy;statistical_recommendation;semantic_support,missing,covered,6583146,P0,1人,ひとり|ソロ,EXISTING_SEARCH,HIGH,runtime search_by_canonical=ひとり|ソロ; local exact Japanese asset=ひとり|ソロ|一人の女の子; #32 overlap label only; meaning/verdict unchanged,READY_FOR_AUDIT,YES,PASS,HIGH_SECOND_PASS,PASS,NO,1人,1人,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
46,spread_legs,general_or_proxy;statistical_recommendation;semantic_support,missing,covered,316235,P0,開脚,エロ蹲踞,EXISTING_SEARCH,HIGH,runtime search_by_canonical=エロ蹲踞; local exact Japanese asset=M字開脚|V字開脚|エロ蹲踞|张开双腿|開脚,READY_FOR_AUDIT,NO,PASS,HIGH_SECOND_PASS,PASS,NO,開脚,開脚,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
47,straddling,general_or_proxy;statistical_recommendation;semantic_support,missing,covered,86923,P0,またがる,馬乗り|馬乗りパイズリ,EXISTING_SEARCH,HIGH,runtime search_by_canonical=馬乗り|馬乗りパイズリ; local exact Japanese asset=馬乗り|馬乗りパイズリ|騎乗位,READY_FOR_AUDIT,NO,PASS,HIGH_SECOND_PASS,PASS,YES,騎乗位,またがる,FULL_100_INDEPENDENT_REVALIDATION,DANBOORU_WIKI:https://safebooru.donmai.us/wiki_pages/straddling?z=1; independent scope check: sitting/resting with legs on both sides,SEMANTIC_WIDTH_NARROWING,CORRECTED,READY_FOR_AUDIT
48,tentacles,general_or_proxy;statistical_recommendation;semantic_support,missing,missing,54261,P0,触手,触手,LOCAL_EXACT,HIGH,local exact Japanese asset=触手; Special prompt reference=触手,READY_FOR_AUDIT,NO,PASS,HIGH_SECOND_PASS,PASS,NO,触手,触手,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
49,vaginal,general_or_proxy;statistical_recommendation;semantic_support,missing,covered,254668,P0,膣への挿入,膣の,EXISTING_SEARCH,HIGH,runtime search_by_canonical=膣の; local exact Japanese asset=膣|膣の|阴道性行为; Special prompt reference=膣性交,READY_FOR_AUDIT,NO,PASS,HIGH_SECOND_PASS,PASS,YES,膣の,膣への挿入,FULL_100_INDEPENDENT_REVALIDATION,DANBOORU_WIKI:https://safebooru.donmai.us/wiki_pages/vaginal?z=1; independent scope check: penetration by any means,SEMANTIC_SCOPE_UNDERSPECIFIED,CORRECTED,READY_FOR_AUDIT
