special_id,tag_or_surface,product_fit_verdict,v1_review_note,v2_resolution,v2_kind_id,v2_kind_ja,v2_body_sites,v2_body_sites_ja,v2_themes,v2_themes_ja,rationale
1802,vibe,KEEP_REFERENCE_ONLY,vibe is a general word/slang outside vibrator context,REFERENCE_ONLY_NO_DIRECT_BROWSE,,,,,,,Issue #63 product-fit policy: retain exact/alias/reference/search access but do not surface as an independent default browse candidate when canonical/product-facing identity is available.
1803,load,KEEP_REFERENCE_ONLY,load is a common general word as well as semen/ejaculation slang,REFERENCE_ONLY_NO_DIRECT_BROWSE,,,,,,,Issue #63 product-fit policy: retain exact/alias/reference/search access but do not surface as an independent default browse candidate when canonical/product-facing identity is available.
1804,spunk,KEEP_REFERENCE_ONLY,spunk has non-sexual/general meanings in addition to semen slang,REFERENCE_ONLY_NO_DIRECT_BROWSE,,,,,,,Issue #63 product-fit policy: retain exact/alias/reference/search access but do not surface as an independent default browse candidate when canonical/product-facing identity is available.
1808,coming,KEEP_REFERENCE_ONLY,coming is a general word as well as orgasm slang,REFERENCE_ONLY_NO_DIRECT_BROWSE,,,,,,,Issue #63 product-fit policy: retain exact/alias/reference/search access but do not surface as an independent default browse candidate when canonical/product-facing identity is available.
1863,all the way through,KEEP,all the way through does not identify tentacles or a stable body site without context,BROWSE_RESOLVED,ACTION_CONTACT,行為・接触,,,,,"All-the-way-through is fundamentally an extreme insertion/penetration action, but its exact route/site can vary; keep only the broad action home."
1954,tied up,KEEP_REFERENCE_ONLY,tied up is placed in BDSM source but canonical target is tied_up_(nonsexual); do not force a BDSM browse path,REFERENCE_ONLY_NO_DIRECT_BROWSE,,,,,,,Issue #63 product-fit policy: retain exact/alias/reference/search access but do not surface as an independent default browse candidate when canonical/product-facing identity is available.
2043,balls,KEEP_REFERENCE_ONLY,balls can resolve outside anatomy without canonical context,REFERENCE_ONLY_NO_DIRECT_BROWSE,,,,,,,Issue #63 product-fit policy: retain exact/alias/reference/search access but do not surface as an independent default browse candidate when canonical/product-facing identity is available.
2187,breeding,KEEP_REFERENCE_ONLY,breeding can be sexual/reproductive or ordinary animal husbandry; do not force a sexual browse path without context,REFERENCE_ONLY_NO_DIRECT_BROWSE,,,,,,,Issue #63 product-fit policy: retain exact/alias/reference/search access but do not surface as an independent default browse candidate when canonical/product-facing identity is available.
2317,wringing clothes,KEEP_REFERENCE_ONLY,wringing clothes should not be forced into SITUATION_SCENE,REFERENCE_ONLY_NO_DIRECT_BROWSE,,,,,,,Issue #63 product-fit policy: retain exact/alias/reference/search access but do not surface as an independent default browse candidate when canonical/product-facing identity is available.
2353,minor,KEEP_REFERENCE_ONLY,minor can mean underage or simply lesser/smaller; do not force an age-role path without context,REFERENCE_ONLY_NO_DIRECT_BROWSE,,,,,,,Issue #63 product-fit policy: retain exact/alias/reference/search access but do not surface as an independent default browse candidate when canonical/product-facing identity is available.
2501,whipping hair,KEEP_REFERENCE_ONLY,whipping hair should not be forced into META_RATING or SITUATION_SCENE,REFERENCE_ONLY_NO_DIRECT_BROWSE,,,,,,,Issue #63 product-fit policy: retain exact/alias/reference/search access but do not surface as an independent default browse candidate when canonical/product-facing identity is available.
2770,serving tray (bdsm),REVIEW,serving tray (bdsm) lacks enough evidence for a stable primary browse path,DEFER_PRODUCT_FIT_REVIEW,,,,,,,Issue #63 product-fit REVIEW must remain inspectable and must not be silently promoted to an ordinary resolved browse candidate.
