audit_id,intent_ja,domain,route,canonical_components,special_ids,recipe_prompt,generation_families,model_scope,ordering_or_weighting,why_not_single_canonical,source_evidence,review_status
C014,カテーテルを使った状態で拘束,URETHRAL,COMBINATION_RECIPE_CANDIDATE,catheter + bondage,207 + 1897,"catheter, bondage",IMPLEMENT_OBJECT + RESTRAINT_ACTION,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No accepted single Special surface mechanically covers all resolved components; requires human product-fit review.,accepted Special generation profile + Issue #97 Phase C product-intent inventory,REVIEW_REQUIRED
C015,尿道内射精と拘束を同時に指定,URETHRAL,COMBINATION_RECIPE_CANDIDATE,cum in urethra + bondage,208 + 1897,"cum in urethra, bondage",FLUID_STATE_ACTION + RESTRAINT_ACTION,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No accepted single Special surface mechanically covers all resolved components; requires human product-fit review.,accepted Special generation profile + Issue #97 Phase C product-intent inventory,REVIEW_REQUIRED
C016,ボールギャグと手錠を同時に使う,BDSM_RESTRAINT,COMBINATION_RECIPE_CANDIDATE,ball gag + handcuffs,1814 + 1828,"ball gag, handcuffs",RESTRAINT_IMPLEMENT + RESTRAINT_IMPLEMENT,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No accepted single Special surface mechanically covers all resolved components; requires human product-fit review.,accepted Special generation profile + Issue #97 Phase C product-intent inventory,REVIEW_REQUIRED
C017,ボールギャグと目隠しを同時に使う,BDSM_RESTRAINT,COMBINATION_RECIPE_CANDIDATE,ball gag + blindfold,1814 + 1816,"ball gag, blindfold",RESTRAINT_IMPLEMENT + RESTRAINT_IMPLEMENT,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No accepted single Special surface mechanically covers all resolved components; requires human product-fit review.,accepted Special generation profile + Issue #97 Phase C product-intent inventory,REVIEW_REQUIRED
C018,ディルドギャグと手錠を同時に使う,BDSM_RESTRAINT,COMBINATION_RECIPE_CANDIDATE,dildo gag + handcuffs,270 + 1828,"dildo gag, handcuffs",IMPLEMENT_OBJECT + RESTRAINT_IMPLEMENT,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No accepted single Special surface mechanically covers all resolved components; requires human product-fit review.,accepted Special generation profile + Issue #97 Phase C product-intent inventory,REVIEW_REQUIRED
C019,手錠と目隠しを同時に使う,BDSM_RESTRAINT,COMBINATION_RECIPE_CANDIDATE,handcuffs + blindfold,1828 + 1816,"handcuffs, blindfold",RESTRAINT_IMPLEMENT + RESTRAINT_IMPLEMENT,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No accepted single Special surface mechanically covers all resolved components; requires human product-fit review.,accepted Special generation profile + Issue #97 Phase C product-intent inventory,REVIEW_REQUIRED
C020,手錠と足首拘束を同時に使う,BDSM_RESTRAINT,COMBINATION_RECIPE_CANDIDATE,handcuffs + bound ankles,1828 + 1899,"handcuffs, bound ankles",RESTRAINT_IMPLEMENT + RESTRAINT_ACTION,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No accepted single Special surface mechanically covers all resolved components; requires human product-fit review.,accepted Special generation profile + Issue #97 Phase C product-intent inventory,REVIEW_REQUIRED
C021,両腕を離して拘束しボールギャグ,BDSM_RESTRAINT,COMBINATION_RECIPE_CANDIDATE,arms bound apart + ball gag,1895 + 1814,"arms bound apart, ball gag",RESTRAINT_ACTION + RESTRAINT_IMPLEMENT,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No accepted single Special surface mechanically covers all resolved components; requires human product-fit review.,accepted Special generation profile + Issue #97 Phase C product-intent inventory,REVIEW_REQUIRED
C022,拘束状態で鞭を使う,BDSM_RESTRAINT,COMBINATION_RECIPE_CANDIDATE,bound + whip,1898 + 1843,"bound, whip",RESTRAINT_ACTION + RESTRAINT_IMPLEMENT,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No accepted single Special surface mechanically covers all resolved components; requires human product-fit review.,accepted Special generation profile + Issue #97 Phase C product-intent inventory,REVIEW_REQUIRED
C023,拘束状態でフロッガーを使う,BDSM_RESTRAINT,COMBINATION_RECIPE_CANDIDATE,bound + flogger,1898 + 1824,"bound, flogger",RESTRAINT_ACTION + RESTRAINT_IMPLEMENT,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No accepted single Special surface mechanically covers all resolved components; requires human product-fit review.,accepted Special generation profile + Issue #97 Phase C product-intent inventory,REVIEW_REQUIRED
C024,拘束状態で木馬を使う,BDSM_RESTRAINT,COMBINATION_RECIPE_CANDIDATE,bound + wooden horse,1898 + 1844,"bound, wooden horse",RESTRAINT_ACTION + RESTRAINT_IMPLEMENT,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No accepted single Special surface mechanically covers all resolved components; requires human product-fit review.,accepted Special generation profile + Issue #97 Phase C product-intent inventory,REVIEW_REQUIRED
C025,乳首へのバイブ刺激と手錠,BREAST_NIPPLE,COMBINATION_RECIPE_CANDIDATE,vibrator on nipple + handcuffs,265 + 1828,"vibrator on nipple, handcuffs",IMPLEMENT_OBJECT + RESTRAINT_IMPLEMENT,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No accepted single Special surface mechanically covers all resolved components; requires human product-fit review.,accepted Special generation profile + Issue #97 Phase C product-intent inventory,REVIEW_REQUIRED
C026,乳首いじりと拘束,BREAST_NIPPLE,COMBINATION_RECIPE_CANDIDATE,nipple tweak + bondage,47 + 1897,"nipple tweak, bondage",ACTION_INTERACTION + RESTRAINT_ACTION,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No accepted single Special surface mechanically covers all resolved components; requires human product-fit review.,accepted Special generation profile + Issue #97 Phase C product-intent inventory,REVIEW_REQUIRED
C027,女性射精と拘束を同時に指定,FLUID_EXCRETION,COMBINATION_RECIPE_CANDIDATE,female ejaculation + bondage,556 + 1897,"female ejaculation, bondage",FLUID_STATE_ACTION + RESTRAINT_ACTION,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No accepted single Special surface mechanically covers all resolved components; requires human product-fit review.,accepted Special generation profile + Issue #97 Phase C product-intent inventory,REVIEW_REQUIRED
C028,膣内射精と拘束を同時に指定,FLUID_EXCRETION,COMBINATION_RECIPE_CANDIDATE,cum in pussy + bondage,553 + 1897,"cum in pussy, bondage",FLUID_STATE_ACTION + RESTRAINT_ACTION,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No accepted single Special surface mechanically covers all resolved components; requires human product-fit review.,accepted Special generation profile + Issue #97 Phase C product-intent inventory,REVIEW_REQUIRED
C029,胸への射精と拘束を同時に指定,FLUID_EXCRETION,COMBINATION_RECIPE_CANDIDATE,cum on breasts + bondage,554 + 1897,"cum on breasts, bondage",FLUID_STATE_ACTION + RESTRAINT_ACTION,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No accepted single Special surface mechanically covers all resolved components; requires human product-fit review.,accepted Special generation profile + Issue #97 Phase C product-intent inventory,REVIEW_REQUIRED
C030,ぶっかけと拘束を同時に指定,FLUID_EXCRETION,COMBINATION_RECIPE_CANDIDATE,bukkake + bondage,336 + 1897,"bukkake, bondage",FLUID_STATE_ACTION + RESTRAINT_ACTION,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No accepted single Special surface mechanically covers all resolved components; requires human product-fit review.,accepted Special generation profile + Issue #97 Phase C product-intent inventory,REVIEW_REQUIRED
C031,内部射精と目隠しを同時に指定,FLUID_EXCRETION,COMBINATION_RECIPE_CANDIDATE,internal cumshot + blindfold,334 + 1816,"internal cumshot, blindfold",FLUID_STATE_ACTION + RESTRAINT_IMPLEMENT,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No accepted single Special surface mechanically covers all resolved components; requires human product-fit review.,accepted Special generation profile + Issue #97 Phase C product-intent inventory,REVIEW_REQUIRED
C032,放屁フェチ表現と拘束を同時に指定,FLUID_EXCRETION,COMBINATION_RECIPE_CANDIDATE,fart + bondage,1762 + 1897,"fart, bondage",FLUID_STATE_ACTION + RESTRAINT_ACTION,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No accepted single Special surface mechanically covers all resolved components; requires human product-fit review.,accepted Special generation profile + Issue #97 Phase C product-intent inventory,REVIEW_REQUIRED
C033,触手セックスと拘束を同時に指定,NONHUMAN_TENTACLE,COMBINATION_RECIPE_CANDIDATE,tentacle sex + bondage,325 + 1897,"tentacle sex, bondage",NONHUMAN_INTERACTION + RESTRAINT_ACTION,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No accepted single Special surface mechanically covers all resolved components; requires human product-fit review.,accepted Special generation profile + Issue #97 Phase C product-intent inventory,REVIEW_REQUIRED
C034,触手オナニーと拘束を同時に指定,NONHUMAN_TENTACLE,COMBINATION_RECIPE_CANDIDATE,tentacle masturbation + bondage,326 + 1897,"tentacle masturbation, bondage",NONHUMAN_INTERACTION + RESTRAINT_ACTION,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No accepted single Special surface mechanically covers all resolved components; requires human product-fit review.,accepted Special generation profile + Issue #97 Phase C product-intent inventory,REVIEW_REQUIRED
C035,触手ディルドと拘束を同時に指定,NONHUMAN_TENTACLE,COMBINATION_RECIPE_CANDIDATE,tentacle dildo + bondage,333 + 1897,"tentacle dildo, bondage",NONHUMAN_INTERACTION + RESTRAINT_ACTION,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No accepted single Special surface mechanically covers all resolved components; requires human product-fit review.,accepted Special generation profile + Issue #97 Phase C product-intent inventory,REVIEW_REQUIRED
C036,膣への触手表現と拘束を同時に指定,NONHUMAN_TENTACLE,COMBINATION_RECIPE_CANDIDATE,pussy tentacle + bondage,552 + 1897,"pussy tentacle, bondage",NONHUMAN_INTERACTION + RESTRAINT_ACTION,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No accepted single Special surface mechanically covers all resolved components; requires human product-fit review.,accepted Special generation profile + Issue #97 Phase C product-intent inventory,REVIEW_REQUIRED
C037,男性器への触手表現と拘束を同時に指定,NONHUMAN_TENTACLE,COMBINATION_RECIPE_CANDIDATE,penis tentacle + bondage,613 + 1897,"penis tentacle, bondage",NONHUMAN_INTERACTION + RESTRAINT_ACTION,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No accepted single Special surface mechanically covers all resolved components; requires human product-fit review.,accepted Special generation profile + Issue #97 Phase C product-intent inventory,REVIEW_REQUIRED
C038,口内触手と目隠しを同時に指定,NONHUMAN_TENTACLE,COMBINATION_RECIPE_CANDIDATE,tentacle in mouth + blindfold,1862 + 1816,"tentacle in mouth, blindfold",NONHUMAN_INTERACTION + RESTRAINT_IMPLEMENT,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No accepted single Special surface mechanically covers all resolved components; requires human product-fit review.,accepted Special generation profile + Issue #97 Phase C product-intent inventory,REVIEW_REQUIRED
C039,触手に掴まれた状態でボールギャグ,NONHUMAN_TENTACLE,COMBINATION_RECIPE_CANDIDATE,grabbed by tentacles + ball gag,1866 + 1814,"grabbed by tentacles, ball gag",NONHUMAN_INTERACTION + RESTRAINT_IMPLEMENT,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No accepted single Special surface mechanically covers all resolved components; requires human product-fit review.,accepted Special generation profile + Issue #97 Phase C product-intent inventory,REVIEW_REQUIRED
C040,機械触手と拘束を同時に指定,NONHUMAN_TENTACLE,COMBINATION_RECIPE_CANDIDATE,mechanical tentacles + bondage,1847 + 1897,"mechanical tentacles, bondage",NONHUMAN_INTERACTION + RESTRAINT_ACTION,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No accepted single Special surface mechanically covers all resolved components; requires human product-fit review.,accepted Special generation profile + Issue #97 Phase C product-intent inventory,REVIEW_REQUIRED
C041,首に巻き付く触手と拘束を同時に指定,NONHUMAN_TENTACLE,COMBINATION_RECIPE_CANDIDATE,tentacle around neck + bondage,1879 + 1897,"tentacle around neck, bondage",NONHUMAN_INTERACTION + RESTRAINT_ACTION,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No accepted single Special surface mechanically covers all resolved components; requires human product-fit review.,accepted Special generation profile + Issue #97 Phase C product-intent inventory,REVIEW_REQUIRED
C042,多数の触手と目隠しを同時に指定,NONHUMAN_TENTACLE,COMBINATION_RECIPE_CANDIDATE,multiple tentacles + blindfold,1856 + 1816,"multiple tentacles, blindfold", + RESTRAINT_IMPLEMENT,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No accepted single Special surface mechanically covers all resolved components; requires human product-fit review.,accepted Special generation profile + Issue #97 Phase C product-intent inventory,REVIEW_REQUIRED
C043,開いた状態とアナルビーズを同時に指定,BODY_STATE_EXTREME,COMBINATION_RECIPE_CANDIDATE,gaping + anal beads,1758 + 266,"gaping, anal beads",BODY_STATE + IMPLEMENT_OBJECT,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No accepted single Special surface mechanically covers all resolved components; requires human product-fit review.,accepted Special generation profile + Issue #97 Phase C product-intent inventory,REVIEW_REQUIRED
C044,脱出・突出状態と拘束を同時に指定,BODY_STATE_EXTREME,COMBINATION_RECIPE_CANDIDATE,prolapse + bondage,1759 + 1897,"prolapse, bondage",BODY_STATE + RESTRAINT_ACTION,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No accepted single Special surface mechanically covers all resolved components; requires human product-fit review.,accepted Special generation profile + Issue #97 Phase C product-intent inventory,REVIEW_REQUIRED
C045,極端なストレッチとアナルビーズを同時に指定,BODY_STATE_EXTREME,COMBINATION_RECIPE_CANDIDATE,extreme stretching + anal beads,204 + 266,"extreme stretching, anal beads", + IMPLEMENT_OBJECT,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No accepted single Special surface mechanically covers all resolved components; requires human product-fit review.,accepted Special generation profile + Issue #97 Phase C product-intent inventory,REVIEW_REQUIRED
C046,切断表現と拘束を同時に指定,R18G_DAMAGE,COMBINATION_RECIPE_CANDIDATE,amputee + bondage,1765 + 1897,"amputee, bondage",DAMAGE_STATE_ACTION + RESTRAINT_ACTION,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No accepted single Special surface mechanically covers all resolved components; requires human product-fit review.,accepted Special generation profile + Issue #97 Phase C product-intent inventory,REVIEW_REQUIRED
C047,複数人の性行為と目隠しを同時に指定,MULTI_ACTOR,COMBINATION_RECIPE_CANDIDATE,teamwork (sexual) + blindfold,58 + 1816,"teamwork (sexual), blindfold",MULTI_ACTOR_INTERACTION + RESTRAINT_IMPLEMENT,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No accepted single Special surface mechanically covers all resolved components; requires human product-fit review.,accepted Special generation profile + Issue #97 Phase C product-intent inventory,REVIEW_REQUIRED
C048,協力手コキと拘束を同時に指定,MULTI_ACTOR,COMBINATION_RECIPE_CANDIDATE,cooperative handjob + bondage,17 + 1897,"cooperative handjob, bondage",MULTI_ACTOR_INTERACTION + RESTRAINT_ACTION,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No accepted single Special surface mechanically covers all resolved components; requires human product-fit review.,accepted Special generation profile + Issue #97 Phase C product-intent inventory,REVIEW_REQUIRED
C049,協力足コキと拘束を同時に指定,MULTI_ACTOR,COMBINATION_RECIPE_CANDIDATE,cooperative footjob + bondage,16 + 1897,"cooperative footjob, bondage",MULTI_ACTOR_INTERACTION + RESTRAINT_ACTION,MODEL_NEUTRAL_IDENTITY_ONLY; EFFECTIVENESS_NOT_CERTIFIED,NONE_ASSUMED,No accepted single Special surface mechanically covers all resolved components; requires human product-fit review.,accepted Special generation profile + Issue #97 Phase C product-intent inventory,REVIEW_REQUIRED
