special_id,japanese_display,english_tag,candidate_kind,audited_subintent,visible_body_facet_id,visible_body_facet_ja,decision,reason
756,濃い色の・肛門に関係する表現,dark anus,身体・状態,ANAL_RECTAL,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
757,すぼまった・しわの寄った肛門,puckered anus,身体・状態,ANAL_RECTAL,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
763,肛門・アナル・毛に関係する表現,anal hair,身体・状態,ANAL_RECTAL,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
775,肛門から出る・肛門周辺にある液体の描写,anal fluid,体液・排泄,ANAL_RECTAL,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
778,自分の肛門を開いて見せる描写,spreading own anus,ポーズ・構図・場面,ANAL_RECTAL,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
787,他人の肛門を開いて見せる描写,spreading another's anus,ポーズ・構図・場面,ANAL_RECTAL,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
795,覆われた・肛門に関係する表現,covered anus,衣服・露出,ANAL_RECTAL,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
839,自分の肛門を見せる・差し出す描写,presenting own anus,ポーズ・構図・場面,ANAL_RECTAL,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
857,肛門をモザイク・遮蔽物などで隠した描写,censored anus,表現・メタ,ANAL_RECTAL,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
877,原語「x」・肛門に関係する表現,x anus,身体・状態,ANAL_RECTAL,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
911,通常とは異なる色に着色された肛門,colored anus,身体・状態,ANAL_RECTAL,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
922,開いた・肛門が衣服の下・内側にある描写,spread anus under clothes,衣服・露出,ANAL_RECTAL,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
935,変形・不自然に拡張された肛門,deformed anus,身体・状態,ANAL_RECTAL,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
948,肛門が描かれていない身体表現,no anus,身体・状態,ANAL_RECTAL,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
962,青い・肛門に関係する表現,blue anus,身体・状態,ANAL_RECTAL,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
1009,馬・肛門に関係する表現,horse anus,異形・変形,ANAL_RECTAL,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
1035,三角形の・肛門に関係する表現,triangular anus,身体・状態,ANAL_RECTAL,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
1074,割れ目・裂け目・肛門に関係する表現,cleft anus,身体・状態,ANAL_RECTAL,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
1123,口紅の跡が肛門の上・表面にある、または接触している描写,lipstick mark on anus,身体・状態,ANAL_RECTAL,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
1158,縦向き・肛門に関係する表現,vertical anus,身体・状態,ANAL_RECTAL,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
1216,緑色の・肛門に関係する表現,green anus,身体・状態,ANAL_RECTAL,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
1344,精液が臀部の上・表面にある、または接触している描写,semen on ass,体液・排泄,BUTTOCK,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
1349,肛門・開いたに関係する表現,anus spread,ポーズ・構図・場面,ANAL_RECTAL,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
1350,肛門・開いて見せるに関係する表現,anus spreading,ポーズ・構図・場面,ANAL_RECTAL,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
1355,部分的に・見える・肛門に関係する表現,partially visible anus,衣服・露出,ANAL_RECTAL,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
1400,膨らんだ・肛門に関係する表現,puffy anus,身体・状態,ANAL_RECTAL,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
1459,肛門を見せる・差し出す描写,presenting anus,ポーズ・構図・場面,ANAL_RECTAL,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
1475,肛門の匂いを嗅ぐ描写,smelling anus,行為・接触,ANAL_RECTAL,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
1580,肛門の別名・表記揺れ,ass hole,身体・状態,ANAL_RECTAL,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
1581,肛門の別名・表記揺れ,asshole,身体・状態,ANAL_RECTAL,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
1582,肛門の別名・表記揺れ,butt hole,身体・状態,ANAL_RECTAL,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
1583,肛門の別名・表記揺れ,butthole,身体・状態,ANAL_RECTAL,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
1650,肛門への口淫の別名・表記揺れ,analingus,行為・接触,ANAL_RECTAL,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
1651,肛門への口淫の別名・表記揺れ,annilingus,行為・接触,ANAL_RECTAL,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
1652,尻で性器を挟む・こする行為の別名・表記揺れ,assjob,行為・接触,BUTTOCK,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
1653,尻で性器を挟む・こする行為の別名・表記揺れ,hotdogging,行為・接触,BUTTOCK,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
1654,尻で性器を挟む・こする行為の別名・表記揺れ,shirikoki,行為・接触,BUTTOCK,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
1809,臀部を開いて肛門周辺を見せる描写,ass spread,行為・接触,BOTH,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
1810,臀部露出,bare ass,衣服・露出,BUTTOCK,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
2005,肛門・直腸部の断面表示,anal cross-section,身体・状態,ANAL_RECTAL,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
2069,肛門用ボール器具を身につけた衣装・状態,anal ball wear,道具・物,ANAL_RECTAL,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
2071,尻部分が開いた衣装,ass cutout,衣服・露出,BUTTOCK,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
2140,臀部を強調する構図,ass focus,ポーズ・構図・場面,BUTTOCK,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
2359,臀部,ass,身体・状態,BUTTOCK,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
2523,臀部が衣服などから一部覗いている状態,ass peek,衣服・露出,BUTTOCK,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
2540,原語「posterior」・胸の谷間に関係する表現,posterior cleavage,身体・状態,BUTTOCK,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
2638,臀部の別名・表記揺れ,butt cheeks,身体・状態,BUTTOCK,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
2660,臀部を強調する構図の別名・表記揺れ,pov ass,ポーズ・構図・場面,BUTTOCK,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
2689,尻などを叩かれているBDSM表現の別名・表記揺れ,red butt,行為・接触,BUTTOCK,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
2690,尻などを叩かれているBDSM表現の別名・表記揺れ,slap mark on ass,行為・接触,BUTTOCK,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
2702,尻部分が開いた衣装の別名・表記揺れ,heart ass cutout,衣服・露出,BUTTOCK,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
2767,直腸,rectum,身体・状態,ANAL_RECTAL,BUTTOCK_ANAL,尻・肛門,KEEP_COARSE_SHARED_FACET,尻と肛門は内部意味を区別できるが、可視分類を分けると小棚が増え探しにくくなるため共通facetを維持
