row_id,canonical_tag,identity_verdict,display_verdict,search_verdict,ranking_verdict,scope_verdict,relation_note,confidence,evidence_refs,proposed_display,proposed_search,reviewer_note,second_review_required
I70-000896,illustrious_(azur_lane),PASS,PASS,FAIL_NON_IDENTITY_TERM,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,MEDIUM,INTERNAL:canonical/display/search/aliases,,イラストリアス（アズールレーン） | イラストリアス,エンイラ is pairing/fandom-style shorthand rather than this single character identity.,true
I70-002550,phainon_(khaslana)_(honkai:_star_rail),PASS,FAIL_QUALIFIER,REVIEW,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,MEDIUM,INTERNAL:canonical/display/search/aliases,ファイノン（カスラナ）,,Raw khaslana qualifier should not remain lowercase English in Japanese display. Exact variant naming needs second review.,true
I70-002769,gigi_murin_(1st_costume),PASS,FAIL_QUALIFIER,PASS,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,ジジ・ムリン（初期衣装）,,Current search already provides a natural Japanese qualifier for 1st costume.,true
I70-003205,texas_(willpower)_(arknights),PASS,FAIL_QUALIFIER,REVIEW,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,MEDIUM,INTERNAL:canonical/display/search/aliases,テキサス（アークナイツ）（Willpower）,,Raw lowercase willpower should at least preserve the proper-title casing. Exact Japanese treatment of the outfit/title needs second review.,true
I70-003738,binah_(project_moon),PASS,PASS,PASS,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,MEDIUM,INTERNAL:canonical/display/search/aliases,,,Project Moon is a proper-name disambiguator; mixed Latin is not automatically a translation defect.,false
I70-004211,chloe_von_einzbern_(archer_install),PASS,FAIL_QUALIFIER,PASS,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,クロエ・フォン・アインツベルン（アーチャーインストール）,,Current search already contains the Japanese qualifier.,true
I70-004475,skadi_(elite_ii)_(arknights),PASS,FAIL_QUALIFIER,PASS,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,スカジ（アークナイツ）（昇進2）,,Current search already maps elite ii to 昇進2; preserve work + variant identity in display.,true
I70-006091,spider-man_(miles_morales),PASS,FAIL_QUALIFIER,PASS,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,スパイダーマン（マイルズ・モラレス）,,Current search already contains the Japanese personal-name qualifier.,true
I70-008317,takagi_(tansuke),REVIEW,PASS,PASS,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,LOW,INTERNAL:canonical/display/search/aliases,,,tansuke appears to be an opaque creator/disambiguation qualifier; do not translate or remove without identity-source verification.,true
I70-010005,manhattan_cafe_(casual)_(umamusume),PASS,FAIL_QUALIFIER,PASS,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,マンハッタンカフェ（ウマ娘）（私服）,,Current search already maps casual to 私服.,true
I70-010180,gardevoir_(fashionable),PASS,FAIL_QUALIFIER,PASS,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,MEDIUM,INTERNAL:canonical/display/search/aliases,サーナイト（ファッショナブル）,,Current search provides the Japanese qualifier; exact official variant label should be second-reviewed.,true
I70-010318,yamanin_zephyr_(fluttertail_spirit)_(umamusume),PASS,FAIL_QUALIFIER,PASS,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,MEDIUM,INTERNAL:canonical/display/search/aliases,ヤマニンゼファー（Fluttertail Spirit）,,Current search preserves title casing; lowercase raw qualifier is unsuitable. Whether to translate the title is a separate policy question.,true
I70-011847,barghest_(first_ascension)_(fate),PASS,FAIL_QUALIFIER,PASS,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,バーゲスト（Fate/Grand Order）（第一再臨）,,Current search already maps first ascension to 第一再臨.,true
I70-030690,miku_(yuuki_(yuyuki000)),REVIEW,FAIL_TRANSLATION,REVIEW,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,LOW,INTERNAL:canonical/display/search/aliases,,,ミク（リー）（yuyuki000） does not transparently correspond to canonical miku_(yuuki_(yuyuki000)); likely parse/translation corruption. Needs source-level identity review before proposing text.,true
I70-035922,kemono_friends,PASS,PASS,FAIL_NON_IDENTITY_TERM,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,,けものフレンズ | けもフレ,"Search mixes child titles and fan/community terms (e.g. よこがおフレンズ, アライさん美術部, オトナけもフレ) into the umbrella copyright identity.",true
I70-035965,k-on!,PASS,PASS,FAIL_NON_IDENTITY_TERM,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,,けいおん | けいおん! | けいおん!!,"ぼっち・ざ・けいおん! is a crossover/fandom mashup surface, not the K-ON! copyright identity.",true
I70-000042,shimakaze_(kancolle),PASS,PASS,PASS,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,,,Short-name collision is expected; current work-qualified display preserves identity.,false
I70-000053,asuna_(blue_archive),PASS,PASS,PASS,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,,,Short アスナ collision is expected; full-name display and work-specific search surface are appropriate.,false
I70-000075,koakuma,PASS,PASS,REVIEW,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,MEDIUM,INTERNAL:canonical/display/search/aliases,,,"Touhou suffix is useful for generic 小悪魔, but まさに小悪魔/こぁーず/こあぱい look fandom-specific and should be verified before retention.",true
I70-036035,neptune_(series),PASS,PASS,REVIEW,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,MEDIUM,INTERNAL:canonical/display/search/aliases,,,超次元ゲイムネプテューヌ is a specific title that may also serve as the franchise root; verify umbrella-search policy.,true
I70-000115,abigail_williams_(fate),PASS,PASS,FAIL_NON_IDENTITY_TERM,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,,アビゲイル・ウィリアムズ | アビゲイル | アビゲイル(Fate) | アビゲイル・ウィリアムズ(Fate),"異端なるセイレム is a story chapter, and アビラヴィ is pairing-style shorthand rather than this character identity.",true
I70-000128,nekomata_okayu,PASS,PASS,FAIL_NON_IDENTITY_TERM,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,,猫又おかゆ,おかころ is a pairing name; 絵かゆ is a fanart tag; エロおにぎり is a fandom/content nickname rather than stable identity alias.,true
I70-000281,astolfo_(fate),PASS,PASS,PASS,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,,,Fate qualifier is a useful disambiguator; Latin franchise label is intentional/proper-name style.,false
I70-000526,miyamoto_musashi_(fate),PASS,PASS,PASS,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,,,Fate qualifier is useful because 宮本武蔵 is ambiguous with the historical person.,false
I70-000947,kiyohime_(fate),PASS,PASS,PASS,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,,,Fate qualifier is useful because 清姫 is ambiguous beyond this franchise.,false
I70-036551,ryuu_ga_gotoku_(series),PASS,PASS,PASS,PASS,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,,,,false
I70-001857,astolfo_(rider)_(fate),PASS,FAIL_QUALIFIER,PASS,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,アストルフォ（Fate）（ライダー）,,Raw rider qualifier should use the Japanese class label already present in search.,true
I70-002168,callie_(squid_sisters_outfit)_(splatoon),PASS,FAIL_QUALIFIER,PASS,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,アオリ（スプラトゥーン）（シオカラーズ衣装）,,Current search already supplies the Japanese outfit qualifier.,true
I70-002406,lapras,PASS,PASS,PASS,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,MEDIUM,INTERNAL:canonical/display/search/aliases,,,ポケットモンスター suffix is useful disambiguation for Japanese ラプラス; do not remove solely because canonical is unqualified.,false
I70-002834,prinz_eugen_(unfading_smile)_(azur_lane),PASS,FAIL_QUALIFIER,FAIL_MISSING_ALIAS,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,プリンツ・オイゲン（アズールレーン）（色褪せないエガオ）,プリンツ・オイゲン | 色褪せないエガオ,Display leaves English variant raw; Japanese search currently omits the base character name.,true
I70-003168,haunter,PASS,PASS,PASS,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,MEDIUM,INTERNAL:canonical/display/search/aliases,,,ポケットモンスター suffix is useful because Japanese ゴースト is extremely generic.,false
I70-003685,almond_eye_(the_changer)_(umamusume),PASS,PASS,PASS,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,MEDIUM,INTERNAL:canonical/display/search/aliases,,,The Changer looks like a proper variant/title surface and current display/search agree; keep pending style consistency review.,false
I70-004231,rainbow_dash,PASS,PASS,PASS,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,MEDIUM,INTERNAL:canonical/display/search/aliases,,,My Little Pony suffix is useful product disambiguation even though canonical is unqualified.,false
I70-005094,applejack,PASS,PASS,PASS,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,MEDIUM,INTERNAL:canonical/display/search/aliases,,,My Little Pony suffix is useful product disambiguation for generic Applejack.,false
I70-038278,predator_(series),PASS,PASS,PASS,REVIEW,REVIEW,RELATION_UNKNOWN,MEDIUM,INTERNAL:canonical/display/search/aliases,,,Predator is primarily live-action but has comics/games/illustrated derivatives; mixed-media scope requires policy review.,true
I70-039949,agarest_senki,PASS,PASS,PASS,PASS,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,,,,false
