row_id,canonical_tag,category,display_ja,search_ja,translation_status,translation_note
I70-023548,alolan_sandshrew,4,アローラサンド,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023549,alpha-01,4,alpha-01,,REVIEW_REQUIRED,no reliable Japanese evidence
I70-023550,amagi_nao,4,天城なお,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023551,ame_(mignon),4,コウハちゃん（ミニョン）,,REVIEW_REQUIRED,parenthetical candidate does not map cleanly to a copyright disambiguator
I70-023552,anne_lester,4,アニー・レスター,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023553,archangel_metatron_(p&d),4,メタトロン,,REVIEW_REQUIRED,variant/form rendering plausible but not independently verified
I70-023554,argama,4,アーガマ,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023555,ariel_(yu-gi-oh!),4,アリエル,アリエル（yu-gi-oh！）,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023556,aris_(princess)_(blue_archive),4,名もなき神々の王女,,REVIEW_REQUIRED,variant/form rendering plausible but not independently verified
I70-023557,axia_krone_(1st_costume),4,アクシア・クローネ(通常),,REVIEW_REQUIRED,parenthetical candidate does not map cleanly to a copyright disambiguator
I70-023558,ayasegawa_yumichika,4,綾瀬川弓親,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023559,bamiko_(nanju_bami),4,バミコ,,REVIEW_REQUIRED,short kana-only candidate is too ambiguous without contextual search evidence
I70-023560,bardiche_(haken_form)_(nanoha),4,ハーケンフォーム,,REVIEW_REQUIRED,variant/form rendering plausible but not independently verified
I70-023561,beelzebumon_blast_mode,4,ベルゼブモン:ブラストモード,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023562,bianca:_veritas_(pgr),4,真理,,REVIEW_REQUIRED,short kanji-only candidate is too ambiguous without contextual search evidence
I70-023563,bito_daisukenojo,4,ビイト,,REVIEW_REQUIRED,short kana-only candidate is too ambiguous without contextual search evidence
I70-023564,bodhisattva,4,菩薩,,REVIEW_REQUIRED,short kanji-only candidate is too ambiguous without contextual search evidence
I70-023565,cerecere_(sailor_moon),4,セレセレ,,REVIEW_REQUIRED,variant/form rendering plausible but not independently verified
I70-023566,cherri_bomb,4,cherri bomb,,REVIEW_REQUIRED,multiple/conflicting Japanese candidates
I70-023567,chiz_(nte),4,ちぃちゃん(NTE),,REVIEW_REQUIRED,parenthetical candidate does not map cleanly to a copyright disambiguator
I70-023568,chrome_(dr._stone),4,クロム(Dr.STONE),,REVIEW_REQUIRED,short kana-only candidate is too ambiguous without contextual search evidence
I70-023569,cupcake_bunny_(omori),4,cupcake bunny (omori),,REVIEW_REQUIRED,multiple/conflicting Japanese candidates
I70-023570,cupitan_(summer)_(granblue_fantasy),4,cupitan (summer) (granblue fantasy),,REVIEW_REQUIRED,multiple/conflicting Japanese candidates
I70-023571,deathpolca,4,デスポリュカ,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023572,deel_(haevest),4,ディール,ディール（heevest）,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023573,deep_impact_(umamusume),4,ディープインパクト,ディープインパクト(ウマ娘),ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023574,deoxys_(defense),4,ディフェンスフォルム,,ACCEPTED_AI,Japanese Pokemon form/name candidate consistent with franchise context
I70-023575,desuhiko_thunderbolt,4,デスヒコ=サンダーボルト,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023576,diana_(sailor_moon),4,ダイアナ,,REVIEW_REQUIRED,variant/form rendering plausible but not independently verified
I70-023577,dolores_madrigal,4,ドロレス・マドリガル,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023578,electro_alice,4,エレクトロアリス,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023579,en_ciel_rena_(aegis),4,エンシェル・レナ,,REVIEW_REQUIRED,variant/form rendering plausible but not independently verified
I70-023580,exusiai_(city_rider)_(arknights),4,exusiai (city rider) (arknights),,REVIEW_REQUIRED,no reliable Japanese evidence
I70-023581,falco_grice,4,ファルコ・グリス,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023582,finana_ryugu_(3rd_costume),4,フィナーナ・竜宮(テックジャケット),,REVIEW_REQUIRED,parenthetical candidate does not map cleanly to a copyright disambiguator
I70-023583,floor_of_art's_glowing_creature,4,floor of art's glowing creature,,REVIEW_REQUIRED,multiple/conflicting Japanese candidates
I70-023584,fukouko_(keisuke309),4,不幸子,,REVIEW_REQUIRED,variant/form rendering plausible but not independently verified
I70-023585,goshingyu-sama_(kemono_friends),4,ゴシンギュウサマ,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023586,grecale_(halloween)_(kancolle),4,グレカーレ(ハロウィン),,REVIEW_REQUIRED,parenthetical candidate does not map cleanly to a copyright disambiguator
I70-023587,grimm_(hollow_knight),4,grimm (hollow knight),,REVIEW_REQUIRED,multiple/conflicting Japanese candidates
I70-023588,haibara_sakuya,4,灰原朔夜,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023589,hatsune_miku_(magician),4,マジシャン,,REVIEW_REQUIRED,variant/form rendering plausible but not independently verified
I70-023590,heidern,4,ハイデルン,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023591,henry_townshend,4,ヘンリー・タウンゼント,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023592,hilbert_(fall_2020)_(pokemon),4,トウヤ(20シーズン),,REVIEW_REQUIRED,short kana-only candidate is too ambiguous without contextual search evidence
I70-023593,hououmaru_rei,4,鳳凰丸礼,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023594,huitzil_(darkstalkers),4,フォボス,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023595,huo_linger_(wanmei_shijie),4,火灵儿,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023596,inuzuka_miwa,4,犬塚みわ,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023597,jeunesse_crane_(fate),4,ミス・クレーン,ミス・クレーン(水着),ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023598,kaga_(white_fox's_new_year)_(azur_lane),4,白狐賀正,,REVIEW_REQUIRED,variant/form rendering plausible but not independently verified
I70-023599,kaguya_(kagaminomachi_no_kaguya),4,kaguya (kagaminomachi no kaguya),,REVIEW_REQUIRED,no reliable Japanese evidence
I70-023600,kaida_haru_(1st_costume),4,甲斐田晴(通常),,REVIEW_REQUIRED,parenthetical candidate does not map cleanly to a copyright disambiguator
I70-023601,kamen_rider_accel,4,仮面ライダーアクセル,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023602,kamen_rider_build_(rabbittank_form),4,ラビットタンク,,REVIEW_REQUIRED,variant/form rendering plausible but not independently verified
I70-023603,kamen_rider_wizard_(flame_style),4,フレイムスタイル,,REVIEW_REQUIRED,variant/form rendering plausible but not independently verified
I70-023604,kamen_rider_zero-one_(rising_hopper),4,ライジングホッパー,,REVIEW_REQUIRED,variant/form rendering plausible but not independently verified
I70-023605,kamoi_kai_bo_(kancolle),4,kamoi kai bo (kancolle),,REVIEW_REQUIRED,multiple/conflicting Japanese candidates
I70-023606,kanbara_akihito,4,神原秋人,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023607,karin_(stella_sora),4,カリン(ステラソラ),,REVIEW_REQUIRED,short kana-only candidate is too ambiguous without contextual search evidence
I70-023608,karyl_(real)_(princess_connect!),4,百地希留耶,,REVIEW_REQUIRED,variant/form rendering plausible but not independently verified
I70-023609,kasandra_(xenoblade),4,カサネ(ゼノブレイド2),,REVIEW_REQUIRED,short kana-only candidate is too ambiguous without contextual search evidence
I70-023610,kazama_iroha_(new_year),4,風真いろは(正月衣装),,REVIEW_REQUIRED,parenthetical candidate does not map cleanly to a copyright disambiguator
I70-023611,kensuke_(dungeon_meshi),4,ケン助,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023612,kersaint_(azur_lane),4,ケルサン,ケルサン(アズールレーン),ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023613,kinoshita_kazuya,4,木ノ下和也,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023614,konrad_curze,4,コンラッド・カーズ,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023615,koukawa_asuka,4,甲河アスカ,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023616,kudou_gai,4,工藤涯,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023617,kumajirou_(hetalia),4,クマジルー（ヘタリア）,,REVIEW_REQUIRED,parenthetical candidate does not map cleanly to a copyright disambiguator
I70-023618,kuna_mashiro,4,久南白,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023619,kurama_koharu,4,鞍馬小春,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023620,kyomoto_(look_back),4,京本,,REVIEW_REQUIRED,short kanji-only candidate is too ambiguous without contextual search evidence
I70-023621,labubu,4,ラブブ,,REVIEW_REQUIRED,short kana-only candidate is too ambiguous without contextual search evidence
I70-023622,landing_ship_no._101_(kancolle),4,landing ship no. 101 (kancolle),,REVIEW_REQUIRED,non-Japanese/simplified-Chinese evidence
I70-023623,laserbeak,4,コンドル,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023624,laura_(fire_emblem),4,ローラ,,REVIEW_REQUIRED,short kana-only candidate is too ambiguous without contextual search evidence
I70-023625,lexington_ii_(azur_lane),4,レキシントンII,,REVIEW_REQUIRED,Latin-heavy candidate requires verification
I70-023626,lieselotte_sherlock,4,リーゼロッテ=シャルロック,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023627,lin_daiyu_(project_moon),4,林黛玉,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023628,lion_(warship_girls_r),4,ライオン,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023629,lucina_(hope-ruling_queen)_(fire_emblem),4,lucina (hope-ruling queen) (fire emblem),,REVIEW_REQUIRED,multiple/conflicting Japanese candidates
I70-023630,madarame_ikkaku,4,マダラメ・イッカク,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023631,marchen_von_friedhof,4,マルチェン・フォン・フリードホフ,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023632,margot_knight,4,マルゴット・ナイト,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023633,maria_short,4,マリア・ショート,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023634,may_lee,4,メイ・リー,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023635,mega_swampert,4,メガラグラージ,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023636,menori,4,メノリ,,REVIEW_REQUIRED,short kana-only candidate is too ambiguous without contextual search evidence
I70-023637,metatron_jeanne_(third_ascension)_(fate),4,metatron jeanne (third ascension) (fate),,REVIEW_REQUIRED,multiple/conflicting Japanese candidates
I70-023638,mifuyu_(princess_connect!),4,ミフユ(プリコネ),,REVIEW_REQUIRED,short kana-only candidate is too ambiguous without contextual search evidence
I70-023639,miki_(dokidomiki),4,miki (dokidomiki),,REVIEW_REQUIRED,multiple/conflicting Japanese candidates
I70-023640,mikoto_rei,4,水琴玲衣,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023641,minato_aqua_(new_year),4,minato aqua (new year),,REVIEW_REQUIRED,multiple/conflicting Japanese candidates
I70-023642,minazuki_sarami,4,水無月サラミ,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023643,misaka_imouto_9982,4,misaka imouto 9982,,REVIEW_REQUIRED,non-Japanese/simplified-Chinese evidence
I70-023644,momose_ginko_(sleepover_at_ginko's),4,momose ginko (sleepover at ginko's),,REVIEW_REQUIRED,multiple/conflicting Japanese candidates
I70-023645,momose_narumi,4,桃瀬成海,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023646,ms._acey,4,ms. acey,,REVIEW_REQUIRED,non-Japanese/simplified-Chinese evidence
I70-023647,muarim_(fire_emblem),4,ムワリム,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023648,murian_(fate),4,ムリアン,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023649,nanase_suzuna_(1st_costume),4,nanase suzuna (1st costume),,REVIEW_REQUIRED,multiple/conflicting Japanese candidates
I70-023650,nara_shikadai,4,奈良シカダイ,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023651,nautica_(transformers),4,ノーティカ,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023652,necromancer_(sekaiju),4,ネクロマンサー,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023653,necrozma_(normal),4,necrozma（正常）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification
I70-023654,nightingale_(an_elegy)_(arknights),4,ナイチンゲール（エレジー）（arknights）,,REVIEW_REQUIRED,parenthetical candidate does not map cleanly to a copyright disambiguator
I70-023655,ninomiya_hana,4,二之宮花,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023656,nishi_minami,4,西のミナミ,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023657,noge_tomoko,4,野毛朋子,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023658,noroi_usagi,4,のろいうさぎ,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023659,oak_casket_(path_to_nowhere),4,コフィン,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023660,ofanimon,4,オファニモン,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023661,operator_6o,4,オペレーター6O,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023662,ouka_nagisa,4,オウカ・ナギサ,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023663,parfait_(gachigachi),4,パフェちゃん,,REVIEW_REQUIRED,variant/form rendering plausible but not independently verified
I70-023664,petralka_anne_eldant_iii,4,ペトラルカ・アン・エルダント三世,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023665,prince_of_lan_ling_(eastern_socialite_attire)_(fate),4,辨天衣,,REVIEW_REQUIRED,variant/form rendering plausible but not independently verified
I70-023666,punchline_(dc),4,punchline (dc),,REVIEW_REQUIRED,multiple/conflicting Japanese candidates
I70-023667,qiu_tong,4,秋瞳,,REVIEW_REQUIRED,short kanji-only candidate is too ambiguous without contextual search evidence
I70-023668,rachel_(pokemon),4,チェッタ,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023669,racing_miku_(2011),4,レーシングミク2011,,REVIEW_REQUIRED,variant/form rendering plausible but not independently verified
I70-023670,ranzal_(dragalia_lost),4,ランザーヴ,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023671,rche_(beatmania),4,傲慢ちゃん,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023672,red_(angry_birds),4,赤（怒っている鳥）,,REVIEW_REQUIRED,short kanji-only candidate is too ambiguous without contextual search evidence
I70-023673,red-eyes_black_dragon,4,真紅眼の黒竜,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023674,rosa_(holiday_2019)_(pokemon),4,メイ(19シーズン),,REVIEW_REQUIRED,short kana-only candidate is too ambiguous without contextual search evidence
I70-023675,ruby_heart,4,ルビィハート,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023676,rui_(pokemon),4,ミレイ,,REVIEW_REQUIRED,short kana-only candidate is too ambiguous without contextual search evidence
I70-023677,saegusa_yukika,4,三枝由紀香,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023678,sakayori_soma,4,sakayori soma,,REVIEW_REQUIRED,fan-art/search tag is not character identity
I70-023679,sakurai_hana,4,桜井はな,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023680,sakurai_haruna_(ongeki),4,桜井春菜,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023681,sarvente_(mid-fight_masses),4,sarvente (mid-fight masses),,REVIEW_REQUIRED,multiple/conflicting Japanese candidates
I70-023682,seele_vollerei_(papilio_lily),4,seele vollerei (papilio lily),,REVIEW_REQUIRED,multiple/conflicting Japanese candidates
I70-023683,seiryuu_tenmu,4,清龍天夢,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023684,senoo_kaori,4,妹尾佳織,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023685,seraphy_(dq10),4,セラフィ,,REVIEW_REQUIRED,variant/form rendering plausible but not independently verified
I70-023686,sheela_sheffield,4,シーラ・シェフィールド,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023687,sherma_(hollow_knight),4,sherma (hollow knight),,REVIEW_REQUIRED,multiple/conflicting Japanese candidates
I70-023688,shinhou_maimu,4,shinhou maimu,,REVIEW_REQUIRED,multiple/conflicting Japanese candidates
I70-023689,shiranui_akeno,4,不知火明乃,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023690,shun_shun_rikka,4,盾舜六花,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023691,shuten_douji_(housamo),4,シュテン,,REVIEW_REQUIRED,variant/form rendering plausible but not independently verified
I70-023692,sigma_(bungou_stray_dogs),4,シグマ,,REVIEW_REQUIRED,short kana-only candidate is too ambiguous without contextual search evidence
I70-023693,spinel_(steven_universe),4,スピネル,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023694,steen_(the_devil_and_s-13),4,steen (the devil and s-13),,REVIEW_REQUIRED,multiple/conflicting Japanese candidates
I70-023695,sua_(tenshi)_(zombie_stage),4,sua (tenshi) (zombie stage),,REVIEW_REQUIRED,multiple/conflicting Japanese candidates
I70-023696,succy_(cherry-gig),4,succy (cherry-gig),,REVIEW_REQUIRED,multiple/conflicting Japanese candidates
I70-023697,sumi_suya,4,アトリエすみっこ,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023698,sung_han-bin,4,sung han-bin,,REVIEW_REQUIRED,multiple/conflicting Japanese candidates
I70-023699,suzumi_nemo_(1st_costume),4,suzumi nemo (1st costume),,REVIEW_REQUIRED,multiple/conflicting Japanese candidates
I70-023700,sylvia_(konosuba),4,シルビア(このすば),,REVIEW_REQUIRED,parenthetical candidate does not map cleanly to a copyright disambiguator
I70-023701,tachihara_sayu,4,立原紗癒,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023702,takanashi_hina,4,小鳥遊ひな,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023703,tatekami_seri,4,立上芹,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023704,tenochtitlan_(swimsuit_mooncancer)_(second_ascension)_(fate),4,テノチティトラン(水着),,REVIEW_REQUIRED,parenthetical candidate does not map cleanly to a copyright disambiguator
I70-023705,tenzan_(kancolle),4,テンザン（カンコル）,,REVIEW_REQUIRED,parenthetical candidate does not map cleanly to a copyright disambiguator
I70-023706,till_(zombie_stage),4,ティル,,REVIEW_REQUIRED,short kana-only candidate is too ambiguous without contextual search evidence
I70-023707,tokino_sora_(old_design),4,tokino sora (old design),,REVIEW_REQUIRED,multiple/conflicting Japanese candidates
I70-023708,towa_(dragon_ball),4,トワ(ドラゴンボール),,REVIEW_REQUIRED,short kana-only candidate is too ambiguous without contextual search evidence
I70-023709,ui_ui_(jujutsu_kaisen),4,憂憂,,REVIEW_REQUIRED,short kanji-only candidate is too ambiguous without contextual search evidence
I70-023710,ultraman_nexus,4,ウルトラマンネクサス(キャラクター),,REVIEW_REQUIRED,parenthetical candidate does not map cleanly to a copyright disambiguator
I70-023711,usotsuki,4,うそつき,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023712,vernika_answer,4,ヴァニカの答え,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023713,vivit,4,びびっと,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023714,wendy_(honkai_impact),4,ウェンディ,ウェンディ(崩壊3rd),ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023715,yakuzen_kusuri_(older),4,薬膳楠莉,,REVIEW_REQUIRED,variant/form rendering plausible but not independently verified
I70-023716,yaotome_gaku,4,八乙女楽,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023717,yariharu_uri_(bubukka),4,やりはるうり,,REVIEW_REQUIRED,variant/form rendering plausible but not independently verified
I70-023718,yu_(puyopuyo),4,ユウちゃん,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023719,zapper_(deltarune),4,zapper (deltarune),,REVIEW_REQUIRED,multiple/conflicting Japanese candidates
I70-023720,ziz_glover,4,ジズ・グラヴァー,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023721,zygarde_cell,4,ジガルデ・セル,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023722,acid_(maimai),4,アシッド,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023723,acura_(gunvolt),4,神園アキュラ,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023724,admiral_yurika,4,ユリカ提督,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023725,agumon_(digimon_savers),4,アグモン,アグモン(2006アニメ版),ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023726,aizen_(housamo),4,aizen (housamo),,REVIEW_REQUIRED,no reliable Japanese evidence
I70-023727,akagi_anna,4,赤城あんな,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023728,akashi_maho,4,明石真秀,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-023729,aki_(tabao),4,秋,,REVIEW_REQUIRED,short kanji-only candidate is too ambiguous without contextual search evidence
I70-023730,amanai_riko,4,天内理子,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
