scope,pattern,canonical_tag,special_id,日本語表示,日本語表示_source,current_classification,current_secondary,problem_reason,suggested_classification,confidence,human_review_required,change_mode,evidence_note
General,modifier_target_missing_secondary,pink_eyes,,（監査用仮訳）ピンク・目,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,HAIR_FACE,[],対象物中心の主分類は自然でも、明示的な色修飾から辿る副経路が無い。,HAIR_FACE + secondary COLOR_APPEARANCE,MEDIUM,YES,ADD_SECONDARY,#64 accepted sidecar row 20263; source_batch=25; accepted_confidence=HIGH
General,modifier_target_missing_secondary,purple_bikini,,（監査用仮訳）紫・ビキニ,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,CLOTHING/EVERYDAY,[],対象物中心の主分類は自然でも、明示的な色修飾から辿る副経路が無い。,CLOTHING/EVERYDAY + secondary COLOR_APPEARANCE,MEDIUM,YES,ADD_SECONDARY,#64 accepted sidecar row 21445; source_batch=27; accepted_confidence=HIGH
General,modifier_target_missing_secondary,purple_eyes,,（監査用仮訳）紫・目,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,HAIR_FACE,[],対象物中心の主分類は自然でも、明示的な色修飾から辿る副経路が無い。,HAIR_FACE + secondary COLOR_APPEARANCE,MEDIUM,YES,ADD_SECONDARY,#64 accepted sidecar row 21477; source_batch=27; accepted_confidence=HIGH
General,modifier_target_missing_secondary,red_bikini,,（監査用仮訳）赤・ビキニ,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,CLOTHING/EVERYDAY,[],対象物中心の主分類は自然でも、明示的な色修飾から辿る副経路が無い。,CLOTHING/EVERYDAY + secondary COLOR_APPEARANCE,MEDIUM,YES,ADD_SECONDARY,#64 accepted sidecar row 22049; source_batch=27; accepted_confidence=HIGH
General,modifier_target_missing_secondary,red_eyes,,（監査用仮訳）赤・目,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,HAIR_FACE,[],対象物中心の主分類は自然でも、明示的な色修飾から辿る副経路が無い。,HAIR_FACE + secondary COLOR_APPEARANCE,MEDIUM,YES,ADD_SECONDARY,#64 accepted sidecar row 22090; source_batch=27; accepted_confidence=HIGH
General,modifier_target_missing_secondary,white_bikini,,（監査用仮訳）白・ビキニ,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,CLOTHING/EVERYDAY,[],対象物中心の主分類は自然でも、明示的な色修飾から辿る副経路が無い。,CLOTHING/EVERYDAY + secondary COLOR_APPEARANCE,MEDIUM,YES,ADD_SECONDARY,#64 accepted sidecar row 29600; source_batch=35; accepted_confidence=HIGH
General,modifier_target_missing_secondary,white_eyes,,（監査用仮訳）白・目,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,HAIR_FACE,[],対象物中心の主分類は自然でも、明示的な色修飾から辿る副経路が無い。,HAIR_FACE + secondary COLOR_APPEARANCE,MEDIUM,YES,ADD_SECONDARY,#64 accepted sidecar row 29644; source_batch=35; accepted_confidence=HIGH
General,modifier_target_missing_secondary,yellow_bikini,,（監査用仮訳）黄・ビキニ,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,CLOTHING/EVERYDAY,[],対象物中心の主分類は自然でも、明示的な色修飾から辿る副経路が無い。,CLOTHING/EVERYDAY + secondary COLOR_APPEARANCE,MEDIUM,YES,ADD_SECONDARY,#64 accepted sidecar row 30246; source_batch=35; accepted_confidence=HIGH
General,modifier_target_missing_secondary,yellow_eyes,,（監査用仮訳）黄・目,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,HAIR_FACE,[],対象物中心の主分類は自然でも、明示的な色修飾から辿る副経路が無い。,HAIR_FACE + secondary COLOR_APPEARANCE,MEDIUM,YES,ADD_SECONDARY,#64 accepted sidecar row 30277; source_batch=35; accepted_confidence=HIGH
General,modifier_target_missing_secondary,gold_bikini,,（監査用仮訳）金・ビキニ,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,CLOTHING/EVERYDAY,[],対象物中心の主分類は自然でも、明示的な色修飾から辿る副経路が無い。,CLOTHING/EVERYDAY + secondary COLOR_APPEARANCE,MEDIUM,YES,ADD_SECONDARY,#64 accepted sidecar row 10470; source_batch=14; accepted_confidence=HIGH
General,modifier_target_missing_secondary,gold_nails,,（監査用仮訳）金・爪,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,BODY_PART,[],対象物中心の主分類は自然でも、明示的な色修飾から辿る副経路が無い。,BODY_PART + secondary COLOR_APPEARANCE,MEDIUM,YES,ADD_SECONDARY,#64 accepted sidecar row 10513; source_batch=14; accepted_confidence=HIGH
General,modifier_target_missing_secondary,silver_bikini,,（監査用仮訳）銀・ビキニ,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,CLOTHING/EVERYDAY,[],対象物中心の主分類は自然でも、明示的な色修飾から辿る副経路が無い。,CLOTHING/EVERYDAY + secondary COLOR_APPEARANCE,MEDIUM,YES,ADD_SECONDARY,#64 accepted sidecar row 24279; source_batch=29; accepted_confidence=HIGH
General,modifier_target_missing_secondary,silver_nails,,（監査用仮訳）銀・爪,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,BODY_PART,[],対象物中心の主分類は自然でも、明示的な色修飾から辿る副経路が無い。,BODY_PART + secondary COLOR_APPEARANCE,MEDIUM,YES,ADD_SECONDARY,#64 accepted sidecar row 24296; source_batch=29; accepted_confidence=HIGH
General,modifier_target_missing_secondary,orange_bikini,,（監査用仮訳）橙・ビキニ,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,CLOTHING/EVERYDAY,[],対象物中心の主分類は自然でも、明示的な色修飾から辿る副経路が無い。,CLOTHING/EVERYDAY + secondary COLOR_APPEARANCE,MEDIUM,YES,ADD_SECONDARY,#64 accepted sidecar row 19002; source_batch=24; accepted_confidence=HIGH
General,modifier_target_missing_secondary,orange_eyes,,（監査用仮訳）橙・目,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,HAIR_FACE,[],対象物中心の主分類は自然でも、明示的な色修飾から辿る副経路が無い。,HAIR_FACE + secondary COLOR_APPEARANCE,MEDIUM,YES,ADD_SECONDARY,#64 accepted sidecar row 19030; source_batch=24; accepted_confidence=HIGH
General,modifier_target_missing_secondary,grey_bikini,,（監査用仮訳）灰・ビキニ,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,CLOTHING/EVERYDAY,[],対象物中心の主分類は自然でも、明示的な色修飾から辿る副経路が無い。,CLOTHING/EVERYDAY + secondary COLOR_APPEARANCE,MEDIUM,YES,ADD_SECONDARY,#64 accepted sidecar row 10995; source_batch=15; accepted_confidence=HIGH
General,modifier_target_missing_secondary,grey_eyes,,（監査用仮訳）灰・目,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,HAIR_FACE,[],対象物中心の主分類は自然でも、明示的な色修飾から辿る副経路が無い。,HAIR_FACE + secondary COLOR_APPEARANCE,MEDIUM,YES,ADD_SECONDARY,#64 accepted sidecar row 11021; source_batch=15; accepted_confidence=HIGH
General,action_body_missing_secondary,biting_another's_arm,,（監査用仮訳）噛む・相手の・腕,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,ACTION_CONTACT/INTERACTION,[],行為を主に探せる一方、タグ名に明示された対象身体部位から辿れない。,ACTION_CONTACT/INTERACTION + secondary BODY_PART,HIGH,YES,ADD_SECONDARY,#64 accepted sidecar row 2549; source_batch=4; accepted_confidence=HIGH
General,action_body_missing_secondary,biting_another's_hand,,（監査用仮訳）噛む・相手の・手,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,ACTION_CONTACT/INTERACTION,[],行為を主に探せる一方、タグ名に明示された対象身体部位から辿れない。,ACTION_CONTACT/INTERACTION + secondary BODY_PART,HIGH,YES,ADD_SECONDARY,#64 accepted sidecar row 2552; source_batch=4; accepted_confidence=HIGH
General,action_body_missing_secondary,biting_ass,,（監査用仮訳）噛む・尻,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,ACTION_CONTACT/INTIMATE,[],行為を主に探せる一方、タグ名に明示された対象身体部位から辿れない。,ACTION_CONTACT/INTIMATE + secondary BODY_PART,HIGH,YES,ADD_SECONDARY,#64 accepted sidecar row 2556; source_batch=4; accepted_confidence=HIGH
General,action_body_missing_secondary,biting_breast,,（監査用仮訳）噛む・胸,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,ACTION_CONTACT/INTIMATE,[],行為を主に探せる一方、タグ名に明示された対象身体部位から辿れない。,ACTION_CONTACT/INTIMATE + secondary BODY_PART,HIGH,YES,ADD_SECONDARY,#64 accepted sidecar row 2557; source_batch=4; accepted_confidence=HIGH
General,action_body_missing_secondary,biting_cheek,,（監査用仮訳）噛む・頬,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,ACTION_CONTACT/INTERACTION,[],行為を主に探せる一方、タグ名に明示された対象身体部位から辿れない。,ACTION_CONTACT/INTERACTION + secondary BODY_PART,HIGH,YES,ADD_SECONDARY,#64 accepted sidecar row 2558; source_batch=4; accepted_confidence=HIGH
General,action_body_missing_secondary,finger_between_breasts,,（監査用仮訳）指・間・胸,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,ACTION_CONTACT/INTERACTION,[],行為を主に探せる一方、タグ名に明示された対象身体部位から辿れない。,ACTION_CONTACT/INTERACTION + secondary BODY_PART,HIGH,YES,ADD_SECONDARY,#64 accepted sidecar row 8722; source_batch=12; accepted_confidence=HIGH
General,action_body_missing_secondary,finger_frame_over_eye,,（監査用仮訳）指・枠・上・目,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,ACTION_CONTACT/INTERACTION,[],行為を主に探せる一方、タグ名に明示された対象身体部位から辿れない。,ACTION_CONTACT/INTERACTION + secondary BODY_PART,HIGH,YES,ADD_SECONDARY,#64 accepted sidecar row 8730; source_batch=12; accepted_confidence=HIGH
General,action_body_missing_secondary,finger_gun_to_own_head,,（監査用仮訳）指・銃・へ・自分の・頭,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,ACTION_CONTACT/INTERACTION,[],行為を主に探せる一方、タグ名に明示された対象身体部位から辿れない。,ACTION_CONTACT/INTERACTION + secondary BODY_PART,HIGH,YES,ADD_SECONDARY,#64 accepted sidecar row 8732; source_batch=12; accepted_confidence=HIGH
General,action_body_missing_secondary,finger_in_another's_mouth,,（監査用仮訳）指・中・相手の・口,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,ACTION_CONTACT/INTERACTION,[],行為を主に探せる一方、タグ名に明示された対象身体部位から辿れない。,ACTION_CONTACT/INTERACTION + secondary BODY_PART,HIGH,YES,ADD_SECONDARY,#64 accepted sidecar row 8734; source_batch=12; accepted_confidence=HIGH
General,action_body_missing_secondary,finger_in_own_mouth,,（監査用仮訳）指・中・自分の・口,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,ACTION_CONTACT/INTERACTION,[],行為を主に探せる一方、タグ名に明示された対象身体部位から辿れない。,ACTION_CONTACT/INTERACTION + secondary BODY_PART,HIGH,YES,ADD_SECONDARY,#64 accepted sidecar row 8738; source_batch=12; accepted_confidence=HIGH
General,action_body_missing_secondary,grabbing_another's_arm,,（監査用仮訳）掴む・相手の・腕,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,ACTION_CONTACT/INTERACTION,[],行為を主に探せる一方、タグ名に明示された対象身体部位から辿れない。,ACTION_CONTACT/INTERACTION + secondary BODY_PART,HIGH,YES,ADD_SECONDARY,#64 accepted sidecar row 10634; source_batch=14; accepted_confidence=HIGH
General,action_body_missing_secondary,grabbing_another's_ass,,（監査用仮訳）掴む・相手の・尻,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,ACTION_CONTACT/INTIMATE,[],行為を主に探せる一方、タグ名に明示された対象身体部位から辿れない。,ACTION_CONTACT/INTIMATE + secondary BODY_PART,HIGH,YES,ADD_SECONDARY,#64 accepted sidecar row 10635; source_batch=14; accepted_confidence=HIGH
General,action_body_missing_secondary,grabbing_another's_breast,,（監査用仮訳）掴む・相手の・胸,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,ACTION_CONTACT/INTIMATE,[],行為を主に探せる一方、タグ名に明示された対象身体部位から辿れない。,ACTION_CONTACT/INTIMATE + secondary BODY_PART,HIGH,YES,ADD_SECONDARY,#64 accepted sidecar row 10636; source_batch=14; accepted_confidence=HIGH
General,action_body_missing_secondary,grabbing_another's_face,,（監査用仮訳）掴む・相手の・face,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,ACTION_CONTACT/INTERACTION,[],行為を主に探せる一方、タグ名に明示された対象身体部位から辿れない。,ACTION_CONTACT/INTERACTION + secondary BODY_PART,HIGH,YES,ADD_SECONDARY,#64 accepted sidecar row 10640; source_batch=14; accepted_confidence=HIGH
General,action_body_missing_secondary,grabbing_another's_hair,,（監査用仮訳）掴む・相手の・髪,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,ACTION_CONTACT/INTERACTION,[],行為を主に探せる一方、タグ名に明示された対象身体部位から辿れない。,ACTION_CONTACT/INTERACTION + secondary BODY_PART,HIGH,YES,ADD_SECONDARY,#64 accepted sidecar row 10641; source_batch=14; accepted_confidence=HIGH
General,action_body_missing_secondary,grabbing_another's_hand,,（監査用仮訳）掴む・相手の・手,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,ACTION_CONTACT/INTERACTION,[],行為を主に探せる一方、タグ名に明示された対象身体部位から辿れない。,ACTION_CONTACT/INTERACTION + secondary BODY_PART,HIGH,YES,ADD_SECONDARY,#64 accepted sidecar row 10642; source_batch=14; accepted_confidence=HIGH
General,action_body_missing_secondary,hand_on_animal,,（監査用仮訳）手・上・動物,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,ACTION_CONTACT/INTERACTION,[],行為を主に探せる一方、タグ名に明示された対象身体部位から辿れない。,ACTION_CONTACT/INTERACTION + secondary BODY_PART,HIGH,YES,ADD_SECONDARY,#64 accepted sidecar row 11563; source_batch=16; accepted_confidence=HIGH
General,action_body_missing_secondary,hand_on_another's_arm,,（監査用仮訳）手・上・相手の・腕,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,ACTION_CONTACT/INTERACTION,[],行為を主に探せる一方、タグ名に明示された対象身体部位から辿れない。,ACTION_CONTACT/INTERACTION + secondary BODY_PART,HIGH,YES,ADD_SECONDARY,#64 accepted sidecar row 11564; source_batch=16; accepted_confidence=HIGH
General,action_body_missing_secondary,hand_on_another's_ass,,（監査用仮訳）手・上・相手の・尻,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,ACTION_CONTACT/INTERACTION,[],行為を主に探せる一方、タグ名に明示された対象身体部位から辿れない。,ACTION_CONTACT/INTERACTION + secondary BODY_PART,HIGH,YES,ADD_SECONDARY,#64 accepted sidecar row 11565; source_batch=16; accepted_confidence=HIGH
General,action_body_missing_secondary,hand_on_another's_back,,（監査用仮訳）手・上・相手の・背中,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,ACTION_CONTACT/INTERACTION,[],行為を主に探せる一方、タグ名に明示された対象身体部位から辿れない。,ACTION_CONTACT/INTERACTION + secondary BODY_PART,HIGH,YES,ADD_SECONDARY,#64 accepted sidecar row 11566; source_batch=16; accepted_confidence=HIGH
General,action_body_missing_secondary,hand_on_another's_cheek,,（監査用仮訳）手・上・相手の・頬,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,ACTION_CONTACT/INTERACTION,[],行為を主に探せる一方、タグ名に明示された対象身体部位から辿れない。,ACTION_CONTACT/INTERACTION + secondary BODY_PART,HIGH,YES,ADD_SECONDARY,#64 accepted sidecar row 11567; source_batch=16; accepted_confidence=HIGH
General,action_body_missing_secondary,hand_on_another's_chest,,（監査用仮訳）手・上・相手の・胸,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,ACTION_CONTACT/INTERACTION,[],行為を主に探せる一方、タグ名に明示された対象身体部位から辿れない。,ACTION_CONTACT/INTERACTION + secondary BODY_PART,HIGH,YES,ADD_SECONDARY,#64 accepted sidecar row 11568; source_batch=16; accepted_confidence=HIGH
General,action_body_missing_secondary,kissing_ass,,（監査用仮訳）キス・尻,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,ACTION_CONTACT/INTERACTION,[],行為を主に探せる一方、タグ名に明示された対象身体部位から辿れない。,ACTION_CONTACT/INTERACTION + secondary BODY_PART,HIGH,YES,ADD_SECONDARY,#64 accepted sidecar row 14763; source_batch=20; accepted_confidence=HIGH
General,action_body_missing_secondary,kissing_back,,（監査用仮訳）キス・背中,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,ACTION_CONTACT/INTERACTION,[],行為を主に探せる一方、タグ名に明示された対象身体部位から辿れない。,ACTION_CONTACT/INTERACTION + secondary BODY_PART,HIGH,YES,ADD_SECONDARY,#64 accepted sidecar row 14764; source_batch=20; accepted_confidence=HIGH
General,action_body_missing_secondary,kissing_breast,,（監査用仮訳）キス・胸,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,ACTION_CONTACT/INTERACTION,[],行為を主に探せる一方、タグ名に明示された対象身体部位から辿れない。,ACTION_CONTACT/INTERACTION + secondary BODY_PART,HIGH,YES,ADD_SECONDARY,#64 accepted sidecar row 14765; source_batch=20; accepted_confidence=HIGH
General,action_body_missing_secondary,kissing_cheek,,（監査用仮訳）キス・頬,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,ACTION_CONTACT/INTERACTION,[],行為を主に探せる一方、タグ名に明示された対象身体部位から辿れない。,ACTION_CONTACT/INTERACTION + secondary BODY_PART,HIGH,YES,ADD_SECONDARY,#64 accepted sidecar row 14766; source_batch=20; accepted_confidence=HIGH
General,action_body_missing_secondary,licking_another's_arm,,（監査用仮訳）舐める・相手の・腕,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,ACTION_CONTACT/INTERACTION,[],行為を主に探せる一方、タグ名に明示された対象身体部位から辿れない。,ACTION_CONTACT/INTERACTION + secondary BODY_PART,HIGH,YES,ADD_SECONDARY,#64 accepted sidecar row 15581; source_batch=21; accepted_confidence=HIGH
General,action_body_missing_secondary,licking_another's_cheek,,（監査用仮訳）舐める・相手の・頬,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,ACTION_CONTACT/INTERACTION,[],行為を主に探せる一方、タグ名に明示された対象身体部位から辿れない。,ACTION_CONTACT/INTERACTION + secondary BODY_PART,HIGH,YES,ADD_SECONDARY,#64 accepted sidecar row 15582; source_batch=21; accepted_confidence=HIGH
General,action_body_missing_secondary,licking_another's_chest,,（監査用仮訳）舐める・相手の・胸,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,ACTION_CONTACT/INTERACTION,[],行為を主に探せる一方、タグ名に明示された対象身体部位から辿れない。,ACTION_CONTACT/INTERACTION + secondary BODY_PART,HIGH,YES,ADD_SECONDARY,#64 accepted sidecar row 15583; source_batch=21; accepted_confidence=HIGH
General,action_body_missing_secondary,touching_another's_back,,（監査用仮訳）触れる・相手の・背中,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,ACTION_CONTACT/INTERACTION,[],行為を主に探せる一方、タグ名に明示された対象身体部位から辿れない。,ACTION_CONTACT/INTERACTION + secondary BODY_PART,HIGH,YES,ADD_SECONDARY,#64 accepted sidecar row 27772; source_batch=33; accepted_confidence=HIGH
General,style_meta_vs_visual_target,bad_face,,（監査用仮訳）崩れた顔,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,STYLE_QUALITY_META,[],画面処理・表現としての意味と、目・顔・髪飾り・背景・物体という視覚対象の意味が競合する。,STYLE_QUALITY_META + secondary HAIR_FACE,MEDIUM,YES,ADD_SECONDARY,#64 accepted sidecar row 1796; source_batch=3; accepted_confidence=HIGH
General,style_meta_vs_visual_target,collage_background,,（監査用仮訳）コラージュ背景,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,STYLE_QUALITY_META,[],画面処理・表現としての意味と、目・顔・髪飾り・背景・物体という視覚対象の意味が競合する。,STYLE_QUALITY_META + secondary PLACE_BACKGROUND,MEDIUM,YES,ADD_SECONDARY,#64 accepted sidecar row 5524; source_batch=8; accepted_confidence=HIGH
General,style_meta_vs_visual_target,comic_background,,（監査用仮訳）漫画風背景,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,STYLE_QUALITY_META,[],画面処理・表現としての意味と、目・顔・髪飾り・背景・物体という視覚対象の意味が競合する。,STYLE_QUALITY_META + secondary PLACE_BACKGROUND,MEDIUM,YES,ADD_SECONDARY,#64 accepted sidecar row 5657; source_batch=8; accepted_confidence=HIGH
General,style_meta_vs_visual_target,cracked_background,,（監査用仮訳）ひび割れ背景,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,STYLE_QUALITY_META,[],画面処理・表現としての意味と、目・顔・髪飾り・背景・物体という視覚対象の意味が競合する。,STYLE_QUALITY_META + secondary PLACE_BACKGROUND,MEDIUM,YES,ADD_SECONDARY,#64 accepted sidecar row 6027; source_batch=10; accepted_confidence=HIGH
General,style_meta_vs_visual_target,cross_background,,（監査用仮訳）十字背景,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,STYLE_QUALITY_META,[],画面処理・表現としての意味と、目・顔・髪飾り・背景・物体という視覚対象の意味が競合する。,STYLE_QUALITY_META + secondary PLACE_BACKGROUND,MEDIUM,YES,ADD_SECONDARY,#64 accepted sidecar row 6220; source_batch=10; accepted_confidence=HIGH
General,style_meta_vs_visual_target,cursor_hair_ornament,,（監査用仮訳）カーソル型の髪飾り,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,STYLE_QUALITY_META,[],画面処理・表現としての意味と、目・顔・髪飾り・背景・物体という視覚対象の意味が競合する。,CLOTHING/ACCESSORY + secondary STYLE_QUALITY_META,MEDIUM,YES,REVIEW_PRIMARY_PLUS_SECONDARY,#64 accepted sidecar row 6527; source_batch=10; accepted_confidence=HIGH
General,style_meta_vs_visual_target,dark_background,,（監査用仮訳）暗い背景,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,STYLE_QUALITY_META,[],画面処理・表現としての意味と、目・顔・髪飾り・背景・物体という視覚対象の意味が競合する。,PLACE_BACKGROUND + secondary COLOR_APPEARANCE,MEDIUM,YES,REVIEW_PRIMARY_PLUS_SECONDARY,#64 accepted sidecar row 6673; source_batch=10; accepted_confidence=HIGH
General,style_meta_vs_visual_target,dashed_eyes,,（監査用仮訳）破線風の目,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,STYLE_QUALITY_META,[],画面処理・表現としての意味と、目・顔・髪飾り・背景・物体という視覚対象の意味が競合する。,HAIR_FACE + secondary STYLE_QUALITY_META,MEDIUM,YES,REVIEW_PRIMARY_PLUS_SECONDARY,#64 accepted sidecar row 6707; source_batch=10; accepted_confidence=HIGH
General,style_meta_vs_visual_target,doodled_object,,（監査用仮訳）落書き風の物体,PROVISIONAL_AUDIT_GLOSS; protected production overlay not read,STYLE_QUALITY_META,[],画面処理・表現としての意味と、目・顔・髪飾り・背景・物体という視覚対象の意味が競合する。,STYLE_QUALITY_META + secondary OBJECT_PROP,MEDIUM,YES,ADD_SECONDARY,#64 accepted sidecar row 7260; source_batch=11; accepted_confidence=HIGH
