row_id,canonical_tag,post_count,display_ja,search_ja,translation_note,risk_flags,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-000216,caelus_(honkai:_star_rail),8830,穹（崩壊：スターレイル）,穹（崩壊：スターレイル） | 穹(スターレイル),AI監修：既存候補・Alias・作品関係を確認し表示名を確定,JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_CHARACTER_NAME_ONLY_BOOKKEEPING_WARNINGS,HIGH,prior semantic/official-name curation note + v3 warning classification,名前は既に文脈/公式表記を確認済み。残る警告はsource文字列差または検索重複のみで、人物同定・同名衝突・variant欠落の警告がないため現表示を維持。,PROPOSED
I70-000218,rosa_(pokemon),8809,メイ（ポケモン）,メイ（ポケモン） | メイ | メイ(トレーナー) | メイぱい,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_CHARACTER_NAME_ONLY_BOOKKEEPING_WARNINGS,HIGH,prior semantic/official-name curation note + v3 warning classification,名前は既に文脈/公式表記を確認済み。残る警告はsource文字列差または検索重複のみで、人物同定・同名衝突・variant欠落の警告がないため現表示を維持。,PROPOSED
I70-000219,may_(pokemon),8781,ハルカ（ポケモン）,ハルカ（ポケモン） | ORASハルカ | ハルカ | ハルカ(ORAS) | ハルカ(アニポケ) | ハルカ(エメラルド) | ハルカ(トレーナー) | ハルカ(ルビー&サファイア),AI監修：既存候補・Alias・作品関係を確認し表示名を確定,JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_CHARACTER_NAME_ONLY_BOOKKEEPING_WARNINGS,HIGH,prior semantic/official-name curation note + v3 warning classification,名前は既に文脈/公式表記を確認済み。残る警告はsource文字列差または検索重複のみで、人物同定・同名衝突・variant欠落の警告がないため現表示を維持。,PROPOSED
I70-000249,hilda_(pokemon),8091,トウコ（ポケモン）,トウコ（ポケモン） | トウコ | トウコ(トレーナー),AI監修：既存候補・Alias・作品関係を確認し表示名を確定,JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_CHARACTER_NAME_ONLY_BOOKKEEPING_WARNINGS,HIGH,prior semantic/official-name curation note + v3 warning classification,名前は既に文脈/公式表記を確認済み。残る警告はsource文字列差または検索重複のみで、人物同定・同名衝突・variant欠落の警告がないため現表示を維持。,PROPOSED
I70-000252,kafka_(honkai:_star_rail),8028,カフカ（崩壊：スターレイル）,カフカ（崩壊：スターレイル） | カフカ | カフカ(スターレイル),AI監修：既存候補・Alias・作品関係を確認し表示名を確定,JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_CHARACTER_NAME_ONLY_BOOKKEEPING_WARNINGS,HIGH,prior semantic/official-name curation note + v3 warning classification,名前は既に文脈/公式表記を確認済み。残る警告はsource文字列差または検索重複のみで、人物同定・同名衝突・variant欠落の警告がないため現表示を維持。,PROPOSED
I70-000257,sparkle_(honkai:_star_rail),7915,花火（崩壊：スターレイル）,花火（崩壊：スターレイル） | 花火(スターレイル) | 花火,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_CHARACTER_NAME_ONLY_BOOKKEEPING_WARNINGS,HIGH,prior semantic/official-name curation note + v3 warning classification,名前は既に文脈/公式表記を確認済み。残る警告はsource文字列差または検索重複のみで、人物同定・同名衝突・variant欠落の警告がないため現表示を維持。,PROPOSED
I70-000282,cynthia_(pokemon),7646,シロナ（ポケモン）,シロナ（ポケモン） | シロナ | シロナ(トレーナー) | マジコスシロナ,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_CHARACTER_NAME_ONLY_BOOKKEEPING_WARNINGS,HIGH,prior semantic/official-name curation note + v3 warning classification,名前は既に文脈/公式表記を確認済み。残る警告はsource文字列差または検索重複のみで、人物同定・同名衝突・variant欠落の警告がないため現表示を維持。,PROPOSED
I70-000286,gawr_gura_(1st_costume),7604,がうる・ぐら（初期衣装）,がうる・ぐら（初期衣装） | がうる・ぐら(通常) | がうる・ぐら,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_CHARACTER_NAME_ONLY_BOOKKEEPING_WARNINGS,HIGH,prior semantic/official-name curation note + v3 warning classification,名前は既に文脈/公式表記を確認済み。残る警告はsource文字列差または検索重複のみで、人物同定・同名衝突・variant欠落の警告がないため現表示を維持。,PROPOSED
I70-000301,tartaglia_(genshin_impact),7409,タルタリヤ（原神）,タルタリヤ（原神） | タルタリヤ,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_CHARACTER_NAME_ONLY_BOOKKEEPING_WARNINGS,HIGH,prior semantic/official-name curation note + v3 warning classification,名前は既に文脈/公式表記を確認済み。残る警告はsource文字列差または検索重複のみで、人物同定・同名衝突・variant欠落の警告がないため現表示を維持。,PROPOSED
I70-000320,archer_(fate),7190,アーチャー（Fate）,アーチャー（Fate） | アーチャー | アーチャー(Fate/staynight),AI監修：既存候補・Alias・作品関係を確認し表示名を確定,JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_CHARACTER_NAME_ONLY_BOOKKEEPING_WARNINGS,HIGH,prior semantic/official-name curation note + v3 warning classification,名前は既に文脈/公式表記を確認済み。残る警告はsource文字列差または検索重複のみで、人物同定・同名衝突・variant欠落の警告がないため現表示を維持。,PROPOSED
I70-000330,sakura_kyoko_(magical_girl),7080,佐倉杏子（魔法少女）,佐倉杏子（魔法少女） | 佐倉杏子,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_CHARACTER_NAME_ONLY_BOOKKEEPING_WARNINGS,HIGH,prior semantic/official-name curation note + v3 warning classification,名前は既に文脈/公式表記を確認済み。残る警告はsource文字列差または検索重複のみで、人物同定・同名衝突・variant欠落の警告がないため現表示を維持。,PROPOSED
I70-000344,joseph_joestar_(young),6920,ジョセフ・ジョースター（若年）,ジョセフ・ジョースター（若年） | ジョセフ・ジョースター,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_CHARACTER_NAME_ONLY_BOOKKEEPING_WARNINGS,HIGH,prior semantic/official-name curation note + v3 warning classification,名前は既に文脈/公式表記を確認済み。残る警告はsource文字列差または検索重複のみで、人物同定・同名衝突・variant欠落の警告がないため現表示を維持。,PROPOSED
I70-000353,gloria_(pokemon),6786,ユウリ（ポケモン）,ユウリ（ポケモン） | チャンピオンユウリ | ユウリ | ユウリ(ガラルリーグ) | ユウリ(トレーナー) | ユウリ(冠の雪原) | ユウリ(鎧の孤島) | 闇ユウリ,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_CHARACTER_NAME_ONLY_BOOKKEEPING_WARNINGS,HIGH,prior semantic/official-name curation note + v3 warning classification,名前は既に文脈/公式表記を確認済み。残る警告はsource文字列差または検索重複のみで、人物同定・同名衝突・variant欠落の警告がないため現表示を維持。,PROPOSED
I70-002191,nia_(blade)_(xenoblade),1541,ニア（ブレイド）,ニア（ブレイド）,既存日本語候補・Alias・作品文脈を確認して採用,JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_CHARACTER_NAME_ONLY_BOOKKEEPING_WARNINGS,HIGH,prior semantic/official-name curation note + v3 warning classification,名前は既に文脈/公式表記を確認済み。残る警告はsource文字列差または検索重複のみで、人物同定・同名衝突・variant欠落の警告がないため現表示を維持。,PROPOSED
I70-013580,banjo_(banjo-kazooie),189,バンジョー,バンジョー(バンジョーとカズーイの大冒険),selected from contextual Japanese search evidence,DISPLAY_MISSING_FROM_SEARCH | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_CHARACTER_NAME_ONLY_BOOKKEEPING_WARNINGS,HIGH,prior semantic/official-name curation note + v3 warning classification,名前は既に文脈/公式表記を確認済み。残る警告はsource文字列差または検索重複のみで、人物同定・同名衝突・variant欠落の警告がないため現表示を維持。,PROPOSED
