row_id,canonical_tag,category,post_count,display_ja,search_ja,translation_note,primary_source_file
I70-036367,fire_emblem_echoes:_shadows_of_valentia,Copyright,3408,ファイアーエムブレムEchoes,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036370,tokyo_ghoul,Copyright,3400,トーキョーグール,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036372,umamusume:_cinderella_gray,Copyright,3379,ウマ娘シンデレラグレイ,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036373,rabbit_hole_(vocaloid),Copyright,3356,ラビットホール,,single clean Japanese copyright search title,copyright_final_internal_external_split_batch064.csv
I70-036375,fate/prototype,Copyright,3345,運命/プロトタイプ,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036378,wizarding_world,Copyright,3313,ウィザーディング・ワールド,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036379,senran_kagura_new_link,Copyright,3308,シノビマスター,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036383,wonderful_precure!,Copyright,3266,わんだふるぷりきゅあ,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036384,22/7,Copyright,3264,ナナニジ,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036386,kanon,Copyright,3258,カノン,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036388,mihoyo,Copyright,3248,米哈游,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036392,go!_princess_precure,Copyright,3198,GO!プリンセスプリキュア,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036394,twitter,Copyright,3190,ツイッター,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036396,komi-san_wa_komyushou_desu,Copyright,3179,古見さんは、コミュ症です,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036397,final_fantasy_vii:_advent_children,Copyright,3176,アドベントチルドレン,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036398,inuyasha,Copyright,3175,犬夜叉,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036399,ikkitousen,Copyright,3170,一騎当千,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036401,oshiro_project:re,Copyright,3168,城これ,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036402,make_heroine_ga_oo_sugiru!,Copyright,3148,マケイン,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036404,kimi_no_koto_ga_dai_dai_dai_dai_daisuki_na_100-nin_no_kanojo,Copyright,3136,100カノ,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036405,yes!_precure_5,Copyright,3135,Yes!プリキュア5,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036406,grimms_notes,Copyright,3133,グリムノーツ,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036407,spider-verse,Copyright,3129,蜘蛛宇宙,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036409,magical_mirai_(vocaloid),Copyright,3092,マジカルミライ,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036410,happinesscharge_precure!,Copyright,3088,ハピネスチャージプリキュア,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036413,promare,Copyright,3039,プロメア,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036414,blue_lock,Copyright,3036,ブルーロック,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036416,poptepipic,Copyright,3029,ポプテ2期,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036418,gundam_zz,Copyright,3003,ガンダムZZ,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036420,mon-musu_quest!,Copyright,2976,もんむす・くえすと,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-044462,m-da_s-tarou,Artist,2968,MだSたろう,,semantic re-curation: title/name judged usable; official/common rendering or identity-safe original preferred over literal candidate,artist_initial_audit_batch008.csv
I70-036423,working!!,Copyright,2959,WORKING!!,,copyright title spelling/identity requires manual verification,copyright_review_external_batch062.csv
I70-036425,dragon_ball_(classic),Copyright,2925,ドラゴンボール,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-044467,mitarashi_neko,Artist,2910,みたらしねこ,,semantic re-curation: title/name judged usable; official/common rendering or identity-safe original preferred over literal candidate,artist_initial_audit_batch008.csv
I70-036426,my_melody_(series),Copyright,2900,マイメロディ,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036429,mob_psycho_100,Copyright,2892,モブサイコ100,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036430,m.u.g.e.n,Copyright,2887,M.U.G.E.N,,copyright title not uniquely resolved; manual verification required,copyright_no_trusted_ja_batch018.csv
I70-036431,tales_of_the_abyss,Copyright,2879,アビス,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036432,toji_no_miko,Copyright,2873,とじとも,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-001100,non-human_admiral_(kancolle),Character,2838,人外提督,人外提督 | 非人間提督,ファン呼称系タグのため日本語定着名を要確認,character_review_final_batch061.csv
I70-036436,berserk,Copyright,2825,ベルセルク,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036437,final_fantasy_x,Copyright,2823,ファイナルファンタジー10,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036439,vedal_ai,Copyright,2818,ネウロ様,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036440,final_fantasy_iv,Copyright,2793,ファイナルファンタジー4,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036441,little_red_riding_hood_(fairy_tale),Copyright,2787,赤ずきん,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036443,sana_channel,Copyright,2779,ヌォンタート,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036445,harry_potter_(series),Copyright,2771,ハリポタ,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036446,shantae_(series),Copyright,2770,シャンティ,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036447,tales_of_symphonia,Copyright,2768,シンフォニア,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036448,dragon_quest_iv,Copyright,2763,ドラクエ4,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036449,atelier_ryza_1,Copyright,2733,ライザのアトリエ,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036450,live_a_hero,Copyright,2732,ライブ・ア・ヒーロー!,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036451,tokidoki_bosotto_roshia-go_de_dereru_tonari_no_alya-san,Copyright,2732,ロシデレ,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036453,tales_of_xillia,Copyright,2726,エクシリア,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036455,seiken_densetsu,Copyright,2701,聖剣伝説,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036456,mahou_shoujo_ni_akogarete,Copyright,2695,まほあこ,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036457,mega_man_legends_(series),Copyright,2691,ロックマンDASH,,single clean Japanese copyright search title,copyright_final_internal_external_split_batch064.csv
I70-036458,hayate_no_gotoku!,Copyright,2684,ハヤテのごとく,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-044479,minaba_hideo,Artist,2671,皆葉英夫,,semantic re-curation: title/name judged usable; official/common rendering or identity-safe original preferred over literal candidate,artist_initial_audit_batch008.csv
I70-044480,kirisawa_juuzou,Artist,2669,桐沢十三,,semantic re-curation: title/name judged usable; official/common rendering or identity-safe original preferred over literal candidate,artist_initial_audit_batch008.csv
I70-036460,dairoku_ryouhei,Copyright,2663,第六猟兵,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036461,choukou_(alicesoft),Copyright,2657,超昂シリーズ,,single clean Japanese copyright search title,copyright_final_internal_external_split_batch064.csv
I70-036463,final_fantasy_v,Copyright,2647,ファイナルファンタジー5,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036464,macross_delta,Copyright,2646,マクロスΔ,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036465,fire_emblem_cipher,Copyright,2645,ファイアーエムブレム0,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036466,brown_dust_2,Copyright,2637,ブラウンダスト2,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036467,street_fighter_iv_(series),Copyright,2636,ウル4,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036468,di_gi_charat,Copyright,2629,でじきゃらあーと,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036469,elden_ring_nightreign,Copyright,2623,エルデンリング:ナイトレイン,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036472,teen_titans,Copyright,2605,ティーンタイタンズ,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036474,rune_factory,Copyright,2599,ルンファク,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036477,hachigatsu_no_cinderella_nine,Copyright,2587,ハチナイ,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036478,saenai_heroine_no_sodatekata,Copyright,2584,さえないヒロインのそだてかた,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036479,watashi_ni_tenshi_ga_maiorita!,Copyright,2577,わたてん,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036480,zombie_stage,Copyright,2576,血鬼舞台,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036483,uzaki-chan_wa_asobitai!,Copyright,2566,宇崎ちゃんは遊びたい,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036484,star_twinkle_precure,Copyright,2560,スタプリ,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036485,microsoft_windows,Copyright,2559,マイクロソフトウィンドウズ,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-044488,namori,Artist,2559,なもり,,semantic re-curation: title/name judged usable; official/common rendering or identity-safe original preferred over literal candidate,artist_initial_audit_batch008.csv
I70-036486,mahou_tsukai_no_yoru,Copyright,2548,まほよ,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036487,adventure_time,Copyright,2540,アドベンチャータイム,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036489,dolphin_wave,Copyright,2504,ドルウェブ,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036490,mabinogi,Copyright,2500,マビノギ,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036492,coca-cola,Copyright,2491,コカコーラ,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036493,ghost_in_the_shell,Copyright,2490,攻殻機動隊,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-044493,kato_takuji,Artist,2489,加藤拓弐,,semantic re-curation: title/name judged usable; official/common rendering or identity-safe original preferred over literal candidate,artist_initial_audit_batch008.csv
I70-036494,.live,Copyright,2487,アイドル部,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036495,godzilla_(series),Copyright,2484,ゴジラ,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036496,funamusea,Copyright,2475,海底囚人,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-036497,steins;gate_0,Copyright,2473,シュタインズゲートゼロ,,copyright title not uniquely resolved; manual verification required,copyright_review_external_batch062.csv
I70-044494,houtengeki,Artist,2472,方天戟,,semantic re-curation: title/name judged usable; official/common rendering or identity-safe original preferred over literal candidate,artist_initial_audit_batch008.csv
I70-044499,kani_biimu,Artist,2442,かにビーム,,semantic re-curation: title/name judged usable; official/common rendering or identity-safe original preferred over literal candidate,artist_initial_audit_batch008.csv
I70-036505,mega_man_battle_network_(series),Copyright,2409,ロックマンエグゼ,,established/common Japanese title or official rendering,copyright_final_internal_external_split_batch064.csv
I70-036508,castlevania_(series),Copyright,2401,悪魔城ドラキュラ,,established/common Japanese title or official rendering,copyright_final_internal_external_split_batch064.csv
I70-036509,wild_arms,Copyright,2401,ワイルドアームズ,,established/common Japanese title or official rendering,copyright_final_internal_external_split_batch064.csv
I70-044504,avogado6,Artist,2396,アボガド6,,"semantic re-curation: artist identity normalized; known Japanese credit used when clear, otherwise canonical handle preserved without machine translation",artist_initial_audit_batch008.csv
I70-036522,show_by_rock!!,Copyright,2367,SHOW BY ROCK!!,,conservative fallback; Japanese title evidence is absent or ambiguous,copyright_review_external_batch062.csv
I70-036533,silent_hill_(series),Copyright,2342,サイレントヒル,,established/common Japanese title or official rendering,copyright_final_internal_external_split_batch064.csv
I70-036534,duel_masters,Copyright,2339,デュエル・マスターズ,,established/common Japanese title or official rendering,copyright_final_internal_external_split_batch064.csv
I70-036539,waktaverse,Copyright,2317,WAKTAVERSE,,conservative fallback; Japanese title evidence is absent or ambiguous,copyright_review_external_batch062.csv
I70-036541,minecraft_youtube,Copyright,2306,Minecraft YouTube,,conservative fallback; Japanese title evidence is absent or ambiguous,copyright_review_external_batch062.csv
I70-036542,rance_(series),Copyright,2305,ランスシリーズ,,established/common Japanese title or official rendering,copyright_final_internal_external_split_batch064.csv
I70-036543,avengers_(series),Copyright,2300,アベンジャーズ,,established/common Japanese title or official rendering,copyright_final_internal_external_split_batch064.csv
I70-036547,hollow_knight:_silksong,Copyright,2294,Hollow Knight: Silksong,,conservative fallback; Japanese title evidence is absent or ambiguous,copyright_no_trusted_ja_batch018.csv
I70-001418,justice_task_force_member_(blue_archive),Character,2291,正義実現委員会モブ,正義実現委員会モブ | 正実モブ,ファン定着名と公式役割名の境界を要確認,character_review_final_batch061.csv
I70-036551,ryuu_ga_gotoku_(series),Copyright,2266,龍が如く,,established/common Japanese title or official rendering,copyright_final_internal_external_split_batch064.csv
I70-036553,air_(visual_novel),Copyright,2265,AIR,,established/common Japanese title or official rendering,copyright_final_internal_external_split_batch064.csv
I70-044516,izumi_tsubasu,Artist,2262,和泉つばす,,"semantic re-curation: artist identity normalized; known Japanese credit used when clear, otherwise canonical handle preserved without machine translation",artist_initial_audit_batch008.csv
I70-044523,tsunako,Artist,2233,つなこ,,"semantic re-curation: artist identity normalized; known Japanese credit used when clear, otherwise canonical handle preserved without machine translation",artist_initial_audit_batch008.csv
I70-036560,shiguang_dailiren,Copyright,2230,時光代理人,,conservative fallback; Japanese title evidence is absent or ambiguous,copyright_review_external_batch062.csv
I70-036566,heaven's_feel,Copyright,2218,Fate/stay night [Heaven's Feel],,conservative fallback; Japanese title evidence is absent or ambiguous,copyright_review_external_batch062.csv
I70-001490,kaguya_(tsukuyomi)_(cho_kaguya-hime!),Character,2177,かぐや,かぐや | かぐや(超かぐや姫！),作品側の公式キャラクター表記を要確認,variant_lost_qualifier_batch003_03.csv
I70-044529,takeuchi_takashi,Artist,2168,武内崇,,"semantic re-curation: artist identity normalized; known Japanese credit used when clear, otherwise canonical handle preserved without machine translation",artist_initial_audit_batch008.csv
I70-036584,indie_utaite,Copyright,2143,indie utaite,,conservative fallback; Japanese title evidence is absent or ambiguous,copyright_no_trusted_ja_batch018.csv
I70-036596,neverness_to_everness,Copyright,2095,Neverness to Everness,,conservative fallback; Japanese title evidence is absent or ambiguous,copyright_review_external_batch062.csv
I70-044538,nekotoufu,Artist,2088,ねことうふ,,"semantic re-curation: artist identity normalized; known Japanese credit used when clear, otherwise canonical handle preserved without machine translation",artist_initial_audit_batch008.csv
I70-044539,onigirikun,Artist,2077,おにぎりくん,,"semantic re-curation: artist identity normalized; known Japanese credit used when clear, otherwise canonical handle preserved without machine translation",artist_initial_audit_batch008.csv
I70-044541,toosaka_asagi,Artist,2061,遠坂あさぎ,,"semantic re-curation: artist identity normalized; known Japanese credit used when clear, otherwise canonical handle preserved without machine translation",artist_initial_audit_batch008.csv
I70-044542,sayori_(neko_works),Artist,2060,さより（NEKO WORKs）,,"semantic re-curation: artist identity normalized; known Japanese credit used when clear, otherwise canonical handle preserved without machine translation",artist_initial_audit_batch008.csv
I70-036614,isegye_idol,Copyright,2052,isegye idol,,conservative fallback; Japanese title evidence is absent or ambiguous,copyright_no_trusted_ja_batch018.csv
I70-036615,xenoblade_chronicles_1,Copyright,2051,ゼノブレイド,,established/common Japanese title or official rendering,copyright_final_internal_external_split_batch064.csv
I70-036617,avatar:_the_last_airbender,Copyright,2040,アバター 伝説の少年アン,,established/common Japanese title or official rendering,copyright_final_internal_external_split_batch064.csv
I70-044546,yamamoto_souichirou,Artist,2036,山本崇一朗,,"semantic re-curation: artist identity normalized; known Japanese credit used when clear, otherwise canonical handle preserved without machine translation",artist_initial_audit_batch008.csv
I70-036625,fear_&_hunger_(series),Copyright,2021,Fear & Hunger,,conservative fallback; Japanese title evidence is absent or ambiguous,copyright_no_trusted_ja_batch018.csv
I70-001651,nugget_(project_moon),Character,1990,自職員,自職員,日本語表示名・表記の確定に追加確認が必要,character_review_final_batch061.csv
I70-036633,toaru_majutsu_no_index:_old_testament,Copyright,1988,とある魔術の禁書目録,,established/common Japanese title or official rendering,copyright_final_internal_external_split_batch064.csv
I70-036636,re:stage!,Copyright,1980,Re:ステージ！,,conservative fallback; Japanese title evidence is absent or ambiguous,copyright_review_external_batch062.csv
I70-001667,bloop_(gawr_gura),Character,1971,Bloop,Bloop,日本語表示名・表記の確定に追加確認が必要,character_no_trusted_ja_batch010.csv
I70-044559,fujima_takuya,Artist,1959,藤真拓哉,,"semantic re-curation: artist identity normalized; known Japanese credit used when clear, otherwise canonical handle preserved without machine translation",artist_initial_audit_batch008.csv
I70-036642,aotu_world,Copyright,1952,凹凸世界,,conservative fallback; Japanese title evidence is absent or ambiguous,copyright_review_external_batch062.csv
I70-044560,tomose_shunsaku,Artist,1951,トモセシュンサク,,"semantic re-curation: artist identity normalized; known Japanese credit used when clear, otherwise canonical handle preserved without machine translation",artist_initial_audit_batch008.csv
I70-044567,mattaku_mousuke,Artist,1910,まったくモー助,,"semantic re-curation: artist identity normalized; known Japanese credit used when clear, otherwise canonical handle preserved without machine translation",artist_initial_audit_batch008.csv
I70-036656,nu_carnival,Copyright,1900,NU: カーニバル,,conservative fallback; Japanese title evidence is absent or ambiguous,copyright_review_external_batch062.csv
I70-036659,beatmania_iidx,Copyright,1889,beatmania IIDX,,conservative fallback; Japanese title evidence is absent or ambiguous,copyright_review_external_batch062.csv
I70-036664,degrees_of_lewdity,Copyright,1869,Degrees of Lewdity,,conservative fallback; Japanese title evidence is absent or ambiguous,copyright_no_trusted_ja_batch018.csv
I70-036667,resident_evil_4_(remake),Copyright,1865,バイオハザード RE:4,,established/common Japanese title or official rendering,copyright_final_internal_external_split_batch064.csv
I70-001789,dokibird,Character,1864,Dokibird,Dokibird,日本語表示名・表記の確定に追加確認が必要,character_no_trusted_ja_batch010.csv
I70-036669,gyee,Copyright,1862,サンクタス戦記,,conservative fallback; Japanese title evidence is absent or ambiguous,copyright_review_external_batch062.csv
