row_id,canonical_tag,post_count,display_ja,existing_candidate_ja,translation_note,risk_flags,related_copyright_top1,related_copyright_top1_coverage,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-011190,uesugi_kenshin_(second_ascension)_(fate),244,上杉謙信(Fate),上杉謙信(Fate),variant/form rendering plausible but not independently verified,STATUS_REVIEW_REQUIRED | DUPLICATE_DISPLAY_WITHIN_CATEGORY,fate/grand_order,1.0,FIX_DISPLAY,uesugi kenshin (second ascension) (fate),,REJECT_UNVERIFIED_VARIANT_JA_USE_CANONICAL_FALLBACK,HIGH,raw Japanese candidate only; no Japanese existing display/search/verified/source alias evidence,variant/括弧付き日本語候補がraw candidate以外で裏付けられない低使用数行。誤った日本語identity/variant訳を残さずcanonical由来fallbackへ戻す。,PROPOSED
I70-014449,menhera-chan_(ezaki_bisuko)_(character),175,メンヘラチャン,メンヘラチャン,variant/form rendering plausible but not independently verified,STATUS_REVIEW_REQUIRED | DISAMBIGUATOR_NOT_VISIBLE,menhera-chan_(ezaki_bisuko),1.0,FIX_DISPLAY,menhera-chan (ezaki bisuko) (character),,REJECT_UNVERIFIED_VARIANT_JA_USE_CANONICAL_FALLBACK,HIGH,raw Japanese candidate only; no Japanese existing display/search/verified/source alias evidence,variant/括弧付き日本語候補がraw candidate以外で裏付けられない低使用数行。誤った日本語identity/variant訳を残さずcanonical由来fallbackへ戻す。,PROPOSED
I70-014560,kaga_kai_ni_(kancolle),173,カガカイニ（カンコル）,カガカイニ（カンコル）,parenthetical candidate does not map cleanly to a copyright disambiguator,STATUS_REVIEW_REQUIRED,kantai_collection,1.0,FIX_DISPLAY,kaga kai ni (kancolle),,REJECT_UNVERIFIED_VARIANT_JA_USE_CANONICAL_FALLBACK,HIGH,raw Japanese candidate only; no Japanese existing display/search/verified/source alias evidence,variant/括弧付き日本語候補がraw candidate以外で裏付けられない低使用数行。誤った日本語identity/variant訳を残さずcanonical由来fallbackへ戻す。,PROPOSED
I70-014577,phantom_(nikke),173,ファントム(勝利の女神:NIKKE),ファントム(勝利の女神:NIKKE),parenthetical candidate does not map cleanly to a copyright disambiguator,STATUS_REVIEW_REQUIRED,goddess_of_victory:_nikke,1.0,FIX_DISPLAY,phantom (nikke),,REJECT_UNVERIFIED_VARIANT_JA_USE_CANONICAL_FALLBACK,HIGH,raw Japanese candidate only; no Japanese existing display/search/verified/source alias evidence,variant/括弧付き日本語候補がraw candidate以外で裏付けられない低使用数行。誤った日本語identity/variant訳を残さずcanonical由来fallbackへ戻す。,PROPOSED
I70-014670,donatello_(tmnt),171,ドナテロ(タートルズ),ドナテロ(タートルズ),parenthetical candidate does not map cleanly to a copyright disambiguator,STATUS_REVIEW_REQUIRED,teenage_mutant_ninja_turtles,0.992063,FIX_DISPLAY,donatello (tmnt),,REJECT_UNVERIFIED_VARIANT_JA_USE_CANONICAL_FALLBACK,HIGH,raw Japanese candidate only; no Japanese existing display/search/verified/source alias evidence,variant/括弧付き日本語候補がraw candidate以外で裏付けられない低使用数行。誤った日本語identity/variant訳を残さずcanonical由来fallbackへ戻す。,PROPOSED
I70-014746,kurozumi_tama,170,お玉(ONEPIECE),お玉(ONEPIECE),parenthetical candidate does not map cleanly to a copyright disambiguator,STATUS_REVIEW_REQUIRED,one_piece,1.0,FIX_DISPLAY,kurozumi tama,,REJECT_UNVERIFIED_VARIANT_JA_USE_CANONICAL_FALLBACK,HIGH,raw Japanese candidate only; no Japanese existing display/search/verified/source alias evidence,variant/括弧付き日本語候補がraw candidate以外で裏付けられない低使用数行。誤った日本語identity/variant訳を残さずcanonical由来fallbackへ戻す。,PROPOSED
I70-014833,tyler_(merryweather),169,タイラー（メリーウェザー）,タイラー（メリーウェザー）,parenthetical candidate does not map cleanly to a copyright disambiguator,STATUS_REVIEW_REQUIRED,goth_girl_and_the_jock,0.982249,FIX_DISPLAY,tyler (merryweather),,REJECT_UNVERIFIED_VARIANT_JA_USE_CANONICAL_FALLBACK,HIGH,raw Japanese candidate only; no Japanese existing display/search/verified/source alias evidence,variant/括弧付き日本語候補がraw candidate以外で裏付けられない低使用数行。誤った日本語identity/variant訳を残さずcanonical由来fallbackへ戻す。,PROPOSED
I70-014894,shinjin-chan_(douki-chan),168,シンジンちゃん（douki-chan）,シンジンちゃん（douki-chan）,parenthetical candidate does not map cleanly to a copyright disambiguator,STATUS_REVIEW_REQUIRED,ganbare_douki-chan,1.0,FIX_DISPLAY,shinjin-chan (douki-chan),,REJECT_UNVERIFIED_VARIANT_JA_USE_CANONICAL_FALLBACK,HIGH,raw Japanese candidate only; no Japanese existing display/search/verified/source alias evidence,variant/括弧付き日本語候補がraw candidate以外で裏付けられない低使用数行。誤った日本語identity/variant訳を残さずcanonical由来fallbackへ戻す。,PROPOSED
I70-015042,wendy_o._koopa,166,ウェンディ(スーパーマリオ),ウェンディ(スーパーマリオ),parenthetical candidate does not map cleanly to a copyright disambiguator,STATUS_REVIEW_REQUIRED,mario_(series),1.0,FIX_DISPLAY,wendy o. koopa,,REJECT_UNVERIFIED_VARIANT_JA_USE_CANONICAL_FALLBACK,HIGH,raw Japanese candidate only; no Japanese existing display/search/verified/source alias evidence,variant/括弧付き日本語候補がraw candidate以外で裏付けられない低使用数行。誤った日本語identity/variant訳を残さずcanonical由来fallbackへ戻す。,PROPOSED
I70-015062,coomer_(meme),165,クーマー（ミーム）,クーマー（ミーム）,parenthetical candidate does not map cleanly to a copyright disambiguator,STATUS_REVIEW_REQUIRED,original,0.651613,FIX_DISPLAY,coomer (meme),,REJECT_UNVERIFIED_VARIANT_JA_USE_CANONICAL_FALLBACK,HIGH,raw Japanese candidate only; no Japanese existing display/search/verified/source alias evidence,variant/括弧付き日本語候補がraw candidate以外で裏付けられない低使用数行。誤った日本語identity/variant訳を残さずcanonical由来fallbackへ戻す。,PROPOSED
I70-015093,michelangelo_(tmnt),165,ミケランジェロ(タートルズ),ミケランジェロ(タートルズ),parenthetical candidate does not map cleanly to a copyright disambiguator,STATUS_REVIEW_REQUIRED,teenage_mutant_ninja_turtles,0.992,FIX_DISPLAY,michelangelo (tmnt),,REJECT_UNVERIFIED_VARIANT_JA_USE_CANONICAL_FALLBACK,HIGH,raw Japanese candidate only; no Japanese existing display/search/verified/source alias evidence,variant/括弧付き日本語候補がraw candidate以外で裏付けられない低使用数行。誤った日本語identity/variant訳を残さずcanonical由来fallbackへ戻す。,PROPOSED
I70-015214,ippan_josei,163,一般女性(僕のヒーローアカデミア),一般女性(僕のヒーローアカデミア),parenthetical candidate does not map cleanly to a copyright disambiguator,STATUS_REVIEW_REQUIRED,boku_no_hero_academia,1.0,FIX_DISPLAY,ippan josei,,REJECT_UNVERIFIED_VARIANT_JA_USE_CANONICAL_FALLBACK,HIGH,raw Japanese candidate only; no Japanese existing display/search/verified/source alias evidence,variant/括弧付き日本語候補がraw candidate以外で裏付けられない低使用数行。誤った日本語identity/variant訳を残さずcanonical由来fallbackへ戻す。,PROPOSED
I70-015245,takahashi_amato,163,タカハシ(CeVIO),タカハシ(CeVIO),parenthetical candidate does not map cleanly to a copyright disambiguator,STATUS_REVIEW_REQUIRED,cevio,1.0,FIX_DISPLAY,takahashi amato,,REJECT_UNVERIFIED_VARIANT_JA_USE_CANONICAL_FALLBACK,HIGH,raw Japanese candidate only; no Japanese existing display/search/verified/source alias evidence,variant/括弧付き日本語候補がraw candidate以外で裏付けられない低使用数行。誤った日本語identity/variant訳を残さずcanonical由来fallbackへ戻す。,PROPOSED
I70-015414,edogawa_ranpo_(bungou_stray_dogs),160,江戸川乱歩(文豪ストレイドッグス),江戸川乱歩(文豪ストレイドッグス),variant/form rendering plausible but not independently verified,STATUS_REVIEW_REQUIRED,bungou_stray_dogs,1.0,FIX_DISPLAY,edogawa ranpo (bungou stray dogs),,REJECT_UNVERIFIED_VARIANT_JA_USE_CANONICAL_FALLBACK,HIGH,raw Japanese candidate only; no Japanese existing display/search/verified/source alias evidence,variant/括弧付き日本語候補がraw candidate以外で裏付けられない低使用数行。誤った日本語identity/variant訳を残さずcanonical由来fallbackへ戻す。,PROPOSED
I70-015443,oolong,160,ウーロン(ドラゴンボール),ウーロン(ドラゴンボール),parenthetical candidate does not map cleanly to a copyright disambiguator,STATUS_REVIEW_REQUIRED,dragon_ball,1.0,FIX_DISPLAY,oolong,,REJECT_UNVERIFIED_VARIANT_JA_USE_CANONICAL_FALLBACK,HIGH,raw Japanese candidate only; no Japanese existing display/search/verified/source alias evidence,variant/括弧付き日本語候補がraw candidate以外で裏付けられない低使用数行。誤った日本語identity/variant訳を残さずcanonical由来fallbackへ戻す。,PROPOSED
I70-015446,protagonist_(lost_property_control_organization),160,主人公（失われた不動産管理組織）,主人公（失われた不動産管理組織）,variant/form rendering plausible but not independently verified,STATUS_REVIEW_REQUIRED,lost_property_control_organization_(samidare),1.0,FIX_DISPLAY,protagonist (lost property control organization),,REJECT_UNVERIFIED_VARIANT_JA_USE_CANONICAL_FALLBACK,HIGH,raw Japanese candidate only; no Japanese existing display/search/verified/source alias evidence,variant/括弧付き日本語候補がraw candidate以外で裏付けられない低使用数行。誤った日本語identity/variant訳を残さずcanonical由来fallbackへ戻す。,PROPOSED
I70-015554,medic_(sekaiju_4),158,メディック（セカイジュ4）,メディック（セカイジュ4）,parenthetical candidate does not map cleanly to a copyright disambiguator,STATUS_REVIEW_REQUIRED,sekaiju_no_meikyuu,0.983871,FIX_DISPLAY,medic (sekaiju 4),,REJECT_UNVERIFIED_VARIANT_JA_USE_CANONICAL_FALLBACK,HIGH,raw Japanese candidate only; no Japanese existing display/search/verified/source alias evidence,variant/括弧付き日本語候補がraw candidate以外で裏付けられない低使用数行。誤った日本語identity/variant訳を残さずcanonical由来fallbackへ戻す。,PROPOSED
I70-015613,hero_(dq6),157,ヒーロー（DQ6）,ヒーロー（DQ6）,parenthetical candidate does not map cleanly to a copyright disambiguator,STATUS_REVIEW_REQUIRED,dragon_quest,1.0,FIX_DISPLAY,hero (dq6),,REJECT_UNVERIFIED_VARIANT_JA_USE_CANONICAL_FALLBACK,HIGH,raw Japanese candidate only; no Japanese existing display/search/verified/source alias evidence,variant/括弧付き日本語候補がraw candidate以外で裏付けられない低使用数行。誤った日本語identity/variant訳を残さずcanonical由来fallbackへ戻す。,PROPOSED
I70-015621,kirin_(nijiura_maids),157,きりんさん(二次裏メイド),きりんさん(二次裏メイド),variant/form rendering plausible but not independently verified,STATUS_REVIEW_REQUIRED,futaba_channel,1.0,FIX_DISPLAY,kirin (nijiura maids),,REJECT_UNVERIFIED_VARIANT_JA_USE_CANONICAL_FALLBACK,HIGH,raw Japanese candidate only; no Japanese existing display/search/verified/source alias evidence,variant/括弧付き日本語候補がraw candidate以外で裏付けられない低使用数行。誤った日本語identity/variant訳を残さずcanonical由来fallbackへ戻す。,PROPOSED
I70-015665,ultraseven,157,ウルトラセブン(キャラクター),ウルトラセブン(キャラクター),parenthetical candidate does not map cleanly to a copyright disambiguator,STATUS_REVIEW_REQUIRED,ultra_series,1.0,FIX_DISPLAY,ultraseven,,REJECT_UNVERIFIED_VARIANT_JA_USE_CANONICAL_FALLBACK,HIGH,raw Japanese candidate only; no Japanese existing display/search/verified/source alias evidence,variant/括弧付き日本語候補がraw candidate以外で裏付けられない低使用数行。誤った日本語identity/variant訳を残さずcanonical由来fallbackへ戻す。,PROPOSED
I70-015668,weddie_(dq10),157,ウェディ(DQ10),ウェディ(DQ10),parenthetical candidate does not map cleanly to a copyright disambiguator,STATUS_REVIEW_REQUIRED,dragon_quest,1.0,FIX_DISPLAY,weddie (dq10),,REJECT_UNVERIFIED_VARIANT_JA_USE_CANONICAL_FALLBACK,HIGH,raw Japanese candidate only; no Japanese existing display/search/verified/source alias evidence,variant/括弧付き日本語候補がraw candidate以外で裏付けられない低使用数行。誤った日本語identity/variant訳を残さずcanonical由来fallbackへ戻す。,PROPOSED
I70-015730,myuri_(spice_and_wolf),156,ミューリ,ミューリ,variant/form rendering plausible but not independently verified,STATUS_REVIEW_REQUIRED | DISAMBIGUATOR_NOT_VISIBLE,spice_and_wolf,1.0,FIX_DISPLAY,myuri (spice and wolf),,REJECT_UNVERIFIED_VARIANT_JA_USE_CANONICAL_FALLBACK,HIGH,raw Japanese candidate only; no Japanese existing display/search/verified/source alias evidence,variant/括弧付き日本語候補がraw candidate以外で裏付けられない低使用数行。誤った日本語identity/variant訳を残さずcanonical由来fallbackへ戻す。,PROPOSED
I70-015757,tanaka_meron,156,メロロン(人間態),メロロン(人間態),parenthetical candidate does not map cleanly to a copyright disambiguator,STATUS_REVIEW_REQUIRED,precure,1.0,FIX_DISPLAY,tanaka meron,,REJECT_UNVERIFIED_VARIANT_JA_USE_CANONICAL_FALLBACK,HIGH,raw Japanese candidate only; no Japanese existing display/search/verified/source alias evidence,variant/括弧付き日本語候補がraw candidate以外で裏付けられない低使用数行。誤った日本語identity/variant訳を残さずcanonical由来fallbackへ戻す。,PROPOSED
I70-015834,tanaka_purin,155,プリルン(人間態),プリルン(人間態),parenthetical candidate does not map cleanly to a copyright disambiguator,STATUS_REVIEW_REQUIRED,precure,1.0,FIX_DISPLAY,tanaka purin,,REJECT_UNVERIFIED_VARIANT_JA_USE_CANONICAL_FALLBACK,HIGH,raw Japanese candidate only; no Japanese existing display/search/verified/source alias evidence,variant/括弧付き日本語候補がraw candidate以外で裏付けられない低使用数行。誤った日本語identity/variant訳を残さずcanonical由来fallbackへ戻す。,PROPOSED
I70-015876,lead_white_(tsurunoka),154,リードホワイト（ツルノカ）,リードホワイト（ツルノカ）,parenthetical candidate does not map cleanly to a copyright disambiguator,STATUS_REVIEW_REQUIRED,original,1.0,FIX_DISPLAY,lead white (tsurunoka),,REJECT_UNVERIFIED_VARIANT_JA_USE_CANONICAL_FALLBACK,HIGH,raw Japanese candidate only; no Japanese existing display/search/verified/source alias evidence,variant/括弧付き日本語候補がraw candidate以外で裏付けられない低使用数行。誤った日本語identity/variant訳を残さずcanonical由来fallbackへ戻す。,PROPOSED
I70-015906,shiro_(mignon),154,シロちゃん（ミニョン）,シロちゃん（ミニョン）,parenthetical candidate does not map cleanly to a copyright disambiguator,STATUS_REVIEW_REQUIRED,original,1.0,FIX_DISPLAY,shiro (mignon),,REJECT_UNVERIFIED_VARIANT_JA_USE_CANONICAL_FALLBACK,HIGH,raw Japanese candidate only; no Japanese existing display/search/verified/source alias evidence,variant/括弧付き日本語候補がraw candidate以外で裏付けられない低使用数行。誤った日本語identity/variant訳を残さずcanonical由来fallbackへ戻す。,PROPOSED
I70-015927,brown_kemomimi-chan_(krr),153,ブラウンケモミミちゃん（KRR）,ブラウンケモミミちゃん（KRR）,parenthetical candidate does not map cleanly to a copyright disambiguator,STATUS_REVIEW_REQUIRED,original,0.993464,FIX_DISPLAY,brown kemomimi-chan (krr),,REJECT_UNVERIFIED_VARIANT_JA_USE_CANONICAL_FALLBACK,HIGH,raw Japanese candidate only; no Japanese existing display/search/verified/source alias evidence,variant/括弧付き日本語候補がraw candidate以外で裏付けられない低使用数行。誤った日本語identity/variant訳を残さずcanonical由来fallbackへ戻す。,PROPOSED
I70-015942,ivy_(sparrowl),153,アイビー（スパロウル）,アイビー（スパロウル）,parenthetical candidate does not map cleanly to a copyright disambiguator,STATUS_REVIEW_REQUIRED,original,1.0,FIX_DISPLAY,ivy (sparrowl),,REJECT_UNVERIFIED_VARIANT_JA_USE_CANONICAL_FALLBACK,HIGH,raw Japanese candidate only; no Japanese existing display/search/verified/source alias evidence,variant/括弧付き日本語候補がraw candidate以外で裏付けられない低使用数行。誤った日本語identity/variant訳を残さずcanonical由来fallbackへ戻す。,PROPOSED
I70-015945,kamen_rider_drive,153,ドライブ(仮面ライダー),ドライブ(仮面ライダー),parenthetical candidate does not map cleanly to a copyright disambiguator,STATUS_REVIEW_REQUIRED,kamen_rider,1.0,FIX_DISPLAY,kamen rider drive,,REJECT_UNVERIFIED_VARIANT_JA_USE_CANONICAL_FALLBACK,HIGH,raw Japanese candidate only; no Japanese existing display/search/verified/source alias evidence,variant/括弧付き日本語候補がraw candidate以外で裏付けられない低使用数行。誤った日本語identity/variant訳を残さずcanonical由来fallbackへ戻す。,PROPOSED
I70-016015,gregor_(tsurunoka),152,グレゴール（ツルノカ）,グレゴール（ツルノカ）,parenthetical candidate does not map cleanly to a copyright disambiguator,STATUS_REVIEW_REQUIRED,original,1.0,FIX_DISPLAY,gregor (tsurunoka),,REJECT_UNVERIFIED_VARIANT_JA_USE_CANONICAL_FALLBACK,HIGH,raw Japanese candidate only; no Japanese existing display/search/verified/source alias evidence,variant/括弧付き日本語候補がraw candidate以外で裏付けられない低使用数行。誤った日本語identity/variant訳を残さずcanonical由来fallbackへ戻す。,PROPOSED
