row_id,canonical_tag,post_count,display_ja,search_ja,translation_note,risk_flags,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-036098,pokemon_legends:_arceus,9592,Pokémon LEGENDS アルセウス,,manual chat curation selected high-confidence Japanese copyright title,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_COPYRIGHT_TITLE_NO_SEMANTIC_RISK,HIGH,prior semantic re-curation + v3 risk classification,残存flagはsource文字列の完全一致差のみ。構造/衝突/曖昧性リスクがないため監修済み表示を維持。,PROPOSED
I70-036117,pokemon_omega_ruby_and_alpha_sapphire,8672,ポケットモンスター オメガルビー・アルファサファイア,,manual chat curation selected high-confidence Japanese copyright title,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_COPYRIGHT_TITLE_NO_SEMANTIC_RISK,HIGH,prior semantic re-curation + v3 risk classification,残存flagはsource文字列の完全一致差のみ。構造/衝突/曖昧性リスクがないため監修済み表示を維持。,PROPOSED
I70-036150,pokemon_firered_and_leafgreen,7174,ポケットモンスター ファイアレッド・リーフグリーン,,manual chat curation selected high-confidence Japanese copyright title,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_COPYRIGHT_TITLE_NO_SEMANTIC_RISK,HIGH,prior semantic re-curation + v3 risk classification,残存flagはsource文字列の完全一致差のみ。構造/衝突/曖昧性リスクがないため監修済み表示を維持。,PROPOSED
I70-036218,pokemon_ruby/sapphire/emerald,5613,ポケットモンスター ルビー・サファイア・エメラルド,,manual chat curation selected high-confidence Japanese copyright title,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_COPYRIGHT_TITLE_NO_SEMANTIC_RISK,HIGH,prior semantic re-curation + v3 risk classification,残存flagはsource文字列の完全一致差のみ。構造/衝突/曖昧性リスクがないため監修済み表示を維持。,PROPOSED
I70-036266,pokemon_horizons,4868,ポケットモンスター（2023年アニメ）,,manual chat curation selected high-confidence Japanese copyright title,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_COPYRIGHT_TITLE_NO_SEMANTIC_RISK,HIGH,prior semantic re-curation + v3 risk classification,残存flagはsource文字列の完全一致差のみ。構造/衝突/曖昧性リスクがないため監修済み表示を維持。,PROPOSED
I70-036300,pokemon_the_series:_sun_&_moon,4266,ポケットモンスター サン＆ムーン,,manual chat curation selected high-confidence Japanese copyright title,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_COPYRIGHT_TITLE_NO_SEMANTIC_RISK,HIGH,prior semantic re-curation + v3 risk classification,残存flagはsource文字列の完全一致差のみ。構造/衝突/曖昧性リスクがないため監修済み表示を維持。,PROPOSED
I70-036336,pokemon_red/green/blue/yellow,3837,ポケットモンスター 赤・緑・青・ピカチュウ,,manual chat curation selected high-confidence Japanese copyright title,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_COPYRIGHT_TITLE_NO_SEMANTIC_RISK,HIGH,prior semantic re-curation + v3 risk classification,残存flagはsource文字列の完全一致差のみ。構造/衝突/曖昧性リスクがないため監修済み表示を維持。,PROPOSED
I70-036360,pokemon_journeys,3481,ポケットモンスター（2019年アニメ）,,manual chat curation selected high-confidence Japanese copyright title,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_COPYRIGHT_TITLE_NO_SEMANTIC_RISK,HIGH,prior semantic re-curation + v3 risk classification,残存flagはsource文字列の完全一致差のみ。構造/衝突/曖昧性リスクがないため監修済み表示を維持。,PROPOSED
I70-036374,nichijou,3347,日常,,manual chat curation selected high-confidence Japanese copyright title,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_COPYRIGHT_TITLE_NO_SEMANTIC_RISK,HIGH,prior semantic re-curation + v3 risk classification,残存flagはsource文字列の完全一致差のみ。構造/衝突/曖昧性リスクがないため監修済み表示を維持。,PROPOSED
I70-036395,pokemon_gold/silver/crystal,3184,ポケットモンスター 金・銀・クリスタル,,manual chat curation selected high-confidence Japanese copyright title,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_COPYRIGHT_TITLE_NO_SEMANTIC_RISK,HIGH,prior semantic re-curation + v3 risk classification,残存flagはsource文字列の完全一致差のみ。構造/衝突/曖昧性リスクがないため監修済み表示を維持。,PROPOSED
I70-036454,pokemon_the_series:_xy,2725,ポケットモンスター XY,,manual chat curation selected high-confidence Japanese copyright title,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_COPYRIGHT_TITLE_NO_SEMANTIC_RISK,HIGH,prior semantic re-curation + v3 risk classification,残存flagはsource文字列の完全一致差のみ。構造/衝突/曖昧性リスクがないため監修済み表示を維持。,PROPOSED
I70-036459,dragon_quest_xi,2679,ドラゴンクエストXI,,manual chat curation selected high-confidence Japanese copyright title,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_COPYRIGHT_TITLE_NO_SEMANTIC_RISK,HIGH,prior semantic re-curation + v3 risk classification,残存flagはsource文字列の完全一致差のみ。構造/衝突/曖昧性リスクがないため監修済み表示を維持。,PROPOSED
I70-036476,world_of_warcraft,2593,ワールド・オブ・ウォークラフト,,manual chat curation selected high-confidence Japanese copyright title,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_COPYRIGHT_TITLE_NO_SEMANTIC_RISK,HIGH,prior semantic re-curation + v3 risk classification,残存flagはsource文字列の完全一致差のみ。構造/衝突/曖昧性リスクがないため監修済み表示を維持。,PROPOSED
I70-036510,dragon_quest_v,2400,ドラゴンクエストV,,established/common Japanese title or official rendering,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_COPYRIGHT_TITLE_NO_SEMANTIC_RISK,HIGH,prior semantic re-curation + v3 risk classification,残存flagはsource文字列の完全一致差のみ。構造/衝突/曖昧性リスクがないため監修済み表示を維持。,PROPOSED
I70-036511,persona_5_the_royal,2398,ペルソナ5 ザ・ロイヤル,,established/common Japanese title or official rendering,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_COPYRIGHT_TITLE_NO_SEMANTIC_RISK,HIGH,prior semantic re-curation + v3 risk classification,残存flagはsource文字列の完全一致差のみ。構造/衝突/曖昧性リスクがないため監修済み表示を維持。,PROPOSED
I70-036517,call_of_duty,2381,コール オブ デューティ,,established/common Japanese title or official rendering,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_COPYRIGHT_TITLE_NO_SEMANTIC_RISK,HIGH,prior semantic re-curation + v3 risk classification,残存flagはsource文字列の完全一致差のみ。構造/衝突/曖昧性リスクがないため監修済み表示を維持。,PROPOSED
I70-036528,bishoujo_senshi_sailor_moon_s,2358,美少女戦士セーラームーンS,,established/common Japanese title or official rendering,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_COPYRIGHT_TITLE_NO_SEMANTIC_RISK,HIGH,prior semantic re-curation + v3 risk classification,残存flagはsource文字列の完全一致差のみ。構造/衝突/曖昧性リスクがないため監修済み表示を維持。,PROPOSED
I70-036554,dissidia_final_fantasy,2257,ディシディア ファイナルファンタジー,,established/common Japanese title or official rendering,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_COPYRIGHT_TITLE_NO_SEMANTIC_RISK,HIGH,prior semantic re-curation + v3 risk classification,残存flagはsource文字列の完全一致差のみ。構造/衝突/曖昧性リスクがないため監修済み表示を維持。,PROPOSED
I70-036555,yu-gi-oh!_arc-v,2244,遊☆戯☆王ARC-V,,established/common Japanese title or official rendering,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_COPYRIGHT_TITLE_NO_SEMANTIC_RISK,HIGH,prior semantic re-curation + v3 risk classification,残存flagはsource文字列の完全一致差のみ。構造/衝突/曖昧性リスクがないため監修済み表示を維持。,PROPOSED
I70-036558,idolmaster_dearly_stars,2236,アイドルマスター ディアリースターズ,,established/common Japanese title or official rendering,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_COPYRIGHT_TITLE_NO_SEMANTIC_RISK,HIGH,prior semantic re-curation + v3 risk classification,残存flagはsource文字列の完全一致差のみ。構造/衝突/曖昧性リスクがないため監修済み表示を維持。,PROPOSED
I70-036559,final_fantasy_xvi,2234,ファイナルファンタジーXVI,,established/common Japanese title or official rendering,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_COPYRIGHT_TITLE_NO_SEMANTIC_RISK,HIGH,prior semantic re-curation + v3 risk classification,残存flagはsource文字列の完全一致差のみ。構造/衝突/曖昧性リスクがないため監修済み表示を維持。,PROPOSED
I70-036568,senran_kagura_shoujo-tachi_no_shin'ei,2213,閃乱カグラ -少女達の真影-,,established/common Japanese title or official rendering,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_COPYRIGHT_TITLE_NO_SEMANTIC_RISK,HIGH,prior semantic re-curation + v3 risk classification,残存flagはsource文字列の完全一致差のみ。構造/衝突/曖昧性リスクがないため監修済み表示を維持。,PROPOSED
I70-036574,crisis_core:_final_fantasy_vii,2184,クライシス コア -ファイナルファンタジーVII-,,established/common Japanese title or official rendering,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_COPYRIGHT_TITLE_NO_SEMANTIC_RISK,HIGH,prior semantic re-curation + v3 risk classification,残存flagはsource文字列の完全一致差のみ。構造/衝突/曖昧性リスクがないため監修済み表示を維持。,PROPOSED
I70-036587,pokemon_the_series:_diamond_and_pearl,2127,ポケットモンスター ダイヤモンド＆パール,,established/common Japanese title or official rendering,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_COPYRIGHT_TITLE_NO_SEMANTIC_RISK,HIGH,prior semantic re-curation + v3 risk classification,残存flagはsource文字列の完全一致差のみ。構造/衝突/曖昧性リスクがないため監修済み表示を維持。,PROPOSED
I70-036591,pokemon_platinum,2105,ポケットモンスター プラチナ,,established/common Japanese title or official rendering,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_COPYRIGHT_TITLE_NO_SEMANTIC_RISK,HIGH,prior semantic re-curation + v3 risk classification,残存flagはsource文字列の完全一致差のみ。構造/衝突/曖昧性リスクがないため監修済み表示を維持。,PROPOSED
I70-036597,gundam_tekketsu_no_orphans,2094,機動戦士ガンダム 鉄血のオルフェンズ,,established/common Japanese title or official rendering,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_COPYRIGHT_TITLE_NO_SEMANTIC_RISK,HIGH,prior semantic re-curation + v3 risk classification,残存flagはsource文字列の完全一致差のみ。構造/衝突/曖昧性リスクがないため監修済み表示を維持。,PROPOSED
I70-036620,the_legend_of_zelda:_skyward_sword,2037,ゼルダの伝説 スカイウォードソード,,established/common Japanese title or official rendering,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_COPYRIGHT_TITLE_NO_SEMANTIC_RISK,HIGH,prior semantic re-curation + v3 risk classification,残存flagはsource文字列の完全一致差のみ。構造/衝突/曖昧性リスクがないため監修済み表示を維持。,PROPOSED
I70-036621,char's_counterattack,2036,機動戦士ガンダム 逆襲のシャア,,established/common Japanese title or official rendering,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_COPYRIGHT_TITLE_NO_SEMANTIC_RISK,HIGH,prior semantic re-curation + v3 risk classification,残存flagはsource文字列の完全一致差のみ。構造/衝突/曖昧性リスクがないため監修済み表示を維持。,PROPOSED
I70-036630,tales_of_asteria,2004,テイルズ オブ アスタリア,,established/common Japanese title or official rendering,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_COPYRIGHT_TITLE_NO_SEMANTIC_RISK,HIGH,prior semantic re-curation + v3 risk classification,残存flagはsource文字列の完全一致差のみ。構造/衝突/曖昧性リスクがないため監修済み表示を維持。,PROPOSED
I70-036632,dragon_ball_fighterz,1997,ドラゴンボール ファイターズ,,established/common Japanese title or official rendering,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_COPYRIGHT_TITLE_NO_SEMANTIC_RISK,HIGH,prior semantic re-curation + v3 risk classification,残存flagはsource文字列の完全一致差のみ。構造/衝突/曖昧性リスクがないため監修済み表示を維持。,PROPOSED
I70-036658,phantom_of_the_kill,1894,ファントム オブ キル,,established/common Japanese title or official rendering,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_COPYRIGHT_TITLE_NO_SEMANTIC_RISK,HIGH,prior semantic re-curation + v3 risk classification,残存flagはsource文字列の完全一致差のみ。構造/衝突/曖昧性リスクがないため監修済み表示を維持。,PROPOSED
I70-036665,the_legend_of_zelda:_the_wind_waker,1869,ゼルダの伝説 風のタクト,,established/common Japanese title or official rendering,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_COPYRIGHT_TITLE_NO_SEMANTIC_RISK,HIGH,prior semantic re-curation + v3 risk classification,残存flagはsource文字列の完全一致差のみ。構造/衝突/曖昧性リスクがないため監修済み表示を維持。,PROPOSED
I70-036674,call_of_duty:_modern_warfare_2,1845,コール オブ デューティ モダン・ウォーフェア2,,established/common Japanese title or official rendering,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_COPYRIGHT_TITLE_NO_SEMANTIC_RISK,HIGH,prior semantic re-curation + v3 risk classification,残存flagはsource文字列の完全一致差のみ。構造/衝突/曖昧性リスクがないため監修済み表示を維持。,PROPOSED
I70-036675,pokemon:_let's_go_pikachu!_and_let's_go_eevee!,1842,ポケットモンスター Let's Go! ピカチュウ・Let's Go! イーブイ,,established/common Japanese title or official rendering,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_COPYRIGHT_TITLE_NO_SEMANTIC_RISK,HIGH,prior semantic re-curation + v3 risk classification,残存flagはsource文字列の完全一致差のみ。構造/衝突/曖昧性リスクがないため監修済み表示を維持。,PROPOSED
I70-036678,pangya,1837,スカッとゴルフ パンヤ,,established/common Japanese title or official rendering,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_COPYRIGHT_TITLE_NO_SEMANTIC_RISK,HIGH,prior semantic re-curation + v3 risk classification,残存flagはsource文字列の完全一致差のみ。構造/衝突/曖昧性リスクがないため監修済み表示を維持。,PROPOSED
I70-036685,powerpuff_girls,1827,パワーパフ ガールズ,,established/common Japanese title or official rendering,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_COPYRIGHT_TITLE_NO_SEMANTIC_RISK,HIGH,prior semantic re-curation + v3 risk classification,残存flagはsource文字列の完全一致差のみ。構造/衝突/曖昧性リスクがないため監修済み表示を維持。,PROPOSED
I70-036689,resident_evil_requiem,1822,バイオハザード レクイエム,,established/common Japanese title or official rendering,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_COPYRIGHT_TITLE_NO_SEMANTIC_RISK,HIGH,prior semantic re-curation + v3 risk classification,残存flagはsource文字列の完全一致差のみ。構造/衝突/曖昧性リスクがないため監修済み表示を維持。,PROPOSED
I70-036696,warioware,1806,メイド イン ワリオ,,established/common Japanese title or official rendering,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_COPYRIGHT_TITLE_NO_SEMANTIC_RISK,HIGH,prior semantic re-curation + v3 risk classification,残存flagはsource文字列の完全一致差のみ。構造/衝突/曖昧性リスクがないため監修済み表示を維持。,PROPOSED
I70-036700,persona_3_reload,1794,ペルソナ3 リロード,,established/common Japanese title or official rendering,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_COPYRIGHT_TITLE_NO_SEMANTIC_RISK,HIGH,prior semantic re-curation + v3 risk classification,残存flagはsource文字列の完全一致差のみ。構造/衝突/曖昧性リスクがないため監修済み表示を維持。,PROPOSED
I70-036702,sen_no_kiseki_i,1792,英雄伝説 閃の軌跡,,established/common Japanese title or official rendering,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,KEEP,,,CURATED_COPYRIGHT_TITLE_NO_SEMANTIC_RISK,HIGH,prior semantic re-curation + v3 risk classification,残存flagはsource文字列の完全一致差のみ。構造/衝突/曖昧性リスクがないため監修済み表示を維持。,PROPOSED
