row_id,canonical_tag,post_count,display_ja,search_ja,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-003401,saber_alter_(third_ascension),989,セイバーオルタ（第3再臨）,セイバーオルタ | 第3再臨,FIX_BOTH,アルトリア・オルタ（third ascension）,,BLANK_ACCEPTED_TRUSTED_BASE_NO_JA_EVIDENCE,HIGH,AUDIT_KEEP; canonical variant; no strong Japanese evidence,注記なしAcceptedかつvariant日本語の強い証拠なし。検証済み本体名＋canonical variantへ戻し、未裏付け日本語検索語を除去。,PROPOSED
I70-003470,jack_frost_(megami_tensei),970,ジャックフロスト,ジャックフロスト | 妖精ジャックフロスト,NEEDS_EXTERNAL_CHECK,,,BLANK_ACCEPTED_HIGH_IMPACT_EVIDENCE_GAP,MEDIUM,blank semantic note and unresolved Japanese evidence; post_count >= 500,高影響かつ注記なし。既存日本語を破棄する前に外部確認。,PROPOSED
I70-003488,puyo_(puyopuyo),966,ぷよ,ぷよ | ぷよ(ぷよぷよ),NEEDS_EXTERNAL_CHECK,,,BLANK_ACCEPTED_HIGH_IMPACT_EVIDENCE_GAP,MEDIUM,blank semantic note and unresolved Japanese evidence; post_count >= 500,高影響かつ注記なし。既存日本語を破棄する前に外部確認。,PROPOSED
I70-004069,mizumiya_su,813,水宮枢,水宮枢 | すう,NEEDS_EXTERNAL_CHECK,,,BLANK_ACCEPTED_HIGH_IMPACT_EVIDENCE_GAP,MEDIUM,blank semantic note and unresolved Japanese evidence; post_count >= 500,高影響かつ注記なし。既存日本語を破棄する前に外部確認。,PROPOSED
I70-004087,luo_xiaohei_(cat),810,シャオヘイ（猫）,シャオヘイ（猫） | 羅小黒,NEEDS_EXTERNAL_CHECK,,,BLANK_ACCEPTED_HIGH_IMPACT_EVIDENCE_GAP,MEDIUM,blank semantic note and unresolved Japanese evidence; post_count >= 500,高影響かつ注記なし。既存日本語を破棄する前に外部確認。,PROPOSED
I70-004170,tamamo_cat_(first_ascension)_(fate),794,タマモキャット（第一再臨）,タマモキャット（第一再臨） | タマモキャット,FIX_BOTH,タマモキャット（first ascension）,,BLANK_ACCEPTED_TRUSTED_BASE_NO_JA_EVIDENCE,HIGH,DIRECT_SOURCE_SUPPORT; canonical variant; no strong Japanese evidence,注記なしAcceptedかつvariant日本語の強い証拠なし。検証済み本体名＋canonical variantへ戻し、未裏付け日本語検索語を除去。,PROPOSED
I70-004176,chen_(cat),792,橙（猫）,橙（猫） | 橙,NEEDS_EXTERNAL_CHECK,,,BLANK_ACCEPTED_HIGH_IMPACT_EVIDENCE_GAP,MEDIUM,blank semantic note and unresolved Japanese evidence; post_count >= 500,高影響かつ注記なし。既存日本語を破棄する前に外部確認。,PROPOSED
I70-004243,hoshikawa_sara_(1st_costume),777,星川サラ（通常衣装）,星川サラ（通常衣装） | 星川サラ,FIX_BOTH,星川サラ（1st costume）,星川サラ(通常),BLANK_ACCEPTED_TRUSTED_BASE_WITH_SOURCE_SEARCH,HIGH,DIRECT_SOURCE_SUPPORT; canonical variant + strong Japanese source evidence,注記なしAccepted。表示は検証済み本体名＋canonical variantへ統一し、強い日本語証拠だけ検索に保持。,PROPOSED
I70-004315,akai_haato_(1st_costume),764,赤井はあと（通常衣装）,赤井はあと（通常衣装） | 赤井はあと,FIX_BOTH,赤井はあと（ホロライブ）（1st costume）,,BLANK_ACCEPTED_TRUSTED_BASE_NO_JA_EVIDENCE,HIGH,AUDIT_FIX_DISPLAY; canonical variant; no strong Japanese evidence,注記なしAcceptedかつvariant日本語の強い証拠なし。検証済み本体名＋canonical variantへ戻し、未裏付け日本語検索語を除去。,PROPOSED
I70-004350,himemori_luna_(1st_costume),758,姫森ルーナ（通常衣装）,姫森ルーナ（通常衣装） | 姫森ルーナ,FIX_BOTH,姫森ルーナ（1st costume）,姫森ルーナ(通常),BLANK_ACCEPTED_TRUSTED_BASE_WITH_SOURCE_SEARCH,HIGH,DIRECT_SOURCE_SUPPORT; canonical variant + strong Japanese source evidence,注記なしAccepted。表示は検証済み本体名＋canonical variantへ統一し、強い日本語証拠だけ検索に保持。,PROPOSED
I70-004379,oda_nobunaga_(maou_avenger)_(fate),752,魔王信長,魔王信長 | 魔王信長（Fate）,FIX_BOTH,織田信長（Fate）（maou avenger）,,BLANK_ACCEPTED_TRUSTED_BASE_NO_JA_EVIDENCE,HIGH,AUDIT_KEEP; canonical variant; no strong Japanese evidence,注記なしAcceptedかつvariant日本語の強い証拠なし。検証済み本体名＋canonical variantへ戻し、未裏付け日本語検索語を除去。,PROPOSED
I70-004493,tokino_sora_(1st_costume),729,ときのそら（通常衣装）,ときのそら（通常衣装） | ときのそら,FIX_BOTH,ときのそら（1st costume）,,BLANK_ACCEPTED_TRUSTED_BASE_NO_JA_EVIDENCE,HIGH,DIRECT_SOURCE_SUPPORT; canonical variant; no strong Japanese evidence,注記なしAcceptedかつvariant日本語の強い証拠なし。検証済み本体名＋canonical variantへ戻し、未裏付け日本語検索語を除去。,PROPOSED
I70-004501,jade_(honkai:_star_rail),727,ジェイド,ジェイド,NEEDS_EXTERNAL_CHECK,,,BLANK_ACCEPTED_HIGH_IMPACT_EVIDENCE_GAP,MEDIUM,blank semantic note and unresolved Japanese evidence; post_count >= 500,高影響かつ注記なし。既存日本語を破棄する前に外部確認。,PROPOSED
I70-004521,gareth_(fate),723,ガレス,ガレス,NEEDS_EXTERNAL_CHECK,,,BLANK_ACCEPTED_HIGH_IMPACT_EVIDENCE_GAP,MEDIUM,blank semantic note and unresolved Japanese evidence; post_count >= 500,高影響かつ注記なし。既存日本語を破棄する前に外部確認。,PROPOSED
I70-004529,tristan_(fate),723,トリスタン,トリスタン,NEEDS_EXTERNAL_CHECK,,,BLANK_ACCEPTED_HIGH_IMPACT_EVIDENCE_GAP,MEDIUM,blank semantic note and unresolved Japanese evidence; post_count >= 500,高影響かつ注記なし。既存日本語を破棄する前に外部確認。,PROPOSED
I70-004577,marche_lorraine_(umamusume),712,マルシュロレーヌ,マルシュロレーヌ,NEEDS_EXTERNAL_CHECK,,,BLANK_ACCEPTED_HIGH_IMPACT_EVIDENCE_GAP,MEDIUM,blank semantic note and unresolved Japanese evidence; post_count >= 500,高影響かつ注記なし。既存日本語を破棄する前に外部確認。,PROPOSED
I70-004584,ines_(arknights),710,イネス,イネス,NEEDS_EXTERNAL_CHECK,,,BLANK_ACCEPTED_HIGH_IMPACT_EVIDENCE_GAP,MEDIUM,blank semantic note and unresolved Japanese evidence; post_count >= 500,高影響かつ注記なし。既存日本語を破棄する前に外部確認。,PROPOSED
I70-004596,pipkin_pippa,709,ピップキン・ピッパ,ピップキン・ピッパ,NEEDS_EXTERNAL_CHECK,,,BLANK_ACCEPTED_HIGH_IMPACT_EVIDENCE_GAP,MEDIUM,blank semantic note and unresolved Japanese evidence; post_count >= 500,高影響かつ注記なし。既存日本語を破棄する前に外部確認。,PROPOSED
I70-004603,miyamoto_musashi_(third_ascension)_(fate),707,宮本武蔵（第三再臨）,宮本武蔵（第三再臨）,NEEDS_EXTERNAL_CHECK,,,BLANK_ACCEPTED_HIGH_IMPACT_EVIDENCE_GAP,MEDIUM,blank semantic note and unresolved Japanese evidence; post_count >= 500,高影響かつ注記なし。既存日本語を破棄する前に外部確認。,PROPOSED
I70-004604,saber_alter_(fate/stay_night),707,セイバーオルタ,セイバーオルタ,FIX_BOTH,アルトリア・オルタ（fate/stay night）,,BLANK_ACCEPTED_TRUSTED_BASE_NO_JA_EVIDENCE,HIGH,AUDIT_KEEP; canonical variant; no strong Japanese evidence,注記なしAcceptedかつvariant日本語の強い証拠なし。検証済み本体名＋canonical variantへ戻し、未裏付け日本語検索語を除去。,PROPOSED
I70-004614,abigail_williams_(second_ascension)_(fate),704,アビゲイル・ウィリアムズ（第二再臨）,アビゲイル・ウィリアムズ（第二再臨）,NEEDS_EXTERNAL_CHECK,,,BLANK_ACCEPTED_HIGH_IMPACT_EVIDENCE_GAP,MEDIUM,blank semantic note and unresolved Japanese evidence; post_count >= 500,高影響かつ注記なし。既存日本語を破棄する前に外部確認。,PROPOSED
I70-004617,belno_light_(umamusume),704,ベルノライト,ベルノライト,NEEDS_EXTERNAL_CHECK,,,BLANK_ACCEPTED_HIGH_IMPACT_EVIDENCE_GAP,MEDIUM,blank semantic note and unresolved Japanese evidence; post_count >= 500,高影響かつ注記なし。既存日本語を破棄する前に外部確認。,PROPOSED
I70-004626,hugh_(pokemon),703,ヒュウ,ヒュウ,NEEDS_EXTERNAL_CHECK,,,BLANK_ACCEPTED_HIGH_IMPACT_EVIDENCE_GAP,MEDIUM,blank semantic note and unresolved Japanese evidence; post_count >= 500,高影響かつ注記なし。既存日本語を破棄する前に外部確認。,PROPOSED
I70-004633,amakusa_shirou_(fate),701,天草四郎,天草四郎,NEEDS_EXTERNAL_CHECK,,,BLANK_ACCEPTED_HIGH_IMPACT_EVIDENCE_GAP,MEDIUM,blank semantic note and unresolved Japanese evidence; post_count >= 500,高影響かつ注記なし。既存日本語を破棄する前に外部確認。,PROPOSED
I70-004645,female_morgan_(fire_emblem),699,マーク（女）,マーク（女）,NEEDS_EXTERNAL_CHECK,,,BLANK_ACCEPTED_HIGH_IMPACT_EVIDENCE_GAP,MEDIUM,blank semantic note and unresolved Japanese evidence; post_count >= 500,高影響かつ注記なし。既存日本語を破棄する前に外部確認。,PROPOSED
I70-004647,mousse_(ranma_1/2),699,ムース,ムース,NEEDS_EXTERNAL_CHECK,,,BLANK_ACCEPTED_HIGH_IMPACT_EVIDENCE_GAP,MEDIUM,blank semantic note and unresolved Japanese evidence; post_count >= 500,高影響かつ注記なし。既存日本語を破棄する前に外部確認。,PROPOSED
I70-004652,arsene_lupin_iii,698,ルパン三世,ルパン三世,NEEDS_EXTERNAL_CHECK,,,BLANK_ACCEPTED_HIGH_IMPACT_EVIDENCE_GAP,MEDIUM,blank semantic note and unresolved Japanese evidence; post_count >= 500,高影響かつ注記なし。既存日本語を破棄する前に外部確認。,PROPOSED
I70-004679,fluorite_(arknights),694,フローライト,フローライト,NEEDS_EXTERNAL_CHECK,,,BLANK_ACCEPTED_HIGH_IMPACT_EVIDENCE_GAP,MEDIUM,blank semantic note and unresolved Japanese evidence; post_count >= 500,高影響かつ注記なし。既存日本語を破棄する前に外部確認。,PROPOSED
I70-004686,gold_ship_(run!_ruin!_launcher!)_(umamusume),693,RUN!乱!ランチャー!!,RUN!乱!ランチャー!!,FIX_BOTH,ゴールドシップ（ウマ娘）（run! ruin! launcher!）,,BLANK_ACCEPTED_TRUSTED_BASE_NO_JA_EVIDENCE,HIGH,AUDIT_FIX_SEARCH; canonical variant; no strong Japanese evidence,注記なしAcceptedかつvariant日本語の強い証拠なし。検証済み本体名＋canonical variantへ戻し、未裏付け日本語検索語を除去。,PROPOSED
I70-004700,ade_(nikke),691,エード,エード,NEEDS_EXTERNAL_CHECK,,,BLANK_ACCEPTED_HIGH_IMPACT_EVIDENCE_GAP,MEDIUM,blank semantic note and unresolved Japanese evidence; post_count >= 500,高影響かつ注記なし。既存日本語を破棄する前に外部確認。,PROPOSED
I70-004717,wizard_(ragnarok_online),687,ウィザード,ウィザード,NEEDS_EXTERNAL_CHECK,,,BLANK_ACCEPTED_HIGH_IMPACT_EVIDENCE_GAP,MEDIUM,blank semantic note and unresolved Japanese evidence; post_count >= 500,高影響かつ注記なし。既存日本語を破棄する前に外部確認。,PROPOSED
I70-004748,cait_sith_(ff7),682,ケット・シー,ケット・シー,NEEDS_EXTERNAL_CHECK,,,BLANK_ACCEPTED_HIGH_IMPACT_EVIDENCE_GAP,MEDIUM,blank semantic note and unresolved Japanese evidence; post_count >= 500,高影響かつ注記なし。既存日本語を破棄する前に外部確認。,PROPOSED
I70-004754,artoria_caster_(swimsuit_berserker)_(first_ascension)_(fate),681,アルトリア・キャスター（水着・第一再臨）,アルトリア・キャスター（水着・第一再臨）,NEEDS_EXTERNAL_CHECK,,,BLANK_ACCEPTED_HIGH_IMPACT_EVIDENCE_GAP,MEDIUM,blank semantic note and unresolved Japanese evidence; post_count >= 500,高影響かつ注記なし。既存日本語を破棄する前に外部確認。,PROPOSED
I70-004757,jeanne_d'arc_(granblue_fantasy),681,ジャンヌダルク,ジャンヌダルク,NEEDS_EXTERNAL_CHECK,,,BLANK_ACCEPTED_HIGH_IMPACT_EVIDENCE_GAP,MEDIUM,blank semantic note and unresolved Japanese evidence; post_count >= 500,高影響かつ注記なし。既存日本語を破棄する前に外部確認。,PROPOSED
I70-004762,robin_hood_(fate),681,ロビンフッド,ロビンフッド,NEEDS_EXTERNAL_CHECK,,,BLANK_ACCEPTED_HIGH_IMPACT_EVIDENCE_GAP,MEDIUM,blank semantic note and unresolved Japanese evidence; post_count >= 500,高影響かつ注記なし。既存日本語を破棄する前に外部確認。,PROPOSED
I70-004763,spot_(arknights),681,スポット,スポット,NEEDS_EXTERNAL_CHECK,,,BLANK_ACCEPTED_HIGH_IMPACT_EVIDENCE_GAP,MEDIUM,blank semantic note and unresolved Japanese evidence; post_count >= 500,高影響かつ注記なし。既存日本語を破棄する前に外部確認。,PROPOSED
I70-004770,layla_(idolmaster),680,ライラ,ライラ,NEEDS_EXTERNAL_CHECK,,,BLANK_ACCEPTED_HIGH_IMPACT_EVIDENCE_GAP,MEDIUM,blank semantic note and unresolved Japanese evidence; post_count >= 500,高影響かつ注記なし。既存日本語を破棄する前に外部確認。,PROPOSED
I70-004779,loves_only_you_(umamusume),679,ラヴズオンリーユー,ラヴズオンリーユー,NEEDS_EXTERNAL_CHECK,,,BLANK_ACCEPTED_HIGH_IMPACT_EVIDENCE_GAP,MEDIUM,blank semantic note and unresolved Japanese evidence; post_count >= 500,高影響かつ注記なし。既存日本語を破棄する前に外部確認。,PROPOSED
I70-004785,mordred_(swimsuit_rider)_(first_ascension)_(fate),678,モードレッド（水着・第一再臨）,モードレッド（水着・第一再臨）,NEEDS_EXTERNAL_CHECK,,,BLANK_ACCEPTED_HIGH_IMPACT_EVIDENCE_GAP,MEDIUM,blank semantic note and unresolved Japanese evidence; post_count >= 500,高影響かつ注記なし。既存日本語を破棄する前に外部確認。,PROPOSED
I70-004789,saber_(swimsuit_archer)_(first_ascension)_(fate),678,アルトリア・ペンドラゴン（水着・第一再臨）,アルトリア・ペンドラゴン（水着・第一再臨）,FIX_BOTH,アルトリア・ペンドラゴン（Fateシリーズ）（swimsuit archer / first ascension）,,BLANK_ACCEPTED_TRUSTED_BASE_NO_JA_EVIDENCE,HIGH,AUDIT_FIX_DISPLAY; canonical variant; no strong Japanese evidence,注記なしAcceptedかつvariant日本語の強い証拠なし。検証済み本体名＋canonical variantへ戻し、未裏付け日本語検索語を除去。,PROPOSED
I70-004791,taiki_shuttle_(wild_frontier)_(umamusume),678,タイキシャトル（ワイルド・フロンティア）,タイキシャトル（ワイルド・フロンティア）,FIX_BOTH,タイキシャトル（wild frontier）,,BLANK_ACCEPTED_TRUSTED_BASE_NO_JA_EVIDENCE,HIGH,DIRECT_SOURCE_SUPPORT; canonical variant; no strong Japanese evidence,注記なしAcceptedかつvariant日本語の強い証拠なし。検証済み本体名＋canonical variantへ戻し、未裏付け日本語検索語を除去。,PROPOSED
I70-004795,dooby,677,Dooby,Dooby,KEEP,,,BLANK_ACCEPTED_IDENTITY_SAFE_LATIN,HIGH,identity-safe original/Latin display; no proven semantic defect,日本語を推測せず原語表示としてKEEP。,PROPOSED
I70-004799,atago_(summer_march)_(azur_lane),676,愛宕（真夏の行進曲）,愛宕（真夏の行進曲）,FIX_BOTH,愛宕（アズールレーン）（summer march）,真夏の行進曲,BLANK_ACCEPTED_TRUSTED_BASE_WITH_SOURCE_SEARCH,HIGH,DIRECT_SOURCE_SUPPORT; canonical variant + strong Japanese source evidence,注記なしAccepted。表示は検証済み本体名＋canonical variantへ統一し、強い日本語証拠だけ検索に保持。,PROPOSED
I70-004802,tamamo_no_mae_(swimsuit_lancer)_(second_ascension)_(fate),676,玉藻の前（水着・第二再臨）,玉藻の前（水着・第二再臨）,FIX_BOTH,玉藻の前（Fate）（swimsuit lancer / second ascension）,,BLANK_ACCEPTED_TRUSTED_BASE_NO_JA_EVIDENCE,HIGH,AUDIT_KEEP; canonical variant; no strong Japanese evidence,注記なしAcceptedかつvariant日本語の強い証拠なし。検証済み本体名＋canonical variantへ戻し、未裏付け日本語検索語を除去。,PROPOSED
I70-004806,ecclesia_(yu-gi-oh!),675,エクレシア,エクレシア,NEEDS_EXTERNAL_CHECK,,,BLANK_ACCEPTED_HIGH_IMPACT_EVIDENCE_GAP,MEDIUM,blank semantic note and unresolved Japanese evidence; post_count >= 500,高影響かつ注記なし。既存日本語を破棄する前に外部確認。,PROPOSED
I70-004817,mast_(nikke),674,マスト,マスト,NEEDS_EXTERNAL_CHECK,,,BLANK_ACCEPTED_HIGH_IMPACT_EVIDENCE_GAP,MEDIUM,blank semantic note and unresolved Japanese evidence; post_count >= 500,高影響かつ注記なし。既存日本語を破棄する前に外部確認。,PROPOSED
I70-004824,elira_pendora_(1st_costume),672,エリーラ・ペンドラ（通常衣装）,エリーラ・ペンドラ（通常衣装）,FIX_BOTH,エリーラ・ペンドラ（1st costume）,エリーラ・ペンドラ(通常),BLANK_ACCEPTED_TRUSTED_BASE_WITH_SOURCE_SEARCH,HIGH,DIRECT_SOURCE_SUPPORT; canonical variant + strong Japanese source evidence,注記なしAccepted。表示は検証済み本体名＋canonical variantへ統一し、強い日本語証拠だけ検索に保持。,PROPOSED
I70-004825,habetrot_(fate),672,ハベトロット,ハベトロット,NEEDS_EXTERNAL_CHECK,,,BLANK_ACCEPTED_HIGH_IMPACT_EVIDENCE_GAP,MEDIUM,blank semantic note and unresolved Japanese evidence; post_count >= 500,高影響かつ注記なし。既存日本語を破棄する前に外部確認。,PROPOSED
I70-004851,orfevre_(control)_(umamusume),668,オルフェーヴル（総攬）,オルフェーヴル（総攬）,FIX_BOTH,オルフェーヴル（ウマ娘 プリティーダービー）（control）,,BLANK_ACCEPTED_TRUSTED_BASE_NO_JA_EVIDENCE,HIGH,AUDIT_FIX_DISPLAY; canonical variant; no strong Japanese evidence,注記なしAcceptedかつvariant日本語の強い証拠なし。検証済み本体名＋canonical variantへ戻し、未裏付け日本語検索語を除去。,PROPOSED
I70-004864,daitaku_helios_(fun_fun_party_night)_(umamusume),665,ダイタクヘリオス（Fun☆Fun☆ぱりない）,ダイタクヘリオス（Fun☆Fun☆ぱりない）,FIX_BOTH,ダイタクヘリオス（fun fun party night）,,BLANK_ACCEPTED_TRUSTED_BASE_NO_JA_EVIDENCE,HIGH,DIRECT_SOURCE_SUPPORT; canonical variant; no strong Japanese evidence,注記なしAcceptedかつvariant日本語の強い証拠なし。検証済み本体名＋canonical variantへ戻し、未裏付け日本語検索語を除去。,PROPOSED
I70-004865,debitto_(makaino_ririmu),665,デビット,デビット,NEEDS_EXTERNAL_CHECK,,,BLANK_ACCEPTED_HIGH_IMPACT_EVIDENCE_GAP,MEDIUM,blank semantic note and unresolved Japanese evidence; post_count >= 500,高影響かつ注記なし。既存日本語を破棄する前に外部確認。,PROPOSED
I70-004890,usami_(danganronpa),662,ウサミ,ウサミ,NEEDS_EXTERNAL_CHECK,,,BLANK_ACCEPTED_HIGH_IMPACT_EVIDENCE_GAP,MEDIUM,blank semantic note and unresolved Japanese evidence; post_count >= 500,高影響かつ注記なし。既存日本語を破棄する前に外部確認。,PROPOSED
I70-004923,illyasviel_von_einzbern_(beast_style),656,イリヤスフィール・フォン・アインツベルン（ビーストスタイル）,イリヤスフィール・フォン・アインツベルン（ビーストスタイル）,FIX_BOTH,イリヤスフィール・フォン・アインツベルン（beast style）,,BLANK_ACCEPTED_TRUSTED_BASE_NO_JA_EVIDENCE,HIGH,AUDIT_KEEP; canonical variant; no strong Japanese evidence,注記なしAcceptedかつvariant日本語の強い証拠なし。検証済み本体名＋canonical variantへ戻し、未裏付け日本語検索語を除去。,PROPOSED
I70-004926,common_dolphin_(kemono_friends),655,マイルカ,マイルカ,NEEDS_EXTERNAL_CHECK,,,BLANK_ACCEPTED_HIGH_IMPACT_EVIDENCE_GAP,MEDIUM,blank semantic note and unresolved Japanese evidence; post_count >= 500,高影響かつ注記なし。既存日本語を破棄する前に外部確認。,PROPOSED
I70-004938,sakura_bakushin_o_(blossom_in_learning)_(umamusume),654,サクラバクシンオー（サクラ、すすめ!）,サクラバクシンオー（サクラ、すすめ!）,FIX_BOTH,サクラバクシンオー（ウマ娘 プリティーダービー）（blossom in learning）,,BLANK_ACCEPTED_TRUSTED_BASE_NO_JA_EVIDENCE,HIGH,AUDIT_FIX_DISPLAY; canonical variant; no strong Japanese evidence,注記なしAcceptedかつvariant日本語の強い証拠なし。検証済み本体名＋canonical variantへ戻し、未裏付け日本語検索語を除去。,PROPOSED
I70-004953,spike_spiegel,652,スパイク・スピーゲル,スパイク・スピーゲル,NEEDS_EXTERNAL_CHECK,,,BLANK_ACCEPTED_HIGH_IMPACT_EVIDENCE_GAP,MEDIUM,blank semantic note and unresolved Japanese evidence; post_count >= 500,高影響かつ注記なし。既存日本語を破棄する前に外部確認。,PROPOSED
I70-004955,yan_qing_(fate),652,燕青,燕青,NEEDS_EXTERNAL_CHECK,,,BLANK_ACCEPTED_HIGH_IMPACT_EVIDENCE_GAP,MEDIUM,blank semantic note and unresolved Japanese evidence; post_count >= 500,高影響かつ注記なし。既存日本語を破棄する前に外部確認。,PROPOSED
I70-004982,juufuutei_raden_(1st_costume),647,儒烏風亭らでん（通常衣装）,儒烏風亭らでん（通常衣装）,FIX_BOTH,儒烏風亭らでん（1st costume）,儒烏風亭らでん(通常),BLANK_ACCEPTED_TRUSTED_BASE_WITH_SOURCE_SEARCH,HIGH,DIRECT_SOURCE_SUPPORT; canonical variant + strong Japanese source evidence,注記なしAccepted。表示は検証済み本体名＋canonical variantへ統一し、強い日本語証拠だけ検索に保持。,PROPOSED
I70-005006,mlynar_(arknights),644,ムリナール,ムリナール,NEEDS_EXTERNAL_CHECK,,,BLANK_ACCEPTED_HIGH_IMPACT_EVIDENCE_GAP,MEDIUM,blank semantic note and unresolved Japanese evidence; post_count >= 500,高影響かつ注記なし。既存日本語を破棄する前に外部確認。,PROPOSED
I70-005012,fate_testarossa_(lightning_form),643,フェイト・テスタロッサ（ライトニングフォーム）,フェイト・テスタロッサ（ライトニングフォーム）,FIX_BOTH,フェイト・テスタロッサ（lightning form）,ライトニングフォーム,BLANK_ACCEPTED_TRUSTED_BASE_WITH_SOURCE_SEARCH,HIGH,AUDIT_KEEP; canonical variant + strong Japanese source evidence,注記なしAccepted。表示は検証済み本体名＋canonical variantへ統一し、強い日本語証拠だけ検索に保持。,PROPOSED
I70-005021,hubert_von_vestra,642,ヒューベルト＝フォン＝ベストラ,ヒューベルト＝フォン＝ベストラ,NEEDS_EXTERNAL_CHECK,,,BLANK_ACCEPTED_HIGH_IMPACT_EVIDENCE_GAP,MEDIUM,blank semantic note and unresolved Japanese evidence; post_count >= 500,高影響かつ注記なし。既存日本語を破棄する前に外部確認。,PROPOSED
I70-005035,orfevre_(old_design)_(umamusume),640,オルフェーヴル（旧デザイン）,オルフェーヴル（旧デザイン）,FIX_BOTH,オルフェーヴル（ウマ娘 プリティーダービー）（old design）,オルフェーヴル(ウマ娘) | マスクド三冠バ,BLANK_ACCEPTED_TRUSTED_BASE_WITH_SOURCE_SEARCH,HIGH,AUDIT_FIX_DISPLAY; canonical variant + strong Japanese source evidence,注記なしAccepted。表示は検証済み本体名＋canonical variantへ統一し、強い日本語証拠だけ検索に保持。,PROPOSED
