row_id,canonical_tag,post_count,display_ja,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-020156,orishima_kei,112,織島_慶,NEEDS_EXTERNAL_CHECK,,,OFFICIAL_RENDERING_REQUIRED,MEDIUM,raw Japanese candidate only,underscoreが正式表記か区切り変換残骸か判定できないため外部確認が必要,PROPOSED
I70-023262,kagamine_rin_(roshin_yuukai),92,カガミン・リン,FIX_DISPLAY,鏡音リン（roshin yuukai）,,BASE_IDENTITY_PLUS_CANONICAL_CONTEXT,HIGH,family base 鏡音リン + verified aliases,基準キャラ名を復元し曲差分はcanonical識別子で保持,PROPOSED
I70-026033,saion-ji_enju,79,さいおんじ_えんじゅ,NEEDS_EXTERNAL_CHECK,,,OFFICIAL_RENDERING_REQUIRED,MEDIUM,raw Japanese candidate only,underscoreを除くだけでは正式表記を保証できないため外部確認が必要,PROPOSED
I70-027464,loch_ness_monster,73,ネッシー,FIX_DISPLAY,ネッシー（loch ness monster）,,CANONICAL_CONTEXT_DISAMBIGUATION,HIGH,canonical identity + verified alias nessie_(cryptid),同名衝突をcanonical英語識別子で明示して別対象との混同を避ける,PROPOSED
I70-030374,mine_riko,63,みね_りこ,NEEDS_EXTERNAL_CHECK,,,OFFICIAL_RENDERING_REQUIRED,MEDIUM,raw Japanese candidate only,underscoreを含む候補しかなく正式日本語名を確定できない,PROPOSED
I70-030969,hiwa_yurina,61,日和_侑里奈,NEEDS_EXTERNAL_CHECK,,,OFFICIAL_RENDERING_REQUIRED,MEDIUM,raw Japanese candidate only,underscoreを含む候補しかなく正式日本語名を確定できない,PROPOSED
I70-031837,momochi_myu,59,百地_美卯,NEEDS_EXTERNAL_CHECK,,,OFFICIAL_RENDERING_REQUIRED,MEDIUM,raw Japanese candidate only,underscoreを含む候補しかなく正式日本語名を確定できない,PROPOSED
I70-032727,shoggoth,57,ショゴス,NEEDS_EXTERNAL_CHECK,,,DUPLICATE_IDENTITY_REQUIRES_CONTEXT,MEDIUM,related copyright coverage 0.472727,canonicalに識別子がなく同名衝突もあるため対象特定を外部確認する,PROPOSED
I70-032946,iris.exe_(mega_man),56,アイリス,FIX_DISPLAY,アイリス（ロックマンエグゼ）,,SOURCE_AND_ALIAS_CONTEXT_DISAMBIGUATION,HIGH,existing candidate Japanese context + verified alias iris_(rockman_exe),保存済み候補とverified aliasの両方がロックマンエグゼ文脈を支持するため表示へ付与,PROPOSED
I70-033144,shiratsuki_shino,56,しらつき_しの,NEEDS_EXTERNAL_CHECK,,,OFFICIAL_RENDERING_REQUIRED,MEDIUM,raw Japanese candidate only,underscoreを含む候補しかなく正式日本語名を確定できない,PROPOSED
