row_id,canonical_tag,post_count,display_ja,family_base_canonical,family_base_display_ja,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-026993,sakura_miko_(micomet),75,miComet新衣装,sakura_miko,さくらみこ,FIX_DISPLAY,さくらみこ（miComet新衣装）,,RESTORE_CHARACTER_IDENTITY_IN_VARIANT_DISPLAY,HIGH,canonical family + current variant label + duplicate-display collision,衣装/フォーム名だけになり他Characterと衝突していた表示へ、family baseのキャラ本人名を復元。,PROPOSED
I70-027446,katsushika_hokusai_(exhibition_attire)_(fate),73,英霊博装,katsushika_hokusai_(fate),葛飾北斎,FIX_DISPLAY,葛飾北斎（英霊博装）,,RESTORE_CHARACTER_IDENTITY_IN_VARIANT_DISPLAY,HIGH,canonical family + current variant label + duplicate-display collision,衣装/フォーム名だけになり他Characterと衝突していた表示へ、family baseのキャラ本人名を復元。,PROPOSED
I70-027963,kriemhild_(swimsuit_rider)_(first_ascension)_(fate),71,クリームヒルト(水着),kriemhild_(first_ascension)_(fate),kriemhild (first ascension) (fate),FIX_DISPLAY,クリームヒルト（水着・第1再臨）,,RESTORE_CHARACTER_IDENTITY_IN_VARIANT_DISPLAY,HIGH,canonical family + current variant label + duplicate-display collision,衣装/フォーム名だけになり他Characterと衝突していた表示へ、family baseのキャラ本人名を復元。,PROPOSED
I70-028622,takamachi_nanoha_(exelion_mode),69,エクセリオンモード,takamachi_nanoha,高町なのは,FIX_DISPLAY,高町なのは（エクセリオンモード）,,RESTORE_CHARACTER_IDENTITY_IN_VARIANT_DISPLAY,HIGH,canonical family + current variant label + duplicate-display collision,衣装/フォーム名だけになり他Characterと衝突していた表示へ、family baseのキャラ本人名を復元。,PROPOSED
I70-029263,baobhan_sith_(over_the_same_sky)_(fate),66,英霊星行,baobhan_sith_(fate),バーヴァン・シー（Fate）,FIX_DISPLAY,バーヴァン・シー（Fate）（英霊星行）,,RESTORE_CHARACTER_IDENTITY_IN_VARIANT_DISPLAY,HIGH,canonical family + current variant label + duplicate-display collision,衣装/フォーム名だけになり他Characterと衝突していた表示へ、family baseのキャラ本人名を復元。,PROPOSED
I70-029490,tenochtitlan_(event_portrait)_(fate),66,英霊催装,tenochtitlan_(fate),テノチティトラン,FIX_DISPLAY,テノチティトラン（英霊催装）,,RESTORE_CHARACTER_IDENTITY_IN_VARIANT_DISPLAY,HIGH,canonical family + current variant label + duplicate-display collision,衣装/フォーム名だけになり他Characterと衝突していた表示へ、family baseのキャラ本人名を復元。,PROPOSED
I70-030542,carmilla_(swimsuit_rider)_(first_ascension)_(fate),62,カーミラ(水着),carmilla_(summertime_mistress)_(fate),サマータイム・ミストレス,FIX_DISPLAY,カーミラ（水着・第1再臨）,,RESTORE_CHARACTER_IDENTITY_IN_VARIANT_DISPLAY,HIGH,canonical family + current variant label + duplicate-display collision,衣装/フォーム名だけになり他Characterと衝突していた表示へ、family baseのキャラ本人名を復元。,PROPOSED
I70-030687,melusine_(exhibition_attire)_(fate),62,英霊博装,melusine_(fate),メリュジーヌ（Fate）,FIX_DISPLAY,メリュジーヌ（Fate）（英霊博装）,,RESTORE_CHARACTER_IDENTITY_IN_VARIANT_DISPLAY,HIGH,canonical family + current variant label + duplicate-display collision,衣装/フォーム名だけになり他Characterと衝突していた表示へ、family baseのキャラ本人名を復元。,PROPOSED
I70-030742,rein_(fortune_princess)_(futagohime),62,プロミネンスドレスアップ,rein_(futagohime),レイン（ふたご姫）,FIX_DISPLAY,レイン（ふたご姫）（プロミネンスドレスアップ）,,RESTORE_CHARACTER_IDENTITY_IN_VARIANT_DISPLAY,HIGH,canonical family + current variant label + duplicate-display collision,衣装/フォーム名だけになり他Characterと衝突していた表示へ、family baseのキャラ本人名を復元。,PROPOSED
I70-031310,hatsune_miku_(judgment),60,ジャッジメント,hatsune_miku,初音ミク,FIX_DISPLAY,初音ミク（ジャッジメント）,,RESTORE_CHARACTER_IDENTITY_IN_VARIANT_DISPLAY,HIGH,canonical family + current variant label + duplicate-display collision,衣装/フォーム名だけになり他Characterと衝突していた表示へ、family baseのキャラ本人名を復元。,PROPOSED
I70-032454,cloud_strife_(black_dress),57,骨太のおなご,cloud_strife,クラウド・ストライフ,FIX_DISPLAY,クラウド・ストライフ（黒ドレス）,,RESTORE_CHARACTER_IDENTITY_IN_VARIANT_DISPLAY,HIGH,canonical family + current variant label + duplicate-display collision,衣装/フォーム名だけになり他Characterと衝突していた表示へ、family baseのキャラ本人名を復元。,PROPOSED
I70-033256,baobhan_sith_(chaldea_satellite_station)_(fate),55,カルデア・サテライトステーション,baobhan_sith_(fate),バーヴァン・シー（Fate）,FIX_DISPLAY,バーヴァン・シー（Fate）（カルデア・サテライトステーション）,,RESTORE_CHARACTER_IDENTITY_IN_VARIANT_DISPLAY,HIGH,canonical family + current variant label + duplicate-display collision,衣装/フォーム名だけになり他Characterと衝突していた表示へ、family baseのキャラ本人名を復元。,PROPOSED
I70-033347,gareth_(swimsuit_saber)_(first_ascension)_(fate),55,ガレス(水着),gareth_(first_ascension)_(fate),gareth (first ascension) (fate),FIX_DISPLAY,ガレス（水着・第1再臨）,,RESTORE_CHARACTER_IDENTITY_IN_VARIANT_DISPLAY,HIGH,canonical family + current variant label + duplicate-display collision,衣装/フォーム名だけになり他Characterと衝突していた表示へ、family baseのキャラ本人名を復元。,PROPOSED
I70-033961,raising_heart_(accel_mode)_(2nd),54,アクセルモード,raising_heart,レイジングハート,FIX_DISPLAY,レイジングハート（アクセルモード・2nd）,,RESTORE_CHARACTER_IDENTITY_IN_VARIANT_DISPLAY,HIGH,canonical family + current variant label + duplicate-display collision,衣装/フォーム名だけになり他Characterと衝突していた表示へ、family baseのキャラ本人名を復元。,PROPOSED
I70-034131,cheria_barnes_(little_imp),53,小悪魔,cheria_barnes,シェリア・バーンズ,FIX_DISPLAY,シェリア・バーンズ（小悪魔）,,RESTORE_CHARACTER_IDENTITY_IN_VARIANT_DISPLAY,HIGH,canonical family + current variant label + duplicate-display collision,衣装/フォーム名だけになり他Characterと衝突していた表示へ、family baseのキャラ本人名を復元。,PROPOSED
I70-034559,baobhan_sith_(valentine_witches)_(fate),52,バレンタイン・ウィッチーズ,baobhan_sith_(fate),バーヴァン・シー（Fate）,FIX_DISPLAY,バーヴァン・シー（Fate）（バレンタイン・ウィッチーズ）,,RESTORE_CHARACTER_IDENTITY_IN_VARIANT_DISPLAY,HIGH,canonical family + current variant label + duplicate-display collision,衣装/フォーム名だけになり他Characterと衝突していた表示へ、family baseのキャラ本人名を復元。,PROPOSED
I70-034560,barghest_(dream_portrait)_(fate),52,英霊夢装,barghest_(fate),バーゲスト,FIX_DISPLAY,バーゲスト（英霊夢装）,,RESTORE_CHARACTER_IDENTITY_IN_VARIANT_DISPLAY,HIGH,canonical family + current variant label + duplicate-display collision,衣装/フォーム名だけになり他Characterと衝突していた表示へ、family baseのキャラ本人名を復元。,PROPOSED
I70-034999,baobhan_sith_(dream_portrait)_(fate),51,英霊夢装,baobhan_sith_(fate),バーヴァン・シー（Fate）,FIX_DISPLAY,バーヴァン・シー（Fate）（英霊夢装）,,RESTORE_CHARACTER_IDENTITY_IN_VARIANT_DISPLAY,HIGH,canonical family + current variant label + duplicate-display collision,衣装/フォーム名だけになり他Characterと衝突していた表示へ、family baseのキャラ本人名を復元。,PROPOSED
I70-035140,indra_(celebratory_attire)_(fate),51,英霊祝装,indra_(fate),インドラ,FIX_DISPLAY,インドラ（英霊祝装）,,RESTORE_CHARACTER_IDENTITY_IN_VARIANT_DISPLAY,HIGH,canonical family + current variant label + duplicate-display collision,衣装/フォーム名だけになり他Characterと衝突していた表示へ、family baseのキャラ本人名を復元。,PROPOSED
