row_id,canonical_tag,category,category_name,post_count,display_ja,search_ja,translation_status,translation_note,risk_score,risk_flags,impact_tier,audit_bucket,source_aliases,verified_aliases,existing_display_ja,existing_search_ja,existing_candidate_ja,existing_rejected_ja,related_copyright_top1,related_copyright_top1_posts,related_copyright_top1_coverage,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,pattern_id,audit_round,approval_status
I70-015776,chiyo_(neko_to_chiyo),4,Character,155,ちよ_(ねことちよ),,REVIEW_REQUIRED,short kana-only candidate is too ambiguous without contextual search evidence,10,STATUS_REVIEW_REQUIRED | RAW_TAG_SYNTAX_IN_DISPLAY,REST,REVIEW_REQUIRED,,,,,ちよ_(ねことちよ),,,neko_to_chiyo,154,0.993548,FIX_DISPLAY,ちよ（ねことちよ）,,RAW_SEPARATOR_NORMALIZATION,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,STRUCTURAL_DISPLAY_002,,PROPOSED
I70-016258,jean_bart_(private_apres_midi)_(azur_lane),4,Character,145,秘密のAprès_midi,,REVIEW_REQUIRED,variant/form rendering plausible but not independently verified,10,STATUS_REVIEW_REQUIRED | RAW_TAG_SYNTAX_IN_DISPLAY,REST,REVIEW_REQUIRED,,,,,秘密的Après_midi,,AzurLane | 碧蓝航线 | 碧藍航線,azur_lane,145,1.0,NEEDS_EXTERNAL_CHECK,,,STRUCTURAL_SEMANTIC_VERIFY,MEDIUM,docs/issue70/data/source/issue70_translation_source_with_relations.csv,STRUCTURAL_DISPLAY_002,,PROPOSED
I70-017566,cynthia_(sygna_suit)_(renegade)_(pokemon),4,Character,134,マジコスシロナ_(アナザー),,ACCEPTED_AI,selected from contextual Japanese search evidence,10,RAW_TAG_SYNTAX_IN_DISPLAY,REST,ACCEPTED_RISK,,,,,マジコスシロナ_(アナザー),,,pokemon,134,1.0,NEEDS_EXTERNAL_CHECK,,,STRUCTURAL_SEMANTIC_VERIFY,MEDIUM,docs/issue70/data/source/issue70_translation_source_with_relations.csv,STRUCTURAL_DISPLAY_002,,PROPOSED
I70-040870,ghost_in_the_shell:_sac_2045,3,Copyright,124,攻殻機動隊 SAC_2045,SAC_2045,ACCEPTED_AI,semantic re-curation: title/name judged usable; official/common rendering preferred over literal translation,11,RAW_TAG_SYNTAX_IN_DISPLAY | NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,REST,ACCEPTED_RISK,,,,攻殻機動隊SAC_2045,,SAC_2045,,,,,KEEP,,,UNDERSCORE_IS_OFFICIAL_TITLE_STYLING,HIGH,official/common title styling,STRUCTURAL_DISPLAY_002,,PROPOSED
I70-020168,rosa_(academy)_(pokemon),4,Character,112,メイ_(アカデミー),,REVIEW_REQUIRED,short kana-only candidate is too ambiguous without contextual search evidence,10,STATUS_REVIEW_REQUIRED | RAW_TAG_SYNTAX_IN_DISPLAY,REST,REVIEW_REQUIRED,,,,,メイ_(アカデミー),,,pokemon,112,1.0,NEEDS_EXTERNAL_CHECK,,,STRUCTURAL_SEMANTIC_VERIFY,MEDIUM,docs/issue70/data/source/issue70_translation_source_with_relations.csv,STRUCTURAL_DISPLAY_002,,PROPOSED
I70-020156,orishima_kei,4,Character,112,織島_慶,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence,10,RAW_TAG_SYNTAX_IN_DISPLAY,REST,ACCEPTED_RISK,,,,,織島_慶,,,,,,FIX_DISPLAY,織島慶,,RAW_SEPARATOR_NORMALIZATION,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,STRUCTURAL_DISPLAY_002,,PROPOSED
I70-021236,w_(fugue)_(arknights),4,Character,105,W_うわの空,,REVIEW_REQUIRED,variant/form rendering plausible but not independently verified,11,STATUS_REVIEW_REQUIRED | RAW_TAG_SYNTAX_IN_DISPLAY | DISAMBIGUATOR_NOT_VISIBLE,REST,REVIEW_REQUIRED,,,,,W_うわの空,,,arknights,105,1.0,FIX_DISPLAY,W（うわの空）,,RAW_SEPARATOR_NORMALIZATION,MEDIUM,docs/issue70/data/source/issue70_translation_source_with_relations.csv,STRUCTURAL_DISPLAY_002,,PROPOSED
I70-022527,cynthia_(sygna_suit)_(aura)_(pokemon),4,Character,96,マジコスシロナ_(アナザー2),,REVIEW_REQUIRED,parenthetical candidate does not map cleanly to a copyright disambiguator,10,STATUS_REVIEW_REQUIRED | RAW_TAG_SYNTAX_IN_DISPLAY,REST,REVIEW_REQUIRED,,,,,マジコスシロナ_(アナザー2),,,pokemon,96,1.0,NEEDS_EXTERNAL_CHECK,,,STRUCTURAL_SEMANTIC_VERIFY,MEDIUM,docs/issue70/data/source/issue70_translation_source_with_relations.csv,STRUCTURAL_DISPLAY_002,,PROPOSED
I70-022954,ninomae_ina'nis_(drawn_to_dawn),4,Character,94,一伊那尓栖(Drawn_to_Dawn),,REVIEW_REQUIRED,parenthetical candidate does not map cleanly to a copyright disambiguator,10,STATUS_REVIEW_REQUIRED | RAW_TAG_SYNTAX_IN_DISPLAY,REST,REVIEW_REQUIRED,,,,,一伊那尓栖(Drawn_to_Dawn),,,hololive,94,1.0,NEEDS_EXTERNAL_CHECK,,,STRUCTURAL_SEMANTIC_VERIFY,MEDIUM,docs/issue70/data/source/issue70_translation_source_with_relations.csv,STRUCTURAL_DISPLAY_002,,PROPOSED
I70-025313,marnie_(palentine's_2022)_(pokemon),4,Character,82,マリィ_(22シーズン),,REVIEW_REQUIRED,short kana-only candidate is too ambiguous without contextual search evidence,10,STATUS_REVIEW_REQUIRED | RAW_TAG_SYNTAX_IN_DISPLAY,REST,REVIEW_REQUIRED,,,,,マリィ_(22シーズン),,,pokemon,82,1.0,NEEDS_EXTERNAL_CHECK,,,STRUCTURAL_SEMANTIC_VERIFY,MEDIUM,docs/issue70/data/source/issue70_translation_source_with_relations.csv,STRUCTURAL_DISPLAY_002,,PROPOSED
I70-025296,lean_(konosuba),4,Character,82,リーン_(このすば),,REVIEW_REQUIRED,short kana-only candidate is too ambiguous without contextual search evidence,10,STATUS_REVIEW_REQUIRED | RAW_TAG_SYNTAX_IN_DISPLAY,REST,REVIEW_REQUIRED,,,,,リーン_(このすば),,,kono_subarashii_sekai_ni_shukufuku_wo!,82,1.0,FIX_DISPLAY,リーン（このすば）,,RAW_SEPARATOR_NORMALIZATION,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,STRUCTURAL_DISPLAY_002,,PROPOSED
I70-025516,kuro_(ao_no_exorcist),4,Character,81,クロ_(青の祓魔師),,REVIEW_REQUIRED,short kana-only candidate is too ambiguous without contextual search evidence,10,STATUS_REVIEW_REQUIRED | RAW_TAG_SYNTAX_IN_DISPLAY,REST,REVIEW_REQUIRED,,,,,クロ_(青の祓魔師),,,ao_no_exorcist,81,1.0,FIX_DISPLAY,クロ（青の祓魔師）,,RAW_SEPARATOR_NORMALIZATION,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,STRUCTURAL_DISPLAY_002,,PROPOSED
I70-025636,ashigara_kai_ni_(ichibankuji)_(kancolle),4,Character,80,足柄「一番くじ),,REVIEW_REQUIRED,variant/form rendering plausible but not independently verified,9,STATUS_REVIEW_REQUIRED | UNBALANCED_BRACKETS | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,REST,REVIEW_REQUIRED,,,,,足柄「一番くじ),,,kantai_collection,80,1.0,FIX_BOTH,足柄改二（一番くじ）,足柄改二 | 足柄,MALFORMED_VARIANT_DISPLAY,HIGH,canonical_tag + source evidence,STRUCTURAL_DISPLAY_002,,PROPOSED
I70-026033,saion-ji_enju,4,Character,79,さいおんじ_えんじゅ,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence,10,RAW_TAG_SYNTAX_IN_DISPLAY,REST,ACCEPTED_RISK,,,,,さいおんじ_えんじゅ,,,,,,FIX_DISPLAY,さいおんじえんじゅ,,RAW_SEPARATOR_NORMALIZATION,MEDIUM,docs/issue70/data/source/issue70_translation_source_with_relations.csv,STRUCTURAL_DISPLAY_002,,PROPOSED
I70-029896,emmet_(special_costume)_(pokemon),4,Character,64,クダリ_(スペシャル),,REVIEW_REQUIRED,short kana-only candidate is too ambiguous without contextual search evidence,10,STATUS_REVIEW_REQUIRED | RAW_TAG_SYNTAX_IN_DISPLAY,REST,REVIEW_REQUIRED,,,,,クダリ_(スペシャル),,,pokemon,64,1.0,NEEDS_EXTERNAL_CHECK,,,STRUCTURAL_SEMANTIC_VERIFY,MEDIUM,docs/issue70/data/source/issue70_translation_source_with_relations.csv,STRUCTURAL_DISPLAY_002,,PROPOSED
I70-030374,mine_riko,4,Character,63,みね_りこ,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence,10,RAW_TAG_SYNTAX_IN_DISPLAY,REST,ACCEPTED_RISK,,,,,みね_りこ,,,,,,FIX_DISPLAY,みねりこ,,RAW_SEPARATOR_NORMALIZATION,MEDIUM,docs/issue70/data/source/issue70_translation_source_with_relations.csv,STRUCTURAL_DISPLAY_002,,PROPOSED
I70-030969,hiwa_yurina,4,Character,61,日和_侑里奈,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence,10,RAW_TAG_SYNTAX_IN_DISPLAY,REST,ACCEPTED_RISK,,,,,日和_侑里奈,,,,,,FIX_DISPLAY,日和侑里奈,,RAW_SEPARATOR_NORMALIZATION,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,STRUCTURAL_DISPLAY_002,,PROPOSED
I70-031319,hilda_(summer_2022)_(pokemon),4,Character,60,トウコ_(22シーズン),,REVIEW_REQUIRED,short kana-only candidate is too ambiguous without contextual search evidence,10,STATUS_REVIEW_REQUIRED | RAW_TAG_SYNTAX_IN_DISPLAY,REST,REVIEW_REQUIRED,,,,,トウコ_(22シーズン),,,pokemon,60,1.0,NEEDS_EXTERNAL_CHECK,,,STRUCTURAL_SEMANTIC_VERIFY,MEDIUM,docs/issue70/data/source/issue70_translation_source_with_relations.csv,STRUCTURAL_DISPLAY_002,,PROPOSED
I70-032010,yuzuki_yukari_(vocaloid6),4,Character,59,Vocaloid6_ai_結月ゆかり,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,11,STATUS_REVIEW_REQUIRED | RAW_TAG_SYNTAX_IN_DISPLAY | DISAMBIGUATOR_NOT_VISIBLE,REST,REVIEW_REQUIRED,,,,,Vocaloid6_ai_結月ゆかり,,,vocaloid,59,1.0,NEEDS_EXTERNAL_CHECK,,,STRUCTURAL_SEMANTIC_VERIFY,MEDIUM,docs/issue70/data/source/issue70_translation_source_with_relations.csv,STRUCTURAL_DISPLAY_002,,PROPOSED
I70-031837,momochi_myu,4,Character,59,百地_美卯,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence,10,RAW_TAG_SYNTAX_IN_DISPLAY,REST,ACCEPTED_RISK,,,,,百地_美卯,,,,,,FIX_DISPLAY,百地美卯,,RAW_SEPARATOR_NORMALIZATION,HIGH,docs/issue70/data/source/issue70_translation_source_with_relations.csv,STRUCTURAL_DISPLAY_002,,PROPOSED
I70-032644,n_(summer_2022)_(pokemon),4,Character,57,N_(22シーズン),,REVIEW_REQUIRED,romanized handle plus generated qualifier,10,STATUS_REVIEW_REQUIRED | RAW_TAG_SYNTAX_IN_DISPLAY,REST,REVIEW_REQUIRED,,,,,N_(22シーズン),,,pokemon,57,1.0,NEEDS_EXTERNAL_CHECK,,,STRUCTURAL_SEMANTIC_VERIFY,MEDIUM,docs/issue70/data/source/issue70_translation_source_with_relations.csv,STRUCTURAL_DISPLAY_002,,PROPOSED
I70-033035,miruzu_(dqb2),4,Character,56,ミルズ_(dqb2),,REVIEW_REQUIRED,short kana-only candidate is too ambiguous without contextual search evidence,10,STATUS_REVIEW_REQUIRED | RAW_TAG_SYNTAX_IN_DISPLAY,REST,REVIEW_REQUIRED,,,,,ミルズ_(dqb2),,,dragon_quest_builders_2,56,1.0,FIX_DISPLAY,ミルズ（DQB2）,,RAW_SEPARATOR_NORMALIZATION,MEDIUM,docs/issue70/data/source/issue70_translation_source_with_relations.csv,STRUCTURAL_DISPLAY_002,,PROPOSED
I70-033144,shiratsuki_shino,4,Character,56,しらつき_しの,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence,10,RAW_TAG_SYNTAX_IN_DISPLAY,REST,ACCEPTED_RISK,,,,,しらつき_しの,,,,,,FIX_DISPLAY,しらつきしの,,RAW_SEPARATOR_NORMALIZATION,MEDIUM,docs/issue70/data/source/issue70_translation_source_with_relations.csv,STRUCTURAL_DISPLAY_002,,PROPOSED
I70-033395,ingo_(special_costume)_(pokemon),4,Character,55,ノボリ_(スペシャル),,REVIEW_REQUIRED,short kana-only candidate is too ambiguous without contextual search evidence,10,STATUS_REVIEW_REQUIRED | RAW_TAG_SYNTAX_IN_DISPLAY,REST,REVIEW_REQUIRED,,,,,ノボリ_(スペシャル),,,pokemon,55,1.0,NEEDS_EXTERNAL_CHECK,,,STRUCTURAL_SEMANTIC_VERIFY,MEDIUM,docs/issue70/data/source/issue70_translation_source_with_relations.csv,STRUCTURAL_DISPLAY_002,,PROPOSED
I70-033572,red_(sygna_suit)_(thunderbolt)_(pokemon),4,Character,55,マジコスレッド_(アナザー),,REVIEW_REQUIRED,parenthetical candidate does not map cleanly to a copyright disambiguator,10,STATUS_REVIEW_REQUIRED | RAW_TAG_SYNTAX_IN_DISPLAY,REST,REVIEW_REQUIRED,,,,,マジコスレッド_(アナザー),,,pokemon,55,1.0,NEEDS_EXTERNAL_CHECK,,,STRUCTURAL_SEMANTIC_VERIFY,MEDIUM,docs/issue70/data/source/issue70_translation_source_with_relations.csv,STRUCTURAL_DISPLAY_002,,PROPOSED
I70-034815,pero_(dqb2),4,Character,52,ペロ_(dqb2),,REVIEW_REQUIRED,short kana-only candidate is too ambiguous without contextual search evidence,10,STATUS_REVIEW_REQUIRED | RAW_TAG_SYNTAX_IN_DISPLAY,REST,REVIEW_REQUIRED,,,,,ペロ_(dqb2),,,dragon_quest_builders_2,52,1.0,FIX_DISPLAY,ペロ（DQB2）,,RAW_SEPARATOR_NORMALIZATION,MEDIUM,docs/issue70/data/source/issue70_translation_source_with_relations.csv,STRUCTURAL_DISPLAY_002,,PROPOSED
I70-035361,takanashi_kiara_(drawn_to_dawn),4,Character,51,小鳥遊キアラ(Drawn_to_Dawn),,REVIEW_REQUIRED,parenthetical candidate does not map cleanly to a copyright disambiguator,10,STATUS_REVIEW_REQUIRED | RAW_TAG_SYNTAX_IN_DISPLAY,REST,REVIEW_REQUIRED,,,,,小鳥遊キアラ(Drawn_to_Dawn),,,hololive,51,1.0,NEEDS_EXTERNAL_CHECK,,,STRUCTURAL_SEMANTIC_VERIFY,MEDIUM,docs/issue70/data/source/issue70_translation_source_with_relations.csv,STRUCTURAL_DISPLAY_002,,PROPOSED
