row_id,canonical_tag,post_count,display_ja,search_ja,translation_note,related_copyright_top1,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-005869,sapphira_nyx,537,Sapphira Nyx,Sapphira Nyx,要確認,final_fantasy,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_NO_TRUSTED_JA_EVIDENCE,MEDIUM,canonical_tag + frozen Issue70 source evidence,日本語表示の根拠が無い高使用数Character。推測せず外部一次寄り確認へ隔離。,PROPOSED
I70-005895,mortenax_blade_(honkai:_star_rail),535,Mortenax Blade,Mortenax Blade,要確認,honkai_(series),NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_NO_TRUSTED_JA_EVIDENCE,MEDIUM,canonical_tag + frozen Issue70 source evidence,日本語表示の根拠が無い高使用数Character。推測せず外部一次寄り確認へ隔離。,PROPOSED
I70-005971,nyen_(randal's_friends),525,Nyen,Nyen,要確認,randal's_friends,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_NO_TRUSTED_JA_EVIDENCE,MEDIUM,canonical_tag + frozen Issue70 source evidence,日本語表示の根拠が無い高使用数Character。推測せず外部一次寄り確認へ隔離。,PROPOSED
I70-005997,luther_von_ivory,522,Luther von Ivory,Luther von Ivory,要確認,randal's_friends,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_NO_TRUSTED_JA_EVIDENCE,MEDIUM,canonical_tag + frozen Issue70 source evidence,日本語表示の根拠が無い高使用数Character。推測せず外部一次寄り確認へ隔離。,PROPOSED
I70-006011,annytf,520,Annytf,Annytf,日本語での確立した表示名を追加確認,indie_virtual_youtuber,NEEDS_EXTERNAL_CHECK,,,HIGH_IMPACT_NO_TRUSTED_JA_EVIDENCE,MEDIUM,canonical_tag + frozen Issue70 source evidence,日本語表示の根拠が無い高使用数Character。推測せず外部一次寄り確認へ隔離。,PROPOSED
I70-006257,kaniki_(sameko_saba),496,Kaniki,Kaniki,日本語での確立した表示名を追加確認,indie_virtual_youtuber,KEEP,,,CONSERVATIVE_LATIN_FALLBACK_NO_TRUSTED_JA_EVIDENCE,HIGH,canonical_tag + frozen Issue70 source evidence,日本語表示の信頼できる根拠が無いため、誤った読みを作らず現在のLatin/canonical fallbackを維持。,PROPOSED
I70-006306,seina_(kyata_ti666),492,Seina,Seina,日本語での確立した表示名を追加確認,kyatapi_land,KEEP,,,CONSERVATIVE_LATIN_FALLBACK_NO_TRUSTED_JA_EVIDENCE,HIGH,canonical_tag + frozen Issue70 source evidence,日本語表示の信頼できる根拠が無いため、誤った読みを作らず現在のLatin/canonical fallbackを維持。,PROPOSED
I70-006360,robo_frostor,488,Robo Frostor,Robo Frostor,日本語での確立した表示名を追加確認,skoshism,KEEP,,,CONSERVATIVE_LATIN_FALLBACK_NO_TRUSTED_JA_EVIDENCE,HIGH,canonical_tag + frozen Issue70 source evidence,日本語表示の信頼できる根拠が無いため、誤った読みを作らず現在のLatin/canonical fallbackを維持。,PROPOSED
I70-006434,iz_(asteroid_ill),482,IZ,IZ,日本語での確立した表示名を追加確認,original,KEEP,,,CONSERVATIVE_LATIN_FALLBACK_NO_TRUSTED_JA_EVIDENCE,HIGH,canonical_tag + frozen Issue70 source evidence,日本語表示の信頼できる根拠が無いため、誤った読みを作らず現在のLatin/canonical fallbackを維持。,PROPOSED
I70-006452,tomoe_umari,481,Tomoe Umari,Tomoe Umari,日本語での確立した表示名を追加確認,indie_virtual_youtuber,KEEP,,,CONSERVATIVE_LATIN_FALLBACK_NO_TRUSTED_JA_EVIDENCE,HIGH,canonical_tag + frozen Issue70 source evidence,日本語表示の信頼できる根拠が無いため、誤った読みを作らず現在のLatin/canonical fallbackを維持。,PROPOSED
I70-006557,grem_(gigi_murin),472,Grem,Grem,要確認,hololive,KEEP,,,CONSERVATIVE_LATIN_FALLBACK_NO_TRUSTED_JA_EVIDENCE,HIGH,canonical_tag + frozen Issue70 source evidence,日本語表示の信頼できる根拠が無いため、誤った読みを作らず現在のLatin/canonical fallbackを維持。,PROPOSED
I70-006673,lars_rorschach,463,Lars Rorschach,Lars Rorschach,要確認,lovebrush_chronicles,KEEP,,,CONSERVATIVE_LATIN_FALLBACK_NO_TRUSTED_JA_EVIDENCE,HIGH,canonical_tag + frozen Issue70 source evidence,日本語表示の信頼できる根拠が無いため、誤った読みを作らず現在のLatin/canonical fallbackを維持。,PROPOSED
I70-006696,artem_wing_(tears_of_themis),461,Artem Wing,Artem Wing,要確認,tears_of_themis,KEEP,,,CONSERVATIVE_LATIN_FALLBACK_NO_TRUSTED_JA_EVIDENCE,HIGH,canonical_tag + frozen Issue70 source evidence,日本語表示の信頼できる根拠が無いため、誤った読みを作らず現在のLatin/canonical fallbackを維持。,PROPOSED
I70-006734,sinder_(vtuber),458,Sinder,Sinder,要確認,indie_virtual_youtuber,KEEP,,,CONSERVATIVE_LATIN_FALLBACK_NO_TRUSTED_JA_EVIDENCE,HIGH,canonical_tag + frozen Issue70 source evidence,日本語表示の信頼できる根拠が無いため、誤った読みを作らず現在のLatin/canonical fallbackを維持。,PROPOSED
I70-006767,whitney_(degrees_of_lewdity),456,Whitney,Whitney,要確認,degrees_of_lewdity,KEEP,,,CONSERVATIVE_LATIN_FALLBACK_NO_TRUSTED_JA_EVIDENCE,HIGH,canonical_tag + frozen Issue70 source evidence,日本語表示の信頼できる根拠が無いため、誤った読みを作らず現在のLatin/canonical fallbackを維持。,PROPOSED
I70-006813,secretive_plotter,452,Secretive Plotter,Secretive Plotter,要確認,omniscient_reader's_viewpoint,KEEP,,,CONSERVATIVE_LATIN_FALLBACK_NO_TRUSTED_JA_EVIDENCE,HIGH,canonical_tag + frozen Issue70 source evidence,日本語表示の信頼できる根拠が無いため、誤った読みを作らず現在のLatin/canonical fallbackを維持。,PROPOSED
I70-007332,camila_inpu,412,Camila Inpu,Camila Inpu,要確認,,KEEP,,,CONSERVATIVE_LATIN_FALLBACK_NO_TRUSTED_JA_EVIDENCE,HIGH,canonical_tag + frozen Issue70 source evidence,日本語表示の信頼できる根拠が無いため、誤った読みを作らず現在のLatin/canonical fallbackを維持。,PROPOSED
I70-007438,cottontail_(vtuber),404,Cottontail,Cottontail,要確認,indie_virtual_youtuber,KEEP,,,CONSERVATIVE_LATIN_FALLBACK_NO_TRUSTED_JA_EVIDENCE,HIGH,canonical_tag + frozen Issue70 source evidence,日本語表示の信頼できる根拠が無いため、誤った読みを作らず現在のLatin/canonical fallbackを維持。,PROPOSED
I70-007636,t-elos,391,t-elos,t-elos,要確認,xenosaga,KEEP,,,CONSERVATIVE_LATIN_FALLBACK_NO_TRUSTED_JA_EVIDENCE,HIGH,canonical_tag + frozen Issue70 source evidence,日本語表示の信頼できる根拠が無いため、誤った読みを作らず現在のLatin/canonical fallbackを維持。,PROPOSED
I70-007662,pienna_(akane_lize),389,Pienna,Pienna,要確認,stellive,KEEP,,,CONSERVATIVE_LATIN_FALLBACK_NO_TRUSTED_JA_EVIDENCE,HIGH,canonical_tag + frozen Issue70 source evidence,日本語表示の信頼できる根拠が無いため、誤った読みを作らず現在のLatin/canonical fallbackを維持。,PROPOSED
I70-007724,hoso-inu,385,Hoso-inu,Hoso-inu,要確認,hololive,KEEP,,,CONSERVATIVE_LATIN_FALLBACK_NO_TRUSTED_JA_EVIDENCE,HIGH,canonical_tag + frozen Issue70 source evidence,日本語表示の信頼できる根拠が無いため、誤った読みを作らず現在のLatin/canonical fallbackを維持。,PROPOSED
I70-007816,sky_above_me_(vtuber),380,Sky Above Me,Sky Above Me,要確認,indie_virtual_youtuber,KEEP,,,CONSERVATIVE_LATIN_FALLBACK_NO_TRUSTED_JA_EVIDENCE,HIGH,canonical_tag + frozen Issue70 source evidence,日本語表示の信頼できる根拠が無いため、誤った読みを作らず現在のLatin/canonical fallbackを維持。,PROPOSED
I70-007944,asutora-chan,372,Asutora-chan,Asutora-chan,要確認,original,KEEP,,,CONSERVATIVE_LATIN_FALLBACK_NO_TRUSTED_JA_EVIDENCE,HIGH,canonical_tag + frozen Issue70 source evidence,日本語表示の信頼できる根拠が無いため、誤った読みを作らず現在のLatin/canonical fallbackを維持。,PROPOSED
I70-007946,eylin_eyla_(ebonyxh),372,Eylin Eyla,Eylin Eyla,要確認,original,KEEP,,,CONSERVATIVE_LATIN_FALLBACK_NO_TRUSTED_JA_EVIDENCE,HIGH,canonical_tag + frozen Issue70 source evidence,日本語表示の信頼できる根拠が無いため、誤った読みを作らず現在のLatin/canonical fallbackを維持。,PROPOSED
I70-007998,general_geega,369,Geega,Geega,要確認,vshojo,KEEP,,,CONSERVATIVE_LATIN_FALLBACK_NO_TRUSTED_JA_EVIDENCE,HIGH,canonical_tag + frozen Issue70 source evidence,日本語表示の信頼できる根拠が無いため、誤った読みを作らず現在のLatin/canonical fallbackを維持。,PROPOSED
I70-008360,lilpa,350,Lilpa,Lilpa,要確認,waktaverse,KEEP,,,CONSERVATIVE_LATIN_FALLBACK_NO_TRUSTED_JA_EVIDENCE,HIGH,canonical_tag + frozen Issue70 source evidence,日本語表示の信頼できる根拠が無いため、誤った読みを作らず現在のLatin/canonical fallbackを維持。,PROPOSED
I70-008444,dragoon_(dokibird),345,Dragoon,Dragoon,要確認,indie_virtual_youtuber,KEEP,,,CONSERVATIVE_LATIN_FALLBACK_NO_TRUSTED_JA_EVIDENCE,HIGH,canonical_tag + frozen Issue70 source evidence,日本語表示の信頼できる根拠が無いため、誤った読みを作らず現在のLatin/canonical fallbackを維持。,PROPOSED
I70-008485,crelly,343,Crelly,Crelly,要確認,indie_virtual_youtuber,KEEP,,,CONSERVATIVE_LATIN_FALLBACK_NO_TRUSTED_JA_EVIDENCE,HIGH,canonical_tag + frozen Issue70 source evidence,日本語表示の信頼できる根拠が無いため、誤った読みを作らず現在のLatin/canonical fallbackを維持。,PROPOSED
I70-008507,aiboo_(mint_fantome),342,aiboo (mint fantome),,no reliable Japanese candidate in compact evidence,,KEEP,,,CONSERVATIVE_LATIN_FALLBACK_NO_TRUSTED_JA_EVIDENCE,HIGH,canonical_tag + frozen Issue70 source evidence,日本語表示の信頼できる根拠が無いため、誤った読みを作らず現在のLatin/canonical fallbackを維持。,PROPOSED
I70-008510,clio_aite,342,clio aite,,no reliable Japanese candidate in compact evidence,phase_connect,KEEP,,,CONSERVATIVE_LATIN_FALLBACK_NO_TRUSTED_JA_EVIDENCE,HIGH,canonical_tag + frozen Issue70 source evidence,日本語表示の信頼できる根拠が無いため、誤った読みを作らず現在のLatin/canonical fallbackを維持。,PROPOSED
I70-008562,kidouko_(zakusi),339,kidouko (zakusi),,no reliable Japanese candidate in compact evidence,original,KEEP,,,CONSERVATIVE_LATIN_FALLBACK_NO_TRUSTED_JA_EVIDENCE,HIGH,canonical_tag + frozen Issue70 source evidence,日本語表示の信頼できる根拠が無いため、誤った読みを作らず現在のLatin/canonical fallbackを維持。,PROPOSED
I70-008591,dif_(difman),337,dif (difman),,no reliable Japanese candidate in compact evidence,original,KEEP,,,CONSERVATIVE_LATIN_FALLBACK_NO_TRUSTED_JA_EVIDENCE,HIGH,canonical_tag + frozen Issue70 source evidence,日本語表示の信頼できる根拠が無いため、誤った読みを作らず現在のLatin/canonical fallbackを維持。,PROPOSED
I70-008595,kanae_(tsukiman),337,kanae (tsukiman),,no reliable Japanese candidate in compact evidence,original,KEEP,,,CONSERVATIVE_LATIN_FALLBACK_NO_TRUSTED_JA_EVIDENCE,HIGH,canonical_tag + frozen Issue70 source evidence,日本語表示の信頼できる根拠が無いため、誤った読みを作らず現在のLatin/canonical fallbackを維持。,PROPOSED
I70-008611,kuro_(uchi_no_kuroneko_onnanoko),336,kuro (uchi no kuroneko onnanoko),,no reliable Japanese candidate in compact evidence,uchi_no_kuroneko_onnanoko,KEEP,,,CONSERVATIVE_LATIN_FALLBACK_NO_TRUSTED_JA_EVIDENCE,HIGH,canonical_tag + frozen Issue70 source evidence,日本語表示の信頼できる根拠が無いため、誤った読みを作らず現在のLatin/canonical fallbackを維持。,PROPOSED
I70-008636,rescue_officer_(pikmin),335,rescue officer (pikmin),,no reliable Japanese candidate in compact evidence,pikmin_(series),KEEP,,,CONSERVATIVE_LATIN_FALLBACK_NO_TRUSTED_JA_EVIDENCE,HIGH,canonical_tag + frozen Issue70 source evidence,日本語表示の信頼できる根拠が無いため、誤った読みを作らず現在のLatin/canonical fallbackを維持。,PROPOSED
I70-008639,saruei_(vtuber),335,saruei (vtuber),,no reliable Japanese candidate in compact evidence,indie_virtual_youtuber,KEEP,,,CONSERVATIVE_LATIN_FALLBACK_NO_TRUSTED_JA_EVIDENCE,HIGH,canonical_tag + frozen Issue70 source evidence,日本語表示の信頼できる根拠が無いため、誤った読みを作らず現在のLatin/canonical fallbackを維持。,PROPOSED
I70-008659,nightmare_(nanashi_mumei),334,nightmare (nanashi mumei),,no reliable Japanese candidate in compact evidence,hololive,KEEP,,,CONSERVATIVE_LATIN_FALLBACK_NO_TRUSTED_JA_EVIDENCE,HIGH,canonical_tag + frozen Issue70 source evidence,日本語表示の信頼できる根拠が無いため、誤った読みを作らず現在のLatin/canonical fallbackを維持。,PROPOSED
I70-008677,naplings_(nimi_nightmare),333,naplings (nimi nightmare),,no reliable Japanese candidate in compact evidence,indie_virtual_youtuber,KEEP,,,CONSERVATIVE_LATIN_FALLBACK_NO_TRUSTED_JA_EVIDENCE,HIGH,canonical_tag + frozen Issue70 source evidence,日本語表示の信頼できる根拠が無いため、誤った読みを作らず現在のLatin/canonical fallbackを維持。,PROPOSED
I70-008682,sydney_(degrees_of_lewdity),333,sydney (degrees of lewdity),,no reliable Japanese candidate in compact evidence,degrees_of_lewdity,KEEP,,,CONSERVATIVE_LATIN_FALLBACK_NO_TRUSTED_JA_EVIDENCE,HIGH,canonical_tag + frozen Issue70 source evidence,日本語表示の信頼できる根拠が無いため、誤った読みを作らず現在のLatin/canonical fallbackを維持。,PROPOSED
I70-008746,phantom_(gavis_bettel),330,phantom (gavis bettel),,no reliable Japanese candidate in compact evidence,holostars,KEEP,,,CONSERVATIVE_LATIN_FALLBACK_NO_TRUSTED_JA_EVIDENCE,HIGH,canonical_tag + frozen Issue70 source evidence,日本語表示の信頼できる根拠が無いため、誤った読みを作らず現在のLatin/canonical fallbackを維持。,PROPOSED
I70-008747,queen_draco_(third_ascension)_(fate),330,queen draco (third ascension) (fate),,no reliable Japanese candidate in compact evidence,fate/grand_order,KEEP,,,CONSERVATIVE_LATIN_FALLBACK_NO_TRUSTED_JA_EVIDENCE,HIGH,canonical_tag + frozen Issue70 source evidence,日本語表示の信頼できる根拠が無いため、誤った読みを作らず現在のLatin/canonical fallbackを維持。,PROPOSED
I70-008756,firefly_(ar-26710)_(honkai:_star_rail),329,firefly (ar-26710) (honkai: star rail),,no reliable Japanese candidate in compact evidence,honkai:_star_rail,KEEP,,,CONSERVATIVE_LATIN_FALLBACK_NO_TRUSTED_JA_EVIDENCE,HIGH,canonical_tag + frozen Issue70 source evidence,日本語表示の信頼できる根拠が無いため、誤った読みを作らず現在のLatin/canonical fallbackを維持。,PROPOSED
I70-008779,alpha_(alpha_1918),328,alpha (alpha 1918),,no reliable Japanese candidate in compact evidence,original,KEEP,,,CONSERVATIVE_LATIN_FALLBACK_NO_TRUSTED_JA_EVIDENCE,HIGH,canonical_tag + frozen Issue70 source evidence,日本語表示の信頼できる根拠が無いため、誤った読みを作らず現在のLatin/canonical fallbackを維持。,PROPOSED
I70-008790,sp//dr,328,sp//dr,,no reliable Japanese candidate in compact evidence,marvel,KEEP,,,CONSERVATIVE_LATIN_FALLBACK_NO_TRUSTED_JA_EVIDENCE,HIGH,canonical_tag + frozen Issue70 source evidence,日本語表示の信頼できる根拠が無いため、誤った読みを作らず現在のLatin/canonical fallbackを維持。,PROPOSED
I70-008799,ena_(dream_bbq),327,ena (dream bbq),,no reliable Japanese candidate in compact evidence,ena_(series),KEEP,,,CONSERVATIVE_LATIN_FALLBACK_NO_TRUSTED_JA_EVIDENCE,HIGH,canonical_tag + frozen Issue70 source evidence,日本語表示の信頼できる根拠が無いため、誤った読みを作らず現在のLatin/canonical fallbackを維持。,PROPOSED
I70-008853,penguin_squad_(nikke),325,penguin squad (nikke),,no reliable Japanese candidate in compact evidence,goddess_of_victory:_nikke,KEEP,,,CONSERVATIVE_LATIN_FALLBACK_NO_TRUSTED_JA_EVIDENCE,HIGH,canonical_tag + frozen Issue70 source evidence,日本語表示の信頼できる根拠が無いため、誤った読みを作らず現在のLatin/canonical fallbackを維持。,PROPOSED
I70-008912,digitan_(porforever),322,digitan (porforever),,no reliable Japanese candidate in compact evidence,original,KEEP,,,CONSERVATIVE_LATIN_FALLBACK_NO_TRUSTED_JA_EVIDENCE,HIGH,canonical_tag + frozen Issue70 source evidence,日本語表示の信頼できる根拠が無いため、誤った読みを作らず現在のLatin/canonical fallbackを維持。,PROPOSED
I70-008975,akikawa_yayoi's_cat,319,akikawa yayoi's cat,,no reliable Japanese candidate in compact evidence,umamusume,KEEP,,,CONSERVATIVE_LATIN_FALLBACK_NO_TRUSTED_JA_EVIDENCE,HIGH,canonical_tag + frozen Issue70 source evidence,日本語表示の信頼できる根拠が無いため、誤った読みを作らず現在のLatin/canonical fallbackを維持。,PROPOSED
