row_id,canonical_tag,post_count,display_ja,search_ja,audit_bucket,risk_flags,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-044586,koruri,1772,こるり,,ACCEPTED_RISK,NO_SOURCE_JA_EVIDENCE_OVERLAP | ARTIST_JA_DISPLAY_UNSUPPORTED_BY_SOURCE,NEEDS_EXTERNAL_CHECK,,,ARTIST_JA_READING_UNSUPPORTED,MEDIUM,canonical_tag + current display + preserved source evidence,Artist名の日本語表記は誤読リスクが高いため自動修正しない。一次寄り根拠で確認する。,PROPOSED
I70-044604,piromizu,1708,ぴろ水,,ACCEPTED_RISK,NO_SOURCE_JA_EVIDENCE_OVERLAP | ARTIST_JA_DISPLAY_UNSUPPORTED_BY_SOURCE,NEEDS_EXTERNAL_CHECK,,,ARTIST_JA_READING_UNSUPPORTED,MEDIUM,canonical_tag + current display + preserved source evidence,Artist名の日本語表記は誤読リスクが高いため自動修正しない。一次寄り根拠で確認する。,PROPOSED
I70-044614,shiromanta,1676,しろまんた,,ACCEPTED_RISK,NO_SOURCE_JA_EVIDENCE_OVERLAP | ARTIST_JA_DISPLAY_UNSUPPORTED_BY_SOURCE,NEEDS_EXTERNAL_CHECK,,,ARTIST_JA_READING_UNSUPPORTED,MEDIUM,canonical_tag + current display + preserved source evidence,Artist名の日本語表記は誤読リスクが高いため自動修正しない。一次寄り根拠で確認する。,PROPOSED
I70-044693,mishima_kurone,1483,三嶋くろね,,ACCEPTED_RISK,NO_SOURCE_JA_EVIDENCE_OVERLAP | ARTIST_JA_DISPLAY_UNSUPPORTED_BY_SOURCE,NEEDS_EXTERNAL_CHECK,,,ARTIST_JA_READING_UNSUPPORTED,MEDIUM,canonical_tag + current display + preserved source evidence,Artist名の日本語表記は誤読リスクが高いため自動修正しない。一次寄り根拠で確認する。,PROPOSED
I70-044696,suzuhira_hiro,1473,鈴平ひろ,,ACCEPTED_RISK,NO_SOURCE_JA_EVIDENCE_OVERLAP | ARTIST_JA_DISPLAY_UNSUPPORTED_BY_SOURCE,NEEDS_EXTERNAL_CHECK,,,ARTIST_JA_READING_UNSUPPORTED,MEDIUM,canonical_tag + current display + preserved source evidence,Artist名の日本語表記は誤読リスクが高いため自動修正しない。一次寄り根拠で確認する。,PROPOSED
I70-044721,himura_kiseki,1422,比村奇石,,ACCEPTED_RISK,NO_SOURCE_JA_EVIDENCE_OVERLAP | ARTIST_JA_DISPLAY_UNSUPPORTED_BY_SOURCE,NEEDS_EXTERNAL_CHECK,,,ARTIST_JA_READING_UNSUPPORTED,MEDIUM,canonical_tag + current display + preserved source evidence,Artist名の日本語表記は誤読リスクが高いため自動修正しない。一次寄り根拠で確認する。,PROPOSED
I70-044723,watanabe_akio,1417,渡辺明夫,,ACCEPTED_RISK,NO_SOURCE_JA_EVIDENCE_OVERLAP | ARTIST_JA_DISPLAY_UNSUPPORTED_BY_SOURCE,NEEDS_EXTERNAL_CHECK,,,ARTIST_JA_READING_UNSUPPORTED,MEDIUM,canonical_tag + current display + preserved source evidence,Artist名の日本語表記は誤読リスクが高いため自動修正しない。一次寄り根拠で確認する。,PROPOSED
I70-044732,yomu_(sgt_epper),1396,よむ,,ACCEPTED_RISK,NO_SOURCE_JA_EVIDENCE_OVERLAP | ARTIST_JA_DISPLAY_UNSUPPORTED_BY_SOURCE,NEEDS_EXTERNAL_CHECK,,,ARTIST_JA_READING_UNSUPPORTED,MEDIUM,canonical_tag + current display + preserved source evidence,Artist名の日本語表記は誤読リスクが高いため自動修正しない。一次寄り根拠で確認する。,PROPOSED
I70-044807,mikeou,1267,みけおう,,ACCEPTED_RISK,NO_SOURCE_JA_EVIDENCE_OVERLAP | ARTIST_JA_DISPLAY_UNSUPPORTED_BY_SOURCE,NEEDS_EXTERNAL_CHECK,,,ARTIST_JA_READING_UNSUPPORTED,MEDIUM,canonical_tag + current display + preserved source evidence,Artist名の日本語表記は誤読リスクが高いため自動修正しない。一次寄り根拠で確認する。,PROPOSED
I70-044854,oyari_ashito,1208,大槍葦人,,ACCEPTED_RISK,NO_SOURCE_JA_EVIDENCE_OVERLAP | ARTIST_JA_DISPLAY_UNSUPPORTED_BY_SOURCE,NEEDS_EXTERNAL_CHECK,,,ARTIST_JA_READING_UNSUPPORTED,MEDIUM,canonical_tag + current display + preserved source evidence,Artist名の日本語表記は誤読リスクが高いため自動修正しない。一次寄り根拠で確認する。,PROPOSED
I70-044863,riichu,1195,りいちゅ,,ACCEPTED_RISK,NO_SOURCE_JA_EVIDENCE_OVERLAP | ARTIST_JA_DISPLAY_UNSUPPORTED_BY_SOURCE,NEEDS_EXTERNAL_CHECK,,,ARTIST_JA_READING_UNSUPPORTED,MEDIUM,canonical_tag + current display + preserved source evidence,Artist名の日本語表記は誤読リスクが高いため自動修正しない。一次寄り根拠で確認する。,PROPOSED
I70-044884,fuzichoco,1164,藤ちょこ,,ACCEPTED_RISK,NO_SOURCE_JA_EVIDENCE_OVERLAP | ARTIST_JA_DISPLAY_UNSUPPORTED_BY_SOURCE,NEEDS_EXTERNAL_CHECK,,,ARTIST_JA_READING_UNSUPPORTED,MEDIUM,canonical_tag + current display + preserved source evidence,Artist名の日本語表記は誤読リスクが高いため自動修正しない。一次寄り根拠で確認する。,PROPOSED
I70-044447,pageratta,3572,ペゲラッタ,,ACCEPTED_RISK,ARTIST_JA_DISPLAY_UNSUPPORTED_BY_SOURCE,NEEDS_EXTERNAL_CHECK,,,ARTIST_JA_READING_UNSUPPORTED,MEDIUM,canonical_tag + current display + preserved source evidence,Artist名の日本語表記は誤読リスクが高いため自動修正しない。一次寄り根拠で確認する。,PROPOSED
I70-044462,m-da_s-tarou,2968,MだSたろう,,ACCEPTED_RISK,ARTIST_JA_DISPLAY_UNSUPPORTED_BY_SOURCE,NEEDS_EXTERNAL_CHECK,,,ARTIST_JA_READING_UNSUPPORTED,MEDIUM,canonical_tag + current display + preserved source evidence,Artist名の日本語表記は誤読リスクが高いため自動修正しない。一次寄り根拠で確認する。,PROPOSED
I70-044493,kato_takuji,2489,加藤拓弐,,ACCEPTED_RISK,ARTIST_JA_DISPLAY_UNSUPPORTED_BY_SOURCE,NEEDS_EXTERNAL_CHECK,,,ARTIST_JA_READING_UNSUPPORTED,MEDIUM,canonical_tag + current display + preserved source evidence,Artist名の日本語表記は誤読リスクが高いため自動修正しない。一次寄り根拠で確認する。,PROPOSED
I70-044494,houtengeki,2472,方天戟,,ACCEPTED_RISK,ARTIST_JA_DISPLAY_UNSUPPORTED_BY_SOURCE,NEEDS_EXTERNAL_CHECK,,,ARTIST_JA_READING_UNSUPPORTED,MEDIUM,canonical_tag + current display + preserved source evidence,Artist名の日本語表記は誤読リスクが高いため自動修正しない。一次寄り根拠で確認する。,PROPOSED
I70-044499,kani_biimu,2442,かにビーム,,ACCEPTED_RISK,ARTIST_JA_DISPLAY_UNSUPPORTED_BY_SOURCE,NEEDS_EXTERNAL_CHECK,,,ARTIST_JA_READING_UNSUPPORTED,MEDIUM,canonical_tag + current display + preserved source evidence,Artist名の日本語表記は誤読リスクが高いため自動修正しない。一次寄り根拠で確認する。,PROPOSED
I70-044504,avogado6,2396,アボガド6,,ACCEPTED_RISK,ARTIST_JA_DISPLAY_UNSUPPORTED_BY_SOURCE,NEEDS_EXTERNAL_CHECK,,,ARTIST_JA_READING_UNSUPPORTED,MEDIUM,canonical_tag + current display + preserved source evidence,Artist名の日本語表記は誤読リスクが高いため自動修正しない。一次寄り根拠で確認する。,PROPOSED
I70-044516,izumi_tsubasu,2262,和泉つばす,,ACCEPTED_RISK,ARTIST_JA_DISPLAY_UNSUPPORTED_BY_SOURCE,NEEDS_EXTERNAL_CHECK,,,ARTIST_JA_READING_UNSUPPORTED,MEDIUM,canonical_tag + current display + preserved source evidence,Artist名の日本語表記は誤読リスクが高いため自動修正しない。一次寄り根拠で確認する。,PROPOSED
I70-044523,tsunako,2233,つなこ,,ACCEPTED_RISK,ARTIST_JA_DISPLAY_UNSUPPORTED_BY_SOURCE,NEEDS_EXTERNAL_CHECK,,,ARTIST_JA_READING_UNSUPPORTED,MEDIUM,canonical_tag + current display + preserved source evidence,Artist名の日本語表記は誤読リスクが高いため自動修正しない。一次寄り根拠で確認する。,PROPOSED
I70-044529,takeuchi_takashi,2168,武内崇,,ACCEPTED_RISK,ARTIST_JA_DISPLAY_UNSUPPORTED_BY_SOURCE,NEEDS_EXTERNAL_CHECK,,,ARTIST_JA_READING_UNSUPPORTED,MEDIUM,canonical_tag + current display + preserved source evidence,Artist名の日本語表記は誤読リスクが高いため自動修正しない。一次寄り根拠で確認する。,PROPOSED
I70-044538,nekotoufu,2088,ねことうふ,,ACCEPTED_RISK,ARTIST_JA_DISPLAY_UNSUPPORTED_BY_SOURCE,NEEDS_EXTERNAL_CHECK,,,ARTIST_JA_READING_UNSUPPORTED,MEDIUM,canonical_tag + current display + preserved source evidence,Artist名の日本語表記は誤読リスクが高いため自動修正しない。一次寄り根拠で確認する。,PROPOSED
I70-044539,onigirikun,2077,おにぎりくん,,ACCEPTED_RISK,ARTIST_JA_DISPLAY_UNSUPPORTED_BY_SOURCE,NEEDS_EXTERNAL_CHECK,,,ARTIST_JA_READING_UNSUPPORTED,MEDIUM,canonical_tag + current display + preserved source evidence,Artist名の日本語表記は誤読リスクが高いため自動修正しない。一次寄り根拠で確認する。,PROPOSED
I70-044541,toosaka_asagi,2061,遠坂あさぎ,,ACCEPTED_RISK,ARTIST_JA_DISPLAY_UNSUPPORTED_BY_SOURCE,NEEDS_EXTERNAL_CHECK,,,ARTIST_JA_READING_UNSUPPORTED,MEDIUM,canonical_tag + current display + preserved source evidence,Artist名の日本語表記は誤読リスクが高いため自動修正しない。一次寄り根拠で確認する。,PROPOSED
I70-044546,yamamoto_souichirou,2036,山本崇一朗,,ACCEPTED_RISK,ARTIST_JA_DISPLAY_UNSUPPORTED_BY_SOURCE,NEEDS_EXTERNAL_CHECK,,,ARTIST_JA_READING_UNSUPPORTED,MEDIUM,canonical_tag + current display + preserved source evidence,Artist名の日本語表記は誤読リスクが高いため自動修正しない。一次寄り根拠で確認する。,PROPOSED
I70-044559,fujima_takuya,1959,藤真拓哉,,ACCEPTED_RISK,ARTIST_JA_DISPLAY_UNSUPPORTED_BY_SOURCE,NEEDS_EXTERNAL_CHECK,,,ARTIST_JA_READING_UNSUPPORTED,MEDIUM,canonical_tag + current display + preserved source evidence,Artist名の日本語表記は誤読リスクが高いため自動修正しない。一次寄り根拠で確認する。,PROPOSED
I70-044567,mattaku_mousuke,1910,まったくモー助,,ACCEPTED_RISK,ARTIST_JA_DISPLAY_UNSUPPORTED_BY_SOURCE,NEEDS_EXTERNAL_CHECK,,,ARTIST_JA_READING_UNSUPPORTED,MEDIUM,canonical_tag + current display + preserved source evidence,Artist名の日本語表記は誤読リスクが高いため自動修正しない。一次寄り根拠で確認する。,PROPOSED
I70-044603,ishikei,1708,石恵,,ACCEPTED_RISK,ARTIST_JA_DISPLAY_UNSUPPORTED_BY_SOURCE,NEEDS_EXTERNAL_CHECK,,,ARTIST_JA_READING_UNSUPPORTED,MEDIUM,canonical_tag + current display + preserved source evidence,Artist名の日本語表記は誤読リスクが高いため自動修正しない。一次寄り根拠で確認する。,PROPOSED
I70-044627,murakami_suigun,1640,村上水軍,,ACCEPTED_RISK,ARTIST_JA_DISPLAY_UNSUPPORTED_BY_SOURCE,NEEDS_EXTERNAL_CHECK,,,ARTIST_JA_READING_UNSUPPORTED,MEDIUM,canonical_tag + current display + preserved source evidence,Artist名の日本語表記は誤読リスクが高いため自動修正しない。一次寄り根拠で確認する。,PROPOSED
I70-044633,asanagi,1628,朝凪,,ACCEPTED_RISK,ARTIST_JA_DISPLAY_UNSUPPORTED_BY_SOURCE,NEEDS_EXTERNAL_CHECK,,,ARTIST_JA_READING_UNSUPPORTED,MEDIUM,canonical_tag + current display + preserved source evidence,Artist名の日本語表記は誤読リスクが高いため自動修正しない。一次寄り根拠で確認する。,PROPOSED
I70-044643,satou_kuuki,1609,佐藤空気,,ACCEPTED_RISK,ARTIST_JA_DISPLAY_UNSUPPORTED_BY_SOURCE,NEEDS_EXTERNAL_CHECK,,,ARTIST_JA_READING_UNSUPPORTED,MEDIUM,canonical_tag + current display + preserved source evidence,Artist名の日本語表記は誤読リスクが高いため自動修正しない。一次寄り根拠で確認する。,PROPOSED
I70-044687,ito_noizi,1490,いとうのいぢ,,ACCEPTED_RISK,ARTIST_JA_DISPLAY_UNSUPPORTED_BY_SOURCE,NEEDS_EXTERNAL_CHECK,,,ARTIST_JA_READING_UNSUPPORTED,MEDIUM,canonical_tag + current display + preserved source evidence,Artist名の日本語表記は誤読リスクが高いため自動修正しない。一次寄り根拠で確認する。,PROPOSED
I70-044702,happoubi_jin,1458,八宝備仁,,ACCEPTED_RISK,ARTIST_JA_DISPLAY_UNSUPPORTED_BY_SOURCE,NEEDS_EXTERNAL_CHECK,,,ARTIST_JA_READING_UNSUPPORTED,MEDIUM,canonical_tag + current display + preserved source evidence,Artist名の日本語表記は誤読リスクが高いため自動修正しない。一次寄り根拠で確認する。,PROPOSED
I70-044766,yabuki_kentarou,1334,矢吹健太朗,,ACCEPTED_RISK,ARTIST_JA_DISPLAY_UNSUPPORTED_BY_SOURCE,NEEDS_EXTERNAL_CHECK,,,ARTIST_JA_READING_UNSUPPORTED,MEDIUM,canonical_tag + current display + preserved source evidence,Artist名の日本語表記は誤読リスクが高いため自動修正しない。一次寄り根拠で確認する。,PROPOSED
I70-044773,misaki_kurehito,1313,深崎暮人,,ACCEPTED_RISK,ARTIST_JA_DISPLAY_UNSUPPORTED_BY_SOURCE,NEEDS_EXTERNAL_CHECK,,,ARTIST_JA_READING_UNSUPPORTED,MEDIUM,canonical_tag + current display + preserved source evidence,Artist名の日本語表記は誤読リスクが高いため自動修正しない。一次寄り根拠で確認する。,PROPOSED
I70-044792,harada_takehito,1283,原田たけひと,,ACCEPTED_RISK,ARTIST_JA_DISPLAY_UNSUPPORTED_BY_SOURCE,NEEDS_EXTERNAL_CHECK,,,ARTIST_JA_READING_UNSUPPORTED,MEDIUM,canonical_tag + current display + preserved source evidence,Artist名の日本語表記は誤読リスクが高いため自動修正しない。一次寄り根拠で確認する。,PROPOSED
I70-044800,yamashita_shun'ya,1274,山下しゅんや,,ACCEPTED_RISK,ARTIST_JA_DISPLAY_UNSUPPORTED_BY_SOURCE,NEEDS_EXTERNAL_CHECK,,,ARTIST_JA_READING_UNSUPPORTED,MEDIUM,canonical_tag + current display + preserved source evidence,Artist名の日本語表記は誤読リスクが高いため自動修正しない。一次寄り根拠で確認する。,PROPOSED
I70-044860,urushihara_satoshi,1197,うるし原智志,,ACCEPTED_RISK,ARTIST_JA_DISPLAY_UNSUPPORTED_BY_SOURCE,NEEDS_EXTERNAL_CHECK,,,ARTIST_JA_READING_UNSUPPORTED,MEDIUM,canonical_tag + current display + preserved source evidence,Artist名の日本語表記は誤読リスクが高いため自動修正しない。一次寄り根拠で確認する。,PROPOSED
I70-044899,haimura_kiyotaka,1153,はいむらきよたか,,ACCEPTED_RISK,ARTIST_JA_DISPLAY_UNSUPPORTED_BY_SOURCE,NEEDS_EXTERNAL_CHECK,,,ARTIST_JA_READING_UNSUPPORTED,MEDIUM,canonical_tag + current display + preserved source evidence,Artist名の日本語表記は誤読リスクが高いため自動修正しない。一次寄り根拠で確認する。,PROPOSED
I70-044429,crote,6449,crote,,ACCEPTED_RISK,NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,ARTIST_CONSERVATIVE_KEEP,HIGH,canonical_tag + current display + preserved source evidence,Artistは読みを推測しない方針。現行の英字/既知表記を維持し、機械候補のカナ化・意味訳は採用しない。,PROPOSED
I70-044433,hammer_(sunset_beach),5623,hammer (sunset beach),,ACCEPTED_RISK,NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,ARTIST_CONSERVATIVE_KEEP,HIGH,canonical_tag + current display + preserved source evidence,Artistは読みを推測しない方針。現行の英字/既知表記を維持し、機械候補のカナ化・意味訳は採用しない。,PROPOSED
I70-044437,kanon_(kurogane_knights),4610,kanon (kurogane knights),,ACCEPTED_RISK,NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,ARTIST_CONSERVATIVE_KEEP,HIGH,canonical_tag + current display + preserved source evidence,Artistは読みを推測しない方針。現行の英字/既知表記を維持し、機械候補のカナ化・意味訳は採用しない。,PROPOSED
I70-044439,rebecca_(keinelove),4389,rebecca (keinelove),,ACCEPTED_RISK,NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,ARTIST_CONSERVATIVE_KEEP,HIGH,canonical_tag + current display + preserved source evidence,Artistは読みを推測しない方針。現行の英字/既知表記を維持し、機械候補のカナ化・意味訳は採用しない。,PROPOSED
I70-044441,kouji_(campus_life),4352,kouji (campus life),,ACCEPTED_RISK,NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,ARTIST_CONSERVATIVE_KEEP,HIGH,canonical_tag + current display + preserved source evidence,Artistは読みを推測しない方針。現行の英字/既知表記を維持し、機械候補のカナ化・意味訳は採用しない。,PROPOSED
I70-044444,naga_u,3876,naga u,,ACCEPTED_RISK,NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,ARTIST_CONSERVATIVE_KEEP,HIGH,canonical_tag + current display + preserved source evidence,Artistは読みを推測しない方針。現行の英字/既知表記を維持し、機械候補のカナ化・意味訳は採用しない。,PROPOSED
I70-044446,hara_(harayutaka),3852,hara (harayutaka),,ACCEPTED_RISK,NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,ARTIST_CONSERVATIVE_KEEP,HIGH,canonical_tag + current display + preserved source evidence,Artistは読みを推測しない方針。現行の英字/既知表記を維持し、機械候補のカナ化・意味訳は採用しない。,PROPOSED
I70-044450,boris_(noborhys),3408,boris (noborhys),,ACCEPTED_RISK,NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,ARTIST_CONSERVATIVE_KEEP,HIGH,canonical_tag + current display + preserved source evidence,Artistは読みを推測しない方針。現行の英字/既知表記を維持し、機械候補のカナ化・意味訳は採用しない。,PROPOSED
I70-044453,blade_(galaxist),3211,blade (galaxist),,ACCEPTED_RISK,NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,ARTIST_CONSERVATIVE_KEEP,HIGH,canonical_tag + current display + preserved source evidence,Artistは読みを推測しない方針。現行の英字/既知表記を維持し、機械候補のカナ化・意味訳は採用しない。,PROPOSED
I70-044454,tony_taka,3177,Tony Taka,,ACCEPTED_RISK,NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,ARTIST_CONSERVATIVE_KEEP,HIGH,canonical_tag + current display + preserved source evidence,Artistは読みを推測しない方針。現行の英字/既知表記を維持し、機械候補のカナ化・意味訳は採用しない。,PROPOSED
I70-044457,hana_kazari,3084,hana kazari,,ACCEPTED_RISK,NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,ARTIST_CONSERVATIVE_KEEP,HIGH,canonical_tag + current display + preserved source evidence,Artistは読みを推測しない方針。現行の英字/既知表記を維持し、機械候補のカナ化・意味訳は採用しない。,PROPOSED
I70-044460,yohane,3002,yohane,,ACCEPTED_RISK,NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,ARTIST_CONSERVATIVE_KEEP,HIGH,canonical_tag + current display + preserved source evidence,Artistは読みを推測しない方針。現行の英字/既知表記を維持し、機械候補のカナ化・意味訳は採用しない。,PROPOSED
I70-044463,chihuri,2963,chihuri,,ACCEPTED_RISK,NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,ARTIST_CONSERVATIVE_KEEP,HIGH,canonical_tag + current display + preserved source evidence,Artistは読みを推測しない方針。現行の英字/既知表記を維持し、機械候補のカナ化・意味訳は採用しない。,PROPOSED
I70-044464,gomashio_(goma_feet),2963,gomashio (goma feet),,ACCEPTED_RISK,NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,ARTIST_CONSERVATIVE_KEEP,HIGH,canonical_tag + current display + preserved source evidence,Artistは読みを推測しない方針。現行の英字/既知表記を維持し、機械候補のカナ化・意味訳は採用しない。,PROPOSED
I70-044468,hews,2906,Hews,,ACCEPTED_RISK,NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,ARTIST_CONSERVATIVE_KEEP,HIGH,canonical_tag + current display + preserved source evidence,Artistは読みを推測しない方針。現行の英字/既知表記を維持し、機械候補のカナ化・意味訳は採用しない。,PROPOSED
I70-044469,hungry_clicker,2887,hungry clicker,,ACCEPTED_RISK,NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,ARTIST_CONSERVATIVE_KEEP,HIGH,canonical_tag + current display + preserved source evidence,Artistは読みを推測しない方針。現行の英字/既知表記を維持し、機械候補のカナ化・意味訳は採用しない。,PROPOSED
I70-044470,huke,2841,huke,,ACCEPTED_RISK,NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,ARTIST_CONSERVATIVE_KEEP,HIGH,canonical_tag + current display + preserved source evidence,Artistは読みを推測しない方針。現行の英字/既知表記を維持し、機械候補のカナ化・意味訳は採用しない。,PROPOSED
I70-044471,nyantcha,2818,nyantcha,,ACCEPTED_RISK,NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,ARTIST_CONSERVATIVE_KEEP,HIGH,canonical_tag + current display + preserved source evidence,Artistは読みを推測しない方針。現行の英字/既知表記を維持し、機械候補のカナ化・意味訳は採用しない。,PROPOSED
I70-044472,hisahiko,2782,Hisahiko,,ACCEPTED_RISK,NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,ARTIST_CONSERVATIVE_KEEP,HIGH,canonical_tag + current display + preserved source evidence,Artistは読みを推測しない方針。現行の英字/既知表記を維持し、機械候補のカナ化・意味訳は採用しない。,PROPOSED
I70-044474,sincos,2770,sincos,,ACCEPTED_RISK,NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,ARTIST_CONSERVATIVE_KEEP,HIGH,canonical_tag + current display + preserved source evidence,Artistは読みを推測しない方針。現行の英字/既知表記を維持し、機械候補のカナ化・意味訳は採用しない。,PROPOSED
I70-044476,ramchi,2741,ramchi,,ACCEPTED_RISK,NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,ARTIST_CONSERVATIVE_KEEP,HIGH,canonical_tag + current display + preserved source evidence,Artistは読みを推測しない方針。現行の英字/既知表記を維持し、機械候補のカナ化・意味訳は採用しない。,PROPOSED
I70-044477,tsukudani_(coke-buta),2730,tsukudani (coke-buta),,ACCEPTED_RISK,NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,ARTIST_CONSERVATIVE_KEEP,HIGH,canonical_tag + current display + preserved source evidence,Artistは読みを推測しない方針。現行の英字/既知表記を維持し、機械候補のカナ化・意味訳は採用しない。,PROPOSED
I70-044478,mizumizuni,2727,mizumizuni,,ACCEPTED_RISK,NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,ARTIST_CONSERVATIVE_KEEP,HIGH,canonical_tag + current display + preserved source evidence,Artistは読みを推測しない方針。現行の英字/既知表記を維持し、機械候補のカナ化・意味訳は採用しない。,PROPOSED
