row_id,canonical_tag,post_count,display_ja,search_ja,prior_audit_verdict,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-037790,grand_theft_auto_vi,534,Grand Theft Auto VI,,NEEDS_EXTERNAL_CHECK,FIX_BOTH,グランド・セフト・オートVI,Grand Theft Auto VI,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://store.rockstargames.com/ja/game/buy-gta-vi,Rockstar official Japanese store uses グランド・セフト・オートVI; retain the official English title as search alias.,PROPOSED
I70-037866,hololive_official_card_game,504,hololive OFFICIAL CARD GAME,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://hololive-official-cardgame.com/,Official site consistently uses hololive OFFICIAL CARD GAME; current display is exact.,PROPOSED
I70-037819,crazy_raccoon,521,Crazy Raccoon,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://crazyraccoon.jp/,Official organization site uses Crazy Raccoon; current display is exact.,PROPOSED
I70-037846,16personalities,511,16Personalities,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://www.16personalities.com/ja,Official Japanese site uses 16Personalities branding; current display is exact.,PROPOSED
I70-037780,slay_the_spire_2,537,Slay the Spire 2,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://www.megacrit.com/,Mega Crit official developer site identifies Slay the Spire 2; current original-language display is identity-safe.,PROPOSED
I70-037562,blue_reflection_(series),635,ブルー リフレクション,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://blue-reflection.com/,KOEI TECMO/Gust official BLUE REFLECTION portal identifies the franchise as BLUE REFLECTION; existing ブルー リフレクション is identity-safe.,PROPOSED
I70-037619,fate/requiem,609,Fate/Requiem,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://www.typemoon.com/products/tmbooks/requiem/,TYPE-MOON BOOKS official page uses Fate/Requiem exactly.,PROPOSED
I70-037629,avatar_aang:_the_last_airbender,605,アバター 伝説の少年アン,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://www.netflix.com/jp/title/70142405,Official Japanese distribution uses アバター 伝説の少年アン; existing display is exact.,PROPOSED
I70-037649,portal_(series),596,Portal,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://store.steampowered.com/app/400/Portal/?l=japanese,Valve official distribution uses Portal and lists Valve as developer/publisher; base franchise display is identity-safe.,PROPOSED
I70-037709,fate/extella_link,567,Fate/EXTELLA LINK,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://fate-extella-link.jp/,Official Marvelous/TYPE-MOON product site uses Fate/EXTELLA LINK exactly.,PROPOSED
I70-037723,kantai_collection_(anime),562,艦隊これくしょん -艦これ-,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://kancolle-anime.jp/,Official anime site uses 艦隊これくしょん -艦これ- exactly.,PROPOSED
I70-037735,wild_arms_1,557,ワイルドアームズ,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://www.playstation.com/ja-jp/games/wild-arms/,PlayStation official Japanese product page uses ワイルドアームズ for the original game.,PROPOSED
I70-037761,oneshot_(game),546,OneShot,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://store.steampowered.com/app/420530/OneShot/?l=japanese,Official distribution identifies Future Cat LLC and title OneShot exactly.,PROPOSED
I70-037775,boruto:_two_blue_vortex,539,BORUTO-ボルト- -TWO BLUE VORTEX-,,NEEDS_EXTERNAL_CHECK,FIX_DISPLAY,BORUTO -ボルト- -TWO BLUE VORTEX-,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://naruto-official.com/special/tbv,NARUTO/BORUTO official site uses BORUTO -ボルト- -TWO BLUE VORTEX-; normalize title spacing to the official form.,PROPOSED
I70-037798,kotobukiya_bishoujo,531,コトブキヤ BISHOUJO,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://www.kotobukiya.co.jp/series/bishoujo-statue/,Kotobukiya official product portal explicitly identifies BISHOUJOシリーズ; existing コトブキヤ BISHOUJO is identity-safe.,PROPOSED
I70-037862,terminator_(series),505,ターミネーター,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://www.20thcenturystudios.jp/movies/terminator-new-fate,20th Century Studios Japan official title surface uses ターミネーター; existing franchise display is identity-safe.,PROPOSED
I70-037935,everlasting_summer,479,Everlasting Summer,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://store.steampowered.com/app/331470/Everlasting_Summer/?l=japanese,Official distribution identifies developer/publisher Soviet Games and title Everlasting Summer exactly.,PROPOSED
I70-038007,gensou_suikoden_i,455,幻想水滸伝1,,NEEDS_EXTERNAL_CHECK,FIX_DISPLAY,幻想水滸伝I,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://www.konami.com/games/suikoden/rem/1_2/jp/ja/about_1,KONAMI official page uses 幻想水滸伝 I; normalize numeral from 1 to official Roman numeral I.,PROPOSED
I70-038090,tokyo_mirage_sessions_fe,430,幻影異聞録♯FE,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://www.nintendo.com/jp/topics/article/5f737a36-a9e0-11e5-a02c-0a6d14145cb1,Nintendo official article uses 幻影異聞録♯ＦＥ for the original Wii U title; current display preserves the official identity.,PROPOSED
I70-038182,clair_obscur:_expedition_33,406,光與影:33號遠征隊,,NEEDS_EXTERNAL_CHECK,FIX_DISPLAY,Clair Obscur: Expedition 33,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://www.expedition33.com/,Developer official site uses Clair Obscur: Expedition 33; current Chinese display is not the official title for the Japanese overlay.,PROPOSED
I70-038162,ga-rei,413,喰霊,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://ga-rei.jp/new_garei/,Official Ga-Rei Zero site identifies the original manga as 喰霊 exactly.,PROPOSED
I70-038192,ga-rei_zero,403,喰霊-零-,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://ga-rei.jp/,Official anime site uses 喰霊-零- exactly.,PROPOSED
I70-038313,muse_dash,374,喵斯快跑,,NEEDS_EXTERNAL_CHECK,FIX_DISPLAY,Muse Dash,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://apps.apple.com/jp/app/musedash/id1361473095,Official Japanese distribution by developer peropero uses Muse Dash; replace the Chinese localized surface with the official product identity.,PROPOSED
I70-038488,all_saints_street,337,1031万圣街,,NEEDS_EXTERNAL_CHECK,FIX_DISPLAY,万聖街,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://banseigai.com/,Official Japanese anime site uses 万聖街; current 1031万圣街 is the Chinese source-title form and not the Japanese overlay title.,PROPOSED
I70-038354,valkyrie_profile_1,364,ヴァルキリープロファイル,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://www.jp.square-enix.com/vp_lenneth/,Square Enix official product site preserves ヴァルキリープロファイル identity for the original lineage; existing display is identity-safe.,PROPOSED
I70-038395,rilakkuma_(series),357,リラックマ,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://www.san-x.co.jp/ja/characters/rilakkuma/,San-X official character site uses リラックマ; existing series-level display is exact and identity-safe.,PROPOSED
I70-038449,twin_angel,345,ツインエンジェル,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://twin-angel.com/,Official Twin Angel site uses ツインエンジェル as the series identity.,PROPOSED
I70-038502,choujin_x,334,超人X,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://youngjump.jp/,Weekly Young Jump official site lists 超人X by 石田スイ; current display is exact.,PROPOSED
I70-038064,marvel_tokon:_fighting_souls,438,MARVEL闘魂,,NEEDS_EXTERNAL_CHECK,FIX_DISPLAY,MARVEL Tōkon: Fighting Souls,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://www.playstation.com/ja-jp/games/marvel-tokon-fighting-souls/,PlayStation official Japanese product page uses MARVEL Tōkon: Fighting Souls; current MARVEL闘魂 is incomplete.,PROPOSED
I70-037559,dissidia_duellum_final_fantasy,636,ディシディア デュエルム ファイナルファンタジー,,NEEDS_EXTERNAL_CHECK,FIX_DISPLAY,ディシディア デュエルム ファイナル ファンタジー,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://www.jp.square-enix.com/ddff/character/,Square Enix official product page gives the Japanese title ディシディア デュエルム ファイナル ファンタジー; normalize the missing space.,PROPOSED
I70-038345,agarest_senki_(series),365,アガレスト戦記,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://www.compileheart.com/spec/?hard=ps3&title=agarest1,Compile Heart official product lineage uses アガレスト戦記 and related sequels; existing series display is identity-safe.,PROPOSED
I70-038092,juuni_kokuki,429,十二国記,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://www.shinchosha.co.jp/12kokuki/,Shinchosha official series site uses 十二国記 exactly.,PROPOSED
I70-038504,ginga_tetsudou_999,334,銀河鉄道999,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://lineup.toei-anim.co.jp/ja/tv/999/,Toei Animation official work page uses 銀河鉄道999 exactly.,PROPOSED
I70-038543,saint_seiya_omega,330,聖闘士星矢Ω,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://lineup.toei-anim.co.jp/ja/tv/seiya_omega/story/,Toei Animation official work page uses 聖闘士星矢Ω exactly.,PROPOSED
I70-037584,top_wo_nerae!,625,トップをねらえ！,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://www.bandai.co.jp/candy/characters/character453/index.html,Bandai official character/property page uses トップをねらえ！; current display is exact.,PROPOSED
I70-037900,fear_&_hunger_1,491,Fear & Hunger,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://store.steampowered.com/app/1002300/Fear__Hunger/,Official distribution identifies developer Miro Haverinen and title Fear & Hunger; original-language display is identity-safe.,PROPOSED
I70-037892,da_capo_i,494,D.C. ～ダ・カーポ～,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://circus-co.jp/product/dc/,CIRCUS official product site uses D.C. ～ダ・カーポ～; current display is exact.,PROPOSED
I70-038159,tamagotchi_(classic),414,たまごっち,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://www.bandai.co.jp/character/tamagotchi.php,Bandai official character page uses たまごっち; existing classic-tag display is identity-safe.,PROPOSED
I70-038026,phoenix_wright:_ace_attorney_-_spirit_of_justice,451,逆転裁判6,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://www.capcom.co.jp/support/faq/platform_nintendo3ds_gyakutensaiban_6_0135558.html,Capcom official support uses 逆転裁判6 for the Japanese product; existing display is exact.,PROPOSED
I70-038316,ace_attorney_investigations_2:_prosecutor's_gambit,373,逆転検事2,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://www.capcom.co.jp/support/faq/platform_mobile_android_gyakutenkenji_2_0140087.html,Capcom official support uses 逆転検事2 for the Japanese product; existing display is exact.,PROPOSED
I70-038288,rain_world,379,雨世界,,NEEDS_EXTERNAL_CHECK,FIX_DISPLAY,Rain World,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://www.akuparagames.com/game/rain-world/,Publisher official product page uses Rain World; replace the unsupported literal Japanese translation 雨世界 with the official identity.,PROPOSED
I70-038404,plants_vs._zombies_2,355,植物大战僵尸2,,NEEDS_EXTERNAL_CHECK,FIX_DISPLAY,Plants vs. Zombies 2,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://www.ea.com/ja/games/plants-vs-zombies/plants-vs-zombies-2,EA official Japanese product surface uses Plants vs. Zombies 2; replace the Chinese localized title.,PROPOSED
I70-038517,no.6,333,未来都市no.6,,NEEDS_EXTERNAL_CHECK,FIX_DISPLAY,NO.6,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://www.kodansha.co.jp/book/products/0000204242,Kodansha official book page identifies the series as NO.6 / ＮＯ．６〔ナンバーシックス〕; current 未来都市no.6 adds unsupported title text.,PROPOSED
I70-038278,predator_(series),381,プレデター,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://www.20thcenturystudios.jp/series/predator-list,20th Century Studios official series page explicitly labels the franchise プレデター; existing display is exact.,PROPOSED
I70-038317,blade_runner_(series),373,ブレードランナー,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://www.warnerbros.co.jp/home_entertainment/5xw5dns0b/,Warner Bros. Japan official home-entertainment surface uses ブレードランナー; existing series display is identity-safe.,PROPOSED
I70-038544,battle_angel_alita,329,銃夢,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://www.kodansha.co.jp/titles/1000005514,Kodansha official title page uses 銃夢; existing Japanese display is exact.,PROPOSED
I70-038298,natsume_yuujinchou,377,夏目友人帳,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://www.hakusensha.co.jp/novels/series/natsume/,Hakusensha official series page uses 夏目友人帳; existing display is exact.,PROPOSED
I70-038329,kaibutsu_oujo,370,怪物王女,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://www.kodansha.co.jp/titles/1000002516,Kodansha official title page uses 怪物王女; existing display is exact.,PROPOSED
I70-038534,beast_wars,330,ビーストウォーズ,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://www.takaratomy.co.jp/products/tfbw20th/,Takara Tomy official anniversary page uses ビーストウォーズ; existing display is exact.,PROPOSED
I70-038555,seitokai_yakuindomo,328,生徒会役員共,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://www.kodansha.co.jp/comic/products/0000016820,Kodansha official comic page uses 生徒会役員共; existing display is exact.,PROPOSED
I70-038034,roshin_yuukai_(vocaloid),448,炉心融解,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://www.youtube.com/watch?v=dSw8CucthGc,Composer iroha(sasaki) Official Artist Channel upload explicitly uses 炉心融解; existing display is exact.,PROPOSED
I70-038364,kamihime_project,362,神姫PROJECT,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://kamihime.net/,Official game site uses 神姫PROJECT; existing display is exact.,PROPOSED
I70-037757,romeo_to_cinderella_(vocaloid),548,ロミオとシンデレラ,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://www.youtube.com/watch?v=9HrOqmiEsN8,doriko Official Artist Channel official MV uses ロミオとシンデレラ; existing display is exact.,PROPOSED
I70-038036,rolling_girl_(vocaloid),447,ローリンガール,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://www.youtube.com/watch?v=vnw8zURAxkU,wowaka Official Artist Channel official video uses ローリンガール; existing display is exact.,PROPOSED
I70-037532,aku_no_musume_(vocaloid),650,悪ノ娘,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://www.youtube.com/watch?v=sV7ODBvxw38,mothy Official Artist Channel release uses 悪ノ娘; existing display is exact.,PROPOSED
I70-038403,mahou_shoujo_ikusei_keikaku_restart,355,魔法少女育成計画restart,,NEEDS_EXTERNAL_CHECK,FIX_DISPLAY,魔法少女育成計画 restart,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://store.tkj.jp/shopdetail/000000007026/,Takarajimasha official product page uses 魔法少女育成計画 restart; normalize the title spacing while preserving the restart work identity.,PROPOSED
I70-038197,sengoku_otome,401,戦国乙女,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://mall.heiwa.jp/lists/tag/series/1,HEIWA official goods store explicitly groups the property as 戦国乙女; existing display is exact.,PROPOSED
I70-038485,shigoto_neko,338,仕事猫,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://www.kumamine.jp/1672/,Creator-owned くまみね工房 character page uses 仕事猫; existing display is exact.,PROPOSED
I70-038470,how_to_train_your_dragon_(series),340,ヒックとドラゴン,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://gaga.ne.jp/hicdragon/introduction/,Official Japanese film site explicitly calls the DreamWorks property the 『ヒックとドラゴン』シリーズ; existing series display is exact.,PROPOSED
I70-037662,mouthwashing,591,Mouthwashing,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://store.steampowered.com/app/2475490/Mouthwashing/?cc=jp&l=japanese,Official distribution identifies developer Wrong Organ and title Mouthwashing; Japanese storefront retains the original title exactly.,PROPOSED
I70-037561,to_be_hero_x,636,TO BE HERO X,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://tbhx.net/,Official Japanese anime site uses TO BE HERO X exactly.,PROPOSED
I70-038359,osu!,363,OSU！,,NEEDS_EXTERNAL_CHECK,FIX_DISPLAY,osu!,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://osu.ppy.sh/,Official game site consistently stylizes the title as lowercase osu!; normalize current OSU！ display.,PROPOSED
I70-037786,listen!!,535,Listen!!,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://www.tbs.co.jp/anime/k-on/k-on_tv/disc/cd_2.html,TBS official K-ON!! disc page identifies the ending single as Listen!! exactly.,PROPOSED
I70-038055,ginga_eiyuu_densetsu,440,logh【腐】,,NEEDS_EXTERNAL_CHECK,FIX_DISPLAY,銀河英雄伝説,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://gineiden-anime.com/introduction.html,Official anime site explicitly identifies the source work as 銀河英雄伝説; current logh【腐】 is unrelated fan-label noise.,PROPOSED
I70-038240,houchi_shoujo,392,放置少女2周年記念イラコン,,NEEDS_EXTERNAL_CHECK,FIX_BOTH,放置少女 〜百花繚乱の萌姫たち〜,放置少女,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH079,HIGH,https://payment.c4connect.co.jp/c4terms.html,C4 Connect official terms identify the game as 放置少女 〜百花繚乱の萌姫たち; current display is a specific anniversary illustration-contest label; so restore official title and short search alias.,PROPOSED
