row_id,canonical_tag,post_count,display_ja,translation_note,related_copyright_top1,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-017283,magical_mirai_kaito,137,magical mirai kaito,machine-like or identity-mismatched wording,magical_mirai_(vocaloid),KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-017470,gamma_1,135,gamma 1,non-Japanese/simplified-Chinese evidence,dragon_ball,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-017472,gundam_gp-02_physalis,135,gundam gp-02 physalis,non-Japanese/simplified-Chinese evidence,gundam,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-017717,magical_mirai_luka,133,magical mirai luka,machine-like or identity-mismatched wording,magical_mirai_(vocaloid),KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-017923,jacques_de_molay_(foreigner)_(third_ascension)_(fate),131,jacques de molay (foreigner) (third ascension) (fate),non-Japanese/simplified-Chinese evidence,fate/grand_order,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-018138,katheryne_(genshin_impact),129,katheryne (genshin impact),machine-like or identity-mismatched wording,genshin_impact,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-018267,magical_mirai_meiko,128,magical mirai meiko,machine-like or identity-mismatched wording,magical_mirai_(vocaloid),KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-018302,ump9_(shiba_investigator)_(girls'_frontline),128,ump9 (shiba investigator) (girls' frontline),non-Japanese/simplified-Chinese evidence,girls'_frontline,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-018518,p90_(the_girl_from_b.e.l)_(girls'_frontline),126,p90 (the girl from b.e.l) (girls' frontline),machine-like or identity-mismatched wording,girls'_frontline,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-018984,caterpillar_(alice_in_wonderland),121,caterpillar (alice in wonderland),non-Japanese/simplified-Chinese evidence,alice's_adventures_in_wonderland,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-019028,misaka_imouto_10032,121,misaka imouto 10032,non-Japanese/simplified-Chinese evidence,toaru_majutsu_no_index,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-019040,ots-14_(ruler_of_the_banquet)_(girls'_frontline),121,ots-14 (ruler of the banquet) (girls' frontline),non-Japanese/simplified-Chinese evidence,girls'_frontline,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-019069,spas-12_(midsummer_fruit)_(girls'_frontline),121,spas-12 (midsummer fruit) (girls' frontline),machine-like or identity-mismatched wording,girls'_frontline,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-019530,secretary-san_(zannen_onna-kanbu_black_general-san),117,secretary-san (zannen onna-kanbu black general-san),machine-like or identity-mismatched wording,zannen_onna-kanbu_black_general-san,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-019542,spore_(ragnarok_online),117,spore (ragnarok online),machine-like or identity-mismatched wording,ragnarok_online,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-019592,hk416_(midnight_evangelion)_(girls'_frontline),116,hk416 (midnight evangelion) (girls' frontline),machine-like or identity-mismatched wording,girls'_frontline,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-019609,koyomi_(shironeko_project),116,koyomi (shironeko project),non-Japanese/simplified-Chinese evidence,shironeko_project,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-019700,elder_cousin_(igarashi_kyouhei),115,elder cousin (igarashi kyouhei),non-Japanese/simplified-Chinese evidence,itoko_no_onee-chan_ni_amaechau?,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-019716,gundam_gp-03_stamen,115,gundam gp-03 stamen,non-Japanese/simplified-Chinese evidence,gundam,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-019776,shitaisan,115,shitaisan,non-Japanese/simplified-Chinese evidence,yume_nikki,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-019782,south_korea_(kokkimusume),115,south korea (kokkimusume),non-Japanese/simplified-Chinese evidence,,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-020073,alexandrite_(houseki_no_kuni),112,alexandrite (houseki no kuni),non-Japanese/simplified-Chinese evidence,houseki_no_kuni,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-020150,mountain_of_smiling_bodies,112,mountain of smiling bodies,non-Japanese/simplified-Chinese evidence,project_moon,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-020416,jeht_(genshin_impact),110,jeht (genshin impact),machine-like or identity-mismatched wording,genshin_impact,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-020489,type_97_(peony)_(girls'_frontline),110,type 97 (peony) (girls' frontline),machine-like or identity-mismatched wording,girls'_frontline,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-020876,kunoichi_(sengoku_musou),107,kunoichi (sengoku musou),non-Japanese/simplified-Chinese evidence,sengoku_musou,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-020937,ump45_(diamond_flower)_(girls'_frontline),107,ump45 (diamond flower) (girls' frontline),machine-like or identity-mismatched wording,girls'_frontline,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-020980,g41_(beach_punk_2064)_(girls'_frontline),106,g41 (beach punk 2064) (girls' frontline),machine-like or identity-mismatched wording,girls'_frontline,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-020997,illustrious_(never-ending_tea_party)_(azur_lane),106,illustrious (never-ending tea party) (azur lane),non-Japanese/simplified-Chinese evidence,azur_lane,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-021006,kaiboukan_no._22_(kancolle),106,kaiboukan no. 22 (kancolle),non-Japanese/simplified-Chinese evidence,kantai_collection,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-021229,tokarev_(griffin's_dancer)_(girls'_frontline),105,tokarev (griffin's dancer) (girls' frontline),machine-like or identity-mismatched wording,girls'_frontline,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-021268,chieru_(school_festival)_(princess_connect!),104,chieru (school festival) (princess connect!),non-Japanese/simplified-Chinese evidence,princess_connect!,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-021583,commander_(girls'_frontline)_(xiujia_yihuizi),102,commander (girls' frontline) (xiujia yihuizi),machine-like or identity-mismatched wording,girls'_frontline,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-021590,dsr-50_(red_peony)_(girls'_frontline),102,dsr-50 (red peony) (girls' frontline),machine-like or identity-mismatched wording,girls'_frontline,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-021909,awp_(girls'_frontline)_(nekoya_(liu)),100,awp (girls' frontline) (nekoya (liu)),machine-like or identity-mismatched wording,original,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-022057,yuni_(school_festival)_(princess_connect!),100,yuni (school festival) (princess connect!),non-Japanese/simplified-Chinese evidence,princess_connect!,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-022150,nights_(character),99,nights (character),machine-like or identity-mismatched wording,nights_into_dreams,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-022188,wallaby_(girls_und_panzer),99,wallaby (girls und panzer),non-Japanese/simplified-Chinese evidence,girls_und_panzer,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-022214,china_(kokkimusume),98,china (kokkimusume),non-Japanese/simplified-Chinese evidence,,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-022277,namori_(character),98,namori (character),machine-like or identity-mismatched wording,yuruyuri,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-022493,wildhunt_art_academy_student_(smg)_(blue_archive),97,wildhunt art academy student (smg) (blue archive),non-Japanese/simplified-Chinese evidence,blue_archive,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-022569,kanikama_(character),96,kanikama (character),machine-like or identity-mismatched wording,original,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-022775,pam-pam_(human),95,pam-pam (human),non-Japanese/simplified-Chinese evidence,delicious_party_precure,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-023028,andrea_doria_(warship_girls_r),93,andrea doria (warship girls r),non-Japanese/simplified-Chinese evidence,warship_girls_r,KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
I70-023041,buster_machine_7,93,buster machine 7,non-Japanese/simplified-Chinese evidence,top_wo_nerae!_(series),KEEP,,,KEEP_LATIN_FALLBACK_REJECT_UNRELIABLE_JA_CANDIDATE,HIGH,translation_note + frozen source evidence,中国語・機械訳・identity mismatch と判定済みの候補を表示へ昇格せず、現在のLatin/canonical fallbackを維持。,PROPOSED
