row_id,canonical_tag,category_name,post_count,display_ja,search_ja,audit_verdict,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-000095,agnes_tachyon_(umamusume),Character,13998,アグネスタキオン（ウマ娘）,アグネスタキオン（ウマ娘） | アグネスタキオン | アグネスタキオン(ウマ娘),FIX_SEARCH,アグネスタキオン（ウマ娘） | アグネスタキオン,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000098,furina_(genshin_impact),Character,13879,フリーナ（原神）,フリーナ（原神） | フリーナ | フリーナ(原神),FIX_SEARCH,フリーナ（原神） | フリーナ,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000101,inazuma_(kancolle),Character,13551,電（艦これ）,電（艦これ） | 電(艦これ) | 電(艦隊これくしょん),FIX_SEARCH,電（艦これ） | 電(艦隊これくしょん),DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000104,elysia_(honkai_impact),Character,13337,エリシア（崩壊3rd）,エリシア（崩壊3rd） | エリシア | エリシア(崩壊3rd),FIX_SEARCH,エリシア（崩壊3rd） | エリシア,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000105,nahida_(genshin_impact),Character,13266,ナヒーダ（原神）,ナヒーダ（原神） | ナヒーダ | ナヒーダ(原神),FIX_SEARCH,ナヒーダ（原神） | ナヒーダ,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000109,manhattan_cafe_(umamusume),Character,13116,マンハッタンカフェ（ウマ娘）,マンハッタンカフェ（ウマ娘） | マンハッタンカフェ | マンハッタンカフェ(ウマ娘),FIX_SEARCH,マンハッタンカフェ（ウマ娘） | マンハッタンカフェ,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000111,akagi_(kancolle),Character,13001,赤城（艦これ）,赤城（艦これ） | 赤城(艦これ) | 赤城(艦隊これくしょん) | 赤城,FIX_SEARCH,赤城（艦これ） | 赤城(艦隊これくしょん) | 赤城,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000113,fubuki_(kancolle),Character,12922,吹雪（艦これ）,吹雪（艦これ） | 吹雪(艦これ) | 吹雪(艦隊これくしょん) | 吹雪,FIX_SEARCH,吹雪（艦これ） | 吹雪(艦隊これくしょん) | 吹雪,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000114,doctor_(arknights),Character,12902,ドクター（アークナイツ）,ドクター（アークナイツ） | ドクター | ドクター(アークナイツ),FIX_SEARCH,ドクター（アークナイツ） | ドクター,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000121,yuudachi_(kancolle),Character,12159,夕立（艦これ）,夕立（艦これ） | 夕立(艦これ) | 夕立(艦隊これくしょん) | 夕立,FIX_SEARCH,夕立（艦これ） | 夕立(艦隊これくしょん) | 夕立,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000122,amiya_(arknights),Character,12065,アーミヤ（アークナイツ）,アーミヤ（アークナイツ） | アーミヤ | アーミヤ(アークナイツ),FIX_SEARCH,アーミヤ（アークナイツ） | アーミヤ,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000124,tenryuu_(kancolle),Character,11999,天龍（艦これ）,天龍（艦これ） | 天龍(艦これ) | 天龍(艦隊これくしょん) | 天龍型の白が眩しい方 | 天龍,FIX_SEARCH,天龍（艦これ） | 天龍(艦隊これくしょん) | 天龍型の白が眩しい方 | 天龍,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000130,producer_(idolmaster),Character,11507,プロデューサー（アイドルマスター）,プロデューサー（アイドルマスター） | プロデューサー(アイドルマスター) | プロデューサー,FIX_SEARCH,プロデューサー（アイドルマスター） | プロデューサー,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000134,ikazuchi_(kancolle),Character,11435,雷（艦これ）,雷（艦これ） | 雷(艦これ) | 雷(艦隊これくしょん),FIX_SEARCH,雷（艦これ） | 雷(艦隊これくしょん),DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000140,manjuu_(azur_lane),Character,11189,饅頭（アズールレーン）,饅頭（アズールレーン） | 饅頭(アズールレーン) | 饅頭,FIX_SEARCH,饅頭（アズールレーン） | 饅頭,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000144,nami_(one_piece),Character,10977,ナミ（ONEPIECE）,ナミ（ONEPIECE） | ナミ | ナミ(ONEPIECE),FIX_SEARCH,ナミ（ONEPIECE） | ナミ,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000148,hamakaze_(kancolle),Character,10885,浜風（艦これ）,浜風（艦これ） | 浜風(艦これ) | 浜風(艦隊これくしょん) | 浜風,FIX_SEARCH,浜風（艦これ） | 浜風(艦隊これくしょん) | 浜風,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000151,zuikaku_(kancolle),Character,10757,瑞鶴（艦これ）,瑞鶴（艦これ） | 瑞鶴(艦これ) | 瑞鶴(艦隊これくしょん) | 瑞鶴,FIX_SEARCH,瑞鶴（艦これ） | 瑞鶴(艦隊これくしょん) | 瑞鶴,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000152,akatsuki_(kancolle),Character,10681,暁（艦これ）,暁（艦これ） | 暁(艦これ) | 暁(艦隊これくしょん),FIX_SEARCH,暁（艦これ） | 暁(艦隊これくしょん),DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000156,gold_ship_(umamusume),Character,10569,ゴールドシップ（ウマ娘）,ゴールドシップ（ウマ娘） | ゴールドシップ | ゴールドシップ(ウマ娘),FIX_SEARCH,ゴールドシップ（ウマ娘） | ゴールドシップ,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000162,haruna_(kancolle),Character,10442,榛名（艦これ）,榛名（艦これ） | 榛名(艦これ) | 榛名(艦隊これくしょん) | 榛名,FIX_SEARCH,榛名（艦これ） | 榛名(艦隊これくしょん) | 榛名,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000170,rem_(re:zero),Character,10215,レム（リゼロ）,レム（リゼロ） | レム | レム(リゼロ),FIX_SEARCH,レム（リゼロ） | レム,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000173,reze_(chainsaw_man),Character,10063,レゼ（チェンソーマン）,レゼ（チェンソーマン） | レゼ | レゼ(チェンソーマン),FIX_SEARCH,レゼ（チェンソーマン） | レゼ,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000176,kashima_(kancolle),Character,10015,鹿島（艦これ）,鹿島（艦これ） | 鹿島(艦これ) | 鹿島(艦隊これくしょん) | 鹿島,FIX_SEARCH,鹿島（艦これ） | 鹿島(艦隊これくしょん) | 鹿島,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000180,rice_shower_(umamusume),Character,9903,ライスシャワー（ウマ娘）,ライスシャワー（ウマ娘） | ライスシャワー | ライスシャワー(ウマ娘),FIX_SEARCH,ライスシャワー（ウマ娘） | ライスシャワー,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000181,mona_(genshin_impact),Character,9894,モナ（原神）,モナ（原神） | アストローギスト・モナ・メギストス | モナ | モナ(原神),FIX_SEARCH,モナ（原神） | アストローギスト・モナ・メギストス | モナ,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000182,nagato_(kancolle),Character,9821,長門（艦これ）,長門（艦これ） | 長門(艦これ) | 長門(艦隊これくしょん) | 長門,FIX_SEARCH,長門（艦これ） | 長門(艦隊これくしょん) | 長門,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000185,fern_(sousou_no_frieren),Character,9681,フェルン（葬送のフリーレン）,フェルン（葬送のフリーレン） | フェルン | フェルン(葬送のフリーレン),FIX_SEARCH,フェルン（葬送のフリーレン） | フェルン,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000187,belle_(zenless_zone_zero),Character,9644,リン（ゼンゼロ）,リン（ゼンゼロ） | リン(ゼンゼロ) | リン,FIX_SEARCH,リン（ゼンゼロ） | リン,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000190,pyra_(xenoblade),Character,9535,ホムラ（ゼノブレイド2）,ホムラ（ゼノブレイド2） | ホムラ | ホムラ(ゼノブレイド2),FIX_SEARCH,ホムラ（ゼノブレイド2） | ホムラ,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000191,scathach_(fate),Character,9495,スカサハ（Fate）,スカサハ（Fate） | スカサハ | スカサハ(Fate),FIX_SEARCH,スカサハ（Fate） | スカサハ,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000192,dawn_(pokemon),Character,9456,ヒカリ（ポケモン）,ヒカリ（ポケモン） | チビヒカリ | ヒカリ | ヒカリ(アニポケ) | ヒカリ(ダイヤモンド&パール) | ヒカリ(トレーナー) | ヒカリ(プラチナ) | ヒカリ(ポケモン),FIX_SEARCH,ヒカリ（ポケモン） | チビヒカリ | ヒカリ | ヒカリ(アニポケ) | ヒカリ(ダイヤモンド&パール) | ヒカリ(トレーナー) | ヒカリ(プラチナ),DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000195,suzuya_(kancolle),Character,9417,鈴谷（艦これ）,鈴谷（艦これ） | 鈴谷(艦これ) | 鈴谷(艦隊これくしょん) | 鈴谷,FIX_SEARCH,鈴谷（艦これ） | 鈴谷(艦隊これくしょん) | 鈴谷,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000199,lillie_(pokemon),Character,9288,リーリエ（ポケモン）,リーリエ（ポケモン） | がんばリーリエ | リーリエ | リーリエ(アニポケ) | リーリエ(トレーナー) | リーリエ(ポケモン),FIX_SEARCH,リーリエ（ポケモン） | がんばリーリエ | リーリエ | リーリエ(アニポケ) | リーリエ(トレーナー),DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000201,columbina_(genshin_impact),Character,9276,コロンビーナ（原神）,コロンビーナ（原神） | コロンビーナ(原神) | コロンビーナ,FIX_SEARCH,コロンビーナ（原神） | コロンビーナ,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000204,wise_(zenless_zone_zero),Character,9180,アキラ（ゼンゼロ）,アキラ（ゼンゼロ） | アキラ(ゼンゼロ) | アキラ,FIX_SEARCH,アキラ（ゼンゼロ） | アキラ,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000211,ryuujou_(kancolle),Character,8942,龍驤（艦これ）,龍驤（艦これ） | 龍驤(艦これ) | 龍驤(艦隊これくしょん) | 龍驤,FIX_SEARCH,龍驤（艦これ） | 龍驤(艦隊これくしょん) | 龍驤,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000217,daiwa_scarlet_(umamusume),Character,8821,ダイワスカーレット（ウマ娘）,ダイワスカーレット（ウマ娘） | ダイワスカーレット | ダイワスカーレット(ウマ娘),FIX_SEARCH,ダイワスカーレット（ウマ娘） | ダイワスカーレット,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000221,jeanne_d'arc_(fate),Character,8752,ジャンヌ・ダルク（Fate）,ジャンヌ・ダルク（Fate） | ジャンヌ | ジャンヌ・ダルク | ジャンヌ・ダルク(Fate),FIX_SEARCH,ジャンヌ・ダルク（Fate） | ジャンヌ | ジャンヌ・ダルク,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000226,texas_(arknights),Character,8573,テキサス（アークナイツ）,テキサス（アークナイツ） | テキサス | テキサス(アークナイツ),FIX_SEARCH,テキサス（アークナイツ） | テキサス,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000227,mejiro_mcqueen_(umamusume),Character,8572,メジロマックイーン（ウマ娘）,メジロマックイーン（ウマ娘） | メジロマックイーン | メジロマックイーン(ウマ娘),FIX_SEARCH,メジロマックイーン（ウマ娘） | メジロマックイーン,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000231,mythra_(xenoblade),Character,8424,ヒカリ（ゼノブレイド2）,ヒカリ（ゼノブレイド2） | ヒカリ | ヒカリ(ゼノブレイド2),FIX_SEARCH,ヒカリ（ゼノブレイド2） | ヒカリ,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000232,venti_(genshin_impact),Character,8420,ウェンティ（原神）,ウェンティ（原神） | ウェンティ | ウェンティ(原神),FIX_SEARCH,ウェンティ（原神） | ウェンティ,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000240,gilgamesh_(fate),Character,8350,ギルガメッシュ（Fate）,ギルガメッシュ（Fate） | ギルガメッシュ | ギルガメッシュ(Fate) | 女帝ギルガメッシュ,FIX_SEARCH,ギルガメッシュ（Fate） | ギルガメッシュ | 女帝ギルガメッシュ,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000243,houshou_(kancolle),Character,8315,鳳翔（艦これ）,鳳翔（艦これ） | 鳳翔(艦これ) | 鳳翔(艦隊これくしょん) | 鳳翔,FIX_SEARCH,鳳翔（艦これ） | 鳳翔(艦隊これくしょん) | 鳳翔,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000244,paimon_(genshin_impact),Character,8309,パイモン（原神）,パイモン（原神） | パイモン | パイモン(原神),FIX_SEARCH,パイモン（原神） | パイモン,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000248,marnie_(pokemon),Character,8137,マリィ（ポケモン）,マリィ（ポケモン） | マリィ | マリィ(ジムリーダー) | マリィ(トレーナー) | マリィ(ポケモン),FIX_SEARCH,マリィ（ポケモン） | マリィ | マリィ(ジムリーダー) | マリィ(トレーナー),DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000253,denji_(chainsaw_man),Character,8027,デンジ（チェンソーマン）,デンジ（チェンソーマン） | デンジ | デンジ(チェンソーマン),FIX_SEARCH,デンジ（チェンソーマン） | デンジ,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000261,arona_(blue_archive),Character,7866,アロナ（ブルーアーカイブ）,アロナ（ブルーアーカイブ） | アロナ | アロナ(ブルーアーカイブ),FIX_SEARCH,アロナ（ブルーアーカイブ） | アロナ,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000269,murakumo_(kancolle),Character,7767,叢雲（艦これ）,叢雲（艦これ） | 叢雲(艦これ) | 叢雲(艦隊これくしょん) | 叢雲,FIX_SEARCH,叢雲（艦これ） | 叢雲(艦隊これくしょん) | 叢雲,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000274,amatsukaze_(kancolle),Character,7734,天津風（艦これ）,天津風（艦これ） | 天津風(艦これ) | 天津風(艦隊これくしょん) | 天津風,FIX_SEARCH,天津風（艦これ） | 天津風(艦隊これくしょん) | 天津風,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000281,astolfo_(fate),Character,7648,アストルフォ（Fate）,アストルフォ（Fate） | アストルフォ | アストルフォ(Fate),FIX_SEARCH,アストルフォ（Fate） | アストルフォ,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000289,yamato_(kancolle),Character,7571,大和（艦これ）,大和（艦これ） | 大和(艦これ) | 大和(艦隊これくしょん) | 大和,FIX_SEARCH,大和（艦これ） | 大和(艦隊これくしょん) | 大和,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000298,yukikaze_(kancolle),Character,7447,雪風（艦これ）,雪風（艦これ） | 雪風(艦これ) | 雪風(艦隊これくしょん) | 雪風,FIX_SEARCH,雪風（艦これ） | 雪風(艦隊これくしょん) | 雪風,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000299,ushio_(kancolle),Character,7438,潮（艦これ）,潮（艦これ） | 潮(艦これ) | 潮(艦隊これくしょん),FIX_SEARCH,潮（艦これ） | 潮(艦隊これくしょん),DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000302,baobhan_sith_(fate),Character,7401,バーヴァン・シー（Fate）,バーヴァン・シー（Fate） | バーヴァン・シー(Fate) | バーヴァン・シー,FIX_SEARCH,バーヴァン・シー（Fate） | バーヴァン・シー,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000317,klee_(genshin_impact),Character,7206,クレー（原神）,クレー（原神） | クレー | クレー(原神),FIX_SEARCH,クレー（原神） | クレー,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000322,atago_(kancolle),Character,7176,愛宕（艦これ）,愛宕（艦これ） | 愛宕(艦これ) | 愛宕(艦隊これくしょん) | 愛宕,FIX_SEARCH,愛宕（艦これ） | 愛宕(艦隊これくしょん) | 愛宕,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
