canonical_tag,post_count,aliases,v1_status,prescreen_status,stage_a_family,stage_b_fit,nearest_special_identity,reason,confidence,review_priority,content_filter_used,audit_bucket,p0_spotcheck
ass_visible_through_thighs,117628,gluteal_fold|butt_fangs|ass_fangs,LIKELY_CANDIDATE,LIKELY_CANDIDATE,SPECIAL_EXPOSURE_CLOTHING_STATE,STRONG_SPECIAL_FIT,ass (SpecialID 2359; score=0.493),"specific exposure, clothing-barrier, or garment-state concept improves deep Special discovery",MEDIUM,P1,NO,,
scar_on_face,107259,facial_scar,LIKELY_CANDIDATE,LIKELY_GENERAL_ONLY,GENERAL_OBJECT_OR_ACTION_PLACEMENT,GENERAL_ONLY,cum on face (SpecialID 402; score=0.686),ordinary mark/adornment at a non-intimate site; General discovery is sufficient,HIGH,P3,NO,,
eyes_visible_through_hair,104042,eye_through_hair,LIKELY_CANDIDATE,LIKELY_CANDIDATE,SPECIAL_EXPOSURE_CLOTHING_STATE,STRONG_SPECIAL_FIT,see through (SpecialID 2134; score=0.465),"specific exposure, clothing-barrier, or garment-state concept improves deep Special discovery",MEDIUM,P1,NO,,
eyewear_on_head,99203,sunglasses_on_head|glasses_on_head,LIKELY_CANDIDATE,LIKELY_GENERAL_ONLY,GENERAL_OBJECT_OR_ACTION_PLACEMENT,GENERAL_ONLY,penis on head (SpecialID 815; score=0.623),ordinary object or accessory placed at a body location; placement alone is General discovery,HIGH,P3,NO,,
thigh_gap,97349,,LIKELY_CANDIDATE,LIKELY_GENERAL_ONLY,GENERAL_OTHER,GENERAL_ONLY,thigh job (SpecialID 1641; score=0.542),whole-tag meaning does not show a strong Special deep-discovery need,MEDIUM,P3,NO,,
hand_on_own_chest,89241,hand_on_chest|hand_to_own_chest|hand_to_chest,LIKELY_CANDIDATE,LIKELY_GENERAL_ONLY,GENERAL_OBJECT_OR_ACTION_PLACEMENT,GENERAL_ONLY,hand on own penis (SpecialID 797; score=0.753),ordinary hand/finger and non-intimate body interaction; no deep Special relation is established,HIGH,P3,NO,,
lifting_own_clothes,88148,lifted_by_self,LIKELY_CANDIDATE,LIKELY_GENERAL_ONLY,GENERAL_OTHER,GENERAL_ONLY,living clothes (SpecialID 1870; score=0.580),whole-tag meaning does not show a strong Special deep-discovery need,MEDIUM,P3,NO,,
hair_over_shoulder,78915,,LIKELY_CANDIDATE,LIKELY_GENERAL_ONLY,GENERAL_OTHER,GENERAL_ONLY,off shoulder (SpecialID 2230; score=0.525),whole-tag meaning does not show a strong Special deep-discovery need,MEDIUM,P3,NO,,
mole_under_mouth,77530,,LIKELY_CANDIDATE,LIKELY_GENERAL_ONLY,GENERAL_OBJECT_OR_ACTION_PLACEMENT,GENERAL_ONLY,under boob (SpecialID 2642; score=0.467),ordinary mark/adornment at a non-intimate site; General discovery is sufficient,HIGH,P3,NO,V1_CANDIDATE_AUDIT,
hand_on_own_face,72897,hand_to_own_face|hand_on_face|hand_to_face,LIKELY_CANDIDATE,LIKELY_GENERAL_ONLY,GENERAL_OBJECT_OR_ACTION_PLACEMENT,GENERAL_ONLY,hand on own tentacles (SpecialID 2495; score=0.747),ordinary hand/finger and non-intimate body interaction; no deep Special relation is established,HIGH,P3,NO,,
one_eye_covered,72764,covered_eye,LIKELY_CANDIDATE,LIKELY_CANDIDATE,SPECIAL_EXPOSURE_CLOTHING_STATE,STRONG_SPECIAL_FIT,penis over one eye (SpecialID 823; score=0.504),"specific exposure, clothing-barrier, or garment-state concept improves deep Special discovery",MEDIUM,P1,NO,,
arms_behind_head,72434,hands_behind_head,LIKELY_CANDIDATE,LIKELY_GENERAL_ONLY,GENERAL_OTHER,GENERAL_ONLY,arms bound above head (SpecialID 2473; score=0.630),whole-tag meaning does not show a strong Special deep-discovery need,MEDIUM,P3,NO,,
breast_press,68311,,LIKELY_CANDIDATE,LIKELY_CANDIDATE,SPECIAL_BODY_RELATION_STATE,PLAUSIBLE_SPECIAL_FIT,breast (SpecialID 2632; score=0.750),body-site relation/state is structurally specific and may be hard to discover from General,MEDIUM,P1,NO,,
between_breasts,64738,,LIKELY_CANDIDATE,LIKELY_CANDIDATE,SPECIAL_EXPOSURE_CLOTHING_STATE,STRONG_SPECIAL_FIT,cum between breasts (SpecialID 1290; score=0.880),"specific exposure, clothing-barrier, or garment-state concept improves deep Special discovery",MEDIUM,P1,NO,,
breasts_apart,61893,,LIKELY_CANDIDATE,LIKELY_CANDIDATE,SPECIAL_EXPOSURE_CLOTHING_STATE,STRONG_SPECIAL_FIT,breasts (SpecialID 2170; score=0.765),"specific exposure, clothing-barrier, or garment-state concept improves deep Special discovery",MEDIUM,P1,NO,,
wet_clothes,61603,wet_clothing|wetclothes,LIKELY_CANDIDATE,LIKELY_GENERAL_ONLY,GENERAL_ORDINARY_CLOTHING_STATE,GENERAL_ONLY,open clothes (SpecialID 2049; score=0.594),"ordinary garment state/layering lacks an intimate, sexual, or through-clothes discovery concept",HIGH,P3,NO,,
micro_bikini,59624,microbikini,LIKELY_CANDIDATE,LIKELY_CANDIDATE,SPECIAL_EXPOSURE_CLOTHING_STATE,STRONG_SPECIAL_FIT,crotchless bikini (SpecialID 2089; score=0.552),"specific exposure, clothing-barrier, or garment-state concept improves deep Special discovery",MEDIUM,P1,NO,,
blood_on_face,59531,bloody_face,LIKELY_CANDIDATE,LIKELY_CANDIDATE,SPECIAL_R18G_BODY_STATE,STRONG_SPECIAL_FIT,blood (SpecialID 2164; score=0.667),concrete blood/body-site state fits the content-neutral R18G body-state discovery family,HIGH,P0,NO,,YES
mole_on_breast,58430,,LIKELY_CANDIDATE,LIKELY_CANDIDATE,SPECIAL_INTIMATE_ADORNMENT_STATE,PLAUSIBLE_SPECIAL_FIT,breast (SpecialID 2632; score=0.687),site-specific intimate mark/adornment is more specialized than ordinary General appearance,MEDIUM,P1,NO,,
crying_with_eyes_open,55140,,LIKELY_CANDIDATE,LIKELY_GENERAL_ONLY,GENERAL_OTHER,GENERAL_ONLY,shorts open (SpecialID 2277; score=0.440),whole-tag meaning does not show a strong Special deep-discovery need,MEDIUM,P3,NO,,
arm_behind_back,54397,hand_behind_back,LIKELY_CANDIDATE,LIKELY_GENERAL_ONLY,GENERAL_OTHER,GENERAL_ONLY,bare back (SpecialID 2208; score=0.525),whole-tag meaning does not show a strong Special deep-discovery need,MEDIUM,P3,NO,,
hand_on_another's_head,52768,,LIKELY_CANDIDATE,LIKELY_GENERAL_ONLY,GENERAL_OBJECT_OR_ACTION_PLACEMENT,GENERAL_ONLY,peeing on another (SpecialID 2609; score=0.577),ordinary hand/finger and non-intimate body interaction; no deep Special relation is established,HIGH,P3,NO,,
arm_behind_head,51578,hand_behind_head,LIKELY_CANDIDATE,LIKELY_GENERAL_ONLY,GENERAL_OTHER,GENERAL_ONLY,severed head (SpecialID 1778; score=0.492),whole-tag meaning does not show a strong Special deep-discovery need,MEDIUM,P3,NO,,
hair_behind_ear,51311,,LIKELY_CANDIDATE,LIKELY_GENERAL_ONLY,GENERAL_OTHER,GENERAL_ONLY,hair bondage (SpecialID 2446; score=0.525),whole-tag meaning does not show a strong Special deep-discovery need,MEDIUM,P3,NO,,
goggles_on_head,50961,goggle_on_head,LIKELY_CANDIDATE,LIKELY_GENERAL_ONLY,GENERAL_OBJECT_OR_ACTION_PLACEMENT,GENERAL_ONLY,penis on head (SpecialID 815; score=0.655),ordinary object or accessory placed at a body location; placement alone is General discovery,HIGH,P3,NO,,
bikini_top_only,43620,bikini_top,LIKELY_CANDIDATE,LIKELY_CANDIDATE,SPECIAL_EXPOSURE_CLOTHING_STATE,STRONG_SPECIAL_FIT,untied bikini top (SpecialID 2061; score=0.615),"specific exposure, clothing-barrier, or garment-state concept improves deep Special discovery",MEDIUM,P1,NO,,
hand_on_another's_shoulder,43282,grabbing_another's_shoulder,LIKELY_CANDIDATE,LIKELY_GENERAL_ONLY,GENERAL_OBJECT_OR_ACTION_PLACEMENT,GENERAL_ONLY,penis on shoulder (SpecialID 1011; score=0.572),ordinary hand/finger and non-intimate body interaction; no deep Special relation is established,HIGH,P3,NO,V1_CANDIDATE_AUDIT,
bags_under_eyes,43263,eye_bags|dark_circles|eyebags|eye_circles,LIKELY_CANDIDATE,LIKELY_GENERAL_ONLY,GENERAL_ORDINARY_CLOTHING_STATE,GENERAL_ONLY,rape eyes (SpecialID 1379; score=0.487),"ordinary garment state/layering lacks an intimate, sexual, or through-clothes discovery concept",HIGH,P3,NO,,
knees_together_feet_apart,41804,knees_touching,LIKELY_CANDIDATE,LIKELY_GENERAL_ONLY,GENERAL_OTHER,GENERAL_ONLY,peeing together (SpecialID 1987; score=0.463),whole-tag meaning does not show a strong Special deep-discovery need,MEDIUM,P3,NO,,
holding_unworn_clothes,40907,holding_clothes,LIKELY_CANDIDATE,LIKELY_GENERAL_ONLY,GENERAL_ORDINARY_CLOTHING_STATE,GENERAL_ONLY,holding unworn chastity cage (SpecialID 1225; score=0.637),"ordinary garment state/layering lacks an intimate, sexual, or through-clothes discovery concept",HIGH,P3,NO,,
bandaid_on_face,39540,,LIKELY_CANDIDATE,LIKELY_GENERAL_ONLY,GENERAL_OBJECT_OR_ACTION_PLACEMENT,GENERAL_ONLY,bandaid on nipple (SpecialID 1358; score=0.671),ordinary object or accessory placed at a body location; placement alone is General discovery,HIGH,P3,NO,,
bouncing_breasts,38896,,LIKELY_CANDIDATE,LIKELY_CANDIDATE,SPECIAL_EXPOSURE_CLOTHING_STATE,STRONG_SPECIAL_FIT,breasts (SpecialID 2170; score=0.724),"specific exposure, clothing-barrier, or garment-state concept improves deep Special discovery",MEDIUM,P1,NO,,
breasts_squeezed_together,37542,breast_squeeze|breasts_squeeze,LIKELY_CANDIDATE,LIKELY_CANDIDATE,SPECIAL_BODY_RELATION_STATE,PLAUSIBLE_SPECIAL_FIT,breasts (SpecialID 2170; score=0.614),body-site relation/state is structurally specific and may be hard to discover from General,MEDIUM,P1,NO,,
hand_on_own_cheek,37420,hand_on_cheek|hand_to_cheek,LIKELY_CANDIDATE,LIKELY_GENERAL_ONLY,GENERAL_OBJECT_OR_ACTION_PLACEMENT,GENERAL_ONLY,hand on own penis (SpecialID 797; score=0.727),ordinary hand/finger and non-intimate body interaction; no deep Special relation is established,HIGH,P3,NO,,
huge_ass,36503,thick_ass|big_ass|big_butt,LIKELY_CANDIDATE,LIKELY_GENERAL_ONLY,GENERAL_OTHER,GENERAL_ONLY,ass (SpecialID 2359; score=0.695),whole-tag meaning does not show a strong Special deep-discovery need,MEDIUM,P3,NO,,
hand_between_own_legs,36500,hand_between_own_thighs|hand_between_thighs|arm_between_own_legs|hand_between_legs,LIKELY_CANDIDATE,LIKELY_CANDIDATE,SPECIAL_EXPOSURE_CLOTHING_STATE,STRONG_SPECIAL_FIT,hand on own penis (SpecialID 797; score=0.550),"specific exposure, clothing-barrier, or garment-state concept improves deep Special discovery",MEDIUM,P1,NO,,
blood_on_clothes,35529,bloody_clothes|blood-stained_clothes,LIKELY_CANDIDATE,LIKELY_CANDIDATE,SPECIAL_R18G_BODY_STATE,STRONG_SPECIAL_FIT,cum on clothes (SpecialID 351; score=0.663),concrete blood/body-site state fits the content-neutral R18G body-state discovery family,HIGH,P0,NO,,YES
panties_under_pantyhose,35495,panties_under_pantiehose|panties_behind_pantyhose|panties_below_pantyhose|panties_underneath_pantyhose,LIKELY_CANDIDATE,LIKELY_CANDIDATE,SPECIAL_CLOTHING_BODY_RELATION,PLAUSIBLE_SPECIAL_FIT,vibrator under pantyhose (SpecialID 293; score=0.678),body-part-under-clothing relation is a hidden visual/contact concept that General search may not expose well,MEDIUM,P1,NO,,
arm_under_breasts,34473,,LIKELY_CANDIDATE,LIKELY_CANDIDATE,SPECIAL_EXPOSURE_CLOTHING_STATE,STRONG_SPECIAL_FIT,penis under breasts (SpecialID 1180; score=0.683),"specific exposure, clothing-barrier, or garment-state concept improves deep Special discovery",MEDIUM,P1,NO,,
hand_on_another's_face,31946,,LIKELY_CANDIDATE,LIKELY_GENERAL_ONLY,GENERAL_OBJECT_OR_ACTION_PLACEMENT,GENERAL_ONLY,peeing on another (SpecialID 2609; score=0.577),ordinary hand/finger and non-intimate body interaction; no deep Special relation is established,HIGH,P3,NO,,
hair_over_eyes,31434,hair_covering_eyes,LIKELY_CANDIDATE,LIKELY_CANDIDATE,SPECIAL_EXPOSURE_CLOTHING_STATE,STRONG_SPECIAL_FIT,penis over eyes (SpecialID 772; score=0.675),"specific exposure, clothing-barrier, or garment-state concept improves deep Special discovery",MEDIUM,P1,NO,,
midriff_peek,31330,stomach_peek|belly_peek,LIKELY_CANDIDATE,LIKELY_CANDIDATE,SPECIAL_EXPOSURE_CLOTHING_STATE,STRONG_SPECIAL_FIT,midriff (SpecialID 2228; score=0.782),"specific exposure, clothing-barrier, or garment-state concept improves deep Special discovery",MEDIUM,P1,NO,,
pov_crotch,31126,,LIKELY_CANDIDATE,LIKELY_GENERAL_ONLY,GENERAL_OTHER,GENERAL_ONLY,crotch (SpecialID 2361; score=0.787),whole-tag meaning does not show a strong Special deep-discovery need,MEDIUM,P3,NO,,
covered_mouth,30294,hidden_mouth|mouth_covered,LIKELY_CANDIDATE,LIKELY_GENERAL_ONLY,GENERAL_OTHER,GENERAL_ONLY,covered anus (SpecialID 795; score=0.566),whole-tag meaning does not show a strong Special deep-discovery need,MEDIUM,P3,NO,,
crotch_seam,29610,,LIKELY_CANDIDATE,LIKELY_CANDIDATE,SPECIAL_EXPOSURE_CLOTHING_STATE,STRONG_SPECIAL_FIT,crotch (SpecialID 2361; score=0.768),"specific exposure, clothing-barrier, or garment-state concept improves deep Special discovery",MEDIUM,P1,NO,,
hand_on_own_chin,29360,hand_on_chin|hand_to_chin,LIKELY_CANDIDATE,LIKELY_GENERAL_ONLY,GENERAL_OBJECT_OR_ACTION_PLACEMENT,GENERAL_ONLY,hand on own penis (SpecialID 797; score=0.737),ordinary hand/finger and non-intimate body interaction; no deep Special relation is established,HIGH,P3,NO,,
food_on_face,28775,food_on_cheek,LIKELY_CANDIDATE,LIKELY_GENERAL_ONLY,GENERAL_OBJECT_OR_ACTION_PLACEMENT,GENERAL_ONLY,food on penis (SpecialID 1017; score=0.657),ordinary object or accessory placed at a body location; placement alone is General discovery,HIGH,P3,NO,,
highleg_panties,28671,,LIKELY_CANDIDATE,LIKELY_CANDIDATE,SPECIAL_EXPOSURE_CLOTHING_STATE,STRONG_SPECIAL_FIT,panties (SpecialID 2112; score=0.736),"specific exposure, clothing-barrier, or garment-state concept improves deep Special discovery",MEDIUM,P1,NO,,
bikini_under_clothes,28667,,LIKELY_CANDIDATE,LIKELY_CANDIDATE,SPECIAL_CLOTHING_BODY_RELATION,PLAUSIBLE_SPECIAL_FIT,penis under clothes (SpecialID 1439; score=0.703),body-part-under-clothing relation is a hidden visual/contact concept that General search may not expose well,MEDIUM,P1,NO,,
mask_on_head,28228,,LIKELY_CANDIDATE,LIKELY_GENERAL_ONLY,GENERAL_OBJECT_OR_ACTION_PLACEMENT,GENERAL_ONLY,penis on head (SpecialID 815; score=0.657),ordinary object or accessory placed at a body location; placement alone is General discovery,HIGH,P3,NO,,
hanging_breasts,27904,hanging_boob|hangingboob,LIKELY_CANDIDATE,LIKELY_CANDIDATE,SPECIAL_EXPOSURE_CLOTHING_STATE,STRONG_SPECIAL_FIT,breasts (SpecialID 2170; score=0.736),"specific exposure, clothing-barrier, or garment-state concept improves deep Special discovery",MEDIUM,P1,NO,,
covered_eyes,27323,obscured_eyes|eyes_covered,LIKELY_CANDIDATE,LIKELY_CANDIDATE,SPECIAL_EXPOSURE_CLOTHING_STATE,STRONG_SPECIAL_FIT,covered penis (SpecialID 683; score=0.602),"specific exposure, clothing-barrier, or garment-state concept improves deep Special discovery",MEDIUM,P1,NO,,
panties_around_one_leg,27261,panties_around_leg|/paol,LIKELY_CANDIDATE,LIKELY_CANDIDATE,SPECIAL_EXPOSURE_CLOTHING_STATE,STRONG_SPECIAL_FIT,skirt around one leg (SpecialID 2249; score=0.725),"specific exposure, clothing-barrier, or garment-state concept improves deep Special discovery",MEDIUM,P1,NO,,
highleg_one-piece_swimsuit,26852,,LIKELY_CANDIDATE,LIKELY_CANDIDATE,SPECIAL_EXPOSURE_CLOTHING_STATE,STRONG_SPECIAL_FIT,one-piece swimsuit pull (SpecialID 2231; score=0.713),"specific exposure, clothing-barrier, or garment-state concept improves deep Special discovery",MEDIUM,P1,NO,,
hands_on_own_face,25968,hands_on_face|hands_to_face,LIKELY_CANDIDATE,LIKELY_GENERAL_ONLY,GENERAL_OBJECT_OR_ACTION_PLACEMENT,GENERAL_ONLY,penis on face (SpecialID 691; score=0.613),ordinary hand/finger and non-intimate body interaction; no deep Special relation is established,HIGH,P3,NO,,
holding_animal,25374,holding_bat_(animal),LIKELY_CANDIDATE,LIKELY_GENERAL_ONLY,GENERAL_OTHER,GENERAL_ONLY,holding dildo (SpecialID 1381; score=0.575),whole-tag meaning does not show a strong Special deep-discovery need,MEDIUM,P3,NO,,
hand_on_headwear,25183,hand_on_hat,LIKELY_CANDIDATE,LIKELY_GENERAL_ONLY,GENERAL_OBJECT_OR_ACTION_PLACEMENT,GENERAL_ONLY,cum on headwear (SpecialID 959; score=0.682),ordinary hand/finger and non-intimate body interaction; no deep Special relation is established,HIGH,P3,NO,,
holding_stuffed_toy,25013,holding_teddy_bear|holding_plush|holding_stuffed_animal,LIKELY_CANDIDATE,LIKELY_GENERAL_ONLY,GENERAL_OTHER,GENERAL_ONLY,holding sex toy (SpecialID 750; score=0.704),whole-tag meaning does not show a strong Special deep-discovery need,MEDIUM,P3,NO,,
hand_on_own_head,24262,,LIKELY_CANDIDATE,LIKELY_GENERAL_ONLY,GENERAL_OBJECT_OR_ACTION_PLACEMENT,GENERAL_ONLY,hand on own penis (SpecialID 797; score=0.737),ordinary hand/finger and non-intimate body interaction; no deep Special relation is established,HIGH,P3,NO,,
bandaid_on_leg,23885,,LIKELY_CANDIDATE,LIKELY_GENERAL_ONLY,GENERAL_OBJECT_OR_ACTION_PLACEMENT,GENERAL_ONLY,bandaid on nipple (SpecialID 1358; score=0.711),ordinary object or accessory placed at a body location; placement alone is General discovery,HIGH,P3,NO,,
highleg_bikini,23531,,LIKELY_CANDIDATE,LIKELY_CANDIDATE,SPECIAL_EXPOSURE_CLOTHING_STATE,STRONG_SPECIAL_FIT,crotchless bikini (SpecialID 2089; score=0.532),"specific exposure, clothing-barrier, or garment-state concept improves deep Special discovery",MEDIUM,P1,NO,,
clothes_around_waist,23118,,LIKELY_CANDIDATE,LIKELY_GENERAL_ONLY,GENERAL_OBJECT_OR_ACTION_PLACEMENT,GENERAL_ONLY,clothes removed (SpecialID 2068; score=0.508),ordinary garment placement around a non-intimate body location is General discovery,HIGH,P3,NO,,
long_hair_between_eyes,22656,,LIKELY_CANDIDATE,LIKELY_GENERAL_ONLY,GENERAL_APPEARANCE_SIZE_COLOR,GENERAL_ONLY,between testicles (SpecialID 1108; score=0.446),broad size/color/appearance vocabulary is sufficiently discoverable through General,HIGH,P3,NO,,
animal_ear_piercing,22586,,LIKELY_CANDIDATE,LIKELY_GENERAL_ONLY,GENERAL_OTHER,GENERAL_ONLY,piercing (SpecialID 1833; score=0.683),whole-tag meaning does not show a strong Special deep-discovery need,MEDIUM,P3,NO,V1_CANDIDATE_AUDIT,
grabbing_another's_arm,22237,,LIKELY_CANDIDATE,LIKELY_GENERAL_ONLY,GENERAL_OTHER,GENERAL_ONLY,grabbing another's ass (SpecialID 34; score=0.792),whole-tag meaning does not show a strong Special deep-discovery need,MEDIUM,P3,NO,,
holding_own_dress,21520,,LIKELY_CANDIDATE,LIKELY_GENERAL_ONLY,GENERAL_OTHER,GENERAL_ONLY,holding tentacle (SpecialID 1868; score=0.498),whole-tag meaning does not show a strong Special deep-discovery need,MEDIUM,P3,NO,,
hand_on_own_arm,21414,holding_own_arm|grabbing_own_arm|holding_arm,LIKELY_CANDIDATE,LIKELY_GENERAL_ONLY,GENERAL_OBJECT_OR_ACTION_PLACEMENT,GENERAL_ONLY,hand on own penis (SpecialID 797; score=0.720),ordinary hand/finger and non-intimate body interaction; no deep Special relation is established,HIGH,P3,NO,,
leg_lift,21408,leg_raised|leg_raise|raised_leg,LIKELY_CANDIDATE,LIKELY_CANDIDATE,SPECIAL_EXPOSURE_CLOTHING_STATE,STRONG_SPECIAL_FIT,cape lift (SpecialID 2212; score=0.559),"specific exposure, clothing-barrier, or garment-state concept improves deep Special discovery",MEDIUM,P1,NO,,
skin-covered_horns,21098,,LIKELY_CANDIDATE,LIKELY_GENERAL_ONLY,GENERAL_OTHER,GENERAL_ONLY,covered anus (SpecialID 795; score=0.525),whole-tag meaning does not show a strong Special deep-discovery need,MEDIUM,P3,NO,,
headphones_around_neck,21040,,LIKELY_CANDIDATE,LIKELY_GENERAL_ONLY,GENERAL_OBJECT_OR_ACTION_PLACEMENT,GENERAL_ONLY,tentacle around neck (SpecialID 1879; score=0.655),ordinary object or accessory placed at a body location; placement alone is General discovery,HIGH,P3,NO,,
hands_on_own_chest,20913,hands_on_chest|hands_to_chest,LIKELY_CANDIDATE,LIKELY_GENERAL_ONLY,GENERAL_OBJECT_OR_ACTION_PLACEMENT,GENERAL_ONLY,hands on penis (SpecialID 928; score=0.623),ordinary hand/finger and non-intimate body interaction; no deep Special relation is established,HIGH,P3,NO,,
see-through_shirt,20396,transparent_shirt,LIKELY_CANDIDATE,LIKELY_CANDIDATE,SPECIAL_EXPOSURE_CLOTHING_STATE,STRONG_SPECIAL_FIT,see-through (SpecialID 2135; score=0.837),"specific exposure, clothing-barrier, or garment-state concept improves deep Special discovery",MEDIUM,P1,NO,,
see-through_sleeves,19841,sheer_sleeves|transparent_sleeves,LIKELY_CANDIDATE,LIKELY_GENERAL_ONLY,GENERAL_OTHER,GENERAL_ONLY,see-through (SpecialID 2135; score=0.813),whole-tag meaning does not show a strong Special deep-discovery need,MEDIUM,P3,NO,,
holding_another's_wrist,19515,wrist_grab|grabbing_another's_wrist,LIKELY_CANDIDATE,LIKELY_GENERAL_ONLY,GENERAL_OTHER,GENERAL_ONLY,grabbing another's breast (SpecialID 2029; score=0.560),whole-tag meaning does not show a strong Special deep-discovery need,MEDIUM,P3,NO,,
swimsuit_under_clothes,18977,/suc,LIKELY_CANDIDATE,LIKELY_CANDIDATE,SPECIAL_CLOTHING_BODY_RELATION,PLAUSIBLE_SPECIAL_FIT,paizuri under clothes (SpecialID 532; score=0.689),body-part-under-clothing relation is a hidden visual/contact concept that General search may not expose well,MEDIUM,P1,NO,,
clothes_between_breasts,18555,clothing_between_breasts,LIKELY_CANDIDATE,LIKELY_CANDIDATE,SPECIAL_EXPOSURE_CLOTHING_STATE,STRONG_SPECIAL_FIT,cum between breasts (SpecialID 1290; score=0.698),"specific exposure, clothing-barrier, or garment-state concept improves deep Special discovery",MEDIUM,P1,NO,V1_CANDIDATE_AUDIT,
micro_shorts,18389,,LIKELY_CANDIDATE,LIKELY_CANDIDATE,SPECIAL_GARMENT_SUBTYPE,PLAUSIBLE_SPECIAL_FIT,micro pasties (SpecialID 2439; score=0.566),named garment subtype/state is harder to discover than an ordinary base garment,MEDIUM,P1,NO,V1_CANDIDATE_AUDIT,
animal_on_head,18279,,LIKELY_CANDIDATE,LIKELY_GENERAL_ONLY,GENERAL_OBJECT_OR_ACTION_PLACEMENT,GENERAL_ONLY,penis on head (SpecialID 815; score=0.667),ordinary object or accessory placed at a body location; placement alone is General discovery,HIGH,P3,NO,,
blood_on_hand,18256,blood_on_hands|blood_on_fingers|bloody_hands|bloody_fingers,LIKELY_CANDIDATE,LIKELY_GENERAL_ONLY,GENERAL_OBJECT_OR_ACTION_PLACEMENT,GENERAL_ONLY,blood (SpecialID 2164; score=0.667),ordinary hand/finger and non-intimate body interaction; no deep Special relation is established,HIGH,P3,NO,,
hand_on_own_knee,18145,hand_on_knee,LIKELY_CANDIDATE,LIKELY_GENERAL_ONLY,GENERAL_OBJECT_OR_ACTION_PLACEMENT,GENERAL_ONLY,hand on own penis (SpecialID 797; score=0.737),ordinary hand/finger and non-intimate body interaction; no deep Special relation is established,HIGH,P3,NO,,
weapon_on_back,17044,,LIKELY_CANDIDATE,LIKELY_GENERAL_ONLY,GENERAL_OBJECT_OR_ACTION_PLACEMENT,GENERAL_ONLY,cum on back (SpecialID 348; score=0.621),ordinary object or accessory placed at a body location; placement alone is General discovery,HIGH,P3,NO,,
