slice_index,row_id,canonical_tag,category,post_count,review_result,review_note
54,I70-027596,cheemsburger_(doge),Character,72,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
55,I70-028189,hui_huo_(false_memory),Character,70,IN_2D,Resolved in MANUAL_SCOPE_BATCH_059
56,I70-028413,daiginjou_(futaba_channel),Character,69,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
57,I70-028468,hyuna_(zombie_stage),Character,69,IN_2D,Resolved in MANUAL_SCOPE_BATCH_059
58,I70-028696,coqui_saporana,Character,68,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
59,I70-028908,takamiya_subaru,Character,68,IN_2D,Resolved in MANUAL_SCOPE_BATCH_059
60,I70-028953,alfhilde_odinsdottir,Character,67,IN_2D,Resolved in MANUAL_SCOPE_BATCH_059
61,I70-029052,kanikama_(suou_patra),Character,67,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
62,I70-029265,bathing_elf_(kirishima_satoshi),Character,66,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
63,I70-029318,ghost_girl_(shikisokuzeku76),Character,66,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
64,I70-029520,yumykon_(yumykon),Character,66,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
65,I70-029635,howa_kurea_(civilian),Character,65,IN_2D,Resolved in MANUAL_SCOPE_BATCH_059
66,I70-029649,juna_unagi,Character,65,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
67,I70-029741,petra_parker_(otrebot),Character,65,IN_2D,Resolved in MANUAL_SCOPE_BATCH_059
68,I70-029987,leonidas_i_(real_life),Character,64,REAL_3D,Resolved in MANUAL_SCOPE_BATCH_059
69,I70-030042,natsu_(nekota_tsuna),Character,64,IN_2D,Resolved in MANUAL_SCOPE_BATCH_059
70,I70-030072,pneuma_(artbook_swimsuit)_(xenoblade),Character,64,IN_2D,Resolved in MANUAL_SCOPE_BATCH_059
71,I70-030096,sakamoto_maaya,Character,64,REAL_3D,Resolved in MANUAL_SCOPE_BATCH_059
72,I70-030107,selly55,Character,64,REAL_3D,Resolved in MANUAL_SCOPE_BATCH_059
73,I70-030135,sumomo_(ikuta_semi),Character,64,IN_2D,Resolved in MANUAL_SCOPE_BATCH_059
74,I70-030136,suou_patra_(7th_costume),Character,64,IN_2D,Resolved in MANUAL_SCOPE_BATCH_059
75,I70-030143,tea_party_militant_a_(blue_archive),Character,64,IN_2D,Resolved in MANUAL_SCOPE_BATCH_059
76,I70-030153,tomatsu_haruka,Character,64,REAL_3D,Resolved in MANUAL_SCOPE_BATCH_059
77,I70-030184,8-foot_joe,Character,63,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
78,I70-030185,96neko,Character,63,REAL_3D,Resolved in MANUAL_SCOPE_BATCH_059
79,I70-030248,eastern_spot-billed_duck_(kemono_friends),Character,63,IN_2D,Resolved in MANUAL_SCOPE_BATCH_059
80,I70-030266,funasshii,Character,63,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
81,I70-030268,garo_(tokusatsu_character),Character,63,REAL_3D,Resolved in MANUAL_SCOPE_BATCH_059
82,I70-030294,hero's_shade_(zelda),Character,63,IN_2D,Resolved in MANUAL_SCOPE_BATCH_059
83,I70-030314,jang_wonyoung,Character,63,REAL_3D,Resolved in MANUAL_SCOPE_BATCH_059
84,I70-030340,kubota_miyu,Character,63,REAL_3D,Resolved in MANUAL_SCOPE_BATCH_059
85,I70-030347,kusuda_aina,Character,63,REAL_3D,Resolved in MANUAL_SCOPE_BATCH_059
86,I70-030386,narin_mikure,Character,63,IN_2D,Resolved in MANUAL_SCOPE_BATCH_059
87,I70-030411,ptera_ranger,Character,63,REAL_3D,Resolved in MANUAL_SCOPE_BATCH_059
88,I70-030429,sally_merci_(manjuverunu),Character,63,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
89,I70-030440,smallishbeans,Character,63,REAL_3D,Resolved in MANUAL_SCOPE_BATCH_059
90,I70-030523,ariana_grande,Character,62,REAL_3D,Resolved in MANUAL_SCOPE_BATCH_059
91,I70-030524,arsene_(milky_holmes),Character,62,IN_2D,Resolved in MANUAL_SCOPE_BATCH_059
92,I70-030539,cafe_no_zombi-ko,Character,62,IN_2D,Resolved in MANUAL_SCOPE_BATCH_059
93,I70-030551,claes_(gunslinger_girl),Character,62,IN_2D,Resolved in MANUAL_SCOPE_BATCH_059
94,I70-030566,dogpool,Character,62,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
95,I70-030572,eleking,Character,62,REAL_3D,Resolved in MANUAL_SCOPE_BATCH_059
96,I70-030574,emit_(mahou_shoujo_sae),Character,62,IN_2D,Resolved in MANUAL_SCOPE_BATCH_059
97,I70-030575,emmett_brown,Character,62,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
98,I70-030605,hidoi_(nijiura_maids),Character,62,IN_2D,Resolved in MANUAL_SCOPE_BATCH_059
99,I70-030610,hob_&_nob,Character,62,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
100,I70-030653,kosaka_tsubaki,Character,62,IN_2D,Resolved in MANUAL_SCOPE_BATCH_059
